,observationunitname,observationunitdbid,studydbid,germplasmdbid,germplasmpui,germplasmname,studyname,observationlevel,replicate,replicate.1,plot,plant,x,y,observationlevels,water_regime,GN,KW,MFLW_D20deg,FFLW_D20deg,GY_Adj_tha,plant_height,tassel_height,ear_height,ASI_D20deg,season,Tnight_Early,Tnight_Flo,Tnight_Fill,Ri_Early,Ri_Flo,Ri_Fill,Psi_Flo,Psi_Fill,Tmax_Early,Tmax_Flo,Tmax_Fill,TnbL,L12,L14,W12,W14,Check,L11,L13,W11,W13,L10,W10,L9,W9,L15,W15
10,400380,3357549,Kar12,127474,https://doi.org/10.15454/GF4RQE,EP55_H,KWS Karlsruhe 2012,REPLICATE>BLOCK>PLOT,,,400380.0,,5.0,13.0,"REPLICATE>BLOCK>PLOT:400380,REPLICATE>BLOCK:18,REPLICATE:1",watered,3198.6531986532,236.3576470588,"62,8595758722","64,6808710156",7.5602614379,250,295,160,"-1,82129514340",2012,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,400228,3357374,Kar12,127474,https://doi.org/10.15454/GF4RQE,EP55_H,KWS Karlsruhe 2012,REPLICATE>BLOCK>PLOT,,,400228.0,,10.0,4.0,"REPLICATE>BLOCK>PLOT:400228,REPLICATE>BLOCK:1,REPLICATE:2",watered,3945.5782312925,212.1411764706,"63,8763017097","64,6808710156",8.3701960784,245,300,155,"-0,80456930590",2012,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,3078water_regimewatered,3338676,Kar12,127474,https://doi.org/10.15454/GF4RQE,EP55_H,KWS Karlsruhe 2012,VIRTUAL_TRIAL,,,,,,,,watered,263.2467841328,63.6867838799,64.4272222698,247.3404991822,3462.3981392391,298.0279834316,157.243890093,,,2012,16.766238952,15.6063412385,13.5465118635,244.237,241.428,829.894,-22.489889579,-24.9959545991,30.3451780669,29.0112678405,26.8041532992,,,,,,,,,,,,,,,,
13,3078water_regimerainfed,3338430,Kar12,127474,https://doi.org/10.15454/GF4RQE,EP55_H,KWS Karlsruhe 2012,VIRTUAL_TRIAL,,,,,,,,rainfed,255.497742052,63.3886416553,65.0239063964,242.5722429721,3417.9724472101,293.312351409,156.9688058589,,,2012,16.766238952,15.8124659091,13.3959745405,244.237,266.026,806.787,-22.605787037,-24.7936379968,30.3451780669,29.2840500934,26.5064154879,,,,,,,,,,,,,,,,
14,401712,3358260,Kar12,127650,https://doi.org/10.15454/I2W4OZ,SGI061_H,KWS Karlsruhe 2012,REPLICATE>BLOCK>PLOT,,,401712.0,,14.0,44.0,"REPLICATE>BLOCK>PLOT:401712,REPLICATE>BLOCK:27,REPLICATE:3",rainfed,4664.1791044776,237.4164705882,"66,5017492524","65,5409150764",11.0735294118,250,300,145,"0,96083417600",2012,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,401387,3357898,Kar12,127650,https://doi.org/10.15454/I2W4OZ,SGI061_H,KWS Karlsruhe 2012,REPLICATE>BLOCK>PLOT,,,401387.0,,9.0,30.0,"REPLICATE>BLOCK>PLOT:401387,REPLICATE>BLOCK:18,REPLICATE:2",rainfed,5032.2061191626,241.2564705882,"63,8763017097","64,6808710156",12.1405228758,270,310,160,"-0,80456930590",2012,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,401413,3357927,Kar12,127650,https://doi.org/10.15454/I2W4OZ,SGI061_H,KWS Karlsruhe 2012,REPLICATE>BLOCK>PLOT,,,401413.0,,9.0,4.0,"REPLICATE>BLOCK>PLOT:401413,REPLICATE>BLOCK:17,REPLICATE:1",rainfed,5033.5570469799,255.5788235294,"65,5409150764","66,5017492524",12.8647058824,260,300,160,"-0,96083417600",2012,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,400375,3357543,Kar12,127650,https://doi.org/10.15454/I2W4OZ,SGI061_H,KWS Karlsruhe 2012,REPLICATE>BLOCK>PLOT,,,400375.0,,5.0,18.0,"REPLICATE>BLOCK>PLOT:400375,REPLICATE>BLOCK:19,REPLICATE:1",watered,4306.712962963,264.96,"63,8763017097","64,6808710156",11.4110666667,255,295,155,"-0,80456930590",2012,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,400019,3357135,Kar12,127650,https://doi.org/10.15454/I2W4OZ,SGI061_H,KWS Karlsruhe 2012,REPLICATE>BLOCK>PLOT,,,400019.0,,18.0,19.0,"REPLICATE>BLOCK>PLOT:400019,REPLICATE>BLOCK:35,REPLICATE:2",watered,4752.6041666667,227.0870588235,"64,6808710156","62,8595758722",10.7925490196,260,300,160,"1,82129514340",2012,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,3256water_regimewatered,3338848,Kar12,127650,https://doi.org/10.15454/I2W4OZ,SGI061_H,KWS Karlsruhe 2012,VIRTUAL_TRIAL,,,,,,,,watered,280.1405117111,64.7584420115,64.1248102494,257.8298380554,4501.200607375,297.003149055,158.9918861275,,,2012,16.4426893939,15.6700585017,13.5465118635,232.956,216.832,829.894,-22.434221103,-24.9959545991,29.8097554549,29.1016297216,26.8041532992,,,,,,,,,,,,,,,,
20,3256water_regimerainfed,3338602,Kar12,127650,https://doi.org/10.15454/I2W4OZ,SGI061_H,KWS Karlsruhe 2012,VIRTUAL_TRIAL,,,,,,,,rainfed,284.7767437069,65.6972259133,65.7883941767,259.0297480552,4841.5334690318,302.6896333048,155.3139090712,,,2012,16.4426893939,15.8653894949,13.3959745405,232.956,217.626,806.787,-22.5477094017,-24.7936379968,29.8097554549,29.3598862092,26.5064154879,,,,,,,,,,,,,,,,
21,5,3357107,Kar12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,KWS Karlsruhe 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,5.0,,,"REPLICATE>BLOCK>PLOT>PLANT:5,REPLICATE>BLOCK>PLOT:401882,REPLICATE>BLOCK:20,REPLICATE>BLOCK:9,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:3",rainfed,,,,,,,,,,2012,,,,,,,,,,,,16,102,80,10.5,9.5,Yes,,,,,,,,,,
22,9,3357111,Kar12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,KWS Karlsruhe 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,9.0,,,"REPLICATE>BLOCK>PLOT>PLANT:9,REPLICATE>BLOCK>PLOT:401882,REPLICATE>BLOCK:20,REPLICATE>BLOCK:9,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:3",rainfed,,,,,,,,,,2012,,,,,,,,,,,,15,,,,,Yes,97,82.5,9,9.5,,,,,,
23,1,3357102,Kar12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,KWS Karlsruhe 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,1.0,,,"REPLICATE>BLOCK>PLOT>PLANT:1,REPLICATE>BLOCK>PLOT:401882,REPLICATE>BLOCK:20,REPLICATE>BLOCK:9,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:3",rainfed,,,,,,,,,,2012,,,,,,,,,,,,15,87.5,,10,,Yes,,,,,96,9.5,,,,
24,7,3357109,Kar12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,KWS Karlsruhe 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,7.0,,,"REPLICATE>BLOCK>PLOT>PLANT:7,REPLICATE>BLOCK>PLOT:401882,REPLICATE>BLOCK:20,REPLICATE>BLOCK:9,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:3",rainfed,,,,,,,,,,2012,,,,,,,,,,,,15,,,,,Yes,97,79.5,9.5,10.5,,,,,,
25,4,3357106,Kar12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,KWS Karlsruhe 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,4.0,,,"REPLICATE>BLOCK>PLOT>PLANT:4,REPLICATE>BLOCK>PLOT:401882,REPLICATE>BLOCK:20,REPLICATE>BLOCK:9,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:3",rainfed,,,,,,,,,,2012,,,,,,,,,,,,15,90,,9,,Yes,,,,,103,9,,,,
26,8,3357110,Kar12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,KWS Karlsruhe 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,8.0,,,"REPLICATE>BLOCK>PLOT>PLANT:8,REPLICATE>BLOCK>PLOT:401882,REPLICATE>BLOCK:20,REPLICATE>BLOCK:9,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:3",rainfed,,,,,,,,,,2012,,,,,,,,,,,,15,90,,9,,Yes,,,,,98,9,,,,
27,6,3357108,Kar12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,KWS Karlsruhe 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,6.0,,,"REPLICATE>BLOCK>PLOT>PLANT:6,REPLICATE>BLOCK>PLOT:401882,REPLICATE>BLOCK:20,REPLICATE>BLOCK:9,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:3",rainfed,,,,,,,,,,2012,,,,,,,,,,,,16,,,,,Yes,101.5,90,10,9,,,,,,
28,10,3357112,Kar12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,KWS Karlsruhe 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,10.0,,,"REPLICATE>BLOCK>PLOT>PLANT:10,REPLICATE>BLOCK>PLOT:401882,REPLICATE>BLOCK:20,REPLICATE>BLOCK:9,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:3",rainfed,,,,,,,,,,2012,,,,,,,,,,,,14,82.5,,8.5,,Yes,,,,,99,9.5,,,,
29,2,3357104,Kar12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,KWS Karlsruhe 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,2.0,,,"REPLICATE>BLOCK>PLOT>PLANT:2,REPLICATE>BLOCK>PLOT:401882,REPLICATE>BLOCK:20,REPLICATE>BLOCK:9,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:3",rainfed,,,,,,,,,,2012,,,,,,,,,,,,16,,,,,Yes,100.5,90.5,10,10,,,,,,
30,3,3357105,Kar12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,KWS Karlsruhe 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,3.0,,,"REPLICATE>BLOCK>PLOT>PLANT:3,REPLICATE>BLOCK>PLOT:401882,REPLICATE>BLOCK:20,REPLICATE>BLOCK:9,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:3",rainfed,,,,,,,,,,2012,,,,,,,,,,,,15,95.5,,9,,Yes,,,,,104,10.5,,,,
31,5,3357080,Kar12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,KWS Karlsruhe 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,5.0,,,"REPLICATE>BLOCK>PLOT>PLANT:5,REPLICATE>BLOCK>PLOT:401488,REPLICATE>BLOCK:13,REPLICATE>BLOCK:13,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:1",rainfed,,,,,,,,,,2012,,,,,,,,,,,,16,,,,,Yes,103.5,89,9,8.5,,,,,,
32,9,3357084,Kar12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,KWS Karlsruhe 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,9.0,,,"REPLICATE>BLOCK>PLOT>PLANT:9,REPLICATE>BLOCK>PLOT:401488,REPLICATE>BLOCK:13,REPLICATE>BLOCK:13,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:1",rainfed,,,,,,,,,,2012,,,,,,,,,,,,16,,,,,Yes,96.5,86.5,9,8.5,,,,,,
33,1,3357073,Kar12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,KWS Karlsruhe 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,1.0,,,"REPLICATE>BLOCK>PLOT>PLANT:1,REPLICATE>BLOCK>PLOT:401488,REPLICATE>BLOCK:13,REPLICATE>BLOCK:13,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:1",rainfed,,,,,,,,,,2012,,,,,,,,,,,,16,,,,,Yes,99.5,91,9,8.5,,,,,,
34,7,3357082,Kar12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,KWS Karlsruhe 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,7.0,,,"REPLICATE>BLOCK>PLOT>PLANT:7,REPLICATE>BLOCK>PLOT:401488,REPLICATE>BLOCK:13,REPLICATE>BLOCK:13,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:1",rainfed,,,,,,,,,,2012,,,,,,,,,,,,16,,,,,Yes,94,85,9.5,9,,,,,,
35,4,3357079,Kar12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,KWS Karlsruhe 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,4.0,,,"REPLICATE>BLOCK>PLOT>PLANT:4,REPLICATE>BLOCK>PLOT:401488,REPLICATE>BLOCK:13,REPLICATE>BLOCK:13,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:1",rainfed,,,,,,,,,,2012,,,,,,,,,,,,16,,,,,Yes,98,88,9.5,9,,,,,,
36,8,3357083,Kar12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,KWS Karlsruhe 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,8.0,,,"REPLICATE>BLOCK>PLOT>PLANT:8,REPLICATE>BLOCK>PLOT:401488,REPLICATE>BLOCK:13,REPLICATE>BLOCK:13,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:1",rainfed,,,,,,,,,,2012,,,,,,,,,,,,16,,,,,Yes,99,92.5,10,9.5,,,,,,
37,6,3357081,Kar12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,KWS Karlsruhe 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,6.0,,,"REPLICATE>BLOCK>PLOT>PLANT:6,REPLICATE>BLOCK>PLOT:401488,REPLICATE>BLOCK:13,REPLICATE>BLOCK:13,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:1",rainfed,,,,,,,,,,2012,,,,,,,,,,,,17,97,82,10,9,Yes,,,,,,,,,,
38,10,3357085,Kar12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,KWS Karlsruhe 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,10.0,,,"REPLICATE>BLOCK>PLOT>PLANT:10,REPLICATE>BLOCK>PLOT:401488,REPLICATE>BLOCK:13,REPLICATE>BLOCK:13,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:1",rainfed,,,,,,,,,,2012,,,,,,,,,,,,16,,,,,Yes,97.5,84,9.5,9,,,,,,
39,2,3357077,Kar12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,KWS Karlsruhe 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,2.0,,,"REPLICATE>BLOCK>PLOT>PLANT:2,REPLICATE>BLOCK>PLOT:401488,REPLICATE>BLOCK:13,REPLICATE>BLOCK:13,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:1",rainfed,,,,,,,,,,2012,,,,,,,,,,,,16,,,,,Yes,98.5,92,9.5,9.5,,,,,,
40,3,3357078,Kar12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,KWS Karlsruhe 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,3.0,,,"REPLICATE>BLOCK>PLOT>PLANT:3,REPLICATE>BLOCK>PLOT:401488,REPLICATE>BLOCK:13,REPLICATE>BLOCK:13,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:1",rainfed,,,,,,,,,,2012,,,,,,,,,,,,17,100,73,9,8.5,Yes,,,,,,,,,,
41,5,3357092,Kar12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,KWS Karlsruhe 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,5.0,,,"REPLICATE>BLOCK>PLOT>PLANT:5,REPLICATE>BLOCK>PLOT:401651,REPLICATE>BLOCK:3,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,,,,,,,,,,2012,,,,,,,,,,,,16,,,,,Yes,99.5,85,9.5,10,,,,,,
42,9,3357096,Kar12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,KWS Karlsruhe 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,9.0,,,"REPLICATE>BLOCK>PLOT>PLANT:9,REPLICATE>BLOCK>PLOT:401651,REPLICATE>BLOCK:3,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,,,,,,,,,,2012,,,,,,,,,,,,16,,,,,Yes,107.5,93,9,9,,,,,,
43,1,3357086,Kar12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,KWS Karlsruhe 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,1.0,,,"REPLICATE>BLOCK>PLOT>PLANT:1,REPLICATE>BLOCK>PLOT:401651,REPLICATE>BLOCK:3,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,,,,,,,,,,2012,,,,,,,,,,,,17,99,76,9.5,8,Yes,,,,,,,,,,
44,7,3357094,Kar12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,KWS Karlsruhe 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,7.0,,,"REPLICATE>BLOCK>PLOT>PLANT:7,REPLICATE>BLOCK>PLOT:401651,REPLICATE>BLOCK:3,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,,,,,,,,,,2012,,,,,,,,,,,,16,,,,,Yes,101.5,88,9,9,,,,,,
45,4,3357091,Kar12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,KWS Karlsruhe 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,4.0,,,"REPLICATE>BLOCK>PLOT>PLANT:4,REPLICATE>BLOCK>PLOT:401651,REPLICATE>BLOCK:3,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,,,,,,,,,,2012,,,,,,,,,,,,15,90,,9.5,,Yes,,,,,100.5,9.5,,,,
46,8,3357095,Kar12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,KWS Karlsruhe 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,8.0,,,"REPLICATE>BLOCK>PLOT>PLANT:8,REPLICATE>BLOCK>PLOT:401651,REPLICATE>BLOCK:3,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,,,,,,,,,,2012,,,,,,,,,,,,17,99,82.5,9.5,10,Yes,,,,,,,,,,
47,6,3357093,Kar12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,KWS Karlsruhe 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,6.0,,,"REPLICATE>BLOCK>PLOT>PLANT:6,REPLICATE>BLOCK>PLOT:401651,REPLICATE>BLOCK:3,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,,,,,,,,,,2012,,,,,,,,,,,,15,,,,,Yes,100.5,89.5,10,9.5,,,,,,
48,10,3357097,Kar12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,KWS Karlsruhe 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,10.0,,,"REPLICATE>BLOCK>PLOT>PLANT:10,REPLICATE>BLOCK>PLOT:401651,REPLICATE>BLOCK:3,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,,,,,,,,,,2012,,,,,,,,,,,,15,91,,7.5,,Yes,,,,,94,8,,,,
49,2,3357089,Kar12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,KWS Karlsruhe 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,2.0,,,"REPLICATE>BLOCK>PLOT>PLANT:2,REPLICATE>BLOCK>PLOT:401651,REPLICATE>BLOCK:3,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,,,,,,,,,,2012,,,,,,,,,,,,17,,,,,Yes,106.5,94.5,9.5,9.5,,,,,,
50,3,3357090,Kar12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,KWS Karlsruhe 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,3.0,,,"REPLICATE>BLOCK>PLOT>PLANT:3,REPLICATE>BLOCK>PLOT:401651,REPLICATE>BLOCK:3,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,,,,,,,,,,2012,,,,,,,,,,,,16,,,,,Yes,101.5,93,9.5,8.5,,,,,,
51,5,3357042,Kar12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,KWS Karlsruhe 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,5.0,,,"REPLICATE>BLOCK>PLOT>PLANT:5,REPLICATE>BLOCK>PLOT:400313,REPLICATE>BLOCK:28,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,,,,,,,,,,2012,,,,,,,,,,,,16,,,,,Yes,96,90,9.5,10,,,,,,
52,9,3357046,Kar12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,KWS Karlsruhe 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,9.0,,,"REPLICATE>BLOCK>PLOT>PLANT:9,REPLICATE>BLOCK>PLOT:400313,REPLICATE>BLOCK:28,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,,,,,,,,,,2012,,,,,,,,,,,,16,97,79.5,10,10,Yes,,,,,,,,,,
53,1,3357035,Kar12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,KWS Karlsruhe 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,1.0,,,"REPLICATE>BLOCK>PLOT>PLANT:1,REPLICATE>BLOCK>PLOT:400313,REPLICATE>BLOCK:28,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,,,,,,,,,,2012,,,,,,,,,,,,16,,,,,Yes,100,85,9,10,,,,,,
54,7,3357044,Kar12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,KWS Karlsruhe 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,7.0,,,"REPLICATE>BLOCK>PLOT>PLANT:7,REPLICATE>BLOCK>PLOT:400313,REPLICATE>BLOCK:28,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,,,,,,,,,,2012,,,,,,,,,,,,16,94,,9,,Yes,,,,,106,9,,,,
55,4,3357041,Kar12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,KWS Karlsruhe 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,4.0,,,"REPLICATE>BLOCK>PLOT>PLANT:4,REPLICATE>BLOCK>PLOT:400313,REPLICATE>BLOCK:28,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,,,,,,,,,,2012,,,,,,,,,,,,16,98,72.5,9.5,8.5,Yes,,,,,,,,,,
