observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,Heading(CO_321:1000036),Heading(CO_321:1000036).date,Height(CO_321:1000218),Height(CO_321:1000218).date,PlantEstablishment(WIPO:0000272),PlantEstablishment(WIPO:0000272).date
sw-092BLOCK1PLOT66,3030350,WS2,Wheat_Spring_MTA,48171,https://doi.org/10.15454/KNPKBU,SALINE,VIRTUAL_TRIAL,,,,,6,7,,2015,,,,,3,2015-04-24T02:00:00Z
sw-094BLOCK2PLOT5,3030251,WS2,Wheat_Spring_MTA,48172,https://doi.org/10.15454/KLUTNK,SPERLINGS BUHLENDORFER,VIRTUAL_TRIAL,,,,,1,8,,2015,,,,,3,2015-04-24T02:00:00Z
sw-095BLOCK4PLOT52,3030582,WS2,Wheat_Spring_MTA,48173,https://doi.org/10.15454/QIOOSZ,LI-CHO Nr. 3,VIRTUAL_TRIAL,,,,,17,19,,2015,,,,,2,2015-04-24T02:00:00Z
sw-097BLOCK7PLOT35,3030647,WS2,Wheat_Spring_MTA,48175,https://doi.org/10.15454/GALBO4,NEWSAR,VIRTUAL_TRIAL,,,,,21,4,,2015,,,,,1,2015-04-24T02:00:00Z
sw-102BLOCK3PLOT44,3030361,WS2,Wheat_Spring_MTA,48176,https://doi.org/10.15454/HB3SOT,CAPRIMUS,VIRTUAL_TRIAL,,,,,6,18,,2015,,,,,1,2015-04-24T02:00:00Z
sw-108BLOCK6PLOT52,3030549,WS2,Wheat_Spring_MTA,48180,https://doi.org/10.15454/WRZQWJ,SMOGGER,VIRTUAL_TRIAL,,,,,16,6,,2015,,,,,3,2015-04-24T02:00:00Z
sw-110BLOCK4PLOT6,3030478,WS2,Wheat_Spring_MTA,48182,https://doi.org/10.15454/ZRFBBR,TRI 4608,VIRTUAL_TRIAL,,,,,12,15,,2015,,,,,2,2015-04-24T02:00:00Z
sw-112BLOCK2PLOT65,3030257,WS2,Wheat_Spring_MTA,48183,https://doi.org/10.15454/FXFCQH,TRI 14906,VIRTUAL_TRIAL,,,,,1,14,,2015,,,,,2,2015-04-24T02:00:00Z
sw-113BLOCK6PLOT28,3030447,WS2,Wheat_Spring_MTA,48336,https://doi.org/10.15454/3Q0HLJ,JACOB CATS,VIRTUAL_TRIAL,,,,,11,4,,2015,,,,,2,2015-04-24T02:00:00Z
sw-114BLOCK8PLOT37,3030813,WS2,Wheat_Spring_MTA,48337,https://doi.org/10.15454/JYWRDE,GRIECHISCHER WEIZEN,VIRTUAL_TRIAL,,,,,29,10,,2015,96,2015-06-15T02:00:00Z,111,2015-07-06T02:00:00Z,3,2015-04-24T02:00:00Z
sw-134BLOCK8PLOT52,3030715,WS2,Wheat_Spring_MTA,48199,https://doi.org/10.15454/9PWTTB,MADIF 20,VIRTUAL_TRIAL,,,,,24,12,,2015,,,,,2,2015-04-24T02:00:00Z
sw-143BLOCK3PLOT29,3030260,WS2,Wheat_Spring_MTA,48205,https://doi.org/10.15454/GMULSW,MACKOVIKO VAHLADKA,VIRTUAL_TRIAL,,,,,1,17,,2015,,,,,3,2015-04-24T02:00:00Z
sw-144BLOCK5PLOT23,3030493,WS2,Wheat_Spring_MTA,48206,https://doi.org/10.15454/5WMSZR,KUJAWISCHER WEIZEN,VIRTUAL_TRIAL,,,,,13,10,,2015,101,2015-06-20T02:00:00Z,95,2015-07-06T02:00:00Z,2,2015-04-24T02:00:00Z
sw-145BLOCK7PLOT26,3030686,WS2,Wheat_Spring_MTA,48207,https://doi.org/10.15454/TZAUZD,ZDZISLAWKA,VIRTUAL_TRIAL,,,,,23,3,,2015,,,,,3,2015-04-24T02:00:00Z
sw-145BLOCK9PLOT56,3030722,WS2,Wheat_Spring_MTA,48207,https://doi.org/10.15454/TZAUZD,ZDZISLAWKA,VIRTUAL_TRIAL,,,,,24,19,,2015,,,,,3,2015-04-24T02:00:00Z
sw-149BLOCK2PLOT55,3030256,WS2,Wheat_Spring_MTA,48210,https://doi.org/10.15454/XYLQBW,FLAIR,VIRTUAL_TRIAL,,,,,1,13,,2015,,,,,2,2015-04-24T02:00:00Z
sw-156BLOCK5PLOT12,3030472,WS2,Wheat_Spring_MTA,48212,https://doi.org/10.15454/Z1RA3E,TIMBER,VIRTUAL_TRIAL,,,,,12,9,,2015,100,2015-06-19T02:00:00Z,48,2015-07-06T02:00:00Z,1,2015-04-24T02:00:00Z
sw-251BLOCK1PLOT46,3030348,WS2,Wheat_Spring_MTA,48315,https://doi.org/10.15454/J2FAPN,ID1396 EP036-EP037,VIRTUAL_TRIAL,,,,,6,5,,2015,89,2015-06-08T02:00:00Z,95,2015-07-06T02:00:00Z,2,2015-04-24T02:00:00Z
sw-255BLOCK8PLOT2,3030670,WS2,Wheat_Spring_MTA,48319,https://doi.org/10.15454/9VHOKV,ID1331 EP032-3,VIRTUAL_TRIAL,,,,,22,7,,2015,,,,,0,2015-04-24T02:00:00Z
sw-128BLOCK3PLOT45,3030381,WS2,Wheat_Spring_MTA,48195,https://doi.org/10.15454/6YJFER,TRI 593,VIRTUAL_TRIAL,,,,,7,18,,2015,94,2015-06-13T02:00:00Z,109,2015-07-06T02:00:00Z,3,2015-04-24T02:00:00Z
sw-129BLOCK1PLOT52,3030269,WS2,Wheat_Spring_MTA,48196,https://doi.org/10.15454/Z1T6S7,TRI 2309,VIRTUAL_TRIAL,,,,,2,6,,2015,,,,,3,2015-04-24T02:00:00Z
sw-130BLOCK5PLOT21,3030453,WS2,Wheat_Spring_MTA,48197,https://doi.org/10.15454/RYYDXJ,TRI 10807,VIRTUAL_TRIAL,,,,,11,10,,2015,92,2015-06-11T02:00:00Z,101,2015-07-06T02:00:00Z,3,2015-04-24T02:00:00Z
sw-138BLOCK7PLOT51,3030768,WS2,Wheat_Spring_MTA,48200,https://doi.org/10.15454/5K8T2A,TRI 10852,VIRTUAL_TRIAL,,,,,27,5,,2015,84,2015-06-03T02:00:00Z,89,2015-07-06T02:00:00Z,2,2015-04-24T02:00:00Z
sw-139BLOCK8PLOT45,3030774,WS2,Wheat_Spring_MTA,48201,https://doi.org/10.15454/UTGZOA,TRI 10862,VIRTUAL_TRIAL,,,,,27,11,,2015,85,2015-06-04T02:00:00Z,92,2015-07-06T02:00:00Z,2,2015-04-24T02:00:00Z
sw-140BLOCK1PLOT47,3030368,WS2,Wheat_Spring_MTA,48202,https://doi.org/10.15454/TZTGIQ,TRI 10886,VIRTUAL_TRIAL,,,,,7,5,,2015,85,2015-06-04T02:00:00Z,87,2015-07-06T02:00:00Z,3,2015-04-24T02:00:00Z
sw-188BLOCK3PLOT32,3030320,WS2,Wheat_Spring_MTA,48225,https://doi.org/10.15454/YKZBWZ,TRI 7843,VIRTUAL_TRIAL,,,,,4,17,,2015,,,,,3,2015-04-24T02:00:00Z
sw-197BLOCK8PLOT54,3030755,WS2,Wheat_Spring_MTA,48232,https://doi.org/10.15454/S7FOMV,TRI 6388,VIRTUAL_TRIAL,,,,,26,12,,2015,97,2015-06-16T02:00:00Z,94,2015-07-06T02:00:00Z,3,2015-04-24T02:00:00Z
sw-199BLOCK7PLOT55,3030649,WS2,Wheat_Spring_MTA,48234,https://doi.org/10.15454/FWLX4K,TRI 6471,VIRTUAL_TRIAL,,,,,21,6,,2015,,,,,2,2015-04-24T02:00:00Z
sw-243BLOCK4PLOT55,3030642,WS2,Wheat_Spring_MTA,48262,https://doi.org/10.15454/F8AKAX,ELS 6304-72,VIRTUAL_TRIAL,,,,,20,19,,2015,79,2015-05-29T02:00:00Z,74,2015-07-06T02:00:00Z,3,2015-04-24T02:00:00Z
sw-243BLOCK9PLOT14,3030678,WS2,Wheat_Spring_MTA,48262,https://doi.org/10.15454/F8AKAX,ELS 6304-72,VIRTUAL_TRIAL,,,,,22,15,,2015,80,2015-05-30T02:00:00Z,81,2015-07-06T02:00:00Z,2,2015-04-24T02:00:00Z
sw-244BLOCK8PLOT26,3030792,WS2,Wheat_Spring_MTA,48263,https://doi.org/10.15454/BWQFOP,859,VIRTUAL_TRIAL,,,,,28,9,,2015,89,2015-06-08T02:00:00Z,106,2015-07-06T02:00:00Z,3,2015-04-24T02:00:00Z
sw-268BLOCK7PLOT7,3030744,WS2,Wheat_Spring_MTA,48267,https://doi.org/10.15454/BYGUFU,79TK098-511,VIRTUAL_TRIAL,,,,,26,1,,2015,91,2015-06-10T02:00:00Z,82,2015-07-06T02:00:00Z,2,2015-04-24T02:00:00Z
sw-258BLOCK7PLOT39,3030727,WS2,Wheat_Spring_MTA,48321,https://doi.org/10.15454/GL2BBJ,DIC55 TP021-TP028,VIRTUAL_TRIAL,,,,,25,4,,2015,94,2015-06-13T02:00:00Z,90,2015-07-06T02:00:00Z,2,2015-04-24T02:00:00Z
sw-266BLOCK2PLOT13,3030411,WS2,Wheat_Spring_MTA,48329,https://doi.org/10.15454/LGPSCW,TRI 10324,VIRTUAL_TRIAL,,,,,9,8,,2015,95,2015-06-14T02:00:00Z,96,2015-07-06T02:00:00Z,2,2015-04-24T02:00:00Z
sw-330BLOCK8PLOT13,3030731,WS2,Wheat_Spring_MTA,22074,https://doi.org/10.15454/B0VYLQ,BELLYEI-590,VIRTUAL_TRIAL,,,,,25,8,,2015,93,2015-06-12T02:00:00Z,115,2015-07-06T02:00:00Z,3,2015-04-24T02:00:00Z
sw-152BLOCK4PLOT15,3030459,WS2,Wheat_Spring_MTA,24059,https://doi.org/10.15454/WL6NIE,RECITAL,VIRTUAL_TRIAL,,,,,11,16,,2015,,,,,2,2015-04-24T02:00:00Z
sw-314BLOCK4PLOT34,3030640,WS2,Wheat_Spring_MTA,21782,https://doi.org/10.15454/CM7NHY,664-258-18,VIRTUAL_TRIAL,,,,,20,17,,2015,86,2015-06-05T02:00:00Z,68,2015-07-06T02:00:00Z,3,2015-04-24T02:00:00Z
sw-314BLOCK9PLOT28,3030759,WS2,Wheat_Spring_MTA,21782,https://doi.org/10.15454/CM7NHY,664-258-18,VIRTUAL_TRIAL,,,,,26,16,,2015,87,2015-06-06T02:00:00Z,63,2015-07-06T02:00:00Z,3,2015-04-24T02:00:00Z
sw-395BLOCK2PLOT52,3030395,WS2,Wheat_Spring_MTA,23631,https://doi.org/10.15454/XS4HF4,MV-MA,VIRTUAL_TRIAL,,,,,8,12,,2015,,,,,2,2015-04-24T02:00:00Z
sw-401BLOCK3PLOT43,3030341,WS2,Wheat_Spring_MTA,23790,https://doi.org/10.15454/KJB0LU,ODESSA EXP.STA.20722,VIRTUAL_TRIAL,,,,,5,18,,2015,84,2015-06-03T02:00:00Z,91,2015-07-06T02:00:00Z,3,2015-04-24T02:00:00Z
sw-433BLOCK6PLOT45,3030608,WS2,Wheat_Spring_MTA,25082,https://doi.org/10.15454/0CAUFB,HOUMANA,VIRTUAL_TRIAL,,,,,19,5,,2015,79,2015-05-29T02:00:00Z,57,2015-07-06T02:00:00Z,2,2015-04-24T02:00:00Z
sw-440BLOCK3PLOT50,3030282,WS2,Wheat_Spring_MTA,25559,https://doi.org/10.15454/1JXS5T,FRUH WEIZEN,VIRTUAL_TRIAL,,,,,2,19,,2015,93,2015-06-12T02:00:00Z,101,2015-07-06T02:00:00Z,3,2015-04-24T02:00:00Z
sw-484BLOCK4PLOT60,3030523,WS2,Wheat_Spring_MTA,23555,https://doi.org/10.15454/R46PWA,MEXIQUE 58,VIRTUAL_TRIAL,,,,,14,20,,2015,80,2015-05-30T02:00:00Z,69,2015-07-06T02:00:00Z,3,2015-04-24T02:00:00Z
sw-001BLOCK6PLOT49,3030489,WS2,Wheat_Spring_MTA,48139,https://doi.org/10.15454/UP7CN3,LEEDS,VIRTUAL_TRIAL,,,,,13,6,,2015,,,,,3,2015-04-24T02:00:00Z
sw-005BLOCK5PLOT18,3030592,WS2,Wheat_Spring_MTA,48140,https://doi.org/10.15454/BHYVI3,FORZOR,VIRTUAL_TRIAL,,,,,18,9,,2015,,,,,3,2015-04-24T02:00:00Z
sw-005BLOCK9PLOT39,3030780,WS2,Wheat_Spring_MTA,48140,https://doi.org/10.15454/BHYVI3,FORZOR,VIRTUAL_TRIAL,,,,,27,17,,2015,,,,,3,2015-04-24T02:00:00Z
sw-006BLOCK8PLOT66,3030796,WS2,Wheat_Spring_MTA,48141,https://doi.org/10.15454/9X4ANP,TOSKANI,VIRTUAL_TRIAL,,,,,28,13,,2015,,,,,3,2015-04-24T02:00:00Z
sw-010BLOCK7PLOT66,3030830,WS2,Wheat_Spring_MTA,48142,https://doi.org/10.15454/C5P8R1,KWS FERRUM,VIRTUAL_TRIAL,,,,,30,7,,2015,,,,,2,2015-04-24T02:00:00Z
sw-012BLOCK7PLOT56,3030669,WS2,Wheat_Spring_MTA,25820,https://doi.org/10.15454/7JVGON,DEKAN,VIRTUAL_TRIAL,,,,,22,6,,2015,,,,,3,2015-04-24T02:00:00Z
sw-013BLOCK7PLOT8,3030764,WS2,Wheat_Spring_MTA,48143,https://doi.org/10.15454/QPDUJ7,KWS MAGIC,VIRTUAL_TRIAL,,,,,27,1,,2015,,,,,2,2015-04-24T02:00:00Z
sw-014BLOCK8PLOT61,3030696,WS2,Wheat_Spring_MTA,48144,https://doi.org/10.15454/6KRVUU,KWS MILANECO,VIRTUAL_TRIAL,,,,,23,13,,2015,,,,,2,2015-04-24T02:00:00Z
sw-015BLOCK4PLOT13,3030618,WS2,Wheat_Spring_MTA,48145,https://doi.org/10.15454/JQN8P6,KW 11116-09,VIRTUAL_TRIAL,,,,,19,15,,2015,,,,,3,2015-04-24T02:00:00Z
sw-018BLOCK5PLOT16,3030552,WS2,Wheat_Spring_MTA,48127,https://doi.org/10.15454/PYAODO,KWS CHAMSIN,VIRTUAL_TRIAL,,,,,16,9,,2015,88,2015-06-07T02:00:00Z,67,2015-07-06T02:00:00Z,3,2015-04-24T02:00:00Z
sw-019BLOCK2PLOT64,3030436,WS2,Wheat_Spring_MTA,27875,https://doi.org/10.15454/6LY6NQ,BOLOGNA,VIRTUAL_TRIAL,,,,,10,13,,2015,,,,,2,2015-04-24T02:00:00Z
sw-016BLOCK2PLOT4,3030430,WS2,Wheat_Spring_MTA,48154,https://doi.org/10.15454/MQOAYS,TAIFUN,VIRTUAL_TRIAL,,,,,10,7,,2015,85,2015-06-04T02:00:00Z,72,2015-07-06T02:00:00Z,3,2015-04-24T02:00:00Z
sw-021BLOCK3PLOT6,3030397,WS2,Wheat_Spring_MTA,48146,https://doi.org/10.15454/2JXR9C,TIEPOLO,VIRTUAL_TRIAL,,,,,8,14,,2015,,,,,2,2015-04-24T02:00:00Z
sw-023BLOCK8PLOT48,3030834,WS2,Wheat_Spring_MTA,48147,https://doi.org/10.15454/TYO8PP,MV-TOBORZO,VIRTUAL_TRIAL,,,,,30,11,,2015,90,2015-06-09T02:00:00Z,71,2015-07-06T02:00:00Z,3,2015-04-24T02:00:00Z
sw-032BLOCK3PLOT42,3030321,WS2,Wheat_Spring_MTA,48133,https://doi.org/10.15454/1NIQY2,CONQUEROR,VIRTUAL_TRIAL,,,,,4,18,,2015,,,,,2,2015-04-24T02:00:00Z
sw-033BLOCK4PLOT19,3030539,WS2,Wheat_Spring_MTA,26404,https://doi.org/10.15454/AALVQT,CORDIALE,VIRTUAL_TRIAL,,,,,15,16,,2015,,,,,2,2015-04-24T02:00:00Z
sw-038BLOCK7PLOT14,3030665,WS2,Wheat_Spring_MTA,48116,https://doi.org/10.15454/BPYB6B,AKRATOS,VIRTUAL_TRIAL,,,,,22,2,,2015,,,,,3,2015-04-24T02:00:00Z
sw-039BLOCK1PLOT42,3030268,WS2,Wheat_Spring_MTA,48122,https://doi.org/10.15454/02KFIV,AKTEUR,VIRTUAL_TRIAL,,,,,2,5,,2015,,,,,2,2015-04-24T02:00:00Z
sw-044BLOCK5PLOT5,3030531,WS2,Wheat_Spring_MTA,27853,https://doi.org/10.15454/T5GZNC,KALAHARI,VIRTUAL_TRIAL,,,,,15,8,,2015,,,,,2,2015-04-24T02:00:00Z
sw-045BLOCK6PLOT19,3030446,WS2,Wheat_Spring_MTA,27863,https://doi.org/10.15454/W1W3UH,ORCAS,VIRTUAL_TRIAL,,,,,11,3,,2015,,,,,2,2015-04-24T02:00:00Z
sw-046BLOCK7PLOT36,3030667,WS2,Wheat_Spring_MTA,27865,https://doi.org/10.15454/2C3NNE,PHARE,VIRTUAL_TRIAL,,,,,22,4,,2015,,,,,1,2015-04-24T02:00:00Z
sw-048BLOCK2PLOT60,3030356,WS2,Wheat_Spring_MTA,26920,https://doi.org/10.15454/XISJPF,ALCHEMY,VIRTUAL_TRIAL,,,,,6,13,,2015,,,,,2,2015-04-24T02:00:00Z
sw-055BLOCK4PLOT50,3030542,WS2,Wheat_Spring_MTA,26063,https://doi.org/10.15454/YA89LO,XI19,VIRTUAL_TRIAL,,,,,15,19,,2015,94,2015-06-13T02:00:00Z,62,2015-07-06T02:00:00Z,2,2015-04-24T02:00:00Z
sw-063BLOCK6PLOT55,3030609,WS2,Wheat_Spring_MTA,48124,https://doi.org/10.15454/F3SYW3,METEOR,VIRTUAL_TRIAL,,,,,19,6,,2015,,,,,2,2015-04-24T02:00:00Z
sw-067BLOCK5PLOT60,3030636,WS2,Wheat_Spring_MTA,48156,https://doi.org/10.15454/4QZNMI,SIBILLA,VIRTUAL_TRIAL,,,,,20,13,,2015,79,2015-05-29T02:00:00Z,56,2015-07-06T02:00:00Z,2,2015-04-24T02:00:00Z
sw-031BLOCK2PLOT33,3030413,WS2,Wheat_Spring_MTA,48149,https://doi.org/10.15454/TXGOA0,KWS CROFT,VIRTUAL_TRIAL,,,,,9,10,,2015,,,,,1,2015-04-24T02:00:00Z
sw-035BLOCK5PLOT38,3030594,WS2,Wheat_Spring_MTA,48150,https://doi.org/10.15454/ISVLFB,GRANARY,VIRTUAL_TRIAL,,,,,18,11,,2015,89,2015-06-08T02:00:00Z,71,2015-07-06T02:00:00Z,3,2015-04-24T02:00:00Z
sw-036BLOCK2PLOT16,3030272,WS2,Wheat_Spring_MTA,48151,https://doi.org/10.15454/BHGG23,ACTROS,VIRTUAL_TRIAL,,,,,2,9,,2015,,,,,3,2015-04-24T02:00:00Z
sw-042BLOCK7PLOT15,3030685,WS2,Wheat_Spring_MTA,48152,https://doi.org/10.15454/3NXS2Z,GLOBAL,VIRTUAL_TRIAL,,,,,23,2,,2015,,,,,2,2015-04-24T02:00:00Z
sw-069BLOCK7PLOT50,3030748,WS2,Wheat_Spring_MTA,48157,https://doi.org/10.15454/HVB5KH,SPADA,VIRTUAL_TRIAL,,,,,26,5,,2015,79,2015-05-29T02:00:00Z,47,2015-07-06T02:00:00Z,2,2015-04-24T02:00:00Z
sw-070BLOCK5PLOT34,3030514,WS2,Wheat_Spring_MTA,48158,https://doi.org/10.15454/QFW1ND,AGADIR,VIRTUAL_TRIAL,,,,,14,11,,2015,92,2015-06-11T02:00:00Z,58,2015-07-06T02:00:00Z,3,2015-04-24T02:00:00Z
sw-071BLOCK4PLOT39,3030541,WS2,Wheat_Spring_MTA,48159,https://doi.org/10.15454/OEMPKK,ARTICO,VIRTUAL_TRIAL,,,,,15,18,,2015,,,,,3,2015-04-24T02:00:00Z
sw-073BLOCK2PLOT24,3030432,WS2,Wheat_Spring_MTA,48160,https://doi.org/10.15454/JWFRBY,SAN PASTORE TYPE 2,VIRTUAL_TRIAL,,,,,10,9,,2015,,,,,1,2015-04-24T02:00:00Z
sw-076BLOCK2PLOT26,3030273,WS2,Wheat_Spring_MTA,48161,https://doi.org/10.15454/5GIUKS,TRI 8439,VIRTUAL_TRIAL,,,,,2,10,,2015,89,2015-06-08T02:00:00Z,60,2015-07-06T02:00:00Z,2,2015-04-24T02:00:00Z
sw-081BLOCK6PLOT48,3030469,WS2,Wheat_Spring_MTA,48163,https://doi.org/10.15454/FX7RAV,CHINESISCHER WEIZEN,VIRTUAL_TRIAL,,,,,12,6,,2015,,,,,2,2015-04-24T02:00:00Z
sw-081BLOCK9PLOT16,3030718,WS2,Wheat_Spring_MTA,48163,https://doi.org/10.15454/FX7RAV,CHINESISCHER WEIZEN,VIRTUAL_TRIAL,,,,,24,15,,2015,,,,,3,2015-04-24T02:00:00Z
sw-083BLOCK6PLOT36,3030607,WS2,Wheat_Spring_MTA,48164,https://doi.org/10.15454/LG8EDC,SHIRASAY IBARAGI 2,VIRTUAL_TRIAL,,,,,19,4,,2015,79,2015-05-29T02:00:00Z,48,2015-07-06T02:00:00Z,2,2015-04-24T02:00:00Z
sw-084BLOCK1PLOT45,3030328,WS2,Wheat_Spring_MTA,48165,https://doi.org/10.15454/9KV8MX,BEJ SZI 3,VIRTUAL_TRIAL,,,,,5,5,,2015,,,,,3,2015-04-24T02:00:00Z
sw-085BLOCK4PLOT21,3030579,WS2,Wheat_Spring_MTA,48166,https://doi.org/10.15454/HDNS6D,EGYPTIAN,VIRTUAL_TRIAL,,,,,17,16,,2015,,,,,2,2015-04-24T02:00:00Z
sw-086BLOCK6PLOT63,3030570,WS2,Wheat_Spring_MTA,48167,https://doi.org/10.15454/MVZITK,DAWSON GOLDEN,VIRTUAL_TRIAL,,,,,17,7,,2015,,,,,3,2015-04-24T02:00:00Z
sw-086BLOCK9PLOT26,3030719,WS2,Wheat_Spring_MTA,48167,https://doi.org/10.15454/MVZITK,DAWSON GOLDEN,VIRTUAL_TRIAL,,,,,24,16,,2015,,,,,3,2015-04-24T02:00:00Z
sw-087BLOCK3PLOT63,3030363,WS2,Wheat_Spring_MTA,48168,https://doi.org/10.15454/QPYJ7W,KARCAGI 1042,VIRTUAL_TRIAL,,,,,6,20,,2015,99,2015-06-18T02:00:00Z,106,2015-07-06T02:00:00Z,3,2015-04-24T02:00:00Z
sw-088BLOCK6PLOT47,3030449,WS2,Wheat_Spring_MTA,48169,https://doi.org/10.15454/MTQ3O5,MINDENES,VIRTUAL_TRIAL,,,,,11,6,,2015,94,2015-06-13T02:00:00Z,118,2015-07-06T02:00:00Z,3,2015-04-24T02:00:00Z
sw-088BLOCK9PLOT60,3030802,WS2,Wheat_Spring_MTA,48169,https://doi.org/10.15454/MTQ3O5,MINDENES,VIRTUAL_TRIAL,,,,,28,19,,2015,93,2015-06-12T02:00:00Z,103,2015-07-06T02:00:00Z,3,2015-04-24T02:00:00Z
sw-115BLOCK3PLOT65,3030403,WS2,Wheat_Spring_MTA,48335,https://doi.org/10.15454/KGOCQA,SHIREFFS DICKKOPF,VIRTUAL_TRIAL,,,,,8,20,,2015,,,,,2,2015-04-24T02:00:00Z
sw-117BLOCK8PLOT4,3030710,WS2,Wheat_Spring_MTA,48185,https://doi.org/10.15454/G4VX5H,HERCUTER WHITE,VIRTUAL_TRIAL,,,,,24,7,,2015,,,,,3,2015-04-24T02:00:00Z
sw-118BLOCK7PLOT20,3030785,WS2,Wheat_Spring_MTA,48186,https://doi.org/10.15454/XSZO7X,WIETFELDS FLETTMARER LAND HEIDEFURST,VIRTUAL_TRIAL,,,,,28,2,,2015,,,,,3,2015-04-24T02:00:00Z
sw-119BLOCK6PLOT1,3030444,WS2,Wheat_Spring_MTA,48187,https://doi.org/10.15454/FB3VKC,KLIMATINSKAJA,VIRTUAL_TRIAL,,,,,11,1,,2015,,,,,3,2015-04-24T02:00:00Z
sw-120BLOCK3PLOT1,3030297,WS2,Wheat_Spring_MTA,48188,https://doi.org/10.15454/GY3O5D,LANDWEIZEN AUS VOEHMA II,VIRTUAL_TRIAL,,,,,3,14,,2015,,,,,2,2015-04-24T02:00:00Z
sw-163BLOCK1PLOT44,3030308,WS2,Wheat_Spring_MTA,48120,https://doi.org/10.15454/CGSJRB,FRUMENT,VIRTUAL_TRIAL,,,,,4,5,,2015,,,,,2,2015-04-24T02:00:00Z
