"Curation";"Variable ID";"Variable name";"Variable synonyms";"Context of use";"Growth stage";"Variable status";"Variable Xref";"Institution";"Scientist";"Date";"Language";"Crop";"Trait ID";"Trait name";"Trait class";"Trait description";"Trait synonyms";"Main trait abbreviation";"Alternative trait abbreviations";"Entity";"Attribute";"Trait status";"Trait Xref";"Method ID";"Method name";"Method class";"Method description";"Formula";"Method reference";"Scale ID";"Scale name";"Scale class";"Decimal places";"Lower limit";"Upper limit";"Scale Xref";"Category 1";"Category 2";"Category 3";"Category 4";"Category 5";"Category 6";"Category 7";"Category 8";"Category 9";"Category 10"
"From WIPO v1.4";"WIPO:0000130";"NIRrefc.Z75";"GreenSeeker near-infrared index (~770nm) (Z75)";;"Z73 (Early milk)";;;"INRA";"Jacques Le Gouis";"15/06/2016";"EN";"Wheat";"WIPO:0010042";"GreenSeeker near-infrared index (~770nm) ";"Morphological";;;;;;;;;"WIPO:0020029";"GreenSeeker";;;;;"UO:0000190";"ratio";"Numerical";;;;"http://purl.obolibrary.org/obo/UO_0000190";;;;;;;;;;
"From WIPO v1.4";"WIPO:0000131";"NIRrefc.Z80";"GreenSeeker near-infrared index (~770nm) (Z80)";;"Z75 (Medium milk)";;;"INRA";"Jacques Le Gouis";"15/06/2016";"EN";"Wheat";"WIPO:0010042";"GreenSeeker near-infrared index (~770nm) ";"Morphological";;;;;;;;;"WIPO:0020029";"GreenSeeker";;;;;"UO:0000190";"ratio";"Numerical";;;;"http://purl.obolibrary.org/obo/UO_0000190";;;;;;;;;;
"From WIPO v1.4";"WIPO:0000132";"NIRrefc.Z85";"GreenSeeker near-infrared index (~770nm) (Z85)";;"Z80 (Kernel no longer watery but still soft and dough-like.)";;;"INRA";"Jacques Le Gouis";"15/06/2016";"EN";"Wheat";"WIPO:0010042";"GreenSeeker near-infrared index (~770nm) ";"Morphological";;;;;;;;;"WIPO:0020029";"GreenSeeker";;;;;"UO:0000190";"ratio";"Numerical";;;;"http://purl.obolibrary.org/obo/UO_0000190";;;;;;;;;;
"Asso";"WIPO:0000153";"REDrefc";"GreenSeeker red index (~660nm)";;;;;"INRA";"Jacques Le Gouis";"15/06/2016";"EN";"Wheat";"WIPO:0010061";"GreenSeeker red index (~660nm)";"Quality";;;;;;;;;"WIPO:0020029";"GreenSeeker";;;;;"UO:0000190";"ratio";"Numerical";;;;"http://purl.obolibrary.org/obo/UO_0000190";;;;;;;;;;
"From WIPO v1.4";"WIPO:0000154";"REDrefc.Z71";"GreenSeeker red index (~660nm) (Z71)";;"Z71 (Kernel water ripe (no starch))";;;"INRA";"Jacques Le Gouis";"15/06/2016";"EN";"Wheat";"WIPO:0010061";"GreenSeeker red index (~660nm)";"Quality";;;;;;;;;"WIPO:0020029";"GreenSeeker";;;;;"UO:0000190";"ratio";"Numerical";;;;"http://purl.obolibrary.org/obo/UO_0000190";;;;;;;;;;
"From WIPO v1.4";"WIPO:0000155";"REDrefc.Z73";"GreenSeeker red index (~660nm) (Z73)";;"Z73 (Early milk)";;;"INRA";"Jacques Le Gouis";"15/06/2016";"EN";"Wheat";"WIPO:0010061";"GreenSeeker red index (~660nm)";"Quality";;;;;;;;;"WIPO:0020029";"GreenSeeker";;;;;"UO:0000190";"ratio";"Numerical";;;;"http://purl.obolibrary.org/obo/UO_0000190";;;;;;;;;;
"From WIPO v1.4";"WIPO:0000156";"REDrefc.Z75";"GreenSeeker red index (~660nm) (Z75)";;"Z75 (Medium milk)";;;"INRA";"Jacques Le Gouis";"15/06/2016";"EN";"Wheat";"WIPO:0010061";"GreenSeeker red index (~660nm)";"Quality";;;;;;;;;"WIPO:0020029";"GreenSeeker";;;;;"UO:0000190";"ratio";"Numerical";;;;"http://purl.obolibrary.org/obo/UO_0000190";;;;;;;;;;
"From WIPO v1.4";"WIPO:0000157";"REDrefc.Z80";"GreenSeeker red index (~660nm) (Z80)";;"Z80 (Kernel no longer watery but still soft and dough-like.)";;;"INRA";"Jacques Le Gouis";"15/06/2016";"EN";"Wheat";"WIPO:0010061";"GreenSeeker red index (~660nm)";"Quality";;;;;;;;;"WIPO:0020029";"GreenSeeker";;;;;"UO:0000190";"ratio";"Numerical";;;;"http://purl.obolibrary.org/obo/UO_0000190";;;;;;;;;;
"From WIPO v1.4";"WIPO:0000158";"REDrefc.Z85";"GreenSeeker red index (~660nm) (Z85)";;"Z85  (Soft dough)";;;"INRA";"Jacques Le Gouis";"15/06/2016";"EN";"Wheat";"WIPO:0010061";"GreenSeeker red index (~660nm)";"Quality";;;;;;;;;"WIPO:0020029";"GreenSeeker";;;;;"UO:0000190";"ratio";"Numerical";;;;"http://purl.obolibrary.org/obo/UO_0000190";;;;;;;;;;
"Asso";"WIPO:0000170";"SEN-START_dd";"Start of senescence converted from anthesis date";;;;;"INRA";"Jacques Le Gouis";"15/06/2016";"EN";"Wheat";"WIPO:0010068";"Start of senescence converted from flowering date";"Morphological";;;;;;;;;"WIPO:0020047";"undefined";;;;;"WIPO:0030013";"dd";"Duration";;;;;;;;;;;;;;
"Asso et carto";"WIPO:0000211";"GPD";"Grain Protein Deviation";"Genetic mapping";"Z92 (Grain hard, not dented by thumbnail)";;;"INRA";"Jacques Le Gouis";"15/06/2016";"EN";"Wheat";"WIPO:0010087";"Grain Protein Deviation";"Agronomical";"Estimated as the deviation from the regression of GPC as a function of GY
";;;;;;;;"WIPO:0020047";"undefined";;;;;"UO:0000187";"%";"Numerical";;;;"http://purl.obolibrary.org/obo/UO_0000187";;;;;;;;;;
"from SCGN";"WIPO:0000258";"ColFa-a*";"Wholemeal Flour color: ColFa-a*";;;;;"INRA";"Arnaud Gauffretau, François-Xavier Oury";"21/09/2017";"EN";"Wheat";"WIPO:0010138";"Samples of 15 g measured with chromameter (Minolta 310)";"Quality";;;;;;;;;"WIPO:0020047";"undefined";;;;;"WIPO:0030103";"green (-) to red (+)";;;;;;;;;;;;;;;
"from SCGN";"WIPO:0000259";"ColFa-b*";"Wholemeal Flour color: ColFa-b*";;;;;"INRA";"Arnaud Gauffretau, François-Xavier Oury";"21/09/2017";"EN";"Wheat";"WIPO:0010138";"Samples of 15 g measured with chromameter (Minolta 310)";"Quality";;;;;;;;;"WIPO:0020047";"undefined";;;;;"WIPO:0030104";"blue (-) to yellow (+)";;;;;;;;;;;;;;;
"from SCGN";"WIPO:0000260";"ColFa-L*";"Wholemeal Flour color: ColFa-L*";;;;;"INRA";"Arnaud Gauffretau, François-Xavier Oury";"21/09/2017";"EN";"Wheat";"WIPO:0010138";"Samples of 15 g measured with chromameter (Minolta 310)";"Quality";;;;;;;;;"WIPO:0020047";"undefined";;;;;"WIPO:0030105";"black (0) to white (100)";;;;;;;;;;;;;;;
"from SCGN";"WIPO:0000261";"Diff-SDLD";"Difference of day length sensitivity";;;;;"INRA";"Arnaud Gauffretau, François-Xavier Oury";"21/09/2017";"EN";"Wheat";"WIPO:0010140";"Day sensitivity";"Physiological";;;;;;;;;"WIPO:0020047";"undefined";;;;;"WIPO:0030106";"°Cd";;;;;;;;;;;;;;;
"from SCGN";"WIPO:0000262";"DLS";"Day length sensitivity";;;;;"INRA";"Arnaud Gauffretau, François-Xavier Oury";"21/09/2017";"EN";"Wheat";"WIPO:0010140";"Day sensitivity";"Physiological";;;;;;;;;"WIPO:0020047";"undefined";;;;;"WIPO:0030106";"°Cd";;;;;;;;;;;;;;;
"from SCGN";"WIPO:0000263";"Ratio-SDLD";"Ratio of day length sensitivity";;;;;"INRA";"Arnaud Gauffretau, François-Xavier Oury";"21/09/2017";"EN";"Wheat";"WIPO:0010140";"Day sensitivity";"Physiological";;;;;;;;;"WIPO:0020047";"undefined";;;;;"WIPO:0030106";"°Cd";;;;;;;;;;;;;;;
"from SCGN";"WIPO:0000264";"PVS";"Partial vernalization sensitivity";;;;;"INRA";"Arnaud Gauffretau, François-Xavier Oury";"21/09/2017";"EN";"Wheat";"WIPO:0010141";"Partial vernalization sensitivity";"Physiological";;;;;;;;;"WIPO:0020047";"undefined";;;;;"WIPO:0030106";"°Cd";;;;;;;;;;;;;;;
"from SCGN";"WIPO:0000265";"RNL-LN-HN";"Difference between high level of N fertilizer (HN) and low level of N fertilizer (LN) values";;;;;"INRA";"Arnaud Gauffretau, François-Xavier Oury";"21/09/2017";"EN";"Wheat";"WIPO:0010142";"Fertilization level";"Agronomical";;;;;;;;;"WIPO:0020047";"undefined";;;;;"WIPO:0030107";"t ha-1 at 0 % humidity";;;;;;;;;;;;;;;
"from SCGN";"WIPO:0000266";"RNL-LN/HN";"Ratio between low level of N fertilizer (LN) and high level of N fertilizer (HN) values";;;;;"INRA";"Arnaud Gauffretau, François-Xavier Oury";"21/09/2017";"EN";"Wheat";"WIPO:0010142";"Fertilization level";"Agronomical";;;;;;;;;"WIPO:0020047";"undefined";;;;;"WIPO:0030107";"t ha-1 at 0 % humidity";;;;;;;;;;;;;;;
"from SCGN";"WIPO:0000267";"M-Consistency";"Dough quality : M-Consistency";;;;;"INRA";"Arnaud Gauffretau, François-Xavier Oury";"21/09/2017";"EN";"Wheat";"WIPO:0010143";"Mixograph-test";"Quality";;;;;;;;;"WIPO:0020047";"undefined";;;;;"UO:0000187";"%";"Numerical";;;;;;;;;;;;;;
"from SCGN";"WIPO:0000268";"M-Elasticity";"Dough quality : M-Elasticity";;;;;"INRA";"Arnaud Gauffretau, François-Xavier Oury";"21/09/2017";"EN";"Wheat";"WIPO:0010143";"Mixograph-test";"Quality";;;;;;;;;"WIPO:0020047";"undefined";;;;;"UO:0000187";"%";"Numerical";;;;;;;;;;;;;;
"from SCGN";"WIPO:0000269";"M-Peak Time";"Dough quality : M-Peak Time";;;;;"INRA";"Arnaud Gauffretau, François-Xavier Oury";"21/09/2017";"EN";"Wheat";"WIPO:0010143";"Mixograph-test";"Quality";;;;;;;;;"WIPO:0020047";"undefined";;;;;"WIPO:0030108";"min";;;;;;;;;;;;;;;
"from SCGN";"WIPO:0000270";"M-Strength";"Dough quality : M-Strength";;;;;"INRA";"Arnaud Gauffretau, François-Xavier Oury";"21/09/2017";"EN";"Wheat";"WIPO:0010143";"Mixograph-test";"Quality";;;;;;;;;"WIPO:0020047";"undefined";;;;;"WIPO:0030113";"unitless";;;;;;;;;;;;;;;
"From WIPO v1.4";"WIPO:0000272";"PlantEstablishment";"Proportion of germinated plants in the plot (expected= 60 plants)";;"Z11  (First leaf emerged)";;;"INRA";"Jacques Le Gouis";"15/06/2016";"EN";"Wheat";"WIPO:0010059";"Plants per area";"Quality";;;;;;;;;"WIPO:0020047";"undefined";;;;;"WIPO:0030109";"0 to 3 note";"Ordinal";;0;3;;"0: none or almost none germinated seeds";"1: less then 50% of germinated seeds";"2: more then 50% of germinated seeds";"3: all or almost all germinated seeds";;;;;;
"From WIPO v1.4";"WIPO:0000273";"AwnLength ";"Awnedness length";"Varietal characterization and evaluation";"Grain development";;"http://www.cropontology.org/rdf/CO_321:0000026";"ICARDA";"RPS Verma";"15/06/2016";"EN";"Wheat";"WIPO:0010102";"Awnedness";"Morphological";;;;;;;;;"WIPO:0020043";"Awns length - Method";"Measurement";"Measured in centimeters from the tip of the spike up to the tip of the awns and classified as  1. Short, 2. Medium, 3.Long";;;"UO:0000015";"cm";"Numerical";;;;;;;;;;;;;;
"From WIPO v1.4";"WIPO:0000274";"AwnTexture";"Awnedness roughness";"Varietal characterization";"Grain development";;"http://www.cropontology.org/rdf/CO_323:0000108";"ICARDA";"RPS Verma";"15/06/2016";"EN";"Wheat";"WIPO:0010102";"Awnedness";"Morphological";;;;;;;;;"WIPO:0020044";"Awns texture - Method";"Measurement";"The touch feeling on awns 1. Smooth, 2. semi-smooth, 3.rough (serrated)";;;"WIPO:0030110";"Categorical";"Ordinal";;;;;"1= Smooth";"2= Semi smooth";"3= Rough (Serrated)";;;;;;;
"From WIPO v1.4";"WIPO:0000275";"LeafCarbonIsotopeDiscrimination";"Leaf Carbon isotope discrimination";;;;"http://www.cropontology.org/rdf/CO_321:0000196";"INRA";"Jacques Le Gouis";"15/06/2016";"EN";"Wheat";"WIPO:0010086";"Stem water soluble carbohydrate";"Physiological";"Leaves carbon isotope discrimination can be measured in the leaves during early canopy development in well irrigated trials, in which case genotypic effects will be related mainly to transpiration efficiency.";;;;"leaf";"Carbon isotope discrimination";;"http://www.cropontology.org/rdf/CO_321:0000196";"WIPO:0020045";"CID determination";"Measurement";"Proceed following the protocol for sampling of grains or leaves for CID in Chapter 6 in Pask et al., 2012. Mass spectrometers generate differential values of stable carbon isotope composition (?13C), expressed negative values in parts per thousand (?) (Farquhar et al., 1989): ?13C (?) = [(Rsample/Rstandard)?1] ?1000. Where: the ratio of heavy to light isotope (R = 13C/12C) for the sample is in comparison to Peedee Belemnite (PDB) carbonate (limestone) standard. Following Farquhar et al. (1989) ? rather than using carbon isotope composition values (?13C), positive values for CID (?13C) can be calculated for easier statistical analysis as: ?13C = [(?a-?p)]/[1 + (?p/1000)]";;"Pask et al., 2012 (Ch. 6); Reynolds et al., 2001 (Ch. 5)";"WIPO:0030112";"delta 13C";"Numerical";"2.0";;;"http://www.cropontology.org/rdf/CO_321:0000433";;;;;;;;;;
"From WIPO v1.4";"WIPO:0000276";"CarbonContent";"Carbon content";;;;;"INRA";"Jacques Le Gouis";"15/06/2016";"EN";"Wheat";"WIPO:0010086";"Stem water soluble carbohydrate";"Physiological";;;;;;;;;"WIPO:0020047";"undefined";;;;;"WIPO:0030113";"unitless";;;;;;;;;;;;;;;
"From WIPO v1.4";"WIPO:0000277";"FruitingEfficiency ";"Grain/spike weight ratio";;;;;"UNIMI";"Laura Rossini";"15/06/2016";"EN";"Wheat";"WIPO:0010148";"Fruiting efficiency ";"Quality";"Number of grains / spike weight ratio";;;;;;;;"WIPO:0020047";"undefined";;;;;"UO:0000187";"%";"Numerical";;;;;;;;;;;;;;
"From WIPO v1.4";"WIPO:0000278";"PeduncleLength";"The length of the peduncle below the spike";"Plant descriptor for varietal characteristics";"After complete heading";;"http://www.cropontology.org/rdf/CO_323:0000069";"ICARDA";"RPS Verma";"15/06/2016";"EN";"Wheat";"WIPO:0010149";"Peduncle Length";"Morphological";"Plant descriptor for varietal characteristics";;;;;;;"http://www.cropontology.org/rdf/CO_323:0000069";"WIPO:0020046";"Peduncle Length - Method";;"Length of the upper internode is measured in cm from bottom (final node) to base of the main spike and classified as 1. Small, 2. Medium, 3.Long";;;"WIPO:0030113";"unitless";;;;;;;;;;;;;;;
"From WIPO v1.4";"WIPO:0000279";"Picture";"Picture of the accession/field";;;;;"INRA";"Jacques Le Gouis";"15/06/2016";"EN";"Wheat";"WIPO:0010150";"Photo";"Other";"Name of the file or archive where photo(s) of the accession/field can be found";;;;;;;;"WIPO:0020047";"undefined";;;;;"WIPO:0030113";"unitless";;;;;;;;;;;;;;;
"From WIPO v1.4";"WIPO:0000280";"YR-SCORE_%";"Yellow rust %, Susceptibility to stripe rust";;;;;"INRA";"Jacques Le Gouis";"15/06/2016";"EN";"Wheat";"WIPO:0010065";"Disease score Yellow Rust";"Biotic stress";;;;;;;;;"WIPO:0020047";"undefined";;;;;"UO:0000187";"%";"Numerical";;;;;;;;;;;;;;
"From WIPO v1.5";"WIPO:0000284";"Peduncle Extrusion";"Peduncle Extrusion";;;;;"INRA";"Jacques Le Gouis";"15/06/2016";"EN";"Wheat";"WIPO:0010152";"Peduncle Extrusion";"Morphological";;;;;;;;;"WIPO:0020047";"undefined";;;;;"WIPO:0030113";"unitless";;;;;;;;;;;;;;;
"From WIPO v1.5";"WIPO:0000285";"Row Type";"Two or six row spikes";;;;;"INRA";"Jacques Le Gouis";"15/06/2016";"EN";"Wheat";"WIPO:0010153";"Spike type";"Morphological";;;;;;;;;"WIPO:0020047";"undefined";;;;;"WIPO:0030113";"unitless";;;;;;;;;;;;;;;
"From WIPO v1.5";"WIPO:0000286";"leaf length";"Length of the leaf";;;;;"INRA";"Jacques Le Gouis";"15/06/2016";"EN";"Wheat";"CO_321:0000044";"Length of the leaf";"Morphological";;;;;;;;;"WIPO:0020047";"undefined";;;;;"UO:0000015";"cm";"Numerical";;;;;;;;;;;;;;
"From WIPO v1.5";"WIPO:0000287";"leaf width";"Width of the leaf";;;;;"INRA";"Jacques Le Gouis";"15/06/2016";"EN";"Wheat";"CO_321:0000049";"Width of the leaf";"Morphological";;;;;;;;;"WIPO:0020047";"undefined";;;;;"UO:0000015";"cm";"Numerical";;;;;;;;;;;;;;
"Asso";"WIPO:0000289";"Rsquare";"R square";;;;;"INRA";"Jacques Le Gouis";"28/08/2018";"EN";"Wheat";"WIPO:0010003";"Grain area";"Morphological";;;;;;;;;"WIPO:0020047";"undefined";;;;;"WIPO:0030113";"unitless";;;;;;;;;;;;;;;
"Asso";"WIPO:0000290";"SEN-AUC";"Leaf senescence";;;;;"INRA";"Jacques Le Gouis";"28/08/2018";"EN";"Wheat";"WIPO:0010000";"Leaf senescence";"Morphological";;;;;;;;;"WIPO:0020047";"undefined";;;;;"WIPO:0030113";"unitless";;;;;;;;;;;;;;;
"Asso";"WIPO:0000291";"SEN-XPI";"Leaf senescence";;;;;"INRA";"Jacques Le Gouis";"28/08/2018";"EN";"Wheat";"WIPO:0010000";"Leaf senescence";"Morphological";;;;;;;;;"WIPO:0020047";"undefined";;;;;"WIPO:0030113";"unitless";;;;;;;;;;;;;;;
"Asso";"WIPO:0000292";"SEN-YPI";"Leaf senescence";;;;;"INRA";"Jacques Le Gouis";"28/08/2018";"EN";"Wheat";"WIPO:0010000";"Leaf senescence";"Morphological";;;;;;;;;"WIPO:0020047";"undefined";;;;;"WIPO:0030113";"unitless";;;;;;;;;;;;;;;
"Asso";"WIPO:0000293";"FUS-SPK.500DDz65_score";"Spikes with fusarium at 500DD post fusarium inoculation (INOC+500DD)";;"INOC+500DD";;;"INRA";"Jacques Le Gouis";"04/12/2018";"EN";"Wheat";"WIPO:0010095";"Spikes with fusarium post fusarium inoculation";"Biotic stress";;;;;;;;;"WIPO:0020047";"undefined";;;;;"WIPO:0030006";"1 to 9 note";"Ordinal";;1;9;;" 1 = Resistant";"9 = susceptible";;;;;;;;
"Asso";"WIPO:0000294";"FUS-SPK.500DDz65cor_score";"Spikes with fusarium at 500DD post fusarium inoculation (INOC+500DD)";;"INOC+500DD";;;"INRA";"Jacques Le Gouis";"04/12/2018";"EN";"Wheat";"WIPO:0010095";"Spikes with fusarium post fusarium inoculation";"Biotic stress";;;;;;;;;"WIPO:0020047";"undefined";;;;;"WIPO:0030006";"1 to 9 note";"Ordinal";;1;9;;" 1 = Resistant";"9 = susceptible";;;;;;;;
"Asso";"WIPO:0000295";"GY.bot_g";"Grain dry matter per sample";;;;;"INRA";"Jacques Le Gouis";"28/08/2018";"EN";"Wheat";"WIPO:0010019";"Grain yield";"Agronomical";;;;;;;;;"WIPO:0020047";"undefined";;;;;"WIPO:0030113";"unitless";;;;;;;;;;;;;;;
"From WIPO v1.5";"WIPO:0000296";"STR-DM.Z92_t/ha";"Straw dry matter at harvest (Z92)";;"Z92 (Grain hard, not dented by thumbnail)";;;"INRA";"Jacques Le Gouis";"28/08/2018";"EN";"Wheat";"WIPO:0010069";"Straw dry matter at harvest ";"Quality";;;;;;;;;"WIPO:0020000";"Direct measure";;"Mesure directe # ModeOp Arvalis = Sur bottillon de 15 épis ";"Straw = (stem + leaf + shaff)";;"WIPO:0030111";"t";"Numerical";;;;;;;;;;;;;;
"From WIPO v1.5";"WIPO:0000297";"AGDM.Z92_t/ha";"Above-ground dry matter per area at harvest";;"Z92 (Grain hard, not dented by thumbnail)";;;"INRA";"Jacques Le Gouis";"28/08/2018";"EN";"Wheat";"WIPO:0010004";"Above-ground dry matter per area";"Agronomical";;;;;;;;;"WIPO:0020047";"undefined";;;;;"WIPO:0030111";"t";"Numerical";;;;;;;;;;;;;;
"GnpMap";"WIPO:0000298";"FRUL";"Fructose";"Genetic mapping";;;;"INRA";"Dorothée Charruaud";"05/08/2020";"EN";"Wheat";"WIPO:0010154";"Leaf fructose content";"Agronomical";"teneur en fructose des feuilles";"yield";;;;;;;"WIPO:0020056";"Leaf fructose content Measurement";"Measurement";;"FRUL_ARE-HD_MOCC_01_N+";"mean";"WIPO:0030122";"nmol/mg";;;;;;;;;;;;;;;
"GnpMap";"WIPO:0000299";"LA";"SurfMoyFeuil";"Genetic mapping";;;;"INRA";"Dorothée Charruaud";"05/08/2020";"EN";"Wheat";"WIPO:0010155";"Leaf area";"Agronomical";"surface des feuilles";"yield";;;;;;;"WIPO:0020053";"Leaf area Measurement";"Measurement";;"LA_ARE-HD_GRRH_04_N-,cLA_ARE-HD_GRRH_04_N-";"covariance, mean";"WIPO:0030116";"cm²/pl";;;;;;;;;;;;;;;
"GnpMap";"WIPO:0000300";"AAL";"AAL";"Genetic mapping";;;;"INRA";"Dorothée Charruaud";"05/08/2020";"EN";"Wheat";"WIPO:0010156";"Leaf aminoacid content";"Agronomical";"teneur en acides amines des feuilles";"yield";;;;;;;"WIPO:0020052";"Leaf aminoacid content Measurement";"Measurement";;"AAL_ARE-HD_MOCC_01_N+";"mean";"WIPO:0030122";"nmol/mg";;;;;;;;;;;;;;;
