observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,water_regime,season,ASI_D20deg(MIPO:0000026),ASI_D20deg(MIPO:0000026).date,FFLW_D20deg(MIPO:0000024),FFLW_D20deg(MIPO:0000024).date,GN(MIPO:0000017),GN(MIPO:0000017).date,GY_Adj_tha(MIPO:0000018),GY_Adj_tha(MIPO:0000018).date,KW(MIPO:0000012),KW(MIPO:0000012).date,MFLW_D20deg(MIPO:0000025),MFLW_D20deg(MIPO:0000025).date,ear_height(MIPO:0000007),ear_height(MIPO:0000007).date,plant_height(MIPO:0000006),plant_height(MIPO:0000006).date,tassel_height(MIPO:0000014),tassel_height(MIPO:0000014).date
401098,3361423,Mur13,KWS Murony 2013,127625,https://doi.org/10.15454/EQYTRS,PHT77_H,REPLICATE>BLOCK>PLOT,,,401098,,24,7,"REPLICATE>BLOCK>PLOT:401098,REPLICATE>BLOCK:12,REPLICATE:1,REPLICATE:2,REPLICATE:2,REPLICATE:3",watered,2013,"-4,29561869880",,"64,8642032369",,3424.8651269928,,8.0667212526,,235.5339831933,,"60,5685845381",,143,,268,,NA,
400832,3361150,Mur13,KWS Murony 2013,127625,https://doi.org/10.15454/EQYTRS,PHT77_H,REPLICATE>BLOCK>PLOT,,,400832,,12,21,"REPLICATE>BLOCK>PLOT:400832,REPLICATE>BLOCK:36,REPLICATE:1",watered,2013,"-1,37904880810",,"66,243252045",,3139.7174254317,,7.6855476203,,244.784691708,,"64,8642032369",,120,,253,,NA,
402343,3360292,Mur13,KWS Murony 2013,127625,https://doi.org/10.15454/EQYTRS,PHT77_H,REPLICATE>BLOCK>PLOT,,,402343,,9,27,"REPLICATE>BLOCK>PLOT:402343,REPLICATE>BLOCK:9,REPLICATE:3",rainfed,2013,"-4,29561869880",,"64,8642032369",,3030.0431638224,,7.7501882846,,255.7781478857,,"60,5685845381",,135,,265,,NA,
402587,3360563,Mur13,KWS Murony 2013,127625,https://doi.org/10.15454/EQYTRS,PHT77_H,REPLICATE>BLOCK>PLOT,,,402587,,19,1,"REPLICATE>BLOCK>PLOT:402587,REPLICATE>BLOCK:19,REPLICATE:1",rainfed,2013,"-4,29561869880",,"64,8642032369",,2902.7576197388,,7.8941538462,,271.9536,,"60,5685845381",,128,,245,,NA,
402498,3360465,Mur13,KWS Murony 2013,127428,https://doi.org/10.15454/4W8MAU,B104_H,REPLICATE>BLOCK>PLOT,,,402498,,15,20,"REPLICATE>BLOCK>PLOT:402498,REPLICATE>BLOCK:15,REPLICATE:3",rainfed,2013,"-7,16443343740",,"67,7330179755",,2576.8592932772,,7.3846133655,,286.5741790692,,"60,5685845381",,108,,243,,NA,
401037,3361363,Mur13,KWS Murony 2013,127404,https://doi.org/10.15454/YLEAQG,Oh33_H,REPLICATE>BLOCK>PLOT,,,401037,,21,17,"REPLICATE>BLOCK>PLOT:401037,REPLICATE>BLOCK:33,REPLICATE:2",watered,2013,"-4,29561869880",,"64,8642032369",,2473.3637747336,,6.032194211,,243.8862521008,,"60,5685845381",,130,,253,,NA,
400911,3361219,Mur13,KWS Murony 2013,127626,https://doi.org/10.15454/WLFPQC,PHV63_H,REPLICATE>BLOCK>PLOT,,,400911,,15,17,"REPLICATE>BLOCK>PLOT:400911,REPLICATE>BLOCK:27,REPLICATE:2",watered,2013,"-3,03456190390",,"69,2778139489",,4046.190216403,,9.5301529843,,235.5339831933,,"66,243252045",,138,,263,,NA,
400651,3360922,Mur13,KWS Murony 2013,127626,https://doi.org/10.15454/WLFPQC,PHV63_H,REPLICATE>BLOCK>PLOT,,,400651,,3,9,"REPLICATE>BLOCK>PLOT:400651,REPLICATE>BLOCK:15,REPLICATE:1",watered,2013,"-2,86881473860",,"67,7330179755",,3844.6751249519,,9.2511221356,,240.621686747,,"64,8642032369",,125,,237,,NA,
402561,3360535,Mur13,KWS Murony 2013,127626,https://doi.org/10.15454/WLFPQC,PHV63_H,REPLICATE>BLOCK>PLOT,,,402561,,18,26,"REPLICATE>BLOCK>PLOT:402561,REPLICATE>BLOCK:18,REPLICATE:3",rainfed,2013,"-2,86881473860",,"67,7330179755",,3737.3450657584,,8.6641255823,,231.8256791873,,"64,8642032369",,145,,258,,NA,
402197,3360130,Mur13,KWS Murony 2013,127626,https://doi.org/10.15454/WLFPQC,PHV63_H,REPLICATE>BLOCK>PLOT,,,402197,,4,12,"REPLICATE>BLOCK>PLOT:402197,REPLICATE>BLOCK:4,REPLICATE:2",rainfed,2013,"-4,33174040150",,"67,7330179755",,2048.9404051048,,5.1066282883,,249.2326411999,,"63,401277574",,133,,225,,NA,
402320,3360267,Mur13,KWS Murony 2013,127626,https://doi.org/10.15454/WLFPQC,PHV63_H,REPLICATE>BLOCK>PLOT,,,402320,,9,4,"REPLICATE>BLOCK>PLOT:402320,REPLICATE>BLOCK:9,REPLICATE:1",rainfed,2013,"-2,86881473860",,"67,7330179755",,3233.564070066,,7.2728547009,,224.9176,,"64,8642032369",,148,,255,,NA,
402357,3360308,Mur13,KWS Murony 2013,127428,https://doi.org/10.15454/4W8MAU,B104_H,REPLICATE>BLOCK>PLOT,,,402357,,10,14,"REPLICATE>BLOCK>PLOT:402357,REPLICATE>BLOCK:10,REPLICATE:2",rainfed,2013,"-7,33170336750",,"69,2778139489",,2526.9416573764,,7.4410869343,,294.4700726506,,"61,9461105814",,115,,240,,NA,
