observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,water_regime,season,L10(MIPO:0000020),L10(MIPO:0000020).date,L11(MIPO:0000020),L11(MIPO:0000020).date,L12(MIPO:0000020),L12(MIPO:0000020).date,L13(MIPO:0000020),L13(MIPO:0000020).date,L14(MIPO:0000020),L14(MIPO:0000020).date,L15(MIPO:0000020),L15(MIPO:0000020).date,L8(MIPO:0000020),L8(MIPO:0000020).date,L9(MIPO:0000020),L9(MIPO:0000020).date,TnbL(MIPO:0000019),TnbL(MIPO:0000019).date,W10(MIPO:0000021),W10(MIPO:0000021).date,W11(MIPO:0000021),W11(MIPO:0000021).date,W12(MIPO:0000021),W12(MIPO:0000021).date,W13(MIPO:0000021),W13(MIPO:0000021).date,W14(MIPO:0000021),W14(MIPO:0000021).date,W15(MIPO:0000021),W15(MIPO:0000021).date,W8(MIPO:0000021),W8(MIPO:0000021).date,W9(MIPO:0000021),W9(MIPO:0000021).date
7,3342127,Mar13,MTA_ATK Martonvasar 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,7,,,"REPLICATE>BLOCK>PLOT>PLANT:7,REPLICATE>BLOCK>PLOT:589,REPLICATE>BLOCK:13,REPLICATE:1,REPLICATE:2,REPLICATE:1,REPLICATE:3",rainfed,2013,72,,,,80,,,,74,,,,,,,,17,,7,,,,8,,,,9,,,,,,,
10,3342116,Mar13,MTA_ATK Martonvasar 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,10,,,"REPLICATE>BLOCK>PLOT>PLANT:10,REPLICATE>BLOCK>PLOT:397,REPLICATE>BLOCK:21,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,2013,74,,,,89,,,,79,,,,,,,,17,,9,,,,10,,,,9,,,,,,,
8,3342114,Mar13,MTA_ATK Martonvasar 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,8,,,"REPLICATE>BLOCK>PLOT>PLANT:8,REPLICATE>BLOCK>PLOT:397,REPLICATE>BLOCK:21,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,2013,87,,,,84,,,,85,,,,,,,,18,,8.5,,,,10.5,,,,10,,,,,,,
3,3342109,Mar13,MTA_ATK Martonvasar 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,3,,,"REPLICATE>BLOCK>PLOT>PLANT:3,REPLICATE>BLOCK>PLOT:397,REPLICATE>BLOCK:21,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,2013,70,,,,85,,,,76,,,,,,,,17,,8,,,,9.5,,,,9,,,,,,,
6,3342112,Mar13,MTA_ATK Martonvasar 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,6,,,"REPLICATE>BLOCK>PLOT>PLANT:6,REPLICATE>BLOCK>PLOT:397,REPLICATE>BLOCK:21,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,2013,85,,,,86,,,,87,,,,,,,,17,,7,,,,9.4,,,,8.2,,,,,,,
9,3342115,Mar13,MTA_ATK Martonvasar 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,9,,,"REPLICATE>BLOCK>PLOT>PLANT:9,REPLICATE>BLOCK>PLOT:397,REPLICATE>BLOCK:21,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,2013,86,,,,97,,,,82,,,,,,,,18,,9.5,,,,9.7,,,,7.5,,,,,,,
5,3342111,Mar13,MTA_ATK Martonvasar 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,5,,,"REPLICATE>BLOCK>PLOT>PLANT:5,REPLICATE>BLOCK>PLOT:397,REPLICATE>BLOCK:21,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,2013,83,,,,90,,,,73,,,,,,,,18,,8.4,,,,8.6,,,,8.2,,,,,,,
2,3342108,Mar13,MTA_ATK Martonvasar 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,2,,,"REPLICATE>BLOCK>PLOT>PLANT:2,REPLICATE>BLOCK>PLOT:397,REPLICATE>BLOCK:21,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,2013,,,89,,,,85,,,,,,,,74,,16,,,,9.8,,,,9.5,,,,,,,,9,
4,3342110,Mar13,MTA_ATK Martonvasar 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,4,,,"REPLICATE>BLOCK>PLOT>PLANT:4,REPLICATE>BLOCK>PLOT:397,REPLICATE>BLOCK:21,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,2013,76,,,,92,,,,79,,,,,,,,18,,7.8,,,,8.5,,,,7.5,,,,,,,
1,3342104,Mar13,MTA_ATK Martonvasar 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,1,,,"REPLICATE>BLOCK>PLOT>PLANT:1,REPLICATE>BLOCK>PLOT:397,REPLICATE>BLOCK:21,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,2013,100,,,,85,,,,,,,,76,,,,16,,9.5,,,,8.5,,,,,,,,7,,,
2,3342136,Mar13,MTA_ATK Martonvasar 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,2,,,"REPLICATE>BLOCK>PLOT>PLANT:2,REPLICATE>BLOCK>PLOT:905,REPLICATE>BLOCK:22,REPLICATE:1,REPLICATE:2,REPLICATE:2,REPLICATE:3",rainfed,2013,73,,,,88,,,,76,,,,,,,,17,,6.5,,,,8,,,,8.2,,,,,,,
7,3342113,Mar13,MTA_ATK Martonvasar 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,7,,,"REPLICATE>BLOCK>PLOT>PLANT:7,REPLICATE>BLOCK>PLOT:397,REPLICATE>BLOCK:21,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,2013,87,,,,89,,,,91,,,,,,,,17,,8.2,,,,9,,,,9.4,,,,,,,
5,3342138,Mar13,MTA_ATK Martonvasar 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,5,,,"REPLICATE>BLOCK>PLOT>PLANT:5,REPLICATE>BLOCK>PLOT:905,REPLICATE>BLOCK:22,REPLICATE:1,REPLICATE:2,REPLICATE:2,REPLICATE:3",rainfed,2013,70,,,,82,,,,75,,,,,,,,17,,7.5,,,,8.2,,,,7,,,,,,,
10,3342102,Mar13,MTA_ATK Martonvasar 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,10,,,"REPLICATE>BLOCK>PLOT>PLANT:10,REPLICATE>BLOCK>PLOT:3,REPLICATE>BLOCK:1,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,2013,69,,,,80,,,,75,,,,,,,,16,,6.5,,,,7.5,,,,7.5,,,,,,,
9,3342141,Mar13,MTA_ATK Martonvasar 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,9,,,"REPLICATE>BLOCK>PLOT>PLANT:9,REPLICATE>BLOCK>PLOT:905,REPLICATE>BLOCK:22,REPLICATE:1,REPLICATE:2,REPLICATE:2,REPLICATE:3",rainfed,2013,82,,,,82,,,,72,,,,,,,,17,,6,,,,7.5,,,,7.8,,,,,,,
6,3342134,Mar13,MTA_ATK Martonvasar 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,6,,,"REPLICATE>BLOCK>PLOT>PLANT:6,REPLICATE>BLOCK>PLOT:905,REPLICATE>BLOCK:22,REPLICATE:1,REPLICATE:2,REPLICATE:2,REPLICATE:3",rainfed,2013,,,91,,,,79,,,,,,,,79,,16,,,,8.8,,,,8.7,,,,,,,,7.2,
6,3342150,Mar13,MTA_ATK Martonvasar 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,6,,,"REPLICATE>BLOCK>PLOT>PLANT:6,REPLICATE>BLOCK>PLOT:1022,REPLICATE>BLOCK:2,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,2013,,,84,,,,79,,,,,,,,80,,16,,,,7.5,,,,7.8,,,,,,,,7.2,
8,3342098,Mar13,MTA_ATK Martonvasar 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,8,,,"REPLICATE>BLOCK>PLOT>PLANT:8,REPLICATE>BLOCK>PLOT:3,REPLICATE>BLOCK:1,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,2013,,,83,,,,81,,,,,,,,74,,17,,,,10,,,,10.2,,,,,,,,8,
3,3342130,Mar13,MTA_ATK Martonvasar 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,3,,,"REPLICATE>BLOCK>PLOT>PLANT:3,REPLICATE>BLOCK>PLOT:905,REPLICATE>BLOCK:22,REPLICATE:1,REPLICATE:2,REPLICATE:2,REPLICATE:3",rainfed,2013,,,78,,,,72,,,,,,,,73,,16,,,,7.8,,,,7,,,,,,,,6.8,
3,3342103,Mar13,MTA_ATK Martonvasar 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,3,,,"REPLICATE>BLOCK>PLOT>PLANT:3,REPLICATE>BLOCK>PLOT:3,REPLICATE>BLOCK:1,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,2013,,,85,,,,91,,,,76,,,,,,17,,,,9,,,,9,,,,8.5,,,,,
8,3342140,Mar13,MTA_ATK Martonvasar 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,8,,,"REPLICATE>BLOCK>PLOT>PLANT:8,REPLICATE>BLOCK>PLOT:905,REPLICATE>BLOCK:22,REPLICATE:1,REPLICATE:2,REPLICATE:2,REPLICATE:3",rainfed,2013,72,,,,89,,,,75,,,,,,,,17,,7.5,,,,8.3,,,,7.2,,,,,,,
6,3342097,Mar13,MTA_ATK Martonvasar 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,6,,,"REPLICATE>BLOCK>PLOT>PLANT:6,REPLICATE>BLOCK>PLOT:3,REPLICATE>BLOCK:1,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,2013,,,84,,,,82,,,,,,,,74,,16,,,,10.5,,,,10.5,,,,,,,,8,
9,3342101,Mar13,MTA_ATK Martonvasar 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,9,,,"REPLICATE>BLOCK>PLOT>PLANT:9,REPLICATE>BLOCK>PLOT:3,REPLICATE>BLOCK:1,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,2013,70,,,,87,,,,78,,,,,,,,17,,7.5,,,,8,,,,8.5,,,,,,,
7,3342153,Mar13,MTA_ATK Martonvasar 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,7,,,"REPLICATE>BLOCK>PLOT>PLANT:7,REPLICATE>BLOCK>PLOT:1022,REPLICATE>BLOCK:2,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,2013,71,,,,81,,,,69,,,,,,,,18,,6.5,,,,7,,,,7.5,,,,,,,
2,3342099,Mar13,MTA_ATK Martonvasar 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,2,,,"REPLICATE>BLOCK>PLOT>PLANT:2,REPLICATE>BLOCK>PLOT:3,REPLICATE>BLOCK:1,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,2013,62,,,,74,,,,79,,,,,,,,17,,8,,,,10,,,,9,,,,,,,
4,3342149,Mar13,MTA_ATK Martonvasar 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,4,,,"REPLICATE>BLOCK>PLOT>PLANT:4,REPLICATE>BLOCK>PLOT:1022,REPLICATE>BLOCK:2,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,2013,,,87,,,,71,,,,,,,,70,,16,,,,8,,,,8.5,,,,,,,,7.8,
5,3342096,Mar13,MTA_ATK Martonvasar 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,5,,,"REPLICATE>BLOCK>PLOT>PLANT:5,REPLICATE>BLOCK>PLOT:3,REPLICATE>BLOCK:1,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,2013,,,87,,,,83,,,,,,,,71,,17,,,,9.5,,,,9.5,,,,,,,,7,
2,3342147,Mar13,MTA_ATK Martonvasar 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,2,,,"REPLICATE>BLOCK>PLOT>PLANT:2,REPLICATE>BLOCK>PLOT:1022,REPLICATE>BLOCK:2,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,2013,,,81,,,,77,,,,,,,,82,,16,,,,8.2,,,,8,,,,,,,,7.8,
4,3342095,Mar13,MTA_ATK Martonvasar 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,4,,,"REPLICATE>BLOCK>PLOT>PLANT:4,REPLICATE>BLOCK>PLOT:3,REPLICATE>BLOCK:1,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,2013,,,76,,,,86,,,,,,,,70,,17,,,,8.5,,,,7.5,,,,,,,,8.4,
10,3342155,Mar13,MTA_ATK Martonvasar 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,10,,,"REPLICATE>BLOCK>PLOT>PLANT:10,REPLICATE>BLOCK>PLOT:1022,REPLICATE>BLOCK:2,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,2013,75,,,,77,,,,66,,,,,,,,17,,7,,,,7.5,,,,8,,,,,,,
5,3342152,Mar13,MTA_ATK Martonvasar 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,5,,,"REPLICATE>BLOCK>PLOT>PLANT:5,REPLICATE>BLOCK>PLOT:1022,REPLICATE>BLOCK:2,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,2013,76,,,,84,,,,68,,,,,,,,17,,7.8,,,,8.2,,,,8,,,,,,,
1,3342091,Mar13,MTA_ATK Martonvasar 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,1,,,"REPLICATE>BLOCK>PLOT>PLANT:1,REPLICATE>BLOCK>PLOT:3,REPLICATE>BLOCK:1,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,2013,,,92,,,,81,,,,,,,,78,,18,,,,8.5,,,,8,,,,,,,,7.5,
7,3342100,Mar13,MTA_ATK Martonvasar 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,7,,,"REPLICATE>BLOCK>PLOT>PLANT:7,REPLICATE>BLOCK>PLOT:3,REPLICATE>BLOCK:1,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,2013,73,,,,88,,,,85,,,,,,,,17,,7.5,,,,9.5,,,,10,,,,,,,
3,3342148,Mar13,MTA_ATK Martonvasar 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,3,,,"REPLICATE>BLOCK>PLOT>PLANT:3,REPLICATE>BLOCK>PLOT:1022,REPLICATE>BLOCK:2,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,2013,,,77,,,,71,,,,,,,,70,,16,,,,7.8,,,,8,,,,,,,,7.5,
8,3342151,Mar13,MTA_ATK Martonvasar 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,8,,,"REPLICATE>BLOCK>PLOT>PLANT:8,REPLICATE>BLOCK>PLOT:1022,REPLICATE>BLOCK:2,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,2013,,,75,,,,72,,,,,,,,76,,17,,,,7.2,,,,7.2,,,,,,,,7.7,
9,3342154,Mar13,MTA_ATK Martonvasar 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,9,,,"REPLICATE>BLOCK>PLOT>PLANT:9,REPLICATE>BLOCK>PLOT:1022,REPLICATE>BLOCK:2,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,2013,78,,,,74,,,,55,,,,,,,,17,,6.5,,,,6.5,,,,6,,,,,,,
1,3342143,Mar13,MTA_ATK Martonvasar 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,1,,,"REPLICATE>BLOCK>PLOT>PLANT:1,REPLICATE>BLOCK>PLOT:1022,REPLICATE>BLOCK:2,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,2013,76,,,,77,,,,,,,,72,,,,15,,8.2,,,,8,,,,,,,,7.2,,,
10,3342142,Mar13,MTA_ATK Martonvasar 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,10,,,"REPLICATE>BLOCK>PLOT>PLANT:10,REPLICATE>BLOCK>PLOT:905,REPLICATE>BLOCK:22,REPLICATE:1,REPLICATE:2,REPLICATE:2,REPLICATE:3",rainfed,2013,,,78,,,,84,,,,79,,,,,,18,,,,7,,,,8,,,,7.8,,,,,
