observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,prec(CO_321:1000219),prec(CO_321:1000219).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
AO08112itkt,2831608,BTH_Clermont-Ferrand_2008_SetB1,BTH_Clermont-Ferrand_2008_SetB1,27769,https://doi.org/10.15454/IR0FDN,AO08112,VIRTUAL_TRIAL,,,,,,,,treated,2008,1,,135,,"72,6",,"103,2",,"89,6",
CF07037itkt,2831611,BTH_Clermont-Ferrand_2008_SetB1,BTH_Clermont-Ferrand_2008_SetB1,49370,gnpis_pui:holding-921_taxon-4898_accession-49370,CF07037,VIRTUAL_TRIAL,,,,,,,,treated,2008,3,,135,,"72,9",,"103,2",,"89,5",
DI08003itkt,2831618,BTH_Clermont-Ferrand_2008_SetB1,BTH_Clermont-Ferrand_2008_SetB1,48341,gnpis_pui:holding-921_taxon-4898_accession-48341,DI08003,VIRTUAL_TRIAL,,,,,,,,treated,2008,1,,133,,73,,"92,3",,"80,1",
CF07002itkt,2831630,BTH_Clermont-Ferrand_2008_SetB1,BTH_Clermont-Ferrand_2008_SetB1,27786,https://doi.org/10.15454/I30U5V,CF07002,VIRTUAL_TRIAL,,,,,,,,treated,2008,1,,136,,"75,7",,"104,7",,"90,9",
RE07005itkt,2831594,BTH_Clermont-Ferrand_2008_SetB1,BTH_Clermont-Ferrand_2008_SetB1,48692,gnpis_pui:holding-921_taxon-4898_accession-48692,RE07005,VIRTUAL_TRIAL,,,,,,,,treated,2008,1,,132,,"71,7",,84,,"72,9",
DI08004itkt,2831619,BTH_Clermont-Ferrand_2008_SetB1,BTH_Clermont-Ferrand_2008_SetB1,48504,gnpis_pui:holding-921_taxon-4898_accession-48504,DI08004,VIRTUAL_TRIAL,,,,,,,,treated,2008,1,,139,,"72,9",,"94,2",,"81,8",
CF07021itkt,2831628,BTH_Clermont-Ferrand_2008_SetB1,BTH_Clermont-Ferrand_2008_SetB1,27789,https://doi.org/10.15454/BTYEVM,CF07021,VIRTUAL_TRIAL,,,,,,,,treated,2008,3,,137,,"76,6",,"98,6",,"85,6",
CF07057itkt,2831613,BTH_Clermont-Ferrand_2008_SetB1,BTH_Clermont-Ferrand_2008_SetB1,48970,gnpis_pui:holding-921_taxon-4898_accession-48970,CF07057,VIRTUAL_TRIAL,,,,,,,,treated,2008,1,,133,,"75,2",,"97,8",,"84,9",
DI08002itkt,2831617,BTH_Clermont-Ferrand_2008_SetB1,BTH_Clermont-Ferrand_2008_SetB1,49435,gnpis_pui:holding-921_taxon-4898_accession-49435,DI08002,VIRTUAL_TRIAL,,,,,,,,treated,2008,1,,135,,"79,5",,"101,7",,"88,2",
AO08107itkt,2831625,BTH_Clermont-Ferrand_2008_SetB1,BTH_Clermont-Ferrand_2008_SetB1,27768,https://doi.org/10.15454/BQBT4V,AO08107,VIRTUAL_TRIAL,,,,,,,,treated,2008,1,,135,,"70,5",,"101,7",,"88,2",
RE07002itkt,2831626,BTH_Clermont-Ferrand_2008_SetB1,BTH_Clermont-Ferrand_2008_SetB1,48879,gnpis_pui:holding-921_taxon-4898_accession-48879,RE07002,VIRTUAL_TRIAL,,,,,,,,treated,2008,1,,133,,"73,7",,"86,7",,"75,3",
CF07018itkt,2831612,BTH_Clermont-Ferrand_2008_SetB1,BTH_Clermont-Ferrand_2008_SetB1,27788,https://doi.org/10.15454/72PHHY,CF07018,VIRTUAL_TRIAL,,,,,,,,treated,2008,3,,137,,"71,8",,"103,3",,"89,7",
Sankaraitkt,2831614,BTH_Clermont-Ferrand_2008_SetB1,BTH_Clermont-Ferrand_2008_SetB1,26123,https://doi.org/10.15454/R5VJW6,SANKARA,VIRTUAL_TRIAL,,,,,,,,treated,2008,3,,138,,"73,7",,"92,7",,"80,5",
RE07006itkt,2831624,BTH_Clermont-Ferrand_2008_SetB1,BTH_Clermont-Ferrand_2008_SetB1,48418,gnpis_pui:holding-921_taxon-4898_accession-48418,RE07006,VIRTUAL_TRIAL,,,,,,,,treated,2008,1,,130,,"77,4",,"94,9",,"82,3",
Toisondoritkt,2831607,BTH_Clermont-Ferrand_2008_SetB1,BTH_Clermont-Ferrand_2008_SetB1,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,VIRTUAL_TRIAL,,,,,,,,treated,2008,3,,135,,"71,2",,"101,3",,"87,9",
RE07019itkt,2831605,BTH_Clermont-Ferrand_2008_SetB1,BTH_Clermont-Ferrand_2008_SetB1,27305,https://doi.org/10.15454/OPZZGX,RE07019,VIRTUAL_TRIAL,,,,,,,,treated,2008,1,,137,,"76,9",,"97,9",,"84,9",
RE07012itkt,2831600,BTH_Clermont-Ferrand_2008_SetB1,BTH_Clermont-Ferrand_2008_SetB1,27269,https://doi.org/10.15454/N0JGJL,RE07012,VIRTUAL_TRIAL,,,,,,,,treated,2008,3,,133,,"77,1",,"99,5",,"86,4",
RE07017itkt,2831604,BTH_Clermont-Ferrand_2008_SetB1,BTH_Clermont-Ferrand_2008_SetB1,49619,gnpis_pui:holding-921_taxon-4898_accession-49619,RE07017,VIRTUAL_TRIAL,,,,,,,,treated,2008,3,,134,,"75,6",,"88,3",,"76,7",
RE07015itkt,2831602,BTH_Clermont-Ferrand_2008_SetB1,BTH_Clermont-Ferrand_2008_SetB1,48361,gnpis_pui:holding-921_taxon-4898_accession-48361,RE07015,VIRTUAL_TRIAL,,,,,,,,treated,2008,3,,138,,"69,1",,"76,2",,"66,1",
DI08007itkt,2831597,BTH_Clermont-Ferrand_2008_SetB1,BTH_Clermont-Ferrand_2008_SetB1,49257,gnpis_pui:holding-921_taxon-4898_accession-49257,DI08007,VIRTUAL_TRIAL,,,,,,,,treated,2008,1,,136,,"76,8",,"94,6",,"82,1",
EM07085itkt,2831598,BTH_Clermont-Ferrand_2008_SetB1,BTH_Clermont-Ferrand_2008_SetB1,49461,gnpis_pui:holding-921_taxon-4898_accession-49461,EM07085,VIRTUAL_TRIAL,,,,,,,,treated,2008,1,,133,,"74,7",,"86,6",,"75,2",
Premioitkt,2831595,BTH_Clermont-Ferrand_2008_SetB1,BTH_Clermont-Ferrand_2008_SetB1,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,treated,2008,3,,134,,"76,2",,"104,2",,"90,4",
Grapeliitkt,2831606,BTH_Clermont-Ferrand_2008_SetB1,BTH_Clermont-Ferrand_2008_SetB1,27821,https://doi.org/10.15454/4TFKM0,GRAPELI,VIRTUAL_TRIAL,,,,,,,,treated,2008,3,,137,,"76,9",,"103,1",,"89,5",
Apacheitkt,2831610,BTH_Clermont-Ferrand_2008_SetB1,BTH_Clermont-Ferrand_2008_SetB1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2008,1,,132,,"77,4",,"108,3",,94,
RE07013itkt,2831601,BTH_Clermont-Ferrand_2008_SetB1,BTH_Clermont-Ferrand_2008_SetB1,48745,gnpis_pui:holding-921_taxon-4898_accession-48745,RE07013,VIRTUAL_TRIAL,,,,,,,,treated,2008,3,,136,,"75,2",,87,,"75,5",
RE07011itkt,2831599,BTH_Clermont-Ferrand_2008_SetB1,BTH_Clermont-Ferrand_2008_SetB1,48617,gnpis_pui:holding-921_taxon-4898_accession-48617,RE07011,VIRTUAL_TRIAL,,,,,,,,treated,2008,3,,133,,"72,8",,"90,4",,"78,4",
CF07022itkt,2831629,BTH_Clermont-Ferrand_2008_SetB1,BTH_Clermont-Ferrand_2008_SetB1,27790,https://doi.org/10.15454/CEUVSR,CF07022,VIRTUAL_TRIAL,,,,,,,,treated,2008,1,,137,,"74,1",,"105,1",,"91,2",
EM07118itkt,2831609,BTH_Clermont-Ferrand_2008_SetB1,BTH_Clermont-Ferrand_2008_SetB1,49448,gnpis_pui:holding-921_taxon-4898_accession-49448,EM07118,VIRTUAL_TRIAL,,,,,,,,treated,2008,1,,141,,"71,8",,"106,2",,"92,1",
