observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
EM06307itknt,2837212,BTH_Le_Moulon_2009_SetA1,BTH_Le_Moulon_2009_SetA1,27838,https://doi.org/10.15454/0CP8RW,EM06307,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2009,92,,,,142,,,,72,,"106,9",,86,
EM06307itkt,2837213,BTH_Le_Moulon_2009_SetA1,BTH_Le_Moulon_2009_SetA1,27838,https://doi.org/10.15454/0CP8RW,EM06307,VIRTUAL_TRIAL,,,,,,,,treated,2009,88,,"49,8",,141,,"8,99",,"74,1",,"97,1",,"90,9",
EM06233itkfi,2837298,BTH_Le_Moulon_2009_SetA1,BTH_Le_Moulon_2009_SetA1,27819,https://doi.org/10.15454/SA4R8B,EM06233,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,80,,"47,2",,144,,"9,97",,"71,8",,"96,6",,58,
CF05079itkfi,2837253,BTH_Le_Moulon_2009_SetA1,BTH_Le_Moulon_2009_SetA1,26976,https://doi.org/10.15454/YDUNWW,CF05079,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,82,,"49,8",,143,,"9,6",,"74,2",,"96,8",,"58,2",
Lyrikitkt,2837294,BTH_Le_Moulon_2009_SetA1,BTH_Le_Moulon_2009_SetA1,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,treated,2009,88,,"48,7",,142,,"8,42",,"75,2",,"105,3",,"98,5",
RE06127itkfi,2837250,BTH_Le_Moulon_2009_SetA1,BTH_Le_Moulon_2009_SetA1,27267,https://doi.org/10.15454/TBKWQN,RE06127,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,72,,"50,6",,141,,"9,46",,"74,4",,104,,"62,5",
Lyrikitkfi,2837292,BTH_Le_Moulon_2009_SetA1,BTH_Le_Moulon_2009_SetA1,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,75,,"49,5",,143,,"8,27",,"73,1",,"122,8",,"73,7",
DI07001-2itkfi,2837214,BTH_Le_Moulon_2009_SetA1,BTH_Le_Moulon_2009_SetA1,48645,gnpis_pui:holding-921_taxon-4898_accession-48645,DI07001-2,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,75,,"50,1",,139,,"8,22",,73,,"105,1",,"63,1",
Soissonsitkt,2837288,BTH_Le_Moulon_2009_SetA1,BTH_Le_Moulon_2009_SetA1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,treated,2009,82,,"43,9",,140,,"10,47",,"77,9",,"92,3",,"86,3",
AO07127itkt,2837243,BTH_Le_Moulon_2009_SetA1,BTH_Le_Moulon_2009_SetA1,27756,https://doi.org/10.15454/PILE9C,AO07127,VIRTUAL_TRIAL,,,,,,,,treated,2009,85,,"44,2",,141,,"9,46",,78,,"96,8",,"90,6",
CF05079itkt,2837255,BTH_Le_Moulon_2009_SetA1,BTH_Le_Moulon_2009_SetA1,26976,https://doi.org/10.15454/YDUNWW,CF05079,VIRTUAL_TRIAL,,,,,,,,treated,2009,85,,"47,1",,142,,"10,22",,"76,4",,"87,8",,"82,1",
CF05079itknt,2837254,BTH_Le_Moulon_2009_SetA1,BTH_Le_Moulon_2009_SetA1,26976,https://doi.org/10.15454/YDUNWW,CF05079,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2009,95,,,,142,,,,"77,1",,"93,6",,"75,2",
AO08112itknt,2837206,BTH_Le_Moulon_2009_SetA1,BTH_Le_Moulon_2009_SetA1,27769,https://doi.org/10.15454/IR0FDN,AO08112,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2009,92,,,,142,,,,"71,8",,"99,8",,"80,2",
AO08112itkfi,2837205,BTH_Le_Moulon_2009_SetA1,BTH_Le_Moulon_2009_SetA1,27769,https://doi.org/10.15454/IR0FDN,AO08112,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,80,,"46,5",,143,,"8,23",,"72,8",,"105,2",,"63,2",
RE06127itkt,2837252,BTH_Le_Moulon_2009_SetA1,BTH_Le_Moulon_2009_SetA1,27267,https://doi.org/10.15454/TBKWQN,RE06127,VIRTUAL_TRIAL,,,,,,,,treated,2009,85,,"50,1",,140,,"10,52",,"76,8",,"93,7",,"87,7",
AO08112itkt,2837207,BTH_Le_Moulon_2009_SetA1,BTH_Le_Moulon_2009_SetA1,27769,https://doi.org/10.15454/IR0FDN,AO08112,VIRTUAL_TRIAL,,,,,,,,treated,2009,90,,46,,142,,"8,64",,"74,7",,"105,2",,"98,5",
RE06127itknt,2837251,BTH_Le_Moulon_2009_SetA1,BTH_Le_Moulon_2009_SetA1,27267,https://doi.org/10.15454/TBKWQN,RE06127,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2009,88,,,,141,,,,"75,7",,"104,5",,84,
Lyrikitknt,2837293,BTH_Le_Moulon_2009_SetA1,BTH_Le_Moulon_2009_SetA1,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2009,88,,,,142,,,,"74,6",,"124,3",,"99,9",
Premioitkt,2837210,BTH_Le_Moulon_2009_SetA1,BTH_Le_Moulon_2009_SetA1,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,treated,2009,82,,"51,9",,141,,"9,52",,"75,8",,"103,7",,97,
Premioitkfi,2837208,BTH_Le_Moulon_2009_SetA1,BTH_Le_Moulon_2009_SetA1,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,75,,"53,2",,142,,"9,91",,"73,5",,"109,7",,"65,9",
EM06307itkfi,2837211,BTH_Le_Moulon_2009_SetA1,BTH_Le_Moulon_2009_SetA1,27838,https://doi.org/10.15454/0CP8RW,EM06307,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,80,,"50,4",,142,,"8,75",,"72,1",,"115,2",,"69,2",
CF06136itkt,2837297,BTH_Le_Moulon_2009_SetA1,BTH_Le_Moulon_2009_SetA1,27783,https://doi.org/10.15454/S3WW0P,CF06136,VIRTUAL_TRIAL,,,,,,,,treated,2009,90,,"48,7",,140,,"9,05",,"73,8",,"88,8",,"83,1",
AO07127itkfi,2837241,BTH_Le_Moulon_2009_SetA1,BTH_Le_Moulon_2009_SetA1,27756,https://doi.org/10.15454/PILE9C,AO07127,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,80,,"44,3",,142,,"8,7",,"76,2",,"112,4",,"67,5",
CF06136itknt,2837296,BTH_Le_Moulon_2009_SetA1,BTH_Le_Moulon_2009_SetA1,27783,https://doi.org/10.15454/S3WW0P,CF06136,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2009,90,,,,140,,,,"74,2",,"104,4",,"83,9",
CF06136itkfi,2837295,BTH_Le_Moulon_2009_SetA1,BTH_Le_Moulon_2009_SetA1,27783,https://doi.org/10.15454/S3WW0P,CF06136,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,82,,"46,8",,140,,"8,71",,"71,2",,"92,9",,"55,8",
Premioitknt,2837209,BTH_Le_Moulon_2009_SetA1,BTH_Le_Moulon_2009_SetA1,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2009,86,,,,140,,,,74,,"112,5",,"90,4",
AO07127itknt,2837242,BTH_Le_Moulon_2009_SetA1,BTH_Le_Moulon_2009_SetA1,27756,https://doi.org/10.15454/PILE9C,AO07127,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2009,88,,,,142,,,,"76,4",,"110,1",,"88,5",
Musikitkt,2837201,BTH_Le_Moulon_2009_SetA1,BTH_Le_Moulon_2009_SetA1,27738,https://doi.org/10.15454/JP9LCI,MUSIK,VIRTUAL_TRIAL,,,,,,,,treated,2009,70,,"46,3",,140,,"8,53",,"75,3",,"99,4",,93,
RE06048itkt,2837276,BTH_Le_Moulon_2009_SetA1,BTH_Le_Moulon_2009_SetA1,27264,https://doi.org/10.15454/ILREHV,RE06048,VIRTUAL_TRIAL,,,,,,,,treated,2009,88,,"47,2",,140,,"10,3",,"73,6",,"93,2",,"87,2",
EM06094itkt,2837261,BTH_Le_Moulon_2009_SetA1,BTH_Le_Moulon_2009_SetA1,27816,https://doi.org/10.15454/ZMYTIN,EM06094,VIRTUAL_TRIAL,,,,,,,,treated,2009,82,,"49,8",,142,,"9,12",,"75,2",,"95,1",,"88,9",
CF05162itkt,2837219,BTH_Le_Moulon_2009_SetA1,BTH_Le_Moulon_2009_SetA1,26968,https://doi.org/10.15454/3810GN,CF05162,VIRTUAL_TRIAL,,,,,,,,treated,2009,85,,"49,9",,141,,"8,87",,"74,6",,103,,"96,3",
CF05162itknt,2837218,BTH_Le_Moulon_2009_SetA1,BTH_Le_Moulon_2009_SetA1,26968,https://doi.org/10.15454/3810GN,CF05162,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2009,85,,,,141,,,,"73,8",,"102,6",,"82,5",
CF05162itkfi,2837217,BTH_Le_Moulon_2009_SetA1,BTH_Le_Moulon_2009_SetA1,26968,https://doi.org/10.15454/3810GN,CF05162,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,78,,50,,142,,"8,22",,"72,8",,"108,2",,65,
DI07001-2itkt,2837216,BTH_Le_Moulon_2009_SetA1,BTH_Le_Moulon_2009_SetA1,48645,gnpis_pui:holding-921_taxon-4898_accession-48645,DI07001-2,VIRTUAL_TRIAL,,,,,,,,treated,2009,78,,"50,3",,138,,"8,98",,"74,6",,"101,7",,"95,2",
DI08019-3itkt,2837195,BTH_Le_Moulon_2009_SetA1,BTH_Le_Moulon_2009_SetA1,49439,gnpis_pui:holding-921_taxon-4898_accession-49439,DI08019-3,VIRTUAL_TRIAL,,,,,,,,treated,2009,80,,"45,6",,142,,"8,48",,"78,8",,"104,7",,"97,9",
DI08019-3itkfi,2837193,BTH_Le_Moulon_2009_SetA1,BTH_Le_Moulon_2009_SetA1,49439,gnpis_pui:holding-921_taxon-4898_accession-49439,DI08019-3,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,70,,"47,5",,143,,"8,32",,"74,7",,118,,"70,9",
EM06233itkt,2837300,BTH_Le_Moulon_2009_SetA1,BTH_Le_Moulon_2009_SetA1,27819,https://doi.org/10.15454/SA4R8B,EM06233,VIRTUAL_TRIAL,,,,,,,,treated,2009,85,,"47,7",,144,,"10,3",,"73,2",,"90,5",,"84,7",
EM06110itkt,2837291,BTH_Le_Moulon_2009_SetA1,BTH_Le_Moulon_2009_SetA1,27817,https://doi.org/10.15454/KG1VPB,EM06110,VIRTUAL_TRIAL,,,,,,,,treated,2009,82,,"50,2",,138,,"9,59",,"74,8",,"95,8",,"89,6",
DI08019-3itknt,2837194,BTH_Le_Moulon_2009_SetA1,BTH_Le_Moulon_2009_SetA1,49439,gnpis_pui:holding-921_taxon-4898_accession-49439,DI08019-3,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2009,88,,,,142,,,,"75,6",,"107,7",,"86,6",
CF03201itkt,2837246,BTH_Le_Moulon_2009_SetA1,BTH_Le_Moulon_2009_SetA1,26975,https://doi.org/10.15454/0TTU1F,CF03201,VIRTUAL_TRIAL,,,,,,,,treated,2009,88,,"50,7",,141,,"10,12",,"77,4",,"95,8",,"89,7",
Musikitknt,2837200,BTH_Le_Moulon_2009_SetA1,BTH_Le_Moulon_2009_SetA1,27738,https://doi.org/10.15454/JP9LCI,MUSIK,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2009,75,,,,140,,,,73,,"98,5",,"79,2",
CF03201itknt,2837245,BTH_Le_Moulon_2009_SetA1,BTH_Le_Moulon_2009_SetA1,26975,https://doi.org/10.15454/0TTU1F,CF03201,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2009,92,,,,142,,,,"72,5",,"105,3",,"84,6",
Musikitkfi,2837199,BTH_Le_Moulon_2009_SetA1,BTH_Le_Moulon_2009_SetA1,27738,https://doi.org/10.15454/JP9LCI,MUSIK,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,70,,"45,1",,141,,"8,28",,"71,5",,"95,1",,"57,1",
RE06048itknt,2837275,BTH_Le_Moulon_2009_SetA1,BTH_Le_Moulon_2009_SetA1,27264,https://doi.org/10.15454/ILREHV,RE06048,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2009,92,,,,140,,,,"73,2",,"100,6",,"80,8",
CF03201itkfi,2837244,BTH_Le_Moulon_2009_SetA1,BTH_Le_Moulon_2009_SetA1,26975,https://doi.org/10.15454/0TTU1F,CF03201,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,80,,"51,9",,142,,"9,85",,"74,3",,"112,2",,"67,4",
Apacheitkfi,2837226,BTH_Le_Moulon_2009_SetA1,BTH_Le_Moulon_2009_SetA1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,75,,"44,7",,140,,"8,6",,"71,8",,"95,7",,"57,5",
Karillonitknt,2837284,BTH_Le_Moulon_2009_SetA1,BTH_Le_Moulon_2009_SetA1,27739,https://doi.org/10.15454/LFFVPX,KARILLON,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2009,90,,,,142,,,,"72,8",,"114,8",,"92,3",
Karillonitkfi,2837283,BTH_Le_Moulon_2009_SetA1,BTH_Le_Moulon_2009_SetA1,27739,https://doi.org/10.15454/LFFVPX,KARILLON,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,78,,"50,2",,143,,"8,8",,"68,8",,122,,"73,3",
AO07210itkt,2837282,BTH_Le_Moulon_2009_SetA1,BTH_Le_Moulon_2009_SetA1,27757,https://doi.org/10.15454/YPTSA5,AO07210,VIRTUAL_TRIAL,,,,,,,,treated,2009,82,,"48,7",,141,,"9,86",,"71,4",,"90,2",,"84,4",
AO07210itknt,2837281,BTH_Le_Moulon_2009_SetA1,BTH_Le_Moulon_2009_SetA1,27757,https://doi.org/10.15454/YPTSA5,AO07210,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2009,80,,,,140,,,,"69,6",,105,,"84,4",
