observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prot(CO_321:1000070),prot(CO_321:1000070).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
2,2788806,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,48351,gnpis_pui:holding-921_taxon-4898_accession-48351,CF02127,REPLICATION,2,,,,,,REPLICATION:2,treated,2003,"12,85",,"98,83",
1,2788805,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,48351,gnpis_pui:holding-921_taxon-4898_accession-48351,CF02127,REPLICATION,1,,,,,,REPLICATION:1,treated,2003,"13,05",,"94,4",
1,2788803,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,48351,gnpis_pui:holding-921_taxon-4898_accession-48351,CF02127,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2003,"10,14",,"80,43",
2,2788804,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,48351,gnpis_pui:holding-921_taxon-4898_accession-48351,CF02127,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2003,"10,33",,"77,48",
1,2788903,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,48353,gnpis_pui:holding-921_taxon-4898_accession-48353,EM02308,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2003,"10,18",,"78,9",
2,2788884,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,48823,gnpis_pui:holding-921_taxon-4898_accession-48823,DI03007,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2003,"11,43",,"79,14",
1,2788883,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,48823,gnpis_pui:holding-921_taxon-4898_accession-48823,DI03007,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2003,"10,9",,"82,15",
2,2788906,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,48353,gnpis_pui:holding-921_taxon-4898_accession-48353,EM02308,REPLICATION,2,,,,,,REPLICATION:2,treated,2003,"12,31",,"95,95",
1,2788905,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,48353,gnpis_pui:holding-921_taxon-4898_accession-48353,EM02308,REPLICATION,1,,,,,,REPLICATION:1,treated,2003,"12,4",,"93,54",
2,2788904,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,48353,gnpis_pui:holding-921_taxon-4898_accession-48353,EM02308,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2003,"10,03",,"75,63",
2,2788852,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,48744,gnpis_pui:holding-921_taxon-4898_accession-48744,EM02292,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2003,"10,44",,"84,26",
2,2788946,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,49113,gnpis_pui:holding-921_taxon-4898_accession-49113,CF02003,REPLICATION,2,,,,,,REPLICATION:2,treated,2003,"13,02",,"88,25",
2,2788798,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,48369,gnpis_pui:holding-921_taxon-4898_accession-48369,RE01016,REPLICATION,2,,,,,,REPLICATION:2,treated,2003,"12,81",,"97,06",
2,2788796,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,48369,gnpis_pui:holding-921_taxon-4898_accession-48369,RE01016,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2003,"10,67",,"87,87",
