observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,vr(CO_321:1000099),vr(CO_321:1000099).date
Apacheitkfi,2824792,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,85,,"127,5",,"71,8",,105,,9,,"47,9",,1,
CF06194itkfi,2824803,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,49708,gnpis_pui:holding-921_taxon-4898_accession-49708,CF06194,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,100,,137,,"69,4",,"91,5",,"5,8",,"41,8",,1,
RE06083itkfi,2824797,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,49633,gnpis_pui:holding-921_taxon-4898_accession-49633,RE06083,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,85,,"134,5",,"71,1",,"110,4",,1,,"50,4",,1,
CF06167itkfi,2824790,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,48968,gnpis_pui:holding-921_taxon-4898_accession-48968,CF06167,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,85,,135,,"67,3",,"97,7",,8,,"44,6",,1,
AO07301itkfi,2824783,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,48857,gnpis_pui:holding-921_taxon-4898_accession-48857,AO07301,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,90,,"131,5",,"69,9",,"100,6",,8,,"45,9",,1,
CF06166itkfi,2824791,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,49254,gnpis_pui:holding-921_taxon-4898_accession-49254,CF06166,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,80,,137,,"64,4",,"84,4",,8,,"38,5",,1,
RE06073itkfi,2824782,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,49748,https://doi.org/10.15454/UUJTP5,RE06073,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,85,,134,,"73,2",,"118,7",,3,,"54,2",,2,
AO07319itkfi,2824811,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,49264,gnpis_pui:holding-921_taxon-4898_accession-49264,AO07319,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,85,,135,,"71,5",,118,,3,,"53,8",,1,
EM06094itkfi,2824807,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,27816,https://doi.org/10.15454/ZMYTIN,EM06094,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,85,,"133,5",,"70,2",,"119,4",,5,,"54,5",,1,
Sankaraitkfi,2824796,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,26123,https://doi.org/10.15454/R5VJW6,SANKARA,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,80,,135,,"67,9",,"90,6",,"6,2",,"41,4",,1,
EM06072itkfi,2824775,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,48553,gnpis_pui:holding-921_taxon-4898_accession-48553,EM06072,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,95,,"132,5",,"70,6",,103,,"5,8",,47,,1,
Mendelitkfi,2824793,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,26120,https://doi.org/10.15454/TNI3IW,MENDEL,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,80,,130,,65,,"88,1",,8,,"40,2",,1,
CF06183itkfi,2824780,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,48740,gnpis_pui:holding-921_taxon-4898_accession-48740,CF06183,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,95,,"135,5",,"69,2",,"105,6",,"5,2",,"48,2",,1,
EM06090itkfi,2824804,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,49553,gnpis_pui:holding-921_taxon-4898_accession-49553,EM06090,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,80,,132,,"72,6",,"118,4",,"5,8",,"54,1",,1,
DI07011itkfi,2824801,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,49661,gnpis_pui:holding-921_taxon-4898_accession-49661,DI07011,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,85,,"134,5",,"68,4",,"90,5",,"8,5",,"41,3",,1,
RE06078itkfi,2824786,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,49672,gnpis_pui:holding-921_taxon-4898_accession-49672,RE06078,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,100,,132,,"74,8",,"114,2",,3,,"52,1",,1,
Toisondoritkfi,2824773,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,75,,"129,5",,"74,4",,"136,6",,1,,"62,3",,1,
DI07008itkfi,2824778,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,48548,gnpis_pui:holding-921_taxon-4898_accession-48548,DI07008,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,80,,140,,63,,"84,8",,"3,5",,"38,7",,1,
DI07009itkfi,2824777,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,49392,gnpis_pui:holding-921_taxon-4898_accession-49392,DI07009,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,80,,"134,5",,"69,1",,"106,6",,"4,8",,"48,6",,1,
Koreliitkfi,2824789,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,95,,135,,"73,6",,"110,4",,"6,2",,"50,4",,1,
Ghaytaitkfi,2824810,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,27784,https://doi.org/10.15454/BYBWWN,GHAYTA,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,90,,134,,"70,7",,"110,1",,"6,5",,"50,3",,1,
RE06085itkfi,2824781,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,49128,gnpis_pui:holding-921_taxon-4898_accession-49128,RE06085,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,85,,"134,5",,"70,9",,"115,6",,"5,2",,"52,7",,3,
DI07012itkfi,2824779,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,48866,gnpis_pui:holding-921_taxon-4898_accession-48866,DI07012,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,75,,134,,64,,"85,1",,"5,8",,"38,9",,1,
CF06154itkfi,2824815,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,49465,gnpis_pui:holding-921_taxon-4898_accession-49465,CF06154,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,90,,135,,"64,4",,"113,9",,"1,5",,52,,1,
DI07014itkfi,2824776,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,49677,gnpis_pui:holding-921_taxon-4898_accession-49677,DI07014,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,80,,135,,"68,4",,"106,9",,"2,5",,"48,8",,1,
EM06091itkfi,2824805,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,49611,gnpis_pui:holding-921_taxon-4898_accession-49611,EM06091,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,90,,"135,5",,"69,9",,"101,5",,"7,5",,"46,3",,1,
Caphornitkfi,2824798,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,80,,128,,"67,6",,"116,3",,6,,"53,1",,1,
RE06094itkfi,2824788,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,49599,gnpis_pui:holding-921_taxon-4898_accession-49599,RE06094,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,85,,"131,5",,"73,6",,"111,3",,"4,5",,"50,8",,1,
DI07013itkfi,2824799,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,27803,https://doi.org/10.15454/GVABT5,DI07013,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,85,,126,,"73,6",,"124,5",,"2,5",,"56,8",,1,
CF06204itkfi,2824794,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,49620,gnpis_pui:holding-921_taxon-4898_accession-49620,CF06204,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,85,,136,,"67,9",,"85,6",,7,,"39,1",,1,
RE06079itkfi,2824785,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,49477,gnpis_pui:holding-921_taxon-4898_accession-49477,RE06079,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,100,,136,,"74,6",,107,,"3,5",,"48,8",,1,
DI07010itkfi,2824800,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,49542,gnpis_pui:holding-921_taxon-4898_accession-49542,DI07010,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,75,,134,,"67,3",,"102,1",,"4,5",,"46,6",,1,
EM06089itkfi,2824787,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,27815,https://doi.org/10.15454/UZYTX5,EM06089,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,85,,"132,5",,"76,1",,"124,5",,6,,"56,8",,1,
RE06068itkfi,2824808,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,49628,gnpis_pui:holding-921_taxon-4898_accession-49628,RE06068,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,85,,"135,5",,"74,6",,"107,2",,"4,2",,"48,9",,1,
