observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieD(CO_321:1000255),NmieD(CO_321:1000255).date,NmieL(CO_321:1000243),NmieL(CO_321:1000243).date,NmieS(CO_321:1000248),NmieS(CO_321:1000248).date,NpainD(CO_321:1000254),NpainD(CO_321:1000254).date,NpainL(CO_321:1000242),NpainL(CO_321:1000242).date,NpainS(CO_321:1000247),NpainS(CO_321:1000247).date,NpateD(CO_321:1000253),NpateD(CO_321:1000253).date,NpateL(CO_321:1000241),NpateL(CO_321:1000241).date,NpateS(CO_321:1000246),NpateS(CO_321:1000246).date,NtotD(CO_321:1000256),NtotD(CO_321:1000256).date,NtotL(CO_321:1000244),NtotL(CO_321:1000244).date,NtotS(CO_321:1000249),NtotS(CO_321:1000249).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,volD(CO_321:1000257),volD(CO_321:1000257).date,volL(CO_321:1000245),volL(CO_321:1000245).date,volS(CO_321:1000250),volS(CO_321:1000250).date,vp(CO_321:1000225),vp(CO_321:1000225).date,zel(CO_321:1000222),zel(CO_321:1000222).date
EM13073itkt,2976619,BTH_Estrées-Mons_2014_TECH,BTH_Estrées-Mons_2014_TECH,61398,https://doi.org/10.15454/HEUAIP,EM13073,VIRTUAL_TRIAL,,,,,,,,traite,2014,25.9,,136,,,,85,,,,,,10.98,,,,,,61.63,,,,,,157.61,,,,52,,0.38,,156,,83,,276,,51.2,,11.1,,81.3,,,,1272,,,,2.4,,,
EM13249itkt,2976626,BTH_Estrées-Mons_2014_TECH,BTH_Estrées-Mons_2014_TECH,61447,https://doi.org/10.15454/NTKRK8,EM13249,VIRTUAL_TRIAL,,,,,,,,traite,2014,20.7,,87,,,,85,,,,,,8.88,,,,,,83.5,,,,,,177.38,,,,58,,0.67,,145,,31,,219,,46.1,,10.6,,77.8,,,,1195,,,,3.04,,,
EM13243itkt,2976630,BTH_Estrées-Mons_2014_TECH,BTH_Estrées-Mons_2014_TECH,61431,https://doi.org/10.15454/QSZ1IX,EM13243,VIRTUAL_TRIAL,,,,,,,,traite,2014,19.9,,80,,,,85,,,,,,22.25,,,,,,83.5,,,,,,190.75,,,,86,,1.07,,199,,65,,209,,49.2,,9.3,,79.1,,,,1180,,,,4.2,,,
RE13006itkt,2976678,BTH_Estrées-Mons_2014_TECH,BTH_Estrées-Mons_2014_TECH,61514,https://doi.org/10.15454/KLQZHB,RE13006,VIRTUAL_TRIAL,,,,,,,,traite,2014,19.5,,77,,,,100,,,,,,45.38,,,,,,100,,,,,,245.38,,,,68,,0.88,,170,,70,,173,,51.7,,10.7,,79.5,,,,1307,,,,1.98,,,
RE13007itkt,2976669,BTH_Estrées-Mons_2014_TECH,BTH_Estrées-Mons_2014_TECH,61527,https://doi.org/10.15454/JN5VML,RE13007,VIRTUAL_TRIAL,,,,,,,,traite,2014,19.9,,80,,,,94,,,,,,23.6,,,,,,62.5,,,,,,180.1,,,,60,,0.74,,150,,78,,162,,49.1,,10.5,,78.7,,,,1270,,,,1.81,,,
RE12080itkt,2976656,BTH_Estrées-Mons_2014_TECH,BTH_Estrées-Mons_2014_TECH,61587,https://doi.org/10.15454/TNFH4O,RE12080,VIRTUAL_TRIAL,,,,,,,,traite,2014,14.9,,45,,100,,,,,,29,,,,,,61.5,,,,,,190.5,,,,,,114,,2.54,,201,,50,,277,,,,11.8,,,,1068,,,,,,,,29,
RE13093itkt,2976633,BTH_Estrées-Mons_2014_TECH,BTH_Estrées-Mons_2014_TECH,61664,https://doi.org/10.15454/OYADUC,RE13093,VIRTUAL_TRIAL,,,,,,,,traite,2014,25.6,,133,,,,91,,,,,,46.88,,,,,,69.5,,,,,,207.38,,,,50,,0.38,,176,,15,,243,,46.6,,10.4,,79.2,,,,1350,,,,2.61,,,
RE13094itkt,2976625,BTH_Estrées-Mons_2014_TECH,BTH_Estrées-Mons_2014_TECH,61678,https://doi.org/10.15454/GQP9HA,RE13094,VIRTUAL_TRIAL,,,,,,,,traite,2014,22.7,,105,,,,100,,,,,,69.7,,,,,,76.5,,,,,,246.2,,,,64,,0.61,,179,,60,,196,,57.5,,10.1,,78.4,,,,1445,,,,2.67,,,
AO14026itkt,2976674,BTH_Estrées-Mons_2014_TECH,BTH_Estrées-Mons_2014_TECH,61704,https://doi.org/10.15454/ZZZLIR,AO14026,VIRTUAL_TRIAL,,,,,,,,traite,2014,20.3,,83,,,,100,,,,,,53.03,,,,,,95.5,,,,,,248.53,,,,82,,0.99,,194,,72,,309,,49.5,,9.8,,78.4,,,,1485,,,,3.72,,,
AO14001itkt,2976684,BTH_Estrées-Mons_2014_TECH,BTH_Estrées-Mons_2014_TECH,61803,https://doi.org/10.15454/LCA9U1,AO14001,VIRTUAL_TRIAL,,,,,,,,traite,2014,18.8,,72,,94,,,,,,30.8,,,,,,64.5,,,,,,189.3,,,,,,73,,1.03,,145,,44,,168,,,,10.8,,,,1210,,,,,,,,22,
AO14013itkt,2976646,BTH_Estrées-Mons_2014_TECH,BTH_Estrées-Mons_2014_TECH,62003,https://doi.org/10.15454/UIHLJL,AO14013,VIRTUAL_TRIAL,,,,,,,,traite,2014,20.1,,82,,,,100,,,,,,43.28,,,,,,74.63,,,,,,217.91,,,,87,,1.06,,247,,53,,202,,45.2,,10.6,,79.8,,,,1230,,,,2.96,,,
AO14014itkt,2976648,BTH_Estrées-Mons_2014_TECH,BTH_Estrées-Mons_2014_TECH,62034,https://doi.org/10.15454/RWXBD7,AO14014,VIRTUAL_TRIAL,,,,,,,,traite,2014,22.6,,104,,,,100,,,,,,28.55,,,,,,77.63,,,,,,206.18,,,,72,,0.69,,220,,66,,312,,48.2,,9.9,,79.6,,,,1315,,,,2.25,,,
AO14017itkt,2976649,BTH_Estrées-Mons_2014_TECH,BTH_Estrées-Mons_2014_TECH,62096,https://doi.org/10.15454/JY3UZ7,AO14017,VIRTUAL_TRIAL,,,,,,,,traite,2014,19.3,,75,,,,97,,,,,,59.85,,,,,,89.63,,,,,,246.48,,,,110,,1.46,,278,,63,,372,,52.4,,11,,80.6,,,,1522,,,,3.1,,,
AO14020itkt,2976675,BTH_Estrées-Mons_2014_TECH,BTH_Estrées-Mons_2014_TECH,62141,https://doi.org/10.15454/0STI9A,AO14020,VIRTUAL_TRIAL,,,,,,,,traite,2014,18.5,,69,,,,100,,,,,,47.93,,,,,,100,,,,,,247.93,,,,96,,1.38,,209,,63,,238,,46.6,,10.3,,75.7,,,,1310,,,,3.53,,,
EM13147itkt,2976677,BTH_Estrées-Mons_2014_TECH,BTH_Estrées-Mons_2014_TECH,61412,https://doi.org/10.15454/J7IR6N,EM13147,VIRTUAL_TRIAL,,,,,,,,traite,2014,17.7,,63,,,,100,,,,,,13.9,,,,,,79.25,,,,,,193.15,,,,99,,1.56,,241,,61,,177,,56.8,,10.5,,77.4,,,,1330,,,,1.76,,,
CF13158itkt,2976679,BTH_Estrées-Mons_2014_TECH,BTH_Estrées-Mons_2014_TECH,61152,https://doi.org/10.15454/BOXBBY,CF13158,VIRTUAL_TRIAL,,,,,,,,traite,2014,22.1,,99,,,,85,,,,,,8.13,,,,,,48.88,,,,,,142.01,,,,46,,0.47,,105,,81,,240,,48.8,,10,,79.3,,,,915,,,,2.17,,,
RE13116itkt,2976618,BTH_Estrées-Mons_2014_TECH,BTH_Estrées-Mons_2014_TECH,61763,https://doi.org/10.15454/N7NCR1,RE13116,VIRTUAL_TRIAL,,,,,,,,traite,2014,23.1,,108,,,,94,,,,,,8.88,,,,,,73,,,,,,175.88,,,,59,,0.55,,154,,63,,196,,59.8,,10.3,,76.4,,,,1190,,,,2.23,,,
DI13002itkt,2976639,BTH_Estrées-Mons_2014_TECH,BTH_Estrées-Mons_2014_TECH,61791,https://doi.org/10.15454/GW5VMO,DI13002,VIRTUAL_TRIAL,,,,,,,,traite,2014,19.5,,77,,91,,,,,,28.2,,,,,,60,,,,,,179.2,,,,,,88,,1.15,,222,,44,,248,,,,11.1,,,,1100,,,,,,,,27,
EM12040itkt,2976663,BTH_Estrées-Mons_2014_TECH,BTH_Estrées-Mons_2014_TECH,61883,https://doi.org/10.15454/ZJTOW0,EM12040,VIRTUAL_TRIAL,,,,,,,,traite,2014,24,,117,,,,100,,,,,,72.1,,,,,,79.5,,,,,,251.6,,,,54,,0.47,,165,,63,,190,,52.5,,12,,78.4,,,,1575,,,,2,,,
EM11537itkt,2976621,BTH_Estrées-Mons_2014_TECH,BTH_Estrées-Mons_2014_TECH,49307,https://doi.org/10.15454/S10U8Z,EM11537,VIRTUAL_TRIAL,,,,,,,,traite,2014,15,,46,,100,,,,,,30.5,,,,,,72.1,,,,,,202.6,,,,,,130,,2.85,,222,,52,,301,,,,11.5,,,,1150,,,,,,,,29,
AO14041itkt,2976667,BTH_Estrées-Mons_2014_TECH,BTH_Estrées-Mons_2014_TECH,60915,https://doi.org/10.15454/BHRDHY,AO14041,VIRTUAL_TRIAL,,,,,,,,traite,2014,22.1,,99,,,,91,,,,,,7.75,,,,,,40.38,,,,,,139.13,,,,43,,0.43,,108,,66,,148,,53.7,,10.5,,76.7,,,,980,,,,1.79,,,
AO14005itkt,2976681,BTH_Estrées-Mons_2014_TECH,BTH_Estrées-Mons_2014_TECH,61865,https://doi.org/10.15454/AJY3JA,AO14005,VIRTUAL_TRIAL,,,,,,,,traite,2014,20.7,,87,,94,,,,,,24.7,,,,,,47.8,,,,,,166.5,,,,,,48,,0.56,,96,,53,,180,,,,11.7,,,,1140,,,,,,,,22,
CF13080itkt,2976659,BTH_Estrées-Mons_2014_TECH,BTH_Estrées-Mons_2014_TECH,61079,https://doi.org/10.15454/SAGJTL,CF13080,VIRTUAL_TRIAL,,,,,,,,traite,2014,20,,81,,,,82,,,,,,7.75,,,,,,29.26,,,,,,119.01,,,,26,,0.32,,49,,25,,171,,51.3,,10.6,,76.8,,,,820,,,,1.86,,,
AO13015itkt,2976661,BTH_Estrées-Mons_2014_TECH,BTH_Estrées-Mons_2014_TECH,60834,https://doi.org/10.15454/KQGENR,AO13015,VIRTUAL_TRIAL,,,,,,,,traite,2014,18.9,,72,,94,,,,,,29.1,,,,,,76,,,,,,199.1,,,,,,79,,1.1,,157,,51,,217,,,,11.1,,,,1230,,,,,,,,26,
RE13003itkt,2976683,BTH_Estrées-Mons_2014_TECH,BTH_Estrées-Mons_2014_TECH,61467,https://doi.org/10.15454/J5JFPN,RE13003,VIRTUAL_TRIAL,,,,,,,,traite,2014,17.5,,62,,,,100,,,,,,48.3,,,,,,80.75,,,,,,229.05,,,,102,,1.64,,235,,66,,192,,48.8,,11.2,,81.3,,,,1360,,,,2.87,,,
AO14008itkt,2976676,BTH_Estrées-Mons_2014_TECH,BTH_Estrées-Mons_2014_TECH,61924,https://doi.org/10.15454/7FN5V4,AO14008,VIRTUAL_TRIAL,,,,,,,,traite,2014,18.4,,68,,,,100,,,,,,26.75,,,,,,75,,,,,,201.75,,,,100,,1.47,,232,,78,,264,,52.6,,10.6,,81.2,,,,1010,,,,2.51,,,
AO14028itkt,2976682,BTH_Estrées-Mons_2014_TECH,BTH_Estrées-Mons_2014_TECH,62039,https://doi.org/10.15454/FMXV4A,AO14028,VIRTUAL_TRIAL,,,,,,,,traite,2014,17.5,,62,,,,100,,,,,,42.38,,,,,,73.5,,,,,,215.88,,,,75,,1.2,,150,,73,,244,,54.2,,10.1,,78.4,,,,1190,,,,2.15,,,
AO13045itkt,2976642,BTH_Estrées-Mons_2014_TECH,BTH_Estrées-Mons_2014_TECH,61318,https://doi.org/10.15454/WK73B3,AO13045,VIRTUAL_TRIAL,,,,,,,,traite,2014,17.1,,59,,100,,,,,,61.3,,,,,,92.5,,,,,,253.8,,,,,,112,,1.91,,216,,50,,265,,,,11.1,,,,1570,,,,,,,,26,
CF09117itkt,2976672,BTH_Estrées-Mons_2014_TECH,BTH_Estrées-Mons_2014_TECH,48349,https://doi.org/10.15454/DXR4XS,CF09117,VIRTUAL_TRIAL,,,,,,,,traite,2014,26,,136,,100,,,,,,38.7,,,,,,74.5,,,,,,213.2,,,,,,78,,0.58,,316,,67,,175,,,,13.9,,,,1600,,,,,,,,63,
RE13014itkt,2976653,BTH_Estrées-Mons_2014_TECH,BTH_Estrées-Mons_2014_TECH,48609,https://doi.org/10.15454/QLBPQK,RE13014,VIRTUAL_TRIAL,,,,,,,,traite,2014,22.9,,106,,,,100,,,,,,73,,,,,,100,,,,,,273,,,,65,,0.61,,185,,72,,271,,48.8,,10.3,,81.8,,,,1455,,,,2.51,,,
RE13084itkt,2976671,BTH_Estrées-Mons_2014_TECH,BTH_Estrées-Mons_2014_TECH,49120,https://doi.org/10.15454/P3TGLP,RE13084,VIRTUAL_TRIAL,,,,,,,,traite,2014,22.5,,103,,,,100,,,,,,51.45,,,,,,83.75,,,,,,235.2,,,,83,,0.8,,275,,58,,296,,49.7,,10.3,,81.1,,,,1395,,,,2.86,,,
RE13086itkt,2976666,BTH_Estrées-Mons_2014_TECH,BTH_Estrées-Mons_2014_TECH,49433,https://doi.org/10.15454/XA7QW4,RE13086,VIRTUAL_TRIAL,,,,,,,,traite,2014,22.1,,99,,,,100,,,,,,50.33,,,,,,84.13,,,,,,234.46,,,,83,,0.83,,261,,63,,301,,52,,10.5,,80.5,,,,1390,,,,2.82,,,
RE13106itkt,2976673,BTH_Estrées-Mons_2014_TECH,BTH_Estrées-Mons_2014_TECH,49524,https://doi.org/10.15454/FSEIOR,RE13106,VIRTUAL_TRIAL,,,,,,,,traite,2014,22.6,,104,,,,100,,,,,,25.55,,,,,,75,,,,,,200.55,,,,67,,0.64,,173,,49,,227,,48.7,,10.1,,75.4,,,,1210,,,,2.89,,,
RE13005itkt,2976668,BTH_Estrées-Mons_2014_TECH,BTH_Estrées-Mons_2014_TECH,48484,https://doi.org/10.15454/L7ZWCU,RE13005,VIRTUAL_TRIAL,,,,,,,,traite,2014,18.5,,69,,,,100,,,,,,51.15,,,,,,92.63,,,,,,243.78,,,,75,,1.08,,169,,70,,177,,49.4,,11.1,,78.1,,,,1385,,,,1.86,,,
RE13004itkt,2976680,BTH_Estrées-Mons_2014_TECH,BTH_Estrées-Mons_2014_TECH,49568,https://doi.org/10.15454/LO7ZR2,RE13004,VIRTUAL_TRIAL,,,,,,,,traite,2014,23.4,,111,,,,100,,,,,,72.4,,,,,,88.13,,,,,,260.53,,,,64,,0.58,,196,,67,,222,,54.3,,10.8,,81.1,,,,1435,,,,2.21,,,
APACHEitkt,2976650,BTH_Estrées-Mons_2014_TECH,BTH_Estrées-Mons_2014_TECH,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,traite,2014,24.7,,124,,91,,,,73,,28.2,,,,9,,56.7,,,,56,,175.9,,,,138,,47.5,,0.39,,127.5,,46,,124,,,,12.3,,75.1,,1120,,,,1059,,,,29,
Bermudeitkt,2976629,BTH_Estrées-Mons_2014_TECH,BTH_Estrées-Mons_2014_TECH,75270,https://doi.org/10.15454/AIOH4U,Bermude,VIRTUAL_TRIAL,,,,,,,,traite,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,,,,,,,,,,,,,,,,,,,
Granamaxitkt,2976651,BTH_Estrées-Mons_2014_TECH,BTH_Estrées-Mons_2014_TECH,59657,https://doi.org/10.15454/R2A6FC,GRANAMAX,VIRTUAL_TRIAL,,,,,,,,traite,2014,20.5,,85,,,,,,91,,,,,,32,,,,,,58,,,,,,181,,66,,0.78,,175,,85,,143,,,,11.2,,76.5,,,,,,1391,,,,,
AO11011itkt,2976623,BTH_Estrées-Mons_2014_TECH,BTH_Estrées-Mons_2014_TECH,48486,https://doi.org/10.15454/PE1NKZ,AO11011,VIRTUAL_TRIAL,,,,,,,,traite,2014,18.1,,66,,,,,,70,,,,,,25,,,,,,59,,,,,,154,,72,,1.09,,148,,89,,114,,,,11,,77.3,,,,,,1019,,,,,
Gotikitkt,2976665,BTH_Estrées-Mons_2014_TECH,BTH_Estrées-Mons_2014_TECH,49404,https://doi.org/10.15454/DILEEP,GOTIK,VIRTUAL_TRIAL,,,,,,,,traite,2014,21.4,,93,,,,,,85,,,,,,33,,,,,,67,,,,,,185,,65,,0.71,,166,,80,,266,,,,11.5,,79.8,,,,,,1277,,,,,
RE10042itkt,2976658,BTH_Estrées-Mons_2014_TECH,BTH_Estrées-Mons_2014_TECH,48716,https://doi.org/10.15454/5APOHC,RE10042,VIRTUAL_TRIAL,,,,,,,,traite,2014,16.5,,55,,,,,,91,,,,,,69,,,,,,94,,,,,,254,,64,,1.16,,132,,43,,208,,,,10.75,,79.9,,,,,,1372,,,,,
RE11058itkt,2976637,BTH_Estrées-Mons_2014_TECH,BTH_Estrées-Mons_2014_TECH,48469,https://doi.org/10.15454/ENAZXW,RE11058,VIRTUAL_TRIAL,,,,,,,,traite,2014,17,,59,,,,,,94,,,,,,74,,,,,,93,,,,,,261,,74,,1.28,,165,,85,,202,,,,11.25,,78.8,,,,,,1335,,,,,
Galibieritkt,2976660,BTH_Estrées-Mons_2014_TECH,BTH_Estrées-Mons_2014_TECH,59302,https://doi.org/10.15454/Y60IB3,GALIBIER,VIRTUAL_TRIAL,,,,,,,,traite,2014,27.9,,157,,100,,,,,,92.2,,,,,,95.5,,,,,,287.7,,,,,,75,,0.48,,380,,76,,66,,,,16.2,,,,1890,,,,,,,,70,
EM12096itkt,2976617,BTH_Estrées-Mons_2014_TECH,BTH_Estrées-Mons_2014_TECH,48739,https://doi.org/10.15454/CEPFO5,EM12096,VIRTUAL_TRIAL,,,,,,,,traite,2014,23.5,,112,,100,,,,,,33.8,,,,,,88,,,,,,221.8,,,,,,77,,0.7,,213,,64,,354,,,,13.1,,,,1318,,,,,,,,33,
EM12231itkt,2976647,BTH_Estrées-Mons_2014_TECH,BTH_Estrées-Mons_2014_TECH,48934,https://doi.org/10.15454/YCKTDL,EM12231,VIRTUAL_TRIAL,,,,,,,,traite,2014,20.5,,85,,100,,,,,,44.4,,,,,,61.2,,,,,,205.6,,,,,,72,,0.85,,146,,51,,371,,,,11.5,,,,1337,,,,,,,,27,
EM12234itkt,2976645,BTH_Estrées-Mons_2014_TECH,BTH_Estrées-Mons_2014_TECH,49090,https://doi.org/10.15454/1VGYYS,EM12234,VIRTUAL_TRIAL,,,,,,,,traite,2014,17.9,,65,,91,,,,,,31.4,,,,,,71.5,,,,,,193.9,,,,,,107,,1.65,,235,,46,,232,,,,12.7,,,,1237,,,,,,,,33,
RE12002itkt,2976643,BTH_Estrées-Mons_2014_TECH,BTH_Estrées-Mons_2014_TECH,48869,https://doi.org/10.15454/TN9KFO,RE12002,VIRTUAL_TRIAL,,,,,,,,traite,2014,20.4,,84,,91,,,,,,29,,,,,,67,,,,,,187,,,,,,105,,1.26,,269,,46,,219,,,,10.7,,,,1031,,,,,,,,28,
RE12020itkt,2976616,BTH_Estrées-Mons_2014_TECH,BTH_Estrées-Mons_2014_TECH,49575,https://doi.org/10.15454/DGI5VN,RE12020,VIRTUAL_TRIAL,,,,,,,,traite,2014,24.9,,126,,91,,,,,,29,,,,,,62.6,,,,,,182.6,,,,,,128,,1.03,,467,,74,,152,,,,15.1,,,,1087,,,,,,,,50,
AO14035itkt,2976657,BTH_Estrées-Mons_2014_TECH,BTH_Estrées-Mons_2014_TECH,60801,https://doi.org/10.15454/XJIDYV,AO14035,VIRTUAL_TRIAL,,,,,,,,traite,2014,23.3,,110,,,,100,,,,,,64,,,,,,87,,,,,,251,,,,54,,0.49,,143,,83,,307,,51.6,,9.6,,79.8,,,,1350,,,,2.66,,,
AO14039itkt,2976652,BTH_Estrées-Mons_2014_TECH,BTH_Estrées-Mons_2014_TECH,60867,https://doi.org/10.15454/WFL1YX,AO14039,VIRTUAL_TRIAL,,,,,,,,traite,2014,20.7,,87,,100,,,,,,55.3,,,,,,84,,,,,,239.3,,,,,,71,,0.82,,176,,47,,184,,,,10.9,,,,1375,,,,,,,,25,
AO12021itkt,2976627,BTH_Estrées-Mons_2014_TECH,BTH_Estrées-Mons_2014_TECH,60961,https://doi.org/10.15454/0ZFI4A,AO12021,VIRTUAL_TRIAL,,,,,,,,traite,2014,20.3,,84,,,,,,85,,,,,,34,,,,,,66,,,,,,185,,67,,0.81,,174,,77,,99,,,,11.35,,75,,,,,,1420,,,,,
AO13022itkt,2976635,BTH_Estrées-Mons_2014_TECH,BTH_Estrées-Mons_2014_TECH,60962,https://doi.org/10.15454/57FECX,AO13022,VIRTUAL_TRIAL,,,,,,,,traite,2014,13.5,,37,,91,,,,,,25.2,,,,,,70,,,,,,186.2,,,,,,161,,4.36,,228,,46,,320,,,,10.5,,,,1165,,,,,,,,27,
AO14022itkt,2976655,BTH_Estrées-Mons_2014_TECH,BTH_Estrées-Mons_2014_TECH,61039,https://doi.org/10.15454/T1DLTW,AO14022,VIRTUAL_TRIAL,,,,,,,,traite,2014,22.6,,104,,,,100,,,,,,47.7,,,,,,85,,,,,,232.7,,,,67,,0.65,,208,,65,,276,,48.2,,9.8,,80,,,,1495,,,,2.83,,,
AREZZOitkt,2976620,BTH_Estrées-Mons_2014_TECH,BTH_Estrées-Mons_2014_TECH,27030,https://doi.org/10.15454/SFNXCW,AREZZO,VIRTUAL_TRIAL,,,,,,,,traite,2014,17.4,,61,,100,,,,82,,53.5,,,,48,,94,,,,81,,247.5,,,,211,,105,,1.73,,223,,51,,285,,,,12.03,,80.4,,1465,,,,1114,,,,29,
AO13030itkt,2976664,BTH_Estrées-Mons_2014_TECH,BTH_Estrées-Mons_2014_TECH,48837,https://doi.org/10.15454/AFDIUY,AO13030,VIRTUAL_TRIAL,,,,,,,,traite,2014,20.2,,83,,,,,,85,,,,,,74,,,,,,75,,,,,,234,,58,,0.71,,159,,72,,166,,,,11.4,,75.8,,,,,,1433,,,,,
