observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,pva(CO_321:1000252),pva(CO_321:1000252).date,pvp(CO_321:1000251),pvp(CO_321:1000251).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rj(CO_321:1000162),rj(CO_321:1000162).date
RE11113,2875434,BTH_Rennes_2013_SetA2_PIETIN-VERSE,BTH_Rennes_2013_SetA2_PIETIN-VERSE,48537,https://doi.org/10.15454/OVF7NV,RE11113,VIRTUAL_TRIAL,,,,,,,,2013,"4,5",,"7,1",,5,,2,,3,
RE11116,2875436,BTH_Rennes_2013_SetA2_PIETIN-VERSE,BTH_Rennes_2013_SetA2_PIETIN-VERSE,48613,https://doi.org/10.15454/12BULQ,RE11116,VIRTUAL_TRIAL,,,,,,,,2013,"5,5",,"7,6",,5,,NA,,6,
Pakito,2875421,BTH_Rennes_2013_SetA2_PIETIN-VERSE,BTH_Rennes_2013_SetA2_PIETIN-VERSE,27745,https://doi.org/10.15454/YJMDM5,PAKITO,VIRTUAL_TRIAL,,,,,,,,2013,6,,NA,,5,,3,,1,
AO13010,2875431,BTH_Rennes_2013_SetA2_PIETIN-VERSE,BTH_Rennes_2013_SetA2_PIETIN-VERSE,60751,https://doi.org/10.15454/JYOJ35,AO13010,VIRTUAL_TRIAL,,,,,,,,2013,6,,"7,8",,5,,4,,1,
AO13012,2875432,BTH_Rennes_2013_SetA2_PIETIN-VERSE,BTH_Rennes_2013_SetA2_PIETIN-VERSE,60784,https://doi.org/10.15454/3K0RWB,AO13012,VIRTUAL_TRIAL,,,,,,,,2013,"7,5",,NA,,5,,5,,1,
EM11366,2875437,BTH_Rennes_2013_SetA2_PIETIN-VERSE,BTH_Rennes_2013_SetA2_PIETIN-VERSE,49409,https://doi.org/10.15454/9ZJTGU,EM11366,VIRTUAL_TRIAL,,,,,,,,2013,5,,"8,6",,5,,4,,1,
EM11400,2875430,BTH_Rennes_2013_SetA2_PIETIN-VERSE,BTH_Rennes_2013_SetA2_PIETIN-VERSE,48403,https://doi.org/10.15454/U4Y1OC,EM11400,VIRTUAL_TRIAL,,,,,,,,2013,8,,"2,1",,2,,NA,,8,
DI12004,2875420,BTH_Rennes_2013_SetA2_PIETIN-VERSE,BTH_Rennes_2013_SetA2_PIETIN-VERSE,49069,https://doi.org/10.15454/EHYGRO,DI12004,VIRTUAL_TRIAL,,,,,,,,2013,4,,"4,1",,2,,2,,1,
Soissons,2875440,BTH_Rennes_2013_SetA2_PIETIN-VERSE,BTH_Rennes_2013_SetA2_PIETIN-VERSE,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,2013,NA,,NA,,5,,NA,,NA,
Altigo,2875429,BTH_Rennes_2013_SetA2_PIETIN-VERSE,BTH_Rennes_2013_SetA2_PIETIN-VERSE,26906,https://doi.org/10.15454/6CYBGM,ALTIGO,VIRTUAL_TRIAL,,,,,,,,2013,6,,NA,,5,,NA,,8,
Bermude,2875411,BTH_Rennes_2013_SetA2_PIETIN-VERSE,BTH_Rennes_2013_SetA2_PIETIN-VERSE,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,2013,9,,NA,,2,,3,,6,
