observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
CF09117itkfi,2849263,BTH_Estrées-Mons_2010_SetB1,BTH_Estrées-Mons_2010_SetB1,48349,https://doi.org/10.15454/DXR4XS,CF09117,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,80,,147,,"12,98",,"80,7",,"90,3",,"66,7",
RE09032itkt,2849266,BTH_Estrées-Mons_2010_SetB1,BTH_Estrées-Mons_2010_SetB1,48622,gnpis_pui:holding-921_taxon-4898_accession-48622,RE09032,VIRTUAL_TRIAL,,,,,,,,treated,2010,75,,152,,"11,39",,"81,2",,"97,3",,"91,8",
DI10001itkt,2849288,BTH_Estrées-Mons_2010_SetB1,BTH_Estrées-Mons_2010_SetB1,48633,gnpis_pui:holding-921_taxon-4898_accession-48633,DI10001,VIRTUAL_TRIAL,,,,,,,,treated,2010,75,,153,,"10,52",,"78,2",,"102,2",,"96,4",
CF09117itkt,2849264,BTH_Estrées-Mons_2010_SetB1,BTH_Estrées-Mons_2010_SetB1,48349,https://doi.org/10.15454/DXR4XS,CF09117,VIRTUAL_TRIAL,,,,,,,,treated,2010,75,,149,,"11,08",,"78,3",,"95,9",,"90,5",
AO10011itkt,2849298,BTH_Estrées-Mons_2010_SetB1,BTH_Estrées-Mons_2010_SetB1,49125,https://doi.org/10.15454/CTNPK9,AO10011,VIRTUAL_TRIAL,,,,,,,,treated,2010,82,,153,,"9,94",,"80,3",,"95,8",,"90,4",
DI10004itkfi,2849295,BTH_Estrées-Mons_2010_SetB1,BTH_Estrées-Mons_2010_SetB1,49387,gnpis_pui:holding-921_taxon-4898_accession-49387,DI10004,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,78,,156,,"11,38",,"81,9",,"106,6",,"78,7",
AO10011itkfi,2849297,BTH_Estrées-Mons_2010_SetB1,BTH_Estrées-Mons_2010_SetB1,49125,https://doi.org/10.15454/CTNPK9,AO10011,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,88,,153,,"11,15",,"83,2",,"95,2",,"70,4",
RE09002itkt,2849278,BTH_Estrées-Mons_2010_SetB1,BTH_Estrées-Mons_2010_SetB1,49618,https://doi.org/10.15454/L6UK54,RE09002,VIRTUAL_TRIAL,,,,,,,,treated,2010,78,,153,,"11,13",,"78,3",,"92,7",,"87,4",
RE09002itkfi,2849277,BTH_Estrées-Mons_2010_SetB1,BTH_Estrées-Mons_2010_SetB1,49618,https://doi.org/10.15454/L6UK54,RE09002,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,80,,152,,"11,45",,"81,5",,"97,8",,"72,2",
DI10001itkfi,2849287,BTH_Estrées-Mons_2010_SetB1,BTH_Estrées-Mons_2010_SetB1,48633,gnpis_pui:holding-921_taxon-4898_accession-48633,DI10001,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,82,,153,,"11,1",,83,,"109,4",,"80,8",
CF09030itkt,2849262,BTH_Estrées-Mons_2010_SetB1,BTH_Estrées-Mons_2010_SetB1,48471,gnpis_pui:holding-921_taxon-4898_accession-48471,CF09030,VIRTUAL_TRIAL,,,,,,,,treated,2010,72,,146,,"9,94",,76,,"97,7",,"92,2",
AO10013itkfi,2849257,BTH_Estrées-Mons_2010_SetB1,BTH_Estrées-Mons_2010_SetB1,48839,https://doi.org/10.15454/PBJK68,AO10013,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,78,,147,,"11,98",,"78,8",,"104,5",,"77,2",
RE09010itkt,2849252,BTH_Estrées-Mons_2010_SetB1,BTH_Estrées-Mons_2010_SetB1,48540,https://doi.org/10.15454/82RKSJ,RE09010,VIRTUAL_TRIAL,,,,,,,,treated,2010,80,,156,,"10,49",,"72,9",,"95,5",,90,
AO10013itkt,2849258,BTH_Estrées-Mons_2010_SetB1,BTH_Estrées-Mons_2010_SetB1,48839,https://doi.org/10.15454/PBJK68,AO10013,VIRTUAL_TRIAL,,,,,,,,treated,2010,70,,148,,"10,38",,"76,2",,"106,5",,"100,5",
Apacheitkt,2849272,BTH_Estrées-Mons_2010_SetB1,BTH_Estrées-Mons_2010_SetB1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2010,70,,148,,"10,32",,"78,3",,"93,6",,"88,3",
RE09010itkfi,2849251,BTH_Estrées-Mons_2010_SetB1,BTH_Estrées-Mons_2010_SetB1,48540,https://doi.org/10.15454/82RKSJ,RE09010,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,82,,156,,"10,61",,"76,1",,"100,3",,"74,1",
Apacheitkfi,2849271,BTH_Estrées-Mons_2010_SetB1,BTH_Estrées-Mons_2010_SetB1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,70,,147,,"10,72",,"81,1",,"100,5",,"74,2",
DI10005itkt,2849294,BTH_Estrées-Mons_2010_SetB1,BTH_Estrées-Mons_2010_SetB1,49716,gnpis_pui:holding-921_taxon-4898_accession-49716,DI10005,VIRTUAL_TRIAL,,,,,,,,treated,2010,72,,152,,"10,76",,"77,2",,"99,8",,"94,1",
Bermudeitkt,2849254,BTH_Estrées-Mons_2010_SetB1,BTH_Estrées-Mons_2010_SetB1,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,treated,2010,75,,151,,"9,98",,"75,2",,"109,5",,"103,3",
Premioitkt,2849246,BTH_Estrées-Mons_2010_SetB1,BTH_Estrées-Mons_2010_SetB1,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,treated,2010,70,,151,,"10,8",,78,,"100,5",,"94,8",
Premioitkfi,2849245,BTH_Estrées-Mons_2010_SetB1,BTH_Estrées-Mons_2010_SetB1,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,70,,147,,12,,"81,2",,"96,7",,"71,4",
CF09093itkt,2849270,BTH_Estrées-Mons_2010_SetB1,BTH_Estrées-Mons_2010_SetB1,49525,gnpis_pui:holding-921_taxon-4898_accession-49525,CF09093,VIRTUAL_TRIAL,,,,,,,,treated,2010,68,,146,,"11,43",,"76,5",,"99,9",,"94,3",
CF09093itkfi,2849269,BTH_Estrées-Mons_2010_SetB1,BTH_Estrées-Mons_2010_SetB1,49525,gnpis_pui:holding-921_taxon-4898_accession-49525,CF09093,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,72,,147,,"12,52",,"81,3",,"96,6",,"71,3",
RE09009itkfi,2849281,BTH_Estrées-Mons_2010_SetB1,BTH_Estrées-Mons_2010_SetB1,49096,https://doi.org/10.15454/PSFHWC,RE09009,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,78,,154,,"11,92",,"76,7",,"99,1",,"73,2",
Bermudeitkfi,2849253,BTH_Estrées-Mons_2010_SetB1,BTH_Estrées-Mons_2010_SetB1,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,78,,152,,"10,18",,"81,6",,"104,4",,"77,1",
DI10004itkt,2849296,BTH_Estrées-Mons_2010_SetB1,BTH_Estrées-Mons_2010_SetB1,49387,gnpis_pui:holding-921_taxon-4898_accession-49387,DI10004,VIRTUAL_TRIAL,,,,,,,,treated,2010,72,,157,,"10,73",,79,,"96,8",,"91,3",
AO10015itkt,2849238,BTH_Estrées-Mons_2010_SetB1,BTH_Estrées-Mons_2010_SetB1,48383,https://doi.org/10.15454/IDYNPA,AO10015,VIRTUAL_TRIAL,,,,,,,,treated,2010,82,,148,,"11,13",,80,,"104,5",,"98,6",
RE09009itkt,2849282,BTH_Estrées-Mons_2010_SetB1,BTH_Estrées-Mons_2010_SetB1,49096,https://doi.org/10.15454/PSFHWC,RE09009,VIRTUAL_TRIAL,,,,,,,,treated,2010,75,,156,,"10,41",,"74,7",,"94,5",,"89,2",
CF09027itkt,2849302,BTH_Estrées-Mons_2010_SetB1,BTH_Estrées-Mons_2010_SetB1,48507,https://doi.org/10.15454/YFD4LO,CF09027,VIRTUAL_TRIAL,,,,,,,,treated,2010,70,,151,,"10,12",,"79,2",,"93,9",,"88,6",
EM09003itkt,2849250,BTH_Estrées-Mons_2010_SetB1,BTH_Estrées-Mons_2010_SetB1,49087,https://doi.org/10.15454/53EBXZ,EM09003,VIRTUAL_TRIAL,,,,,,,,treated,2010,75,,156,,"8,85",,"78,3",,"102,9",,"97,1",
EM09003itkfi,2849249,BTH_Estrées-Mons_2010_SetB1,BTH_Estrées-Mons_2010_SetB1,49087,https://doi.org/10.15454/53EBXZ,EM09003,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,78,,152,,"9,84",,"81,4",,"103,2",,"76,2",
CF09027itkfi,2849301,BTH_Estrées-Mons_2010_SetB1,BTH_Estrées-Mons_2010_SetB1,48507,https://doi.org/10.15454/YFD4LO,CF09027,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,72,,148,,"11,4",,"81,4",,"94,5",,"69,8",
DI10002itkt,2849292,BTH_Estrées-Mons_2010_SetB1,BTH_Estrées-Mons_2010_SetB1,48382,gnpis_pui:holding-921_taxon-4898_accession-48382,DI10002,VIRTUAL_TRIAL,,,,,,,,treated,2010,75,,156,,"11,24",,74,,"97,2",,"91,7",
RE09030itkt,2849242,BTH_Estrées-Mons_2010_SetB1,BTH_Estrées-Mons_2010_SetB1,49497,gnpis_pui:holding-921_taxon-4898_accession-49497,RE09030,VIRTUAL_TRIAL,,,,,,,,treated,2010,78,,157,,"10,87",,"77,9",,"95,4",,90,
RE09030itkfi,2849241,BTH_Estrées-Mons_2010_SetB1,BTH_Estrées-Mons_2010_SetB1,49497,gnpis_pui:holding-921_taxon-4898_accession-49497,RE09030,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,80,,156,,"11,66",,"80,3",,"93,2",,"68,8",
AO10010itkt,2849316,BTH_Estrées-Mons_2010_SetB1,BTH_Estrées-Mons_2010_SetB1,49024,gnpis_pui:holding-921_taxon-4898_accession-49024,AO10010,VIRTUAL_TRIAL,,,,,,,,treated,2010,75,,156,,"9,93",,"77,5",,"101,5",,"95,7",
AO10010itkfi,2849315,BTH_Estrées-Mons_2010_SetB1,BTH_Estrées-Mons_2010_SetB1,49024,gnpis_pui:holding-921_taxon-4898_accession-49024,AO10010,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,75,,154,,"11,58",,"78,4",,"86,8",,"64,1",
EM09021itkt,2849244,BTH_Estrées-Mons_2010_SetB1,BTH_Estrées-Mons_2010_SetB1,48576,gnpis_pui:holding-921_taxon-4898_accession-48576,EM09021,VIRTUAL_TRIAL,,,,,,,,treated,2010,72,,143,,"10,78",,80,,"93,4",,"88,1",
EM09021itkfi,2849243,BTH_Estrées-Mons_2010_SetB1,BTH_Estrées-Mons_2010_SetB1,48576,gnpis_pui:holding-921_taxon-4898_accession-48576,EM09021,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,72,,144,,"12,01",,"79,6",,"77,6",,"57,3",
EM09080itkfi,2849303,BTH_Estrées-Mons_2010_SetB1,BTH_Estrées-Mons_2010_SetB1,49303,https://doi.org/10.15454/WSDK5P,EM09080,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,80,,155,,"10,3",,"80,3",,"106,8",,"78,9",
CF09081itkt,2849312,BTH_Estrées-Mons_2010_SetB1,BTH_Estrées-Mons_2010_SetB1,49444,gnpis_pui:holding-921_taxon-4898_accession-49444,CF09081,VIRTUAL_TRIAL,,,,,,,,treated,2010,70,,146,,"10,84",,"80,7",,"98,4",,"92,8",
CF09077itkfi,2849275,BTH_Estrées-Mons_2010_SetB1,BTH_Estrées-Mons_2010_SetB1,49152,gnpis_pui:holding-921_taxon-4898_accession-49152,CF09077,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,75,,147,,"13,02",,"82,6",,"88,1",,"65,1",
AO10015itkfi,2849237,BTH_Estrées-Mons_2010_SetB1,BTH_Estrées-Mons_2010_SetB1,48383,https://doi.org/10.15454/IDYNPA,AO10015,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,85,,147,,"12,14",,"83,3",,"96,9",,"71,5",
DI10005itkfi,2849293,BTH_Estrées-Mons_2010_SetB1,BTH_Estrées-Mons_2010_SetB1,49716,gnpis_pui:holding-921_taxon-4898_accession-49716,DI10005,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,75,,149,,"11,49",,"82,2",,"100,7",,"74,4",
CF09081itkfi,2849311,BTH_Estrées-Mons_2010_SetB1,BTH_Estrées-Mons_2010_SetB1,49444,gnpis_pui:holding-921_taxon-4898_accession-49444,CF09081,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,72,,146,,"12,02",,"81,3",,"87,2",,"64,4",
CF09077itkt,2849276,BTH_Estrées-Mons_2010_SetB1,BTH_Estrées-Mons_2010_SetB1,49152,gnpis_pui:holding-921_taxon-4898_accession-49152,CF09077,VIRTUAL_TRIAL,,,,,,,,treated,2010,72,,147,,"11,24",,"80,2",,"90,6",,"85,5",
EM09080itkt,2849304,BTH_Estrées-Mons_2010_SetB1,BTH_Estrées-Mons_2010_SetB1,49303,https://doi.org/10.15454/WSDK5P,EM09080,VIRTUAL_TRIAL,,,,,,,,treated,2010,75,,155,,"9,95",,"78,4",,98,,"92,5",
CF09075itkt,2849274,BTH_Estrées-Mons_2010_SetB1,BTH_Estrées-Mons_2010_SetB1,48642,gnpis_pui:holding-921_taxon-4898_accession-48642,CF09075,VIRTUAL_TRIAL,,,,,,,,treated,2010,78,,150,,"11,92",,"79,3",,"84,6",,"79,8",
CF09075itkfi,2849273,BTH_Estrées-Mons_2010_SetB1,BTH_Estrées-Mons_2010_SetB1,48642,gnpis_pui:holding-921_taxon-4898_accession-48642,CF09075,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,78,,148,,"12,55",,"80,7",,87,,"64,3",
DI10003itkfi,2849289,BTH_Estrées-Mons_2010_SetB1,BTH_Estrées-Mons_2010_SetB1,48505,gnpis_pui:holding-921_taxon-4898_accession-48505,DI10003,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,85,,152,,"10,5",,"83,3",,"109,5",,"80,9",
CF09085itkfi,2849309,BTH_Estrées-Mons_2010_SetB1,BTH_Estrées-Mons_2010_SetB1,49657,gnpis_pui:holding-921_taxon-4898_accession-49657,CF09085,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,75,,148,,"11,57",,"81,8",,"91,4",,"67,5",
Attlassitkt,2849300,BTH_Estrées-Mons_2010_SetB1,BTH_Estrées-Mons_2010_SetB1,26823,https://doi.org/10.15454/4BHB0N,ATTLASS,VIRTUAL_TRIAL,,,,,,,,treated,2010,75,,154,,"9,66",,79,,"97,2",,"91,7",
CF09085itkt,2849310,BTH_Estrées-Mons_2010_SetB1,BTH_Estrées-Mons_2010_SetB1,49657,gnpis_pui:holding-921_taxon-4898_accession-49657,CF09085,VIRTUAL_TRIAL,,,,,,,,treated,2010,72,,150,,"10,39",,"78,5",,"93,7",,"88,4",
Attlassitkfi,2849299,BTH_Estrées-Mons_2010_SetB1,BTH_Estrées-Mons_2010_SetB1,26823,https://doi.org/10.15454/4BHB0N,ATTLASS,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,78,,153,,"10,92",,"80,9",,"106,3",,"78,5",
AO10014itkt,2849240,BTH_Estrées-Mons_2010_SetB1,BTH_Estrées-Mons_2010_SetB1,49697,gnpis_pui:holding-921_taxon-4898_accession-49697,AO10014,VIRTUAL_TRIAL,,,,,,,,treated,2010,75,,148,,"11,92",,80,,"98,5",,"92,9",
Gallixeitkfi,2849307,BTH_Estrées-Mons_2010_SetB1,BTH_Estrées-Mons_2010_SetB1,60702,https://doi.org/10.15454/BKJEDG,GALLIXE,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,70,,147,,"10,54",,"80,3",,"103,3",,"76,3",
RE09031itkt,2849260,BTH_Estrées-Mons_2010_SetB1,BTH_Estrées-Mons_2010_SetB1,49247,gnpis_pui:holding-921_taxon-4898_accession-49247,RE09031,VIRTUAL_TRIAL,,,,,,,,treated,2010,75,,156,,"10,78",,"80,3",,"94,1",,"88,8",
RE09031itkfi,2849259,BTH_Estrées-Mons_2010_SetB1,BTH_Estrées-Mons_2010_SetB1,49247,gnpis_pui:holding-921_taxon-4898_accession-49247,RE09031,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,75,,153,,"11,8",,"84,1",,100,,"73,9",
EM09189itkfi,2849313,BTH_Estrées-Mons_2010_SetB1,BTH_Estrées-Mons_2010_SetB1,49252,https://doi.org/10.15454/LVMRPV,EM09189,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,80,,150,,"10,46",,"79,8",,"107,6",,"79,5",
AO10012itkt,2849248,BTH_Estrées-Mons_2010_SetB1,BTH_Estrées-Mons_2010_SetB1,48523,gnpis_pui:holding-921_taxon-4898_accession-48523,AO10012,VIRTUAL_TRIAL,,,,,,,,treated,2010,75,,146,,"11,5",,"78,6",,"100,9",,"95,2",
AO10012itkfi,2849247,BTH_Estrées-Mons_2010_SetB1,BTH_Estrées-Mons_2010_SetB1,48523,gnpis_pui:holding-921_taxon-4898_accession-48523,AO10012,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,78,,146,,"12,85",,82,,"95,6",,"70,6",
Gallixeitkt,2849308,BTH_Estrées-Mons_2010_SetB1,BTH_Estrées-Mons_2010_SetB1,60702,https://doi.org/10.15454/BKJEDG,GALLIXE,VIRTUAL_TRIAL,,,,,,,,treated,2010,70,,148,,10,,"75,2",,104,,"98,1",
EM09189itkt,2849314,BTH_Estrées-Mons_2010_SetB1,BTH_Estrées-Mons_2010_SetB1,49252,https://doi.org/10.15454/LVMRPV,EM09189,VIRTUAL_TRIAL,,,,,,,,treated,2010,75,,150,,"9,93",,"75,4",,"102,8",,97,
DI10003itkt,2849290,BTH_Estrées-Mons_2010_SetB1,BTH_Estrées-Mons_2010_SetB1,48505,gnpis_pui:holding-921_taxon-4898_accession-48505,DI10003,VIRTUAL_TRIAL,,,,,,,,treated,2010,80,,153,,"10,45",,"80,4",,99,,"93,4",
AO10014itkfi,2849239,BTH_Estrées-Mons_2010_SetB1,BTH_Estrées-Mons_2010_SetB1,49697,gnpis_pui:holding-921_taxon-4898_accession-49697,AO10014,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,80,,146,,"13,29",,"81,9",,"90,8",,"67,1",
AO10009itkfi,2849283,BTH_Estrées-Mons_2010_SetB1,BTH_Estrées-Mons_2010_SetB1,48682,gnpis_pui:holding-921_taxon-4898_accession-48682,AO10009,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,72,,148,,"12,01",,"80,9",,95,,"70,1",
Caphornitkt,2849280,BTH_Estrées-Mons_2010_SetB1,BTH_Estrées-Mons_2010_SetB1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,treated,2010,65,,152,,"10,7",,"75,4",,"96,4",,"90,9",
RE09029itkt,2849286,BTH_Estrées-Mons_2010_SetB1,BTH_Estrées-Mons_2010_SetB1,48519,https://doi.org/10.15454/R0LHUG,RE09029,VIRTUAL_TRIAL,,,,,,,,treated,2010,75,,154,,"10,58",,"80,6",,"96,6",,"91,1",
AO10009itkt,2849284,BTH_Estrées-Mons_2010_SetB1,BTH_Estrées-Mons_2010_SetB1,48682,gnpis_pui:holding-921_taxon-4898_accession-48682,AO10009,VIRTUAL_TRIAL,,,,,,,,treated,2010,68,,150,,"10,22",,80,,"100,2",,"94,5",
RE09032itkfi,2849265,BTH_Estrées-Mons_2010_SetB1,BTH_Estrées-Mons_2010_SetB1,48622,gnpis_pui:holding-921_taxon-4898_accession-48622,RE09032,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,80,,153,,"11,9",,"85,3",,"98,2",,"72,5",
