observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,pva(CO_321:1000252),pva(CO_321:1000252).date,pvp(CO_321:1000251),pvp(CO_321:1000251).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rj(CO_321:1000162),rj(CO_321:1000162).date
AO12033,2873309,BTH_Rennes_2013_SetA1_PIETIN-VERSE,BTH_Rennes_2013_SetA1_PIETIN-VERSE,60771,https://doi.org/10.15454/KH7BKH,AO12033,VIRTUAL_TRIAL,,,,,,,,2013,5,,"7,8",,5,,6,,1,
DI11002,2873303,BTH_Rennes_2013_SetA1_PIETIN-VERSE,BTH_Rennes_2013_SetA1_PIETIN-VERSE,60786,https://doi.org/10.15454/XUWXYL,DI11002,VIRTUAL_TRIAL,,,,,,,,2013,"5,5",,"2,2",,5,,4,,3,
AO12021,2873288,BTH_Rennes_2013_SetA1_PIETIN-VERSE,BTH_Rennes_2013_SetA1_PIETIN-VERSE,60961,https://doi.org/10.15454/0ZFI4A,AO12021,VIRTUAL_TRIAL,,,,,,,,2013,3,,NA,,2,,2,,1,
CF09169,2873297,BTH_Rennes_2013_SetA1_PIETIN-VERSE,BTH_Rennes_2013_SetA1_PIETIN-VERSE,48637,https://doi.org/10.15454/PVGZIK,CF09169,VIRTUAL_TRIAL,,,,,,,,2013,"3,5",,NA,,2,,6,,3,
DI11014,2873320,BTH_Rennes_2013_SetA1_PIETIN-VERSE,BTH_Rennes_2013_SetA1_PIETIN-VERSE,48652,https://doi.org/10.15454/GG9CKW,DI11014,VIRTUAL_TRIAL,,,,,,,,2013,"4,5",,NA,,2,,NA,,9,
Altigo,2873305,BTH_Rennes_2013_SetA1_PIETIN-VERSE,BTH_Rennes_2013_SetA1_PIETIN-VERSE,26906,https://doi.org/10.15454/6CYBGM,ALTIGO,VIRTUAL_TRIAL,,,,,,,,2013,6,,NA,,5,,NA,,8,
Bermude,2873291,BTH_Rennes_2013_SetA1_PIETIN-VERSE,BTH_Rennes_2013_SetA1_PIETIN-VERSE,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,2013,9,,NA,,2,,3,,6,
EM09222,2873312,BTH_Rennes_2013_SetA1_PIETIN-VERSE,BTH_Rennes_2013_SetA1_PIETIN-VERSE,48955,https://doi.org/10.15454/A78B2Q,EM09222,VIRTUAL_TRIAL,,,,,,,,2013,"6,5",,NA,,2,,4,,1,
AO12014,2873293,BTH_Rennes_2013_SetA1_PIETIN-VERSE,BTH_Rennes_2013_SetA1_PIETIN-VERSE,49318,https://doi.org/10.15454/WXGPLG,AO12014,VIRTUAL_TRIAL,,,,,,,,2013,8,,"7,9",,5,,NA,,9,
AO12035,2873306,BTH_Rennes_2013_SetA1_PIETIN-VERSE,BTH_Rennes_2013_SetA1_PIETIN-VERSE,49348,https://doi.org/10.15454/NFBGKG,AO12035,VIRTUAL_TRIAL,,,,,,,,2013,"4,5",,6,,5,,6,,1,
