observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NpainC(CO_321:1000233),NpainC(CO_321:1000233).date,NpateC(CO_321:1000232),NpateC(CO_321:1000232).date,NtotC(CO_321:1000234),NtotC(CO_321:1000234).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,sds(CO_321:1000224),sds(CO_321:1000224).date,vp(CO_321:1000225),vp(CO_321:1000225).date
DI02006,2784549,BTH_Rennes_2002_TECH,BTH_Rennes_2002_TECH,49032,gnpis_pui:holding-921_taxon-4898_accession-49032,DI02006,VIRTUAL_TRIAL,,,,,,,,2002,"23,3",,110,,155,,71,,226,,54,,"0,5",,191,,61,,465,,"10,5",,"75,8",,53,,"2,67",
EM01150,2784595,BTH_Rennes_2002_TECH,BTH_Rennes_2002_TECH,49276,gnpis_pui:holding-921_taxon-4898_accession-49276,EM01150,VIRTUAL_TRIAL,,,,,,,,2002,"17,7",,63,,152,,76,,228,,74,,"1,17",,169,,54,,363,,"9,5",,"75,1",,48,,"2,93",
EM01288,2784597,BTH_Rennes_2002_TECH,BTH_Rennes_2002_TECH,49281,gnpis_pui:holding-921_taxon-4898_accession-49281,EM01288,VIRTUAL_TRIAL,,,,,,,,2002,"25,2",,129,,153,,67,,220,,50,,"0,39",,199,,52,,388,,"10,1",,"80,5",,51,,"3,09",
DI01022,2784552,BTH_Rennes_2002_TECH,BTH_Rennes_2002_TECH,49284,gnpis_pui:holding-921_taxon-4898_accession-49284,DI01022,VIRTUAL_TRIAL,,,,,,,,2002,"23,7",,114,,144,,78,,222,,48,,"0,42",,179,,16,,387,,11,,"83,8",,43,,"2,69",
CF01184,2784588,BTH_Rennes_2002_TECH,BTH_Rennes_2002_TECH,49268,gnpis_pui:holding-921_taxon-4898_accession-49268,CF01184,VIRTUAL_TRIAL,,,,,,,,2002,"24,4",,121,,147,,64,,211,,57,,"0,47",,201,,56,,413,,"10,7",,"76,7",,55,,"3,48",
RE01086,2784579,BTH_Rennes_2002_TECH,BTH_Rennes_2002_TECH,48512,gnpis_pui:holding-921_taxon-4898_accession-48512,RE01086,VIRTUAL_TRIAL,,,,,,,,2002,"17,1",,60,,164,,74,,238,,79,,"1,33",,171,,66,,415,,"9,6",,"76,7",,42,,"3,2",
EM00264,2784587,BTH_Rennes_2002_TECH,BTH_Rennes_2002_TECH,48806,gnpis_pui:holding-921_taxon-4898_accession-48806,EM00264,VIRTUAL_TRIAL,,,,,,,,2002,"20,8",,88,,121,,52,,173,,40,,"0,45",,100,,68,,430,,9,,"80,6",,37,,"2,49",
CF01043,2784589,BTH_Rennes_2002_TECH,BTH_Rennes_2002_TECH,48822,gnpis_pui:holding-921_taxon-4898_accession-48822,CF01043,VIRTUAL_TRIAL,,,,,,,,2002,"24,2",,119,,127,,54,,181,,30,,"0,25",,105,,17,,340,,"11,7",,"76,3",,40,,"2,22",
EM01063,2784560,BTH_Rennes_2002_TECH,BTH_Rennes_2002_TECH,49119,gnpis_pui:holding-921_taxon-4898_accession-49119,EM01063,VIRTUAL_TRIAL,,,,,,,,2002,"19,3",,75,,147,,64,,211,,46,,"0,6",,118,,21,,285,,"10,6",,78,,33,,"2,29",
DI02028,2784578,BTH_Rennes_2002_TECH,BTH_Rennes_2002_TECH,49121,gnpis_pui:holding-921_taxon-4898_accession-49121,DI02028,VIRTUAL_TRIAL,,,,,,,,2002,"23,4",,111,,125,,54,,179,,32,,"0,29",,113,,6,,336,,"10,5",,"77,1",,31,,"2,09",
