observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
CF07292itkfi,2834378,BTH_Estrées-Mons_2008_SetB3,BTH_Estrées-Mons_2008_SetB3,48492,gnpis_pui:holding-921_taxon-4898_accession-48492,CF07292,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,3,,"83,5",,142,,"11,29",,"95,7",,75,,2,,"3,5",,1,
AO08817itkt,2834421,BTH_Estrées-Mons_2008_SetB3,BTH_Estrées-Mons_2008_SetB3,48597,gnpis_pui:holding-921_taxon-4898_accession-48597,AO08817,VIRTUAL_TRIAL,,,,,,,,treated,2008,,,"93,5",,"146,5",,"11,32",,"89,2",,"91,4",,,,,,1,
CF07292itkt,2834379,BTH_Estrées-Mons_2008_SetB3,BTH_Estrées-Mons_2008_SetB3,48492,gnpis_pui:holding-921_taxon-4898_accession-48492,CF07292,VIRTUAL_TRIAL,,,,,,,,treated,2008,,,"82,5",,"145,5",,"11,78",,"87,5",,"89,6",,,,,,1,
DI08022itkt,2834425,BTH_Estrées-Mons_2008_SetB3,BTH_Estrées-Mons_2008_SetB3,49223,gnpis_pui:holding-921_taxon-4898_accession-49223,DI08022,VIRTUAL_TRIAL,,,,,,,,treated,2008,,,85,,144,,"11,04",,"92,9",,"95,2",,,,,,1,
Caphornitkfi,2834418,BTH_Estrées-Mons_2008_SetB3,BTH_Estrées-Mons_2008_SetB3,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,"3,5",,"82,5",,142,,"10,73",,"102,2",,"80,2",,3,,4,,1,
AO08817itkfi,2834420,BTH_Estrées-Mons_2008_SetB3,BTH_Estrées-Mons_2008_SetB3,48597,gnpis_pui:holding-921_taxon-4898_accession-48597,AO08817,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,"2,5",,"98,5",,146,,"10,97",,"94,5",,"74,1",,"3,5",,4,,"1,5",
DI08020itkt,2834429,BTH_Estrées-Mons_2008_SetB3,BTH_Estrées-Mons_2008_SetB3,49557,gnpis_pui:holding-921_taxon-4898_accession-49557,DI08020,VIRTUAL_TRIAL,,,,,,,,treated,2008,,,"92,5",,144,,"11,26",,"93,2",,"95,5",,,,,,1,
DI08017itkfi,2834372,BTH_Estrées-Mons_2008_SetB3,BTH_Estrées-Mons_2008_SetB3,48701,gnpis_pui:holding-921_taxon-4898_accession-48701,DI08017,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,2,,86,,142,,"9,81",,"96,7",,"75,9",,"3,5",,"3,5",,1,
AO08813itkt,2834399,BTH_Estrées-Mons_2008_SetB3,BTH_Estrées-Mons_2008_SetB3,48777,gnpis_pui:holding-921_taxon-4898_accession-48777,AO08813,VIRTUAL_TRIAL,,,,,,,,treated,2008,,,85,,137,,"10,61",,"101,9",,"104,5",,,,,,1,
DI08017itkt,2834373,BTH_Estrées-Mons_2008_SetB3,BTH_Estrées-Mons_2008_SetB3,48701,gnpis_pui:holding-921_taxon-4898_accession-48701,DI08017,VIRTUAL_TRIAL,,,,,,,,treated,2008,,,90,,144,,"10,3",,"93,6",,"95,9",,,,,,1,
CF07311itkfi,2834374,BTH_Estrées-Mons_2008_SetB3,BTH_Estrées-Mons_2008_SetB3,27837,https://doi.org/10.15454/CYACZC,CF07311,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,"2,5",,85,,140,,"10,26",,"100,3",,"78,7",,"3,5",,4,,1,
DI08023itkfi,2834426,BTH_Estrées-Mons_2008_SetB3,BTH_Estrées-Mons_2008_SetB3,49693,gnpis_pui:holding-921_taxon-4898_accession-49693,DI08023,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,2,,95,,147,,"11,52",,"98,6",,"77,3",,3,,3,,"1,5",
DI08018itkfi,2834382,BTH_Estrées-Mons_2008_SetB3,BTH_Estrées-Mons_2008_SetB3,49132,gnpis_pui:holding-921_taxon-4898_accession-49132,DI08018,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,"2,5",,90,,144,,"9,52",,"86,8",,"68,1",,"5,5",,"3,5",,1,
DI08022itkfi,2834424,BTH_Estrées-Mons_2008_SetB3,BTH_Estrées-Mons_2008_SetB3,49223,gnpis_pui:holding-921_taxon-4898_accession-49223,DI08022,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,5,,90,,"144,5",,"10,89",,"99,8",,"78,3",,"4,5",,3,,1,
AO08813itkfi,2834398,BTH_Estrées-Mons_2008_SetB3,BTH_Estrées-Mons_2008_SetB3,48777,gnpis_pui:holding-921_taxon-4898_accession-48777,AO08813,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,3,,"93,5",,137,,"10,81",,"107,4",,"84,2",,"4,5",,4,,2,
