observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,sept(CO_321:1000109),sept(CO_321:1000109).date
DI08009itkfi,2833557,BTH_Lusignan_2008_SetB2,BTH_Lusignan_2008_SetB2,48494,gnpis_pui:holding-921_taxon-4898_accession-48494,DI08009,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,78,,142,,"69,9",,"120,6",,"48,1",,"3,2",
Premioitkfi,2833532,BTH_Lusignan_2008_SetB2,BTH_Lusignan_2008_SetB2,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,83,,136,,"70,2",,"101,2",,"40,4",,"6,8",
AO08337itkfi,2833539,BTH_Lusignan_2008_SetB2,BTH_Lusignan_2008_SetB2,49535,gnpis_pui:holding-921_taxon-4898_accession-49535,AO08337,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,78,,133,,"65,9",,85,,"33,9",,"6,5",
EM07246itkfi,2833533,BTH_Lusignan_2008_SetB2,BTH_Lusignan_2008_SetB2,48496,gnpis_pui:holding-921_taxon-4898_accession-48496,EM07246,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,79,,134,,"71,6",,"110,3",,44,,"5,5",
RE07071itkfi,2833534,BTH_Lusignan_2008_SetB2,BTH_Lusignan_2008_SetB2,49005,gnpis_pui:holding-921_taxon-4898_accession-49005,RE07071,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,86,,136,,"73,2",,"104,1",,"41,5",,4,
AO08511itkfi,2833554,BTH_Lusignan_2008_SetB2,BTH_Lusignan_2008_SetB2,48515,gnpis_pui:holding-921_taxon-4898_accession-48515,AO08511,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,75,,136,,"62,4",,"67,7",,27,,8,
RE07028itkfi,2833555,BTH_Lusignan_2008_SetB2,BTH_Lusignan_2008_SetB2,48952,gnpis_pui:holding-921_taxon-4898_accession-48952,RE07028,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,82,,138,,"68,6",,"83,1",,"33,1",,"7,5",
RE07036itkfi,2833543,BTH_Lusignan_2008_SetB2,BTH_Lusignan_2008_SetB2,48462,gnpis_pui:holding-921_taxon-4898_accession-48462,RE07036,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,90,,138,,"70,4",,"100,2",,40,,5,
Sankaraitkfi,2833552,BTH_Lusignan_2008_SetB2,BTH_Lusignan_2008_SetB2,26123,https://doi.org/10.15454/R5VJW6,SANKARA,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,85,,143,,"73,8",,"111,9",,"44,6",,4,
CF07080itkfi,2833564,BTH_Lusignan_2008_SetB2,BTH_Lusignan_2008_SetB2,48671,gnpis_pui:holding-921_taxon-4898_accession-48671,CF07080,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,90,,140,,"73,2",,"114,8",,"45,8",,"4,2",
DI08010itkfi,2833537,BTH_Lusignan_2008_SetB2,BTH_Lusignan_2008_SetB2,48734,gnpis_pui:holding-921_taxon-4898_accession-48734,DI08010,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,88,,138,,"69,1",,"90,1",,"35,9",,"4,8",
CF07138itkfi,2833551,BTH_Lusignan_2008_SetB2,BTH_Lusignan_2008_SetB2,49475,gnpis_pui:holding-921_taxon-4898_accession-49475,CF07138,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,95,,140,,"73,2",,"124,9",,"49,8",,"3,8",
Mendelitkfi,2833549,BTH_Lusignan_2008_SetB2,BTH_Lusignan_2008_SetB2,26120,https://doi.org/10.15454/TNI3IW,MENDEL,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,82,,137,,"67,4",,"100,2",,"39,9",,5,
EM07213itkfi,2833547,BTH_Lusignan_2008_SetB2,BTH_Lusignan_2008_SetB2,48541,gnpis_pui:holding-921_taxon-4898_accession-48541,EM07213,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,81,,134,,"76,3",,"119,7",,"47,7",,"4,2",
RE07087itkfi,2833568,BTH_Lusignan_2008_SetB2,BTH_Lusignan_2008_SetB2,49201,gnpis_pui:holding-921_taxon-4898_accession-49201,RE07087,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,98,,143,,"71,6",,"124,9",,"49,8",,3,
RE07027itkfi,2833558,BTH_Lusignan_2008_SetB2,BTH_Lusignan_2008_SetB2,49172,gnpis_pui:holding-921_taxon-4898_accession-49172,RE07027,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,92,,142,,75,,"103,3",,"41,2",,4,
Musikitkfi,2833541,BTH_Lusignan_2008_SetB2,BTH_Lusignan_2008_SetB2,27738,https://doi.org/10.15454/JP9LCI,MUSIK,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,78,,139,,"72,2",,"112,5",,"44,9",,6,
RE07047itkfi,2833561,BTH_Lusignan_2008_SetB2,BTH_Lusignan_2008_SetB2,49013,gnpis_pui:holding-921_taxon-4898_accession-49013,RE07047,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,90,,142,,"67,8",,"110,7",,"44,1",,"4,5",
AO08514itkfi,2833569,BTH_Lusignan_2008_SetB2,BTH_Lusignan_2008_SetB2,49416,gnpis_pui:holding-921_taxon-4898_accession-49416,AO08514,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,80,,133,,"68,8",,"86,3",,"34,4",,7,
RE07038itkfi,2833563,BTH_Lusignan_2008_SetB2,BTH_Lusignan_2008_SetB2,48821,gnpis_pui:holding-921_taxon-4898_accession-48821,RE07038,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,82,,140,,"68,7",,"115,4",,46,,5,
DI08008itkfi,2833556,BTH_Lusignan_2008_SetB2,BTH_Lusignan_2008_SetB2,49441,gnpis_pui:holding-921_taxon-4898_accession-49441,DI08008,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,90,,142,,"68,5",,"95,8",,"38,2",,"4,8",
Caphornitkfi,2833553,BTH_Lusignan_2008_SetB2,BTH_Lusignan_2008_SetB2,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,82,,138,,"67,6",,"83,8",,"33,4",,"5,8",
EM07219itkfi,2833550,BTH_Lusignan_2008_SetB2,BTH_Lusignan_2008_SetB2,49294,gnpis_pui:holding-921_taxon-4898_accession-49294,EM07219,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,84,,134,,"75,6",,"117,6",,"46,9",,"4,2",
RE07082itkfi,2833567,BTH_Lusignan_2008_SetB2,BTH_Lusignan_2008_SetB2,48501,gnpis_pui:holding-921_taxon-4898_accession-48501,RE07082,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,96,,134,,73,,"119,2",,"47,5",,4,
CF07141itkfi,2833560,BTH_Lusignan_2008_SetB2,BTH_Lusignan_2008_SetB2,27903,https://doi.org/10.15454/EWNN9Q,CF07141,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,86,,138,,"73,6",,107,,"42,6",,"4,8",
