observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,vr(CO_321:1000099),vr(CO_321:1000099).date
RE06050itkfi,2823378,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,27828,https://doi.org/10.15454/PRTXZC,RE06050,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,85,,130,,"72,9",,"122,5",,5,,"55,1",,1,
EM06021itkfi,2823382,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,48827,gnpis_pui:holding-921_taxon-4898_accession-48827,EM06021,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,85,,"132,5",,74,,"105,5",,8,,"47,5",,1,
CF06136itkfi,2823407,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,27783,https://doi.org/10.15454/S3WW0P,CF06136,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,95,,"129,5",,"69,4",,"109,8",,8,,"49,4",,1,
DI07006itkfi,2823375,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,48856,gnpis_pui:holding-921_taxon-4898_accession-48856,DI07006,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,75,,134,,"66,9",,"93,9",,"5,2",,"42,2",,1,
EM06035itkfi,2823405,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,49009,gnpis_pui:holding-921_taxon-4898_accession-49009,EM06035,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,95,,133,,"74,3",,"99,7",,"7,8",,"44,8",,1,
CF06016itkfi,2823399,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,27782,https://doi.org/10.15454/96DRU4,CF06016,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,75,,137,,"67,1",,"98,2",,"4,5",,"44,2",,1,
Mendelitkfi,2823386,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,26120,https://doi.org/10.15454/TNI3IW,MENDEL,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,85,,"130,5",,"65,4",,"91,7",,"7,5",,"41,2",,1,
AO07210itkfi,2823402,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,27757,https://doi.org/10.15454/YPTSA5,AO07210,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,85,,125,,"66,9",,"114,6",,"7,5",,"51,6",,"2,5",
DI07007itkfi,2823374,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,48889,gnpis_pui:holding-921_taxon-4898_accession-48889,DI07007,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,80,,134,,"64,3",,"83,5",,"5,8",,"37,6",,1,
AO07127itkfi,2823384,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,27756,https://doi.org/10.15454/PILE9C,AO07127,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,80,,126,,73,,"124,8",,"6,8",,"56,1",,1,
Sankaraitkfi,2823389,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,26123,https://doi.org/10.15454/R5VJW6,SANKARA,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,80,,"135,5",,"66,4",,"95,3",,"7,2",,"42,9",,1,
RE06060itkfi,2823401,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,27265,https://doi.org/10.15454/OLKQ99,RE06060,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,85,,"128,5",,"72,8",,"102,6",,"5,8",,"46,1",,1,
RE06025itkfi,2823395,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,48830,gnpis_pui:holding-921_taxon-4898_accession-48830,RE06025,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,80,,"131,5",,"71,6",,"113,7",,"2,8",,"51,2",,1,
CF06013itkfi,2823400,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,49609,gnpis_pui:holding-921_taxon-4898_accession-49609,CF06013,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,75,,"127,5",,"70,6",,"87,1",,9,,"39,2",,1,
Toisondoritkfi,2823364,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,70,,130,,"74,2",,"142,6",,1,,"64,1",,1,
CF06003itkfi,2823381,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,49241,gnpis_pui:holding-921_taxon-4898_accession-49241,CF06003,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,85,,"131,5",,"71,2",,"100,7",,8,,"45,3",,1,
CF06153itkfi,2823406,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,48401,gnpis_pui:holding-921_taxon-4898_accession-48401,CF06153,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,85,,139,,"70,5",,"94,9",,"5,2",,"42,7",,1,
Karillonitkfi,2823403,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,27739,https://doi.org/10.15454/LFFVPX,KARILLON,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,85,,"131,5",,"67,7",,"105,6",,"5,5",,"47,5",,1,
DI07005itkfi,2823372,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,49455,gnpis_pui:holding-921_taxon-4898_accession-49455,DI07005,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,80,,134,,"65,2",,"91,9",,"5,8",,"41,3",,1,
DI07003itkfi,2823370,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,48427,gnpis_pui:holding-921_taxon-4898_accession-48427,DI07003,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,75,,132,,"66,6",,"90,6",,"6,5",,"40,8",,1,
EM06010itkfi,2823365,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,48529,gnpis_pui:holding-921_taxon-4898_accession-48529,EM06010,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,80,,134,,"70,1",,"98,9",,"2,5",,"44,5",,1,
EM06064itkfi,2823392,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,48404,gnpis_pui:holding-921_taxon-4898_accession-48404,EM06064,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,95,,135,,"75,7",,"118,3",,"4,2",,"53,2",,1,
CF06123itkfi,2823385,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,48854,gnpis_pui:holding-921_taxon-4898_accession-48854,CF06123,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,85,,134,,"71,3",,"93,9",,8,,"42,2",,1,
RE06007itkfi,2823368,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,49126,gnpis_pui:holding-921_taxon-4898_accession-49126,RE06007,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,90,,"134,5",,"69,9",,105,,"4,5",,"47,2",,"5,5",
Caphornitkfi,2823391,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,85,,128,,"66,4",,"105,7",,"6,8",,"47,5",,1,
CF06001itkfi,2823379,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,49460,gnpis_pui:holding-921_taxon-4898_accession-49460,CF06001,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,85,,133,,"69,8",,"106,5",,7,,"47,9",,1,
DI07001itkfi,2823369,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,27802,https://doi.org/10.15454/5XXKDL,DI07001,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,80,,"123,5",,"67,4",,"114,4",,"7,5",,"51,4",,1,
AO07102itkfi,2823383,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,27754,https://doi.org/10.15454/7MX1DM,AO07102,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,90,,"134,5",,"70,5",,"83,3",,6,,"37,4",,"1,5",
DI07002itkfi,2823371,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,49589,gnpis_pui:holding-921_taxon-4898_accession-49589,DI07002,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,95,,134,,"72,6",,"110,9",,5,,"49,9",,1,
RE06058itkfi,2823388,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,27830,https://doi.org/10.15454/V4CPNJ,RE06058,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,95,,138,,"67,3",,"115,6",,"2,5",,52,,"1,5",
EM06017itkfi,2823367,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,27814,https://doi.org/10.15454/ZBYAJC,EM06017,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,90,,"130,5",,"76,4",,"116,4",,"7,5",,"52,4",,1,
RE06057itkfi,2823376,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,48964,gnpis_pui:holding-921_taxon-4898_accession-48964,RE06057,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,85,,125,,"70,2",,"108,7",,"7,5",,"48,9",,1,
Apacheitkfi,2823394,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,85,,"127,5",,"71,9",,"107,4",,9,,"48,3",,1,
AO07116itkfi,2823404,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,27755,https://doi.org/10.15454/IF7X64,AO07116,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,95,,"131,5",,73,,"115,6",,"3,8",,52,,3,
