observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
RE00108itkt,2778618,BTH_Le_Moulon_2002_SetA2,BTH_Le_Moulon_2002_SetA2,26004,https://doi.org/10.15454/6Q72BN,RE00108,VIRTUAL_TRIAL,,,,,,,,treated,2002,80,,141,,"12,84",,"104,9",,,,108,,,,,,3,
RE00108itkfi,2778616,BTH_Le_Moulon_2002_SetA2,BTH_Le_Moulon_2002_SetA2,26004,https://doi.org/10.15454/6Q72BN,RE00108,VIRTUAL_TRIAL,,,,,,,,low inputs,2002,,,,,"9,01",,"98,2",,,,"79,4",,,,,,,
CF99077itkt,2778576,BTH_Le_Moulon_2002_SetA2,BTH_Le_Moulon_2002_SetA2,26047,https://doi.org/10.15454/XORVCY,CF99077,VIRTUAL_TRIAL,,,,,,,,treated,2002,85,,144,,"13,08",,101,,,,104,,,,,,1,
CF00117itkfi,2778625,BTH_Le_Moulon_2002_SetA2,BTH_Le_Moulon_2002_SetA2,26049,https://doi.org/10.15454/NGVK7J,CF00117,VIRTUAL_TRIAL,,,,,,,,low inputs,2002,,,,,"9,62",,"101,7",,,,"82,2",,,,,,,
DI01019itknt,2778638,BTH_Le_Moulon_2002_SetA2,BTH_Le_Moulon_2002_SetA2,48621,gnpis_pui:holding-921_taxon-4898_accession-48621,DI01019,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2002,,,,,,,"125,9",,1,,"94,4",,1,,1,,,
DI01019itkfi,2778637,BTH_Le_Moulon_2002_SetA2,BTH_Le_Moulon_2002_SetA2,48621,gnpis_pui:holding-921_taxon-4898_accession-48621,DI01019,VIRTUAL_TRIAL,,,,,,,,low inputs,2002,,,,,"9,17",,"98,4",,,,"79,6",,,,,,,
RE00149itkt,2778606,BTH_Le_Moulon_2002_SetA2,BTH_Le_Moulon_2002_SetA2,48470,gnpis_pui:holding-921_taxon-4898_accession-48470,RE00149,VIRTUAL_TRIAL,,,,,,,,treated,2002,85,,137,,"15,48",,"94,3",,,,"97,1",,,,,,3,
RE00113itkt,2778663,BTH_Le_Moulon_2002_SetA2,BTH_Le_Moulon_2002_SetA2,49700,gnpis_pui:holding-921_taxon-4898_accession-49700,RE00113,VIRTUAL_TRIAL,,,,,,,,treated,2002,85,,141,,"12,8",,103,,,,"106,1",,,,,,2,
RE00149itkfi,2778604,BTH_Le_Moulon_2002_SetA2,BTH_Le_Moulon_2002_SetA2,48470,gnpis_pui:holding-921_taxon-4898_accession-48470,RE00149,VIRTUAL_TRIAL,,,,,,,,low inputs,2002,,,,,"12,62",,"83,4",,,,"67,4",,,,,,,
CF99077itkfi,2778574,BTH_Le_Moulon_2002_SetA2,BTH_Le_Moulon_2002_SetA2,26047,https://doi.org/10.15454/XORVCY,CF99077,VIRTUAL_TRIAL,,,,,,,,low inputs,2002,,,,,"9,41",,"99,3",,,,"80,3",,,,,,,
RE00160itkfi,2778592,BTH_Le_Moulon_2002_SetA2,BTH_Le_Moulon_2002_SetA2,26871,https://doi.org/10.15454/5JJD7K,RE00160,VIRTUAL_TRIAL,,,,,,,,low inputs,2002,,,,,"10,73",,"94,9",,,,"76,8",,,,,,,
CF00117itkt,2778627,BTH_Le_Moulon_2002_SetA2,BTH_Le_Moulon_2002_SetA2,26049,https://doi.org/10.15454/NGVK7J,CF00117,VIRTUAL_TRIAL,,,,,,,,treated,2002,80,,139,,"13,22",,"109,3",,,,"112,6",,,,,,1,
RE00149itknt,2778605,BTH_Le_Moulon_2002_SetA2,BTH_Le_Moulon_2002_SetA2,48470,gnpis_pui:holding-921_taxon-4898_accession-48470,RE00149,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2002,,,,,,,"124,6",,1,,"93,4",,1,,3,,,
Chargeritknt,2778629,BTH_Le_Moulon_2002_SetA2,BTH_Le_Moulon_2002_SetA2,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2002,,,,,,,"112,1",,1,,"84,1",,1,,1,,,
RE00144itknt,2778665,BTH_Le_Moulon_2002_SetA2,BTH_Le_Moulon_2002_SetA2,48402,gnpis_pui:holding-921_taxon-4898_accession-48402,RE00144,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2002,,,,,,,"110,3",,1,,"82,7",,1,,4,,,
CF00117itknt,2778626,BTH_Le_Moulon_2002_SetA2,BTH_Le_Moulon_2002_SetA2,26049,https://doi.org/10.15454/NGVK7J,CF00117,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2002,,,,,,,"124,4",,1,,"93,3",,1,,1,,,
RE00164itkfi,2778589,BTH_Le_Moulon_2002_SetA2,BTH_Le_Moulon_2002_SetA2,48472,gnpis_pui:holding-921_taxon-4898_accession-48472,RE00164,VIRTUAL_TRIAL,,,,,,,,low inputs,2002,,,,,"8,38",,"100,5",,,,"81,3",,,,,,,
RE00160itkt,2778594,BTH_Le_Moulon_2002_SetA2,BTH_Le_Moulon_2002_SetA2,26871,https://doi.org/10.15454/5JJD7K,RE00160,VIRTUAL_TRIAL,,,,,,,,treated,2002,90,,138,,"13,47",,"89,3",,,,92,,,,,,2,
CF00020itkt,2778567,BTH_Le_Moulon_2002_SetA2,BTH_Le_Moulon_2002_SetA2,49725,https://doi.org/10.15454/PNW0L6,CF00020,VIRTUAL_TRIAL,,,,,,,,treated,2002,80,,136,,"13,72",,109,,,,"112,3",,,,,,2,
RE00144itkfi,2778664,BTH_Le_Moulon_2002_SetA2,BTH_Le_Moulon_2002_SetA2,48402,gnpis_pui:holding-921_taxon-4898_accession-48402,RE00144,VIRTUAL_TRIAL,,,,,,,,low inputs,2002,,,,,"9,96",,"107,5",,,,87,,,,,,,
Chargeritkt,2778630,BTH_Le_Moulon_2002_SetA2,BTH_Le_Moulon_2002_SetA2,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,treated,2002,80,,137,,"13,34",,"101,1",,,,"104,2",,,,,,1,
RE00144itkt,2778666,BTH_Le_Moulon_2002_SetA2,BTH_Le_Moulon_2002_SetA2,48402,gnpis_pui:holding-921_taxon-4898_accession-48402,RE00144,VIRTUAL_TRIAL,,,,,,,,treated,2002,85,,138,,"12,83",,96,,,,"98,9",,,,,,4,
RE00143itkt,2778633,BTH_Le_Moulon_2002_SetA2,BTH_Le_Moulon_2002_SetA2,49057,gnpis_pui:holding-921_taxon-4898_accession-49057,RE00143,VIRTUAL_TRIAL,,,,,,,,treated,2002,90,,140,,"11,75",,"98,6",,,,"101,5",,,,,,1,
RE00143itkfi,2778631,BTH_Le_Moulon_2002_SetA2,BTH_Le_Moulon_2002_SetA2,49057,gnpis_pui:holding-921_taxon-4898_accession-49057,RE00143,VIRTUAL_TRIAL,,,,,,,,low inputs,2002,,,,,"9,07",,"97,2",,,,"78,7",,,,,,,
Chargeritkfi,2778628,BTH_Le_Moulon_2002_SetA2,BTH_Le_Moulon_2002_SetA2,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,low inputs,2002,,,,,"8,61",,"97,9",,,,"79,2",,,,,,,
RE00164itkt,2778591,BTH_Le_Moulon_2002_SetA2,BTH_Le_Moulon_2002_SetA2,48472,gnpis_pui:holding-921_taxon-4898_accession-48472,RE00164,VIRTUAL_TRIAL,,,,,,,,treated,2002,85,,143,,"11,53",,101,,,,104,,,,,,2,
DI01032itknt,2778635,BTH_Le_Moulon_2002_SetA2,BTH_Le_Moulon_2002_SetA2,49224,gnpis_pui:holding-921_taxon-4898_accession-49224,DI01032,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2002,,,,,,,"120,5",,1,,"90,3",,1,,1,,,
CF99351itknt,2778608,BTH_Le_Moulon_2002_SetA2,BTH_Le_Moulon_2002_SetA2,25899,https://doi.org/10.15454/QG5OJU,CF99351,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2002,,,,,,,"112,9",,2,,"84,6",,1,,1,,,
CF99351itkfi,2778607,BTH_Le_Moulon_2002_SetA2,BTH_Le_Moulon_2002_SetA2,25899,https://doi.org/10.15454/QG5OJU,CF99351,VIRTUAL_TRIAL,,,,,,,,low inputs,2002,,,,,"10,87",,"84,7",,,,"68,5",,,,,,,
RE00143itknt,2778632,BTH_Le_Moulon_2002_SetA2,BTH_Le_Moulon_2002_SetA2,49057,gnpis_pui:holding-921_taxon-4898_accession-49057,RE00143,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2002,,,,,,,"112,8",,2,,"84,6",,1,,1,,,
DI01032itkfi,2778634,BTH_Le_Moulon_2002_SetA2,BTH_Le_Moulon_2002_SetA2,49224,gnpis_pui:holding-921_taxon-4898_accession-49224,DI01032,VIRTUAL_TRIAL,,,,,,,,low inputs,2002,,,,,"10,21",,"96,2",,,,"77,9",,,,,,,
CF00020itkfi,2778565,BTH_Le_Moulon_2002_SetA2,BTH_Le_Moulon_2002_SetA2,49725,https://doi.org/10.15454/PNW0L6,CF00020,VIRTUAL_TRIAL,,,,,,,,low inputs,2002,,,,,"10,76",,94,,,,"76,1",,,,,,,
DI01022itknt,2778614,BTH_Le_Moulon_2002_SetA2,BTH_Le_Moulon_2002_SetA2,49284,gnpis_pui:holding-921_taxon-4898_accession-49284,DI01022,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2002,,,,,,,"139,4",,1,,"104,5",,1,,1,,,
RE00164itknt,2778590,BTH_Le_Moulon_2002_SetA2,BTH_Le_Moulon_2002_SetA2,48472,gnpis_pui:holding-921_taxon-4898_accession-48472,RE00164,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2002,,,,,,,"115,9",,1,,"86,9",,1,,1,,,
CF00020itknt,2778566,BTH_Le_Moulon_2002_SetA2,BTH_Le_Moulon_2002_SetA2,49725,https://doi.org/10.15454/PNW0L6,CF00020,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2002,,,,,,,"133,5",,1,,"100,1",,1,,1,,,
RE00160itknt,2778593,BTH_Le_Moulon_2002_SetA2,BTH_Le_Moulon_2002_SetA2,26871,https://doi.org/10.15454/5JJD7K,RE00160,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2002,,,,,,,"123,8",,1,,"92,8",,1,,1,,,
DI01022itkt,2778615,BTH_Le_Moulon_2002_SetA2,BTH_Le_Moulon_2002_SetA2,49284,gnpis_pui:holding-921_taxon-4898_accession-49284,DI01022,VIRTUAL_TRIAL,,,,,,,,treated,2002,85,,136,,"12,61",,"108,5",,,,"111,7",,,,,,3,
DI01022itkfi,2778613,BTH_Le_Moulon_2002_SetA2,BTH_Le_Moulon_2002_SetA2,49284,gnpis_pui:holding-921_taxon-4898_accession-49284,DI01022,VIRTUAL_TRIAL,,,,,,,,low inputs,2002,,,,,"9,29",,"106,8",,,,"86,4",,,,,,,
CF99351itkt,2778609,BTH_Le_Moulon_2002_SetA2,BTH_Le_Moulon_2002_SetA2,25899,https://doi.org/10.15454/QG5OJU,CF99351,VIRTUAL_TRIAL,,,,,,,,treated,2002,80,,139,,"14,34",,"86,2",,,,"88,8",,,,,,3,
EM00107itkt,2778585,BTH_Le_Moulon_2002_SetA2,BTH_Le_Moulon_2002_SetA2,49059,gnpis_pui:holding-921_taxon-4898_accession-49059,EM00107,VIRTUAL_TRIAL,,,,,,,,treated,2002,90,,140,,"12,11",,"116,2",,,,"119,6",,,,,,2,
EM00074itknt,2778647,BTH_Le_Moulon_2002_SetA2,BTH_Le_Moulon_2002_SetA2,48639,gnpis_pui:holding-921_taxon-4898_accession-48639,EM00074,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2002,,,,,,,127,,1,,"95,2",,1,,1,,,
RE00165itknt,2778587,BTH_Le_Moulon_2002_SetA2,BTH_Le_Moulon_2002_SetA2,49290,gnpis_pui:holding-921_taxon-4898_accession-49290,RE00165,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2002,,,,,,,"125,4",,1,,94,,1,,1,,,
RE00165itkfi,2778586,BTH_Le_Moulon_2002_SetA2,BTH_Le_Moulon_2002_SetA2,49290,gnpis_pui:holding-921_taxon-4898_accession-49290,RE00165,VIRTUAL_TRIAL,,,,,,,,low inputs,2002,,,,,"10,41",,"95,4",,,,"77,2",,,,,,,
DI01032itkt,2778636,BTH_Le_Moulon_2002_SetA2,BTH_Le_Moulon_2002_SetA2,49224,gnpis_pui:holding-921_taxon-4898_accession-49224,DI01032,VIRTUAL_TRIAL,,,,,,,,treated,2002,80,,141,,"12,79",,"97,8",,,,"100,7",,,,,,2,
RE01002itkfi,2778643,BTH_Le_Moulon_2002_SetA2,BTH_Le_Moulon_2002_SetA2,26110,https://doi.org/10.15454/PY1VVU,RE01002,VIRTUAL_TRIAL,,,,,,,,low inputs,2002,,,,,"10,28",,91,,,,"73,6",,,,,,,
RE00165itkt,2778588,BTH_Le_Moulon_2002_SetA2,BTH_Le_Moulon_2002_SetA2,49290,gnpis_pui:holding-921_taxon-4898_accession-49290,RE00165,VIRTUAL_TRIAL,,,,,,,,treated,2002,90,,139,,"13,73",,"98,8",,,,"101,7",,,,,,2,
Soissonsitkt,2778660,BTH_Le_Moulon_2002_SetA2,BTH_Le_Moulon_2002_SetA2,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,treated,2002,80,,129,,"13,26",,"95,3",,,,"98,1",,,,,,3,
CF00064itkt,2778579,BTH_Le_Moulon_2002_SetA2,BTH_Le_Moulon_2002_SetA2,25898,https://doi.org/10.15454/CH5SFE,CF00064,VIRTUAL_TRIAL,,,,,,,,treated,2002,85,,135,,"15,13",,"84,4",,,,"86,9",,,,,,1,
CF00064itknt,2778578,BTH_Le_Moulon_2002_SetA2,BTH_Le_Moulon_2002_SetA2,25898,https://doi.org/10.15454/CH5SFE,CF00064,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2002,,,,,,,"110,3",,1,,"82,7",,1,,3,,,
EM00264itkt,2778651,BTH_Le_Moulon_2002_SetA2,BTH_Le_Moulon_2002_SetA2,48806,gnpis_pui:holding-921_taxon-4898_accession-48806,EM00264,VIRTUAL_TRIAL,,,,,,,,treated,2002,90,,143,,"11,58",,113,,,,"116,3",,,,,,2,
EM00264itknt,2778650,BTH_Le_Moulon_2002_SetA2,BTH_Le_Moulon_2002_SetA2,48806,gnpis_pui:holding-921_taxon-4898_accession-48806,EM00264,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2002,,,,,,,"111,7",,1,,"83,7",,1,,2,,,
CF00064itkfi,2778577,BTH_Le_Moulon_2002_SetA2,BTH_Le_Moulon_2002_SetA2,25898,https://doi.org/10.15454/CH5SFE,CF00064,VIRTUAL_TRIAL,,,,,,,,low inputs,2002,,,,,12,,79,,,,64,,,,,,,
EM00107itknt,2778584,BTH_Le_Moulon_2002_SetA2,BTH_Le_Moulon_2002_SetA2,49059,gnpis_pui:holding-921_taxon-4898_accession-49059,EM00107,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2002,,,,,,,"123,3",,1,,"92,5",,1,,1,,,
RE01002itkt,2778645,BTH_Le_Moulon_2002_SetA2,BTH_Le_Moulon_2002_SetA2,26110,https://doi.org/10.15454/PY1VVU,RE01002,VIRTUAL_TRIAL,,,,,,,,treated,2002,75,,133,,"14,03",,"92,8",,,,"95,6",,,,,,2,
EM00264itkfi,2778649,BTH_Le_Moulon_2002_SetA2,BTH_Le_Moulon_2002_SetA2,48806,gnpis_pui:holding-921_taxon-4898_accession-48806,EM00264,VIRTUAL_TRIAL,,,,,,,,low inputs,2002,,,,,"8,31",,"122,2",,,,"98,9",,,,,,,
CF00116itknt,2778623,BTH_Le_Moulon_2002_SetA2,BTH_Le_Moulon_2002_SetA2,26105,https://doi.org/10.15454/XCQCZQ,CF00116,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2002,,,,,,,"114,5",,1,,"85,8",,1,,1,,,
RE01002itknt,2778644,BTH_Le_Moulon_2002_SetA2,BTH_Le_Moulon_2002_SetA2,26110,https://doi.org/10.15454/PY1VVU,RE01002,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2002,,,,,,,"118,4",,1,,"88,8",,1,,3,,,
Soissonsitkfi,2778658,BTH_Le_Moulon_2002_SetA2,BTH_Le_Moulon_2002_SetA2,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,low inputs,2002,,,,,"9,57",,"92,9",,,,"75,1",,,,,,,
RE00113itknt,2778662,BTH_Le_Moulon_2002_SetA2,BTH_Le_Moulon_2002_SetA2,49700,gnpis_pui:holding-921_taxon-4898_accession-49700,RE00113,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2002,,,,,,,"128,4",,1,,"96,3",,1,,2,,,
DI01007itkfi,2778571,BTH_Le_Moulon_2002_SetA2,BTH_Le_Moulon_2002_SetA2,48550,gnpis_pui:holding-921_taxon-4898_accession-48550,DI01007,VIRTUAL_TRIAL,,,,,,,,low inputs,2002,,,,,"8,15",,"109,6",,,,"88,6",,,,,,,
CF00108itkfi,2778568,BTH_Le_Moulon_2002_SetA2,BTH_Le_Moulon_2002_SetA2,26103,https://doi.org/10.15454/VUCZZU,CF00108,VIRTUAL_TRIAL,,,,,,,,low inputs,2002,,,,,"9,84",,"98,9",,,,80,,,,,,,
CF00116itkt,2778624,BTH_Le_Moulon_2002_SetA2,BTH_Le_Moulon_2002_SetA2,26105,https://doi.org/10.15454/XCQCZQ,CF00116,VIRTUAL_TRIAL,,,,,,,,treated,2002,80,,139,,"13,32",,"103,6",,,,"106,6",,,,,,1,
DI01007itkt,2778573,BTH_Le_Moulon_2002_SetA2,BTH_Le_Moulon_2002_SetA2,48550,gnpis_pui:holding-921_taxon-4898_accession-48550,DI01007,VIRTUAL_TRIAL,,,,,,,,treated,2002,85,,143,,"11,01",,"112,9",,,,"116,3",,,,,,1,
CF00116itkfi,2778622,BTH_Le_Moulon_2002_SetA2,BTH_Le_Moulon_2002_SetA2,26105,https://doi.org/10.15454/XCQCZQ,CF00116,VIRTUAL_TRIAL,,,,,,,,low inputs,2002,,,,,"9,38",,"97,7",,,,79,,,,,,,
CF00108itkt,2778570,BTH_Le_Moulon_2002_SetA2,BTH_Le_Moulon_2002_SetA2,26103,https://doi.org/10.15454/VUCZZU,CF00108,VIRTUAL_TRIAL,,,,,,,,treated,2002,80,,140,,"12,97",,"98,8",,,,"101,7",,,,,,1,
DI01007itknt,2778572,BTH_Le_Moulon_2002_SetA2,BTH_Le_Moulon_2002_SetA2,48550,gnpis_pui:holding-921_taxon-4898_accession-48550,DI01007,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2002,,,,,,,"121,5",,1,,"91,1",,1,,1,,,
DI01021itknt,2778581,BTH_Le_Moulon_2002_SetA2,BTH_Le_Moulon_2002_SetA2,49218,gnpis_pui:holding-921_taxon-4898_accession-49218,DI01021,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2002,,,,,,,"116,5",,1,,"87,3",,1,,2,,,
Apacheitkt,2778612,BTH_Le_Moulon_2002_SetA2,BTH_Le_Moulon_2002_SetA2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2002,75,,131,,"12,25",,"103,4",,,,"106,5",,,,,,1,
EM00072itkt,2778642,BTH_Le_Moulon_2002_SetA2,BTH_Le_Moulon_2002_SetA2,26102,https://doi.org/10.15454/WNKZ9X,EM00072,VIRTUAL_TRIAL,,,,,,,,treated,2002,85,,139,,"11,09",,"107,7",,,,"110,9",,,,,,2,
DI01021itkfi,2778580,BTH_Le_Moulon_2002_SetA2,BTH_Le_Moulon_2002_SetA2,49218,gnpis_pui:holding-921_taxon-4898_accession-49218,DI01021,VIRTUAL_TRIAL,,,,,,,,low inputs,2002,,,,,"9,19",,"93,5",,,,"75,6",,,,,,,
Soissonsitknt,2778659,BTH_Le_Moulon_2002_SetA2,BTH_Le_Moulon_2002_SetA2,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2002,,,,,,,"79,1",,7,,"59,3",,1,,1,,,
Apacheitknt,2778611,BTH_Le_Moulon_2002_SetA2,BTH_Le_Moulon_2002_SetA2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2002,,,,,,,"112,4",,1,,"84,3",,1,,4,,,
Apacheitkfi,2778610,BTH_Le_Moulon_2002_SetA2,BTH_Le_Moulon_2002_SetA2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2002,,,,,"8,47",,"106,8",,,,"86,4",,,,,,,
