observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,vr(CO_321:1000099),vr(CO_321:1000099).date
CF11115itkfi,2869409,BTH_Rennes_2012_SetB2,BTH_Rennes_2012_SetB2,61427,https://doi.org/10.15454/ZA57QR,CF11115,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,90,,131,,"68,2",,"79,6",,1,,"43,6",,1,,9,
EM11589itkfi,2869416,BTH_Rennes_2012_SetB2,BTH_Rennes_2012_SetB2,62158,https://doi.org/10.15454/4698PG,EM11589,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,105,,142,,"66,2",,"88,1",,2,,"48,3",,1,,"1,5",
EM11582itkfi,2869418,BTH_Rennes_2012_SetB2,BTH_Rennes_2012_SetB2,62041,https://doi.org/10.15454/YY8ALS,EM11582,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,95,,136,,68,,"94,1",,3,,"51,6",,2,,"1,5",
AO12014itkfi,2869401,BTH_Rennes_2012_SetB2,BTH_Rennes_2012_SetB2,49318,https://doi.org/10.15454/WXGPLG,AO12014,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,95,,142,,"61,2",,"65,4",,NA,,"35,8",,"8,5",,1,
AO12025itkfi,2869395,BTH_Rennes_2012_SetB2,BTH_Rennes_2012_SetB2,61019,https://doi.org/10.15454/VSFGLN,AO12025,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,98,,138,,"66,6",,"71,1",,NA,,39,,8,,1,
EM11579itkfi,2869419,BTH_Rennes_2012_SetB2,BTH_Rennes_2012_SetB2,48950,https://doi.org/10.15454/YMQEBZ,EM11579,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,88,,139,,"69,8",,119,,"1,5",,"65,2",,1,,1,
RE11035itkfi,2869405,BTH_Rennes_2012_SetB2,BTH_Rennes_2012_SetB2,49509,https://doi.org/10.15454/GGHC1S,RE11035,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,95,,144,,"73,1",,"117,9",,2,,"64,6",,1,,1,
DI12009itkfi,2869406,BTH_Rennes_2012_SetB2,BTH_Rennes_2012_SetB2,61863,https://doi.org/10.15454/SSBKER,DI12009,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,90,,141,,"63,6",,"81,7",,4,,"44,8",,1,,1,
RE11087itkfi,2869417,BTH_Rennes_2012_SetB2,BTH_Rennes_2012_SetB2,49419,https://doi.org/10.15454/IRCHBB,RE11087,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,95,,140,,"76,6",,"132,6",,"1,5",,"72,6",,1,,"2,5",
RE11045itkfi,2869396,BTH_Rennes_2012_SetB2,BTH_Rennes_2012_SetB2,48831,https://doi.org/10.15454/IFODWI,RE11045,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,105,,140,,"69,8",,"95,4",,4,,"52,3",,1,,"3,5",
CF11140itkfi,2869413,BTH_Rennes_2012_SetB2,BTH_Rennes_2012_SetB2,61443,https://doi.org/10.15454/61JYKU,CF11140,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,92,,142,,"64,8",,"72,8",,2,,"39,9",,1,,1,
DI12008itkfi,2869407,BTH_Rennes_2012_SetB2,BTH_Rennes_2012_SetB2,61847,https://doi.org/10.15454/ERHVKW,DI12008,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,105,,142,,70,,"106,4",,"2,5",,"58,3",,1,,1,
RE11059itkfi,2869403,BTH_Rennes_2012_SetB2,BTH_Rennes_2012_SetB2,48495,https://doi.org/10.15454/TIEAR7,RE11059,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,98,,141,,"78,2",,"119,2",,"1,5",,"65,3",,1,,1,
AO12020itkfi,2869398,BTH_Rennes_2012_SetB2,BTH_Rennes_2012_SetB2,60945,https://doi.org/10.15454/VXRK5Y,AO12020,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,110,,145,,"70,1",,"108,2",,"2,5",,"59,3",,1,,2,
DI12012itkfi,2869424,BTH_Rennes_2012_SetB2,BTH_Rennes_2012_SetB2,61923,https://doi.org/10.15454/DNQAJZ,DI12012,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,100,,146,,"65,4",,"89,2",,"1,5",,"48,9",,1,,1,
RE11058itkfi,2869404,BTH_Rennes_2012_SetB2,BTH_Rennes_2012_SetB2,48469,https://doi.org/10.15454/ENAZXW,RE11058,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,102,,138,,"73,2",,"131,7",,1,,"72,2",,1,,1,
Altigoitkfi,2869414,BTH_Rennes_2012_SetB2,BTH_Rennes_2012_SetB2,26906,https://doi.org/10.15454/6CYBGM,ALTIGO,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,100,,136,,"68,2",,"85,9",,"3,5",,"47,1",,1,,1,
