observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,vr(CO_321:1000099),vr(CO_321:1000099).date
EM06021itkt,2823225,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,48827,gnpis_pui:holding-921_taxon-4898_accession-48827,EM06021,VIRTUAL_TRIAL,,,,,,,,treated,2007,85,,"128,5",,"10,6",,"73,6",,"97,9",,,,"101,4",,,,1,
EM06021itkfi,2823224,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,48827,gnpis_pui:holding-921_taxon-4898_accession-48827,EM06021,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,85,,126,,"9,48",,"70,4",,"100,8",,4,,"73,4",,1,,1,
DI07007itkt,2823209,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,48889,gnpis_pui:holding-921_taxon-4898_accession-48889,DI07007,VIRTUAL_TRIAL,,,,,,,,treated,2007,"82,5",,130,,"11,97",,69,,"82,3",,,,"85,2",,,,1,
DI07007itkfi,2823208,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,48889,gnpis_pui:holding-921_taxon-4898_accession-48889,DI07007,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"82,5",,"129,5",,"10,42",,"66,2",,"89,3",,3,,"65,1",,1,,1,
Sankaraitkt,2823239,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,26123,https://doi.org/10.15454/R5VJW6,SANKARA,VIRTUAL_TRIAL,,,,,,,,treated,2007,85,,"129,5",,"11,16",,"73,6",,"94,7",,,,"98,1",,,,1,
Sankaraitkfi,2823238,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,26123,https://doi.org/10.15454/R5VJW6,SANKARA,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"87,5",,130,,"10,26",,"71,1",,"96,7",,3,,"70,5",,1,,1,
Toisondoritkt,2823189,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,VIRTUAL_TRIAL,,,,,,,,treated,2007,"72,5",,"124,5",,"10,62",,"69,8",,"106,8",,,,"110,6",,,,1,
Toisondoritkfi,2823188,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,75,,124,,"9,14",,"67,4",,"121,2",,1,,"88,3",,"3,5",,1,
Karillonitkfi,2823266,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,27739,https://doi.org/10.15454/LFFVPX,KARILLON,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,90,,"123,5",,"9,07",,"70,5",,"127,3",,1,,"92,8",,1,,1,
Karillonitkt,2823267,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,27739,https://doi.org/10.15454/LFFVPX,KARILLON,VIRTUAL_TRIAL,,,,,,,,treated,2007,85,,125,,"9,99",,"71,5",,"110,8",,,,"114,8",,,,1,
Caphornitkfi,2823242,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"77,5",,123,,"9,52",,"67,7",,"105,7",,"1,5",,77,,1,,1,
Caphornitkt,2823243,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,treated,2007,"77,5",,124,,"11,86",,"70,2",,101,,,,"104,6",,,,1,
AO07102itkt,2823227,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,27754,https://doi.org/10.15454/7MX1DM,AO07102,VIRTUAL_TRIAL,,,,,,,,treated,2007,90,,"128,5",,"9,91",,"73,9",,111,,,,"114,9",,,,1,
AO07102itkfi,2823226,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,27754,https://doi.org/10.15454/7MX1DM,AO07102,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"92,5",,127,,"8,84",,"70,1",,"116,7",,2,,85,,1,,"1,5",
AO07116itkt,2823269,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,27755,https://doi.org/10.15454/IF7X64,AO07116,VIRTUAL_TRIAL,,,,,,,,treated,2007,"92,5",,"126,5",,"10,73",,"71,2",,"101,4",,,,105,,,,"1,5",
