observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
EM09222itkfi,2856266,BTH_Dijon_2011_SetA2,BTH_Dijon_2011_SetA2,48955,https://doi.org/10.15454/A78B2Q,EM09222,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,72,,127,,"9,1",,"78,1",,"93,3",,"4,5",,"73,9",
Croustyitkt,2856263,BTH_Dijon_2011_SetA2,BTH_Dijon_2011_SetA2,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,VIRTUAL_TRIAL,,,,,,,,treated,2011,86,,130,,"9,24",,"77,9",,"95,8",,,,"92,1",
AO10006itkt,2856237,BTH_Dijon_2011_SetA2,BTH_Dijon_2011_SetA2,49352,https://doi.org/10.15454/NHNCAM,AO10006,VIRTUAL_TRIAL,,,,,,,,treated,2011,79,,131,,"8,46",,"77,3",,"101,8",,,,"97,8",
Premioitkt,2856227,BTH_Dijon_2011_SetA2,BTH_Dijon_2011_SetA2,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,treated,2011,74,,127,,"9,41",,"76,6",,"91,3",,,,"87,8",
Premioitkfi,2856226,BTH_Dijon_2011_SetA2,BTH_Dijon_2011_SetA2,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,82,,128,,"9,71",,"76,6",,"96,9",,"3,5",,"76,7",
DI10015itkt,2856223,BTH_Dijon_2011_SetA2,BTH_Dijon_2011_SetA2,48814,https://doi.org/10.15454/QM62JM,DI10015,VIRTUAL_TRIAL,,,,,,,,treated,2011,68,,128,,"9,32",,"76,4",,"103,7",,,,"99,7",
DI10015itkfi,2856222,BTH_Dijon_2011_SetA2,BTH_Dijon_2011_SetA2,48814,https://doi.org/10.15454/QM62JM,DI10015,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,88,,128,,"8,81",,"77,8",,"95,6",,6,,"75,7",
Altigoitkfi,2856258,BTH_Dijon_2011_SetA2,BTH_Dijon_2011_SetA2,26906,https://doi.org/10.15454/6CYBGM,ALTIGO,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,78,,126,,"9,3",,76,,"102,4",,"2,5",,81,
RE09009itkt,2856257,BTH_Dijon_2011_SetA2,BTH_Dijon_2011_SetA2,49096,https://doi.org/10.15454/PSFHWC,RE09009,VIRTUAL_TRIAL,,,,,,,,treated,2011,81,,130,,"8,84",,"76,7",,"89,7",,,,"86,3",
AO10011itkt,2856225,BTH_Dijon_2011_SetA2,BTH_Dijon_2011_SetA2,49125,https://doi.org/10.15454/CTNPK9,AO10011,VIRTUAL_TRIAL,,,,,,,,treated,2011,86,,132,,"8,74",,"78,4",,"96,7",,,,"92,9",
AO10011itkfi,2856224,BTH_Dijon_2011_SetA2,BTH_Dijon_2011_SetA2,49125,https://doi.org/10.15454/CTNPK9,AO10011,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,NA,,131,,"8,65",,"79,3",,"98,9",,"4,5",,"78,3",
RE09055itkfi,2856292,BTH_Dijon_2011_SetA2,BTH_Dijon_2011_SetA2,61677,https://doi.org/10.15454/RWYMIR,RE09055,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,86,,126,,"8,43",,"73,5",,"111,2",,2,,88,
RE09009itkfi,2856256,BTH_Dijon_2011_SetA2,BTH_Dijon_2011_SetA2,49096,https://doi.org/10.15454/PSFHWC,RE09009,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,84,,130,,"9,41",,"78,2",,"98,2",,"3,5",,"77,7",
EM09320itkfi,2856230,BTH_Dijon_2011_SetA2,BTH_Dijon_2011_SetA2,48354,https://doi.org/10.15454/V82MUD,EM09320,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,72,,128,,"8,94",,"75,8",,"90,5",,5,,"71,6",
RE09055itkt,2856293,BTH_Dijon_2011_SetA2,BTH_Dijon_2011_SetA2,61677,https://doi.org/10.15454/RWYMIR,RE09055,VIRTUAL_TRIAL,,,,,,,,treated,2011,76,,127,,"8,04",,"72,4",,"110,1",,,,"105,8",
Barokitkt,2856219,BTH_Dijon_2011_SetA2,BTH_Dijon_2011_SetA2,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,treated,2011,74,,130,,"9,02",,77,,"103,6",,,,"99,6",
AO10006itkfi,2856236,BTH_Dijon_2011_SetA2,BTH_Dijon_2011_SetA2,49352,https://doi.org/10.15454/NHNCAM,AO10006,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,95,,130,,"8,68",,"77,2",,"105,3",,5,,"83,3",
EM09003itkt,2856233,BTH_Dijon_2011_SetA2,BTH_Dijon_2011_SetA2,49087,https://doi.org/10.15454/53EBXZ,EM09003,VIRTUAL_TRIAL,,,,,,,,treated,2011,81,,128,,"8,67",,"78,5",,"100,2",,,,"96,3",
RE09001itkt,2856251,BTH_Dijon_2011_SetA2,BTH_Dijon_2011_SetA2,48746,https://doi.org/10.15454/ZEEZIW,RE09001,VIRTUAL_TRIAL,,,,,,,,treated,2011,80,,127,,"8,76",,"74,8",,"90,9",,,,"87,4",
Barokitkfi,2856218,BTH_Dijon_2011_SetA2,BTH_Dijon_2011_SetA2,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,89,,130,,"8,72",,78,,97,,"5,5",,"76,8",
EM09320-1itkt,2856277,BTH_Dijon_2011_SetA2,BTH_Dijon_2011_SetA2,48825,https://doi.org/10.15454/2IM7G4,EM09320-1,VIRTUAL_TRIAL,,,,,,,,treated,2011,72,,131,,"9,09",,"76,9",,"105,3",,,,"101,3",
EM09003itkfi,2856232,BTH_Dijon_2011_SetA2,BTH_Dijon_2011_SetA2,49087,https://doi.org/10.15454/53EBXZ,EM09003,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,74,,128,,"8,84",,78,,"97,4",,"7,5",,"77,1",
RE09001itkfi,2856250,BTH_Dijon_2011_SetA2,BTH_Dijon_2011_SetA2,48746,https://doi.org/10.15454/ZEEZIW,RE09001,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,89,,128,,"9,17",,"77,4",,"95,9",,3,,"75,9",
CF09027itkt,2856279,BTH_Dijon_2011_SetA2,BTH_Dijon_2011_SetA2,48507,https://doi.org/10.15454/YFD4LO,CF09027,VIRTUAL_TRIAL,,,,,,,,treated,2011,71,,129,,"8,22",,"77,5",,"99,7",,,,"95,9",
CF09182itkt,2856243,BTH_Dijon_2011_SetA2,BTH_Dijon_2011_SetA2,48586,https://doi.org/10.15454/TEBGJY,CF09182,VIRTUAL_TRIAL,,,,,,,,treated,2011,78,,132,,"8,52",,"76,6",,"98,9",,,,"95,1",
CF09182itkfi,2856242,BTH_Dijon_2011_SetA2,BTH_Dijon_2011_SetA2,48586,https://doi.org/10.15454/TEBGJY,CF09182,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,86,,131,,"9,04",,"77,2",,98,,4,,"77,6",
CF09027itkfi,2856278,BTH_Dijon_2011_SetA2,BTH_Dijon_2011_SetA2,48507,https://doi.org/10.15454/YFD4LO,CF09027,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,88,,128,,"8,51",,"77,8",,"100,7",,5,,"79,8",
RE09073itkfi,2856252,BTH_Dijon_2011_SetA2,BTH_Dijon_2011_SetA2,49428,https://doi.org/10.15454/MX3ENS,RE09073,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,84,,128,,"8,96",,76,,"101,6",,"4,5",,"80,4",
CF09117itkfi,2856288,BTH_Dijon_2011_SetA2,BTH_Dijon_2011_SetA2,48349,https://doi.org/10.15454/DXR4XS,CF09117,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,88,,128,,10,,"77,5",,"90,7",,"3,5",,"71,8",
EM09222itkt,2856267,BTH_Dijon_2011_SetA2,BTH_Dijon_2011_SetA2,48955,https://doi.org/10.15454/A78B2Q,EM09222,VIRTUAL_TRIAL,,,,,,,,treated,2011,82,,128,,"9,41",,"75,7",,"97,5",,,,"93,8",
RE09073itkt,2856253,BTH_Dijon_2011_SetA2,BTH_Dijon_2011_SetA2,49428,https://doi.org/10.15454/MX3ENS,RE09073,VIRTUAL_TRIAL,,,,,,,,treated,2011,70,,129,,"8,57",,"73,2",,102,,,,98,
EM09221itkt,2856283,BTH_Dijon_2011_SetA2,BTH_Dijon_2011_SetA2,49495,https://doi.org/10.15454/CZHVWO,EM09221,VIRTUAL_TRIAL,,,,,,,,treated,2011,70,,128,,"8,24",,"75,2",,"99,5",,,,"95,7",
CF09117itkt,2856289,BTH_Dijon_2011_SetA2,BTH_Dijon_2011_SetA2,48349,https://doi.org/10.15454/DXR4XS,CF09117,VIRTUAL_TRIAL,,,,,,,,treated,2011,82,,129,,"9,34",,"77,2",,"89,7",,,,"86,3",
CF09225itkfi,2856294,BTH_Dijon_2011_SetA2,BTH_Dijon_2011_SetA2,48451,https://doi.org/10.15454/L5GF1L,CF09225,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,86,,131,,"9,22",,"77,9",,"95,5",,5,,"75,6",
EM09318itkt,2856249,BTH_Dijon_2011_SetA2,BTH_Dijon_2011_SetA2,48847,https://doi.org/10.15454/BPR93C,EM09318,VIRTUAL_TRIAL,,,,,,,,treated,2011,70,,131,,"9,32",,"76,6",,"102,8",,,,"98,8",
DI10001itkt,2856265,BTH_Dijon_2011_SetA2,BTH_Dijon_2011_SetA2,48633,gnpis_pui:holding-921_taxon-4898_accession-48633,DI10001,VIRTUAL_TRIAL,,,,,,,,treated,2011,82,,132,,"8,52",,"78,2",,"97,4",,,,"93,7",
Bermudeitkt,2856235,BTH_Dijon_2011_SetA2,BTH_Dijon_2011_SetA2,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,treated,2011,75,,131,,"8,61",,"79,3",,"104,1",,,,100,
CF09169itkfi,2856238,BTH_Dijon_2011_SetA2,BTH_Dijon_2011_SetA2,48637,https://doi.org/10.15454/PVGZIK,CF09169,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,77,,128,,"9,08",,"77,6",,"95,4",,"4,5",,"75,5",
CF09225itkt,2856295,BTH_Dijon_2011_SetA2,BTH_Dijon_2011_SetA2,48451,https://doi.org/10.15454/L5GF1L,CF09225,VIRTUAL_TRIAL,,,,,,,,treated,2011,75,,132,,"9,32",,"77,9",,"97,6",,,,"93,8",
DI10001-2itkt,2856285,BTH_Dijon_2011_SetA2,BTH_Dijon_2011_SetA2,48666,https://doi.org/10.15454/MBT1YT,DI10001-2,VIRTUAL_TRIAL,,,,,,,,treated,2011,81,,132,,"9,1",,78,,"97,6",,,,"93,8",
DI10001-2itkfi,2856284,BTH_Dijon_2011_SetA2,BTH_Dijon_2011_SetA2,48666,https://doi.org/10.15454/MBT1YT,DI10001-2,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,86,,131,,"9,18",,77,,"96,4",,"2,5",,"76,3",
DI10001itkfi,2856264,BTH_Dijon_2011_SetA2,BTH_Dijon_2011_SetA2,48633,gnpis_pui:holding-921_taxon-4898_accession-48633,DI10001,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,87,,132,,"8,82",,"79,2",,"102,4",,3,,"81,1",
CF09227itkt,2856297,BTH_Dijon_2011_SetA2,BTH_Dijon_2011_SetA2,48700,https://doi.org/10.15454/C60S9I,CF09227,VIRTUAL_TRIAL,,,,,,,,treated,2011,82,,128,,"8,66",,"78,4",,"106,4",,,,"102,3",
CF09227itkfi,2856296,BTH_Dijon_2011_SetA2,BTH_Dijon_2011_SetA2,48700,https://doi.org/10.15454/C60S9I,CF09227,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,94,,128,,"8,77",,"78,1",,97,,"3,5",,"76,8",
Apacheitkt,2856247,BTH_Dijon_2011_SetA2,BTH_Dijon_2011_SetA2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2011,72,,127,,"8,75",,"77,6",,"104,1",,,,"100,1",
CF09176itkfi,2856268,BTH_Dijon_2011_SetA2,BTH_Dijon_2011_SetA2,49359,https://doi.org/10.15454/HRZCLT,CF09176,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,80,,131,,"9,07",,"76,7",,"98,7",,4,,"78,1",
Apacheitkfi,2856246,BTH_Dijon_2011_SetA2,BTH_Dijon_2011_SetA2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,80,,127,,"8,79",,"75,6",,"99,9",,"4,5",,"79,1",
EM09221itkfi,2856282,BTH_Dijon_2011_SetA2,BTH_Dijon_2011_SetA2,49495,https://doi.org/10.15454/CZHVWO,EM09221,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,84,,127,,"8,62",,"76,4",,"100,2",,"4,5",,"79,3",
CF09176itkt,2856269,BTH_Dijon_2011_SetA2,BTH_Dijon_2011_SetA2,49359,https://doi.org/10.15454/HRZCLT,CF09176,VIRTUAL_TRIAL,,,,,,,,treated,2011,72,,132,,"8,86",,"76,1",,"94,1",,,,"90,5",
EM09015itkfi,2856254,BTH_Dijon_2011_SetA2,BTH_Dijon_2011_SetA2,49594,https://doi.org/10.15454/UY7D21,EM09015,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,78,,130,,"9,14",,77,,97,,8,,"76,8",
EM09080itkfi,2856280,BTH_Dijon_2011_SetA2,BTH_Dijon_2011_SetA2,49303,https://doi.org/10.15454/WSDK5P,EM09080,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,84,,132,,"8,41",,"78,1",,"101,2",,7,,"80,1",
CF09276itkt,2856241,BTH_Dijon_2011_SetA2,BTH_Dijon_2011_SetA2,48805,https://doi.org/10.15454/XQX8MF,CF09276,VIRTUAL_TRIAL,,,,,,,,treated,2011,82,,126,,"8,24",,77,,"98,4",,,,"94,6",
CF09276itkfi,2856240,BTH_Dijon_2011_SetA2,BTH_Dijon_2011_SetA2,48805,https://doi.org/10.15454/XQX8MF,CF09276,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,92,,124,,"9,25",,"77,8",,"102,3",,"3,5",,81,
CF09169itkt,2856239,BTH_Dijon_2011_SetA2,BTH_Dijon_2011_SetA2,48637,https://doi.org/10.15454/PVGZIK,CF09169,VIRTUAL_TRIAL,,,,,,,,treated,2011,82,,128,,"9,1",,"78,5",,"92,4",,,,"88,8",
Attlassitkfi,2856274,BTH_Dijon_2011_SetA2,BTH_Dijon_2011_SetA2,26823,https://doi.org/10.15454/4BHB0N,ATTLASS,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,73,,129,,"9,02",,"76,7",,"102,5",,"1,5",,"81,1",
EM09318itkfi,2856248,BTH_Dijon_2011_SetA2,BTH_Dijon_2011_SetA2,48847,https://doi.org/10.15454/BPR93C,EM09318,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,72,,130,,"9,04",,"77,2",,110,,6,,"87,1",
EM09080itkt,2856281,BTH_Dijon_2011_SetA2,BTH_Dijon_2011_SetA2,49303,https://doi.org/10.15454/WSDK5P,EM09080,VIRTUAL_TRIAL,,,,,,,,treated,2011,82,,132,,"7,9",,"78,1",,"97,2",,,,"93,4",
Bermudeitkfi,2856234,BTH_Dijon_2011_SetA2,BTH_Dijon_2011_SetA2,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,79,,130,,"8,8",,"77,5",,"100,9",,5,,"79,9",
DI10011itkt,2856229,BTH_Dijon_2011_SetA2,BTH_Dijon_2011_SetA2,49216,https://doi.org/10.15454/HTBFFE,DI10011,VIRTUAL_TRIAL,,,,,,,,treated,2011,82,,125,,"8,55",,"76,3",,"102,6",,,,"98,7",
Attlassitkt,2856275,BTH_Dijon_2011_SetA2,BTH_Dijon_2011_SetA2,26823,https://doi.org/10.15454/4BHB0N,ATTLASS,VIRTUAL_TRIAL,,,,,,,,treated,2011,78,,130,,"8,61",,"77,7",,"91,9",,,,"88,4",
Gallixeitkfi,2856286,BTH_Dijon_2011_SetA2,BTH_Dijon_2011_SetA2,60702,https://doi.org/10.15454/BKJEDG,GALLIXE,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,85,,128,,"9,26",,78,,"90,8",,"4,5",,"71,9",
EM08231itkt,2856261,BTH_Dijon_2011_SetA2,BTH_Dijon_2011_SetA2,49158,https://doi.org/10.15454/UFYMWM,EM08231,VIRTUAL_TRIAL,,,,,,,,treated,2011,67,,129,,"9,45",,"69,8",,"97,8",,,,94,
EM08231itkfi,2856260,BTH_Dijon_2011_SetA2,BTH_Dijon_2011_SetA2,49158,https://doi.org/10.15454/UFYMWM,EM08231,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,78,,128,,"8,75",,"74,9",,"94,7",,1,,75,
EM09189itkt,2856291,BTH_Dijon_2011_SetA2,BTH_Dijon_2011_SetA2,49252,https://doi.org/10.15454/LVMRPV,EM09189,VIRTUAL_TRIAL,,,,,,,,treated,2011,77,,129,,"8,44",,"76,3",,"101,8",,,,"97,9",
RE09063itkt,2856245,BTH_Dijon_2011_SetA2,BTH_Dijon_2011_SetA2,48542,https://doi.org/10.15454/XWSV3O,RE09063,VIRTUAL_TRIAL,,,,,,,,treated,2011,77,,133,,"8,1",,"72,4",,"98,3",,,,"94,5",
Gallixeitkt,2856287,BTH_Dijon_2011_SetA2,BTH_Dijon_2011_SetA2,60702,https://doi.org/10.15454/BKJEDG,GALLIXE,VIRTUAL_TRIAL,,,,,,,,treated,2011,77,,130,,"9,3",,"76,1",,"104,2",,,,"100,2",
RE09063itkfi,2856244,BTH_Dijon_2011_SetA2,BTH_Dijon_2011_SetA2,48542,https://doi.org/10.15454/XWSV3O,RE09063,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,74,,132,,"8,32",,"74,2",,"106,2",,1,,"84,1",
EM09189itkfi,2856290,BTH_Dijon_2011_SetA2,BTH_Dijon_2011_SetA2,49252,https://doi.org/10.15454/LVMRPV,EM09189,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,75,,128,,"8,81",,"76,4",,"107,1",,1,,"84,8",
DI10011itkfi,2856228,BTH_Dijon_2011_SetA2,BTH_Dijon_2011_SetA2,49216,https://doi.org/10.15454/HTBFFE,DI10011,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,74,,125,,"8,9",,"75,2",,"100,3",,3,,"79,4",
