observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieG(CO_321:1000238),NmieG(CO_321:1000238).date,NpainG(CO_321:1000237),NpainG(CO_321:1000237).date,NpateG(CO_321:1000236),NpateG(CO_321:1000236).date,NtotG(CO_321:1000239),NtotG(CO_321:1000239).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,prot(CO_321:1000070),prot(CO_321:1000070).date,volG(CO_321:1000240),volG(CO_321:1000240).date,zel(CO_321:1000222),zel(CO_321:1000222).date
EM08019itkt,2853099,BTH_Orgeval_2010_TECH,BTH_Orgeval_2010_TECH,49300,https://doi.org/10.15454/TFJQEJ,EM08019,VIRTUAL_TRIAL,,,,,,,,2010,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
DI10001itkt,2853094,BTH_Orgeval_2010_TECH,BTH_Orgeval_2010_TECH,48633,gnpis_pui:holding-921_taxon-4898_accession-48633,DI10001,VIRTUAL_TRIAL,,,,,,,,2010,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
Apacheitkt,2853079,BTH_Orgeval_2010_TECH,BTH_Orgeval_2010_TECH,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,2010,"24,1",,118,,94,,"44,9",,67,,"205,9",,45,,"0,38",,129,,57,,402,,"11,2",,1623,,29,
Toisondoritkt,2853071,BTH_Orgeval_2010_TECH,BTH_Orgeval_2010_TECH,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,VIRTUAL_TRIAL,,,,,,,,2010,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
Flamenkoitkt,2853092,BTH_Orgeval_2010_TECH,BTH_Orgeval_2010_TECH,26969,https://doi.org/10.15454/WDD3QQ,FLAMENKO,VIRTUAL_TRIAL,,,,,,,,2010,"21,4",,93,,94,,"63,6",,87,,"244,6",,71,,"0,77",,192,,"65,5",,399,,"11,2",,1535,,33,
Lyrikitkt,2853116,BTH_Orgeval_2010_TECH,BTH_Orgeval_2010_TECH,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,2010,"18,1",,66,,91,,"79,4",,96,,"266,4",,79,,"1,2",,194,,57,,395,,"10,7",,1650,,35,
Musikitkt,2853067,BTH_Orgeval_2010_TECH,BTH_Orgeval_2010_TECH,27738,https://doi.org/10.15454/JP9LCI,MUSIK,VIRTUAL_TRIAL,,,,,,,,2010,"22,5",,103,,94,,"66,5",,96,,"256,5",,79,,"0,77",,256,,"53,5",,415,,"11,4",,1680,,"34,5",
Karillonitkt,2853109,BTH_Orgeval_2010_TECH,BTH_Orgeval_2010_TECH,27739,https://doi.org/10.15454/LFFVPX,KARILLON,VIRTUAL_TRIAL,,,,,,,,2010,"16,1",,53,,85,,"49,4",,80,,"214,4",,72,,"1,38",,132,,64,,341,,"9,8",,1430,,"22,5",
Ghaytaitkt,2853105,BTH_Orgeval_2010_TECH,BTH_Orgeval_2010_TECH,27784,https://doi.org/10.15454/BYBWWN,GHAYTA,VIRTUAL_TRIAL,,,,,,,,2010,"21,8",,96,,NA,,NA,,NA,,NA,,99,,"1,03",,309,,55,,436,,14,,NA,,58,
CF08027itkt,2853119,BTH_Orgeval_2010_TECH,BTH_Orgeval_2010_TECH,27795,https://doi.org/10.15454/8X7KGE,CF08027,VIRTUAL_TRIAL,,,,,,,,2010,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
