observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
Hendrixitkt,2835781,BTH_Champagne-céréales_2009_SetA1,BTH_Champagne-céréales_2009_SetA1,26833,https://doi.org/10.15454/PYUIEM,HENDRIX,VIRTUAL_TRIAL,,,,,,,,treated,2009,"12,1",,"80,6",,"87,8",,"88,1",
EM06017itkt,2835784,BTH_Champagne-céréales_2009_SetA1,BTH_Champagne-céréales_2009_SetA1,27814,https://doi.org/10.15454/ZBYAJC,EM06017,VIRTUAL_TRIAL,,,,,,,,treated,2009,"12,5",,"80,6",,"98,4",,"98,7",
Musikitkt,2835787,BTH_Champagne-céréales_2009_SetA1,BTH_Champagne-céréales_2009_SetA1,27738,https://doi.org/10.15454/JP9LCI,MUSIK,VIRTUAL_TRIAL,,,,,,,,treated,2009,12,,"77,3",,"97,6",,98,
Folkloritkt,2835783,BTH_Champagne-céréales_2009_SetA1,BTH_Champagne-céréales_2009_SetA1,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,treated,2009,11,,"75,9",,"101,7",,102,
AO08112itkt,2835789,BTH_Champagne-céréales_2009_SetA1,BTH_Champagne-céréales_2009_SetA1,27769,https://doi.org/10.15454/IR0FDN,AO08112,VIRTUAL_TRIAL,,,,,,,,treated,2009,"10,2",,"77,2",,"96,2",,"96,5",
Skerzzoitkt,2835810,BTH_Champagne-céréales_2009_SetA1,BTH_Champagne-céréales_2009_SetA1,59735,https://doi.org/10.15454/SGAN4B,SKERZZO,VIRTUAL_TRIAL,,,,,,,,treated,2009,"13,1",,"81,5",,"92,9",,"93,2",
EM06094itkt,2835807,BTH_Champagne-céréales_2009_SetA1,BTH_Champagne-céréales_2009_SetA1,27816,https://doi.org/10.15454/ZMYTIN,EM06094,VIRTUAL_TRIAL,,,,,,,,treated,2009,"12,6",,"76,2",,"96,5",,"96,9",
CF06136itkt,2835819,BTH_Champagne-céréales_2009_SetA1,BTH_Champagne-céréales_2009_SetA1,27783,https://doi.org/10.15454/S3WW0P,CF06136,VIRTUAL_TRIAL,,,,,,,,treated,2009,"11,1",,"76,7",,"99,2",,"99,5",
RE06048itkt,2835812,BTH_Champagne-céréales_2009_SetA1,BTH_Champagne-céréales_2009_SetA1,27264,https://doi.org/10.15454/ILREHV,RE06048,VIRTUAL_TRIAL,,,,,,,,treated,2009,"12,7",,"77,9",,"81,7",,82,
Sankaraitkt,2835798,BTH_Champagne-céréales_2009_SetA1,BTH_Champagne-céréales_2009_SetA1,26123,https://doi.org/10.15454/R5VJW6,SANKARA,VIRTUAL_TRIAL,,,,,,,,treated,2009,"11,8",,"77,7",,"102,1",,"102,4",
RE06060itkt,2835813,BTH_Champagne-céréales_2009_SetA1,BTH_Champagne-céréales_2009_SetA1,27265,https://doi.org/10.15454/OLKQ99,RE06060,VIRTUAL_TRIAL,,,,,,,,treated,2009,"11,5",,"77,6",,"99,1",,"99,5",
CF05162itkt,2835793,BTH_Champagne-céréales_2009_SetA1,BTH_Champagne-céréales_2009_SetA1,26968,https://doi.org/10.15454/3810GN,CF05162,VIRTUAL_TRIAL,,,,,,,,treated,2009,"11,7",,"76,4",,89,,"89,4",
Karillonitkt,2835815,BTH_Champagne-céréales_2009_SetA1,BTH_Champagne-céréales_2009_SetA1,27739,https://doi.org/10.15454/LFFVPX,KARILLON,VIRTUAL_TRIAL,,,,,,,,treated,2009,"10,8",,"78,8",,"105,4",,"105,8",
Soissonsitkt,2835816,BTH_Champagne-céréales_2009_SetA1,BTH_Champagne-céréales_2009_SetA1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,treated,2009,"12,8",,"79,4",,"86,9",,"87,2",
RE06127itkt,2835804,BTH_Champagne-céréales_2009_SetA1,BTH_Champagne-céréales_2009_SetA1,27267,https://doi.org/10.15454/TBKWQN,RE06127,VIRTUAL_TRIAL,,,,,,,,treated,2009,"12,9",,"77,9",,"84,6",,"84,9",
EM06229itkt,2835795,BTH_Champagne-céréales_2009_SetA1,BTH_Champagne-céréales_2009_SetA1,27818,https://doi.org/10.15454/VSKKHS,EM06229,VIRTUAL_TRIAL,,,,,,,,treated,2009,"12,4",,"77,4",,"92,3",,"92,6",
CF03201itkt,2835802,BTH_Champagne-céréales_2009_SetA1,BTH_Champagne-céréales_2009_SetA1,26975,https://doi.org/10.15454/0TTU1F,CF03201,VIRTUAL_TRIAL,,,,,,,,treated,2009,12,,"79,7",,96,,"96,3",
DI07001-2itkt,2835792,BTH_Champagne-céréales_2009_SetA1,BTH_Champagne-céréales_2009_SetA1,48645,gnpis_pui:holding-921_taxon-4898_accession-48645,DI07001-2,VIRTUAL_TRIAL,,,,,,,,treated,2009,"12,1",,"75,2",,"90,5",,"90,8",
Toisondoritkt,2835782,BTH_Champagne-céréales_2009_SetA1,BTH_Champagne-céréales_2009_SetA1,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,VIRTUAL_TRIAL,,,,,,,,treated,2009,"11,3",,"77,8",,"98,8",,"99,1",
AO07210itkt,2835814,BTH_Champagne-céréales_2009_SetA1,BTH_Champagne-céréales_2009_SetA1,27757,https://doi.org/10.15454/YPTSA5,AO07210,VIRTUAL_TRIAL,,,,,,,,treated,2009,"11,7",,"75,8",,"98,4",,"98,7",
Premioitkt,2835790,BTH_Champagne-céréales_2009_SetA1,BTH_Champagne-céréales_2009_SetA1,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,treated,2009,"11,5",,"75,8",,"100,6",,101,
DI02001itkt,2835799,BTH_Champagne-céréales_2009_SetA1,BTH_Champagne-céréales_2009_SetA1,26984,https://doi.org/10.15454/GR0LP3,DI02001,VIRTUAL_TRIAL,,,,,,,,treated,2009,"10,5",,79,,"104,4",,"104,7",
Flamenkoitkt,2835803,BTH_Champagne-céréales_2009_SetA1,BTH_Champagne-céréales_2009_SetA1,26969,https://doi.org/10.15454/WDD3QQ,FLAMENKO,VIRTUAL_TRIAL,,,,,,,,treated,2009,"12,1",,"75,5",,"87,8",,"88,1",
Ghaytaitkt,2835809,BTH_Champagne-céréales_2009_SetA1,BTH_Champagne-céréales_2009_SetA1,27784,https://doi.org/10.15454/BYBWWN,GHAYTA,VIRTUAL_TRIAL,,,,,,,,treated,2009,"12,7",,"77,9",,"92,6",,93,
EM06233itkt,2835820,BTH_Champagne-céréales_2009_SetA1,BTH_Champagne-céréales_2009_SetA1,27819,https://doi.org/10.15454/SA4R8B,EM06233,VIRTUAL_TRIAL,,,,,,,,treated,2009,"12,4",,"77,6",,"95,6",,96,
AO07302itkt,2835811,BTH_Champagne-céréales_2009_SetA1,BTH_Champagne-céréales_2009_SetA1,27759,https://doi.org/10.15454/VOAXIV,AO07302,VIRTUAL_TRIAL,,,,,,,,treated,2009,"11,6",,"76,4",,"96,2",,"96,6",
DI08019-3itkt,2835785,BTH_Champagne-céréales_2009_SetA1,BTH_Champagne-céréales_2009_SetA1,49439,gnpis_pui:holding-921_taxon-4898_accession-49439,DI08019-3,VIRTUAL_TRIAL,,,,,,,,treated,2009,"10,6",,"78,3",,"107,8",,"108,2",
Lyrikitkt,2835818,BTH_Champagne-céréales_2009_SetA1,BTH_Champagne-céréales_2009_SetA1,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,treated,2009,"10,5",,"79,1",,"108,6",,109,
AO08107itkt,2835808,BTH_Champagne-céréales_2009_SetA1,BTH_Champagne-céréales_2009_SetA1,27768,https://doi.org/10.15454/BQBT4V,AO08107,VIRTUAL_TRIAL,,,,,,,,treated,2009,"10,6",,"75,6",,96,,"96,4",
Caphornitkt,2835800,BTH_Champagne-céréales_2009_SetA1,BTH_Champagne-céréales_2009_SetA1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,treated,2009,"11,5",,"77,1",,"99,4",,"99,8",
