observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,oid(CO_321:1000145),oid(CO_321:1000145).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
EM10306itkt,2859669,BTH_Estrées-Mons_2011_SetB2,BTH_Estrées-Mons_2011_SetB2,61526,https://doi.org/10.15454/MRWRT2,EM10306,VIRTUAL_TRIAL,,,,,,,,treated,2011,75,,,,137,,"10,76",,77,,"100,6",,,,"84,3",,,,,,,
Altigoitkt,2859665,BTH_Estrées-Mons_2011_SetB2,BTH_Estrées-Mons_2011_SetB2,26906,https://doi.org/10.15454/6CYBGM,ALTIGO,VIRTUAL_TRIAL,,,,,,,,treated,2011,72,,,,131,,"10,44",,"77,2",,"98,9",,,,"82,9",,,,,,,
DI11009itkt,2859653,BTH_Estrées-Mons_2011_SetB2,BTH_Estrées-Mons_2011_SetB2,60916,https://doi.org/10.15454/SLLOAU,DI11009,VIRTUAL_TRIAL,,,,,,,,treated,2011,72,,,,138,,"10,87",,"80,4",,"102,2",,,,"85,7",,,,,,,
Koreliitkfi,2859648,BTH_Estrées-Mons_2011_SetB2,BTH_Estrées-Mons_2011_SetB2,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,88,,"1,5",,138,,"10,04",,81,,"103,4",,"1,5",,"76,7",,1,,2,,2,
Koreliitkt,2859649,BTH_Estrées-Mons_2011_SetB2,BTH_Estrées-Mons_2011_SetB2,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,treated,2011,78,,,,140,,"10,78",,"80,8",,"108,6",,,,91,,,,,,,
EM10304itkfi,2859670,BTH_Estrées-Mons_2011_SetB2,BTH_Estrées-Mons_2011_SetB2,61512,https://doi.org/10.15454/4AWA2B,EM10304,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,90,,"1,5",,135,,"9,52",,"76,8",,102,,1,,"75,6",,1,,2,,1,
EM10304itkt,2859671,BTH_Estrées-Mons_2011_SetB2,BTH_Estrées-Mons_2011_SetB2,61512,https://doi.org/10.15454/4AWA2B,EM10304,VIRTUAL_TRIAL,,,,,,,,treated,2011,80,,,,137,,"10,69",,76,,"105,5",,,,"88,4",,,,,,,
Altigoitkfi,2859664,BTH_Estrées-Mons_2011_SetB2,BTH_Estrées-Mons_2011_SetB2,26906,https://doi.org/10.15454/6CYBGM,ALTIGO,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,82,,1,,131,,"10,32",,"76,5",,"99,8",,1,,"74,1",,1,,2,,1,
DI11012itkfi,2859684,BTH_Estrées-Mons_2011_SetB2,BTH_Estrées-Mons_2011_SetB2,48928,https://doi.org/10.15454/G34RHP,DI11012,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,88,,"3,5",,136,,"9,28",,"78,7",,111,,1,,"82,3",,1,,2,,1,
DI11012itkt,2859685,BTH_Estrées-Mons_2011_SetB2,BTH_Estrées-Mons_2011_SetB2,48928,https://doi.org/10.15454/G34RHP,DI11012,VIRTUAL_TRIAL,,,,,,,,treated,2011,72,,,,137,,"9,94",,"79,4",,"106,7",,,,"89,5",,,,,,,
AO11012itkt,2859621,BTH_Estrées-Mons_2011_SetB2,BTH_Estrées-Mons_2011_SetB2,48904,https://doi.org/10.15454/QDMSRL,AO11012,VIRTUAL_TRIAL,,,,,,,,treated,2011,68,,,,138,,"10,1",,"77,5",,"110,9",,,,"92,9",,,,,,,
EM10322itkfi,2859666,BTH_Estrées-Mons_2011_SetB2,BTH_Estrées-Mons_2011_SetB2,61572,https://doi.org/10.15454/DD34MP,EM10322,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,80,,"2,5",,136,,"10,09",,"74,8",,"97,9",,1,,"72,6",,1,,2,,1,
RE10072itkt,2859639,BTH_Estrées-Mons_2011_SetB2,BTH_Estrées-Mons_2011_SetB2,49343,https://doi.org/10.15454/4TBCLY,RE10072,VIRTUAL_TRIAL,,,,,,,,treated,2011,80,,,,140,,"10,74",,"76,9",,"106,9",,,,"89,6",,,,,,,
RE10072itkfi,2859638,BTH_Estrées-Mons_2011_SetB2,BTH_Estrées-Mons_2011_SetB2,49343,https://doi.org/10.15454/4TBCLY,RE10072,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,92,,1,,138,,"9,68",,"77,7",,"117,3",,1,,87,,1,,2,,1,
EM10322itkt,2859667,BTH_Estrées-Mons_2011_SetB2,BTH_Estrées-Mons_2011_SetB2,61572,https://doi.org/10.15454/DD34MP,EM10322,VIRTUAL_TRIAL,,,,,,,,treated,2011,70,,,,138,,"10,88",,"74,5",,97,,,,"81,3",,,,,,,
AO11012itkfi,2859620,BTH_Estrées-Mons_2011_SetB2,BTH_Estrées-Mons_2011_SetB2,48904,https://doi.org/10.15454/QDMSRL,AO11012,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,75,,"1,5",,136,,"9,44",,"77,6",,"107,7",,2,,"79,9",,1,,2,,1,
CF10108itkfi,2859624,BTH_Estrées-Mons_2011_SetB2,BTH_Estrées-Mons_2011_SetB2,61973,https://doi.org/10.15454/I6GJS6,CF10108,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,85,,"1,5",,137,,"10,04",,"76,7",,"102,1",,1,,"75,7",,1,,2,,1,
Bermudeitkfi,2859636,BTH_Estrées-Mons_2011_SetB2,BTH_Estrées-Mons_2011_SetB2,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,82,,1,,135,,"9,76",,"78,7",,"102,8",,1,,"76,3",,1,,2,,1,
DI11013itkfi,2859682,BTH_Estrées-Mons_2011_SetB2,BTH_Estrées-Mons_2011_SetB2,49232,https://doi.org/10.15454/8YNF2B,DI11013,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,85,,2,,136,,"9,14",,"79,4",,"110,8",,1,,"82,2",,1,,2,,1,
AO11013itkt,2859623,BTH_Estrées-Mons_2011_SetB2,BTH_Estrées-Mons_2011_SetB2,49347,https://doi.org/10.15454/K3JAUB,AO11013,VIRTUAL_TRIAL,,,,,,,,treated,2011,75,,,,136,,"9,75",,76,,"109,1",,,,"91,4",,,,,,,
CF10108itkt,2859625,BTH_Estrées-Mons_2011_SetB2,BTH_Estrées-Mons_2011_SetB2,61973,https://doi.org/10.15454/I6GJS6,CF10108,VIRTUAL_TRIAL,,,,,,,,treated,2011,72,,,,137,,"10,15",,"76,3",,"101,6",,,,"85,2",,,,,,,
DI11014itkfi,2859686,BTH_Estrées-Mons_2011_SetB2,BTH_Estrées-Mons_2011_SetB2,48652,https://doi.org/10.15454/GG9CKW,DI11014,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,88,,2,,137,,"10,04",,"78,4",,"117,6",,1,,"87,2",,1,,2,,1,
Premioitkfi,2859618,BTH_Estrées-Mons_2011_SetB2,BTH_Estrées-Mons_2011_SetB2,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,80,,"1,5",,131,,"10,6",,"76,8",,"97,1",,1,,72,,1,,2,,1,
CF10185itkfi,2859696,BTH_Estrées-Mons_2011_SetB2,BTH_Estrées-Mons_2011_SetB2,62036,https://doi.org/10.15454/BSSAED,CF10185,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,90,,"1,5",,140,,"10,23",,"77,8",,"105,2",,1,,78,,1,,2,,1,
DI11008itkfi,2859650,BTH_Estrées-Mons_2011_SetB2,BTH_Estrées-Mons_2011_SetB2,60898,https://doi.org/10.15454/RMGL42,DI11008,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,82,,"1,5",,140,,"9,93",,"77,1",,"104,4",,1,,"77,5",,1,,2,,1,
DI11013itkt,2859683,BTH_Estrées-Mons_2011_SetB2,BTH_Estrées-Mons_2011_SetB2,49232,https://doi.org/10.15454/8YNF2B,DI11013,VIRTUAL_TRIAL,,,,,,,,treated,2011,72,,,,138,,"9,78",,"79,3",,"112,2",,,,"94,1",,,,,,,
CF10185itkt,2859697,BTH_Estrées-Mons_2011_SetB2,BTH_Estrées-Mons_2011_SetB2,62036,https://doi.org/10.15454/BSSAED,CF10185,VIRTUAL_TRIAL,,,,,,,,treated,2011,78,,,,141,,"11,44",,"77,4",,"112,3",,,,"94,1",,,,,,,
Premioitkt,2859619,BTH_Estrées-Mons_2011_SetB2,BTH_Estrées-Mons_2011_SetB2,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,treated,2011,68,,,,132,,"10,38",,75,,"97,5",,,,"81,7",,,,,,,
AO11008itkfi,2859662,BTH_Estrées-Mons_2011_SetB2,BTH_Estrées-Mons_2011_SetB2,49376,https://doi.org/10.15454/DLSQIN,AO11008,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,78,,"1,5",,131,,"9,04",,76,,"93,9",,"1,5",,"69,6",,1,,2,,1,
CF10140itkt,2859643,BTH_Estrées-Mons_2011_SetB2,BTH_Estrées-Mons_2011_SetB2,62004,https://doi.org/10.15454/WDXEQE,CF10140,VIRTUAL_TRIAL,,,,,,,,treated,2011,72,,,,142,,"11,38",,"77,4",,"103,4",,,,"86,7",,,,,,,
AO11013itkfi,2859622,BTH_Estrées-Mons_2011_SetB2,BTH_Estrées-Mons_2011_SetB2,49347,https://doi.org/10.15454/K3JAUB,AO11013,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,82,,2,,136,,"9,2",,"75,7",,"109,9",,2,,"81,5",,1,,2,,1,
RE10057itkt,2859627,BTH_Estrées-Mons_2011_SetB2,BTH_Estrées-Mons_2011_SetB2,48915,https://doi.org/10.15454/QZGDLK,RE10057,VIRTUAL_TRIAL,,,,,,,,treated,2011,78,,,,139,,"12,7",,"76,2",,"96,3",,,,"80,7",,,,,,,
CF10140itkfi,2859642,BTH_Estrées-Mons_2011_SetB2,BTH_Estrées-Mons_2011_SetB2,62004,https://doi.org/10.15454/WDXEQE,CF10140,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,88,,2,,140,,"10,52",,"77,3",,"103,4",,1,,"76,7",,1,,2,,1,
DI11008itkt,2859651,BTH_Estrées-Mons_2011_SetB2,BTH_Estrées-Mons_2011_SetB2,60898,https://doi.org/10.15454/RMGL42,DI11008,VIRTUAL_TRIAL,,,,,,,,treated,2011,68,,,,141,,"10,9",,"77,5",,"102,5",,,,"85,9",,,,,,,
Apacheitkt,2859655,BTH_Estrées-Mons_2011_SetB2,BTH_Estrées-Mons_2011_SetB2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2011,68,,,,132,,"9,52",,"75,1",,99,,,,83,,,,,,,
Apacheitkfi,2859654,BTH_Estrées-Mons_2011_SetB2,BTH_Estrées-Mons_2011_SetB2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,80,,2,,131,,"9,5",,"75,9",,"100,2",,1,,"74,3",,1,,2,,1,
CF10180itkfi,2859692,BTH_Estrées-Mons_2011_SetB2,BTH_Estrées-Mons_2011_SetB2,62021,https://doi.org/10.15454/OKKASS,CF10180,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,90,,"1,5",,134,,11,,"77,7",,"107,4",,1,,"79,6",,1,,2,,"1,5",
CF10125itkt,2859641,BTH_Estrées-Mons_2011_SetB2,BTH_Estrées-Mons_2011_SetB2,61989,https://doi.org/10.15454/IBHUHA,CF10125,VIRTUAL_TRIAL,,,,,,,,treated,2011,70,,,,138,,"10,07",,"73,5",,97,,,,"81,3",,,,,,,
CF10180itkt,2859693,BTH_Estrées-Mons_2011_SetB2,BTH_Estrées-Mons_2011_SetB2,62021,https://doi.org/10.15454/OKKASS,CF10180,VIRTUAL_TRIAL,,,,,,,,treated,2011,78,,,,135,,"10,94",,"76,8",,"109,4",,,,"91,7",,,,,,,
RE10057itkfi,2859626,BTH_Estrées-Mons_2011_SetB2,BTH_Estrées-Mons_2011_SetB2,48915,https://doi.org/10.15454/QZGDLK,RE10057,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,92,,1,,136,,"11,86",,"77,1",,"92,1",,1,,"68,3",,1,,2,,1,
AO11014itkt,2859629,BTH_Estrées-Mons_2011_SetB2,BTH_Estrées-Mons_2011_SetB2,48888,https://doi.org/10.15454/2YKLGU,AO11014,VIRTUAL_TRIAL,,,,,,,,treated,2011,75,,,,136,,"9,04",,"75,8",,109,,,,"91,3",,,,,,,
CF10186itkfi,2859694,BTH_Estrées-Mons_2011_SetB2,BTH_Estrées-Mons_2011_SetB2,62066,https://doi.org/10.15454/DDMJZQ,CF10186,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,92,,1,,138,,"10,01",,"74,9",,"96,9",,1,,"71,8",,1,,2,,3,
Bermudeitkt,2859637,BTH_Estrées-Mons_2011_SetB2,BTH_Estrées-Mons_2011_SetB2,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,treated,2011,72,,,,139,,"10,3",,78,,"104,6",,,,"87,6",,,,,,,
DI11011itkt,2859679,BTH_Estrées-Mons_2011_SetB2,BTH_Estrées-Mons_2011_SetB2,60948,https://doi.org/10.15454/MPMTXE,DI11011,VIRTUAL_TRIAL,,,,,,,,treated,2011,72,,,,140,,"10,96",,"79,7",,103,,,,"86,4",,,,,,,
CF10186itkt,2859695,BTH_Estrées-Mons_2011_SetB2,BTH_Estrées-Mons_2011_SetB2,62066,https://doi.org/10.15454/DDMJZQ,CF10186,VIRTUAL_TRIAL,,,,,,,,treated,2011,78,,,,135,,"10,4",,"74,1",,"99,6",,,,"83,5",,,,,,,
DI11010itkfi,2859680,BTH_Estrées-Mons_2011_SetB2,BTH_Estrées-Mons_2011_SetB2,60932,https://doi.org/10.15454/FGQ2LJ,DI11010,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,80,,1,,137,,"10,06",,"78,5",,103,,"1,5",,"76,4",,1,,2,,1,
DI11010itkt,2859681,BTH_Estrées-Mons_2011_SetB2,BTH_Estrées-Mons_2011_SetB2,60932,https://doi.org/10.15454/FGQ2LJ,DI11010,VIRTUAL_TRIAL,,,,,,,,treated,2011,70,,,,139,,"10,61",,"78,3",,"103,6",,,,"86,9",,,,,,,
AO11014itkfi,2859628,BTH_Estrées-Mons_2011_SetB2,BTH_Estrées-Mons_2011_SetB2,48888,https://doi.org/10.15454/2YKLGU,AO11014,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,85,,1,,136,,"8,54",,"76,5",,103,,"1,5",,"76,4",,1,,2,,1,
RE10050itkt,2859633,BTH_Estrées-Mons_2011_SetB2,BTH_Estrées-Mons_2011_SetB2,61869,https://doi.org/10.15454/ZWYREX,RE10050,VIRTUAL_TRIAL,,,,,,,,treated,2011,72,,,,140,,"9,38",,"74,7",,"105,6",,,,"88,5",,,,,,,
EM10317itkfi,2859630,BTH_Estrées-Mons_2011_SetB2,BTH_Estrées-Mons_2011_SetB2,61542,https://doi.org/10.15454/GSBZL4,EM10317,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,90,,"2,5",,138,,"8,94",,"75,1",,"103,6",,"1,5",,"76,9",,1,,2,,1,
RE10050itkfi,2859632,BTH_Estrées-Mons_2011_SetB2,BTH_Estrées-Mons_2011_SetB2,61869,https://doi.org/10.15454/ZWYREX,RE10050,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,82,,1,,140,,"8,54",,"74,6",,"97,5",,1,,"72,4",,1,,2,,1,
RE10063itkfi,2859674,BTH_Estrées-Mons_2011_SetB2,BTH_Estrées-Mons_2011_SetB2,61927,https://doi.org/10.15454/SHFTXF,RE10063,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,100,,"1,5",,138,,"10,96",,"77,5",,"101,2",,1,,"75,1",,1,,2,,1,
RE10063itkt,2859675,BTH_Estrées-Mons_2011_SetB2,BTH_Estrées-Mons_2011_SetB2,61927,https://doi.org/10.15454/SHFTXF,RE10063,VIRTUAL_TRIAL,,,,,,,,treated,2011,82,,,,140,,"11,86",,77,,"99,5",,,,"83,4",,,,,,,
RE10060itkfi,2859672,BTH_Estrées-Mons_2011_SetB2,BTH_Estrées-Mons_2011_SetB2,48417,https://doi.org/10.15454/FWPPIV,RE10060,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,95,,1,,139,,"11,4",,"77,1",,"97,9",,1,,"72,6",,1,,2,,1,
RE10060itkt,2859673,BTH_Estrées-Mons_2011_SetB2,BTH_Estrées-Mons_2011_SetB2,48417,https://doi.org/10.15454/FWPPIV,RE10060,VIRTUAL_TRIAL,,,,,,,,treated,2011,88,,,,141,,"12,7",,"76,8",,"106,9",,,,"89,6",,,,,,,
EM10317itkt,2859631,BTH_Estrées-Mons_2011_SetB2,BTH_Estrées-Mons_2011_SetB2,61542,https://doi.org/10.15454/GSBZL4,EM10317,VIRTUAL_TRIAL,,,,,,,,treated,2011,78,,,,141,,"9,75",,"75,1",,"106,7",,,,"89,5",,,,,,,
AO11008itkt,2859663,BTH_Estrées-Mons_2011_SetB2,BTH_Estrées-Mons_2011_SetB2,49376,https://doi.org/10.15454/DLSQIN,AO11008,VIRTUAL_TRIAL,,,,,,,,treated,2011,75,,,,132,,"9,07",,"75,3",,"105,9",,,,"88,8",,,,,,,
Attlassitkt,2859677,BTH_Estrées-Mons_2011_SetB2,BTH_Estrées-Mons_2011_SetB2,26823,https://doi.org/10.15454/4BHB0N,ATTLASS,VIRTUAL_TRIAL,,,,,,,,treated,2011,70,,,,137,,"10,09",,"76,7",,"95,8",,,,"80,3",,,,,,,
RE10085itkt,2859647,BTH_Estrées-Mons_2011_SetB2,BTH_Estrées-Mons_2011_SetB2,48649,https://doi.org/10.15454/KBZ1TN,RE10085,VIRTUAL_TRIAL,,,,,,,,treated,2011,75,,,,138,,"11,07",,76,,"104,4",,,,"87,5",,,,,,,
RE10081itkfi,2859688,BTH_Estrées-Mons_2011_SetB2,BTH_Estrées-Mons_2011_SetB2,61975,https://doi.org/10.15454/WIBYI7,RE10081,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,80,,1,,137,,"10,94",,"80,4",,"100,9",,1,,"74,9",,1,,2,,1,
RE10081itkt,2859689,BTH_Estrées-Mons_2011_SetB2,BTH_Estrées-Mons_2011_SetB2,61975,https://doi.org/10.15454/WIBYI7,RE10081,VIRTUAL_TRIAL,,,,,,,,treated,2011,72,,,,139,,"11,44",,"79,3",,"104,8",,,,"87,9",,,,,,,
DI11009itkfi,2859652,BTH_Estrées-Mons_2011_SetB2,BTH_Estrées-Mons_2011_SetB2,60916,https://doi.org/10.15454/SLLOAU,DI11009,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,82,,2,,136,,"10,23",,"80,6",,"96,3",,1,,"71,4",,1,,2,,1,
