observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
CF07008itkt,2838420,BTH_Clermont-Ferrand_2009_SetA2,BTH_Clermont-Ferrand_2009_SetA2,27787,https://doi.org/10.15454/SLLTW8,CF07008,VIRTUAL_TRIAL,,,,,,,,treated,2009,146,,"11,2",,78,,"93,2",,,,"92,3",
CF07008itkfi,2838419,BTH_Clermont-Ferrand_2009_SetA2,BTH_Clermont-Ferrand_2009_SetA2,27787,https://doi.org/10.15454/SLLTW8,CF07008,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,145,,"11,2",,"75,6",,"91,3",,2,,"80,8",
CF07022itkt,2838414,BTH_Clermont-Ferrand_2009_SetA2,BTH_Clermont-Ferrand_2009_SetA2,27790,https://doi.org/10.15454/CEUVSR,CF07022,VIRTUAL_TRIAL,,,,,,,,treated,2009,144,,"10,46",,"78,1",,"106,3",,,,"105,2",
CF07193itkt,2838372,BTH_Clermont-Ferrand_2009_SetA2,BTH_Clermont-Ferrand_2009_SetA2,27793,https://doi.org/10.15454/0F480I,CF07193,VIRTUAL_TRIAL,,,,,,,,treated,2009,146,,"11,08",,"74,1",,95,,,,"94,1",
Grapeliitkt,2838370,BTH_Clermont-Ferrand_2009_SetA2,BTH_Clermont-Ferrand_2009_SetA2,27821,https://doi.org/10.15454/4TFKM0,GRAPELI,VIRTUAL_TRIAL,,,,,,,,treated,2009,147,,"10,63",,"76,9",,"108,7",,,,"107,6",
AO09010itkt,2838398,BTH_Clermont-Ferrand_2009_SetA2,BTH_Clermont-Ferrand_2009_SetA2,27779,https://doi.org/10.15454/NTANDH,AO09010,VIRTUAL_TRIAL,,,,,,,,treated,2009,140,,"11,78",,"74,5",,"86,5",,,,"85,7",
AO09010itkfi,2838397,BTH_Clermont-Ferrand_2009_SetA2,BTH_Clermont-Ferrand_2009_SetA2,27779,https://doi.org/10.15454/NTANDH,AO09010,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,137,,"11,51",,"75,6",,"89,6",,3,,"79,3",
Caphornitkfi,2838389,BTH_Clermont-Ferrand_2009_SetA2,BTH_Clermont-Ferrand_2009_SetA2,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,142,,"11,3",,"74,8",,"99,1",,1,,"87,6",
RE07019itkt,2838366,BTH_Clermont-Ferrand_2009_SetA2,BTH_Clermont-Ferrand_2009_SetA2,27305,https://doi.org/10.15454/OPZZGX,RE07019,VIRTUAL_TRIAL,,,,,,,,treated,2009,146,,"10,59",,"80,2",,103,,,,102,
CF07143itkfi,2838391,BTH_Clermont-Ferrand_2009_SetA2,BTH_Clermont-Ferrand_2009_SetA2,27792,https://doi.org/10.15454/NZODZY,CF07143,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,146,,"10,65",,"78,5",,"92,6",,2,,82,
CF07193itkfi,2838371,BTH_Clermont-Ferrand_2009_SetA2,BTH_Clermont-Ferrand_2009_SetA2,27793,https://doi.org/10.15454/0F480I,CF07193,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,146,,"11,3",,"74,8",,"101,6",,1,,"89,9",
AO09002itkt,2838378,BTH_Clermont-Ferrand_2009_SetA2,BTH_Clermont-Ferrand_2009_SetA2,27771,https://doi.org/10.15454/DLZRR4,AO09002,VIRTUAL_TRIAL,,,,,,,,treated,2009,152,,"10,76",,"69,4",,105,,,,104,
RE07019itkfi,2838365,BTH_Clermont-Ferrand_2009_SetA2,BTH_Clermont-Ferrand_2009_SetA2,27305,https://doi.org/10.15454/OPZZGX,RE07019,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,145,,"9,95",,"79,4",,"103,5",,2,,"91,6",
