observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,oid(CO_321:1000145),oid(CO_321:1000145).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,vr(CO_321:1000099),vr(CO_321:1000099).date
CF09085itkt,2849550,BTH_Le_Moulon_2010_SetB1,BTH_Le_Moulon_2010_SetB1,49657,gnpis_pui:holding-921_taxon-4898_accession-49657,CF09085,VIRTUAL_TRIAL,,,,,,,,treated,2010,76,,,,144,,"10,32",,"80,8",,"95,1",,,,106,,2,
CF09085itkfi,2849549,BTH_Le_Moulon_2010_SetB1,BTH_Le_Moulon_2010_SetB1,49657,gnpis_pui:holding-921_taxon-4898_accession-49657,CF09085,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,83,,"1,5",,144,,"10,5",,"80,6",,93,,1,,"94,8",,3,
RE09031itkt,2849500,BTH_Le_Moulon_2010_SetB1,BTH_Le_Moulon_2010_SetB1,49247,gnpis_pui:holding-921_taxon-4898_accession-49247,RE09031,VIRTUAL_TRIAL,,,,,,,,treated,2010,73,,,,150,,"10,93",,83,,85,,,,"94,8",,1,
RE09031itkfi,2849499,BTH_Le_Moulon_2010_SetB1,BTH_Le_Moulon_2010_SetB1,49247,gnpis_pui:holding-921_taxon-4898_accession-49247,RE09031,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,82,,1,,149,,"10,76",,"81,9",,"86,6",,1,,"88,2",,1,
AO10012itkfi,2849487,BTH_Le_Moulon_2010_SetB1,BTH_Le_Moulon_2010_SetB1,48523,gnpis_pui:holding-921_taxon-4898_accession-48523,AO10012,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,86,,"1,5",,144,,"10,34",,"81,1",,"99,2",,2,,"101,2",,1,
AO10012itkt,2849488,BTH_Le_Moulon_2010_SetB1,BTH_Le_Moulon_2010_SetB1,48523,gnpis_pui:holding-921_taxon-4898_accession-48523,AO10012,VIRTUAL_TRIAL,,,,,,,,treated,2010,76,,,,144,,"11,07",,"81,2",,"101,8",,,,"113,5",,1,
AO10009itkt,2849524,BTH_Le_Moulon_2010_SetB1,BTH_Le_Moulon_2010_SetB1,48682,gnpis_pui:holding-921_taxon-4898_accession-48682,AO10009,VIRTUAL_TRIAL,,,,,,,,treated,2010,72,,,,145,,"10,3",,"81,4",,"98,1",,,,"109,4",,1,
AO10009itkfi,2849523,BTH_Le_Moulon_2010_SetB1,BTH_Le_Moulon_2010_SetB1,48682,gnpis_pui:holding-921_taxon-4898_accession-48682,AO10009,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,80,,"1,5",,145,,"9,59",,"79,6",,"96,3",,"1,5",,"98,2",,1,
CF09028itkfi,2849545,BTH_Le_Moulon_2010_SetB1,BTH_Le_Moulon_2010_SetB1,49437,gnpis_pui:holding-921_taxon-4898_accession-49437,CF09028,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,92,,1,,150,,"10,8",,"77,5",,"86,4",,"1,5",,"88,1",,5,
CF09028itkt,2849546,BTH_Le_Moulon_2010_SetB1,BTH_Le_Moulon_2010_SetB1,49437,gnpis_pui:holding-921_taxon-4898_accession-49437,CF09028,VIRTUAL_TRIAL,,,,,,,,treated,2010,78,,,,145,,"10,46",,"80,4",,"95,7",,,,"106,7",,1,
DI10001itkfi,2849527,BTH_Le_Moulon_2010_SetB1,BTH_Le_Moulon_2010_SetB1,48633,gnpis_pui:holding-921_taxon-4898_accession-48633,DI10001,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,92,,1,,150,,"9,56",,"80,4",,"105,8",,1,,"107,8",,"1,5",
DI10001itkt,2849528,BTH_Le_Moulon_2010_SetB1,BTH_Le_Moulon_2010_SetB1,48633,gnpis_pui:holding-921_taxon-4898_accession-48633,DI10001,VIRTUAL_TRIAL,,,,,,,,treated,2010,82,,,,150,,"9,92",,"80,9",,100,,,,"111,5",,1,
Apacheitkt,2849512,BTH_Le_Moulon_2010_SetB1,BTH_Le_Moulon_2010_SetB1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2010,74,,,,144,,"10,72",,"80,2",,98,,,,"109,3",,1,
Apacheitkfi,2849511,BTH_Le_Moulon_2010_SetB1,BTH_Le_Moulon_2010_SetB1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,86,,3,,144,,"9,69",,"79,8",,"102,1",,1,,"104,1",,"4,5",
CF09093itkt,2849510,BTH_Le_Moulon_2010_SetB1,BTH_Le_Moulon_2010_SetB1,49525,gnpis_pui:holding-921_taxon-4898_accession-49525,CF09093,VIRTUAL_TRIAL,,,,,,,,treated,2010,78,,,,144,,"11,88",,"80,7",,"97,8",,,,109,,1,
CF09093itkfi,2849509,BTH_Le_Moulon_2010_SetB1,BTH_Le_Moulon_2010_SetB1,49525,gnpis_pui:holding-921_taxon-4898_accession-49525,CF09093,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,82,,1,,144,,"10,34",,"80,9",,"94,4",,1,,"96,2",,1,
RE09030itkfi,2849481,BTH_Le_Moulon_2010_SetB1,BTH_Le_Moulon_2010_SetB1,49497,gnpis_pui:holding-921_taxon-4898_accession-49497,RE09030,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,86,,1,,152,,"10,48",,"79,4",,"88,2",,"1,5",,"89,8",,1,
RE09030itkt,2849482,BTH_Le_Moulon_2010_SetB1,BTH_Le_Moulon_2010_SetB1,49497,gnpis_pui:holding-921_taxon-4898_accession-49497,RE09030,VIRTUAL_TRIAL,,,,,,,,treated,2010,81,,,,153,,"11,08",,"80,1",,"90,6",,,,101,,1,
CF09081itkfi,2849551,BTH_Le_Moulon_2010_SetB1,BTH_Le_Moulon_2010_SetB1,49444,gnpis_pui:holding-921_taxon-4898_accession-49444,CF09081,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,81,,1,,144,,"10,19",,"83,2",,"94,8",,"1,5",,"96,6",,1,
CF09081itkt,2849552,BTH_Le_Moulon_2010_SetB1,BTH_Le_Moulon_2010_SetB1,49444,gnpis_pui:holding-921_taxon-4898_accession-49444,CF09081,VIRTUAL_TRIAL,,,,,,,,treated,2010,70,,,,142,,"10,6",,83,,"96,1",,,,"107,2",,1,
Attlassitkt,2849540,BTH_Le_Moulon_2010_SetB1,BTH_Le_Moulon_2010_SetB1,26823,https://doi.org/10.15454/4BHB0N,ATTLASS,VIRTUAL_TRIAL,,,,,,,,treated,2010,78,,,,148,,"10,78",,"81,8",,"99,3",,,,"110,7",,1,
Gallixeitkt,2849548,BTH_Le_Moulon_2010_SetB1,BTH_Le_Moulon_2010_SetB1,60702,https://doi.org/10.15454/BKJEDG,GALLIXE,VIRTUAL_TRIAL,,,,,,,,treated,2010,72,,,,145,,"9,96",,"78,6",,"99,9",,,,"111,3",,1,
Gallixeitkfi,2849547,BTH_Le_Moulon_2010_SetB1,BTH_Le_Moulon_2010_SetB1,60702,https://doi.org/10.15454/BKJEDG,GALLIXE,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,84,,"1,5",,145,,"9,74",,"76,9",,"101,8",,"1,5",,"103,8",,1,
Caphornitkt,2849520,BTH_Le_Moulon_2010_SetB1,BTH_Le_Moulon_2010_SetB1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,treated,2010,66,,,,144,,"10,8",,"80,6",,"89,6",,,,"99,9",,1,
Caphornitkfi,2849519,BTH_Le_Moulon_2010_SetB1,BTH_Le_Moulon_2010_SetB1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,80,,1,,144,,"10,15",,"81,2",,"96,1",,1,,98,,1,
AO10011itkfi,2849537,BTH_Le_Moulon_2010_SetB1,BTH_Le_Moulon_2010_SetB1,49125,https://doi.org/10.15454/CTNPK9,AO10011,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,98,,1,,150,,"9,72",,"80,5",,92,,1,,"93,8",,1,
AO10011itkt,2849538,BTH_Le_Moulon_2010_SetB1,BTH_Le_Moulon_2010_SetB1,49125,https://doi.org/10.15454/CTNPK9,AO10011,VIRTUAL_TRIAL,,,,,,,,treated,2010,88,,,,150,,"9,84",,"81,7",,"93,7",,,,"104,5",,"1,5",
AO10013itkt,2849498,BTH_Le_Moulon_2010_SetB1,BTH_Le_Moulon_2010_SetB1,48839,https://doi.org/10.15454/PBJK68,AO10013,VIRTUAL_TRIAL,,,,,,,,treated,2010,74,,,,144,,"10,39",,"78,6",,"102,4",,,,"114,2",,"1,5",
AO10013itkfi,2849497,BTH_Le_Moulon_2010_SetB1,BTH_Le_Moulon_2010_SetB1,48839,https://doi.org/10.15454/PBJK68,AO10013,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,84,,4,,144,,"9,81",,"76,8",,95,,"3,5",,"96,8",,1,
CF09027itkfi,2849541,BTH_Le_Moulon_2010_SetB1,BTH_Le_Moulon_2010_SetB1,48507,https://doi.org/10.15454/YFD4LO,CF09027,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,80,,1,,145,,"10,48",,"81,5",,"96,1",,"1,5",,"97,9",,1,
CF09027itkt,2849542,BTH_Le_Moulon_2010_SetB1,BTH_Le_Moulon_2010_SetB1,48507,https://doi.org/10.15454/YFD4LO,CF09027,VIRTUAL_TRIAL,,,,,,,,treated,2010,72,,,,145,,"9,83",,"82,1",,"97,4",,,,"108,6",,1,
EM09080itkfi,2849543,BTH_Le_Moulon_2010_SetB1,BTH_Le_Moulon_2010_SetB1,49303,https://doi.org/10.15454/WSDK5P,EM09080,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,85,,1,,150,,"10,06",,"79,4",,"79,1",,1,,"80,6",,1,
EM09080itkt,2849544,BTH_Le_Moulon_2010_SetB1,BTH_Le_Moulon_2010_SetB1,49303,https://doi.org/10.15454/WSDK5P,EM09080,VIRTUAL_TRIAL,,,,,,,,treated,2010,82,,,,150,,"9,33",,"80,2",,"95,3",,,,"106,3",,1,
EM09189itkfi,2849553,BTH_Le_Moulon_2010_SetB1,BTH_Le_Moulon_2010_SetB1,49252,https://doi.org/10.15454/LVMRPV,EM09189,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,89,,1,,144,,"9,03",,79,,"93,7",,1,,"95,6",,5,
EM09189itkt,2849554,BTH_Le_Moulon_2010_SetB1,BTH_Le_Moulon_2010_SetB1,49252,https://doi.org/10.15454/LVMRPV,EM09189,VIRTUAL_TRIAL,,,,,,,,treated,2010,82,,,,145,,"9,76",,"79,8",,"100,1",,,,"111,6",,"4,5",
RE09029itkt,2849526,BTH_Le_Moulon_2010_SetB1,BTH_Le_Moulon_2010_SetB1,48519,https://doi.org/10.15454/R0LHUG,RE09029,VIRTUAL_TRIAL,,,,,,,,treated,2010,82,,,,150,,"10,8",,"82,2",,"95,5",,,,"106,5",,1,
RE09029itkfi,2849525,BTH_Le_Moulon_2010_SetB1,BTH_Le_Moulon_2010_SetB1,48519,https://doi.org/10.15454/R0LHUG,RE09029,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,86,,1,,150,,"10,03",,"81,6",,"92,1",,1,,"93,8",,1,
Bermudeitkt,2849494,BTH_Le_Moulon_2010_SetB1,BTH_Le_Moulon_2010_SetB1,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,treated,2010,81,,,,148,,"10,32",,"81,6",,"111,4",,,,"124,2",,1,
Bermudeitkfi,2849493,BTH_Le_Moulon_2010_SetB1,BTH_Le_Moulon_2010_SetB1,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,86,,1,,148,,"9,41",,80,,"101,4",,1,,"103,4",,1,
AO10010itkt,2849556,BTH_Le_Moulon_2010_SetB1,BTH_Le_Moulon_2010_SetB1,49024,gnpis_pui:holding-921_taxon-4898_accession-49024,AO10010,VIRTUAL_TRIAL,,,,,,,,treated,2010,82,,,,150,,"10,76",,"79,9",,"95,2",,,,"106,1",,"1,5",
AO10010itkfi,2849555,BTH_Le_Moulon_2010_SetB1,BTH_Le_Moulon_2010_SetB1,49024,gnpis_pui:holding-921_taxon-4898_accession-49024,AO10010,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,88,,"1,5",,150,,"9,72",,"79,5",,"91,7",,"1,5",,"93,4",,1,
DI10003itkt,2849530,BTH_Le_Moulon_2010_SetB1,BTH_Le_Moulon_2010_SetB1,48505,gnpis_pui:holding-921_taxon-4898_accession-48505,DI10003,VIRTUAL_TRIAL,,,,,,,,treated,2010,82,,,,150,,"10,1",,81,,"99,4",,,,"110,8",,1,
