observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieD(CO_321:1000255),NmieD(CO_321:1000255).date,NmieL(CO_321:1000243),NmieL(CO_321:1000243).date,NmieS(CO_321:1000248),NmieS(CO_321:1000248).date,NpainD(CO_321:1000254),NpainD(CO_321:1000254).date,NpainL(CO_321:1000242),NpainL(CO_321:1000242).date,NpainS(CO_321:1000247),NpainS(CO_321:1000247).date,NpateD(CO_321:1000253),NpateD(CO_321:1000253).date,NpateL(CO_321:1000241),NpateL(CO_321:1000241).date,NpateS(CO_321:1000246),NpateS(CO_321:1000246).date,NtotD(CO_321:1000256),NtotD(CO_321:1000256).date,NtotL(CO_321:1000244),NtotL(CO_321:1000244).date,NtotS(CO_321:1000249),NtotS(CO_321:1000249).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,volD(CO_321:1000257),volD(CO_321:1000257).date,volL(CO_321:1000245),volL(CO_321:1000245).date,volS(CO_321:1000250),volS(CO_321:1000250).date,vp(CO_321:1000225),vp(CO_321:1000225).date,zel(CO_321:1000222),zel(CO_321:1000222).date
EM13073itkt,2976484,BTH_Clermont-Ferrand_2014_TECH,BTH_Clermont-Ferrand_2014_TECH,61398,https://doi.org/10.15454/HEUAIP,EM13073,VIRTUAL_TRIAL,,,,,,,,traite,2014,24.7,,124,,,,100,,,,,,79.6,,,,,,95.5,,,,,,275.1,,,,65,,0.52,,246,,83,,339,,44.9,,10.7,,76.4,,,,1620,,,,2.13,,,
EM13249itkt,2976491,BTH_Clermont-Ferrand_2014_TECH,BTH_Clermont-Ferrand_2014_TECH,61447,https://doi.org/10.15454/NTKRK8,EM13249,VIRTUAL_TRIAL,,,,,,,,traite,2014,21,,89,,,,100,,,,,,74.8,,,,,,89.63,,,,,,264.43,,,,56,,0.63,,162,,38,,270,,49.5,,9.5,,76.7,,,,1465,,,,2.59,,,
EM13243itkt,2976494,BTH_Clermont-Ferrand_2014_TECH,BTH_Clermont-Ferrand_2014_TECH,61431,https://doi.org/10.15454/QSZ1IX,EM13243,VIRTUAL_TRIAL,,,,,,,,traite,2014,18.8,,71,,,,100,,,,,,76.6,,,,,,88.13,,,,,,264.73,,,,82,,1.16,,199,,65,,286,,46.7,,9.9,,78.5,,,,1520,,,,4.12,,,
RE13006itkt,2976541,BTH_Clermont-Ferrand_2014_TECH,BTH_Clermont-Ferrand_2014_TECH,61514,https://doi.org/10.15454/KLQZHB,RE13006,VIRTUAL_TRIAL,,,,,,,,traite,2014,16.4,,54,,,,100,,,,,,19.75,,,,,,84,,,,,,203.75,,,,80,,1.46,,178,,64,,278,,47.2,,9.7,,79,,,,1502,,,,1.82,,,
RE13007itkt,2976532,BTH_Clermont-Ferrand_2014_TECH,BTH_Clermont-Ferrand_2014_TECH,61527,https://doi.org/10.15454/JN5VML,RE13007,VIRTUAL_TRIAL,,,,,,,,traite,2014,15.8,,50,,,,100,,,,,,10.75,,,,,,79.25,,,,,,190,,,,88,,1.74,,185,,63,,262,,47.7,,9.1,,77.1,,,,1075,,,,1.74,,,
RE12080itkt,2976520,BTH_Clermont-Ferrand_2014_TECH,BTH_Clermont-Ferrand_2014_TECH,61587,https://doi.org/10.15454/TNFH4O,RE12080,VIRTUAL_TRIAL,,,,,,,,traite,2014,14.6,,43,,91,,,,,,28.2,,,,,,46.3,,,,,,165.5,,,,,,95,,2.19,,170,,47,,337,,,,11.4,,,,1030,,,,,,,,31,
RE13093itkt,2976497,BTH_Clermont-Ferrand_2014_TECH,BTH_Clermont-Ferrand_2014_TECH,61664,https://doi.org/10.15454/OYADUC,RE13093,VIRTUAL_TRIAL,,,,,,,,traite,2014,21,,89,,,,100,,,,,,50.25,,,,,,91.13,,,,,,241.38,,,,55,,0.62,,173,,30,,291,,46.4,,9.8,,78.7,,,,1505,,,,2.33,,,
RE13094itkt,2976490,BTH_Clermont-Ferrand_2014_TECH,BTH_Clermont-Ferrand_2014_TECH,61678,https://doi.org/10.15454/GQP9HA,RE13094,VIRTUAL_TRIAL,,,,,,,,traite,2014,22.7,,105,,,,100,,,,,,75.4,,,,,,91.5,,,,,,266.9,,,,62,,0.59,,215,,45,,316,,48.4,,10.2,,79,,,,1580,,,,2.75,,,
AO14026itkt,2976537,BTH_Clermont-Ferrand_2014_TECH,BTH_Clermont-Ferrand_2014_TECH,61704,https://doi.org/10.15454/ZZZLIR,AO14026,VIRTUAL_TRIAL,,,,,,,,traite,2014,19.5,,77,,,,100,,,,,,29.9,,,,,,86.5,,,,,,216.4,,,,81,,1.05,,199,,68,,162,,54.2,,10.5,,77.8,,,,1335,,,,3.46,,,
AO14001itkt,2976547,BTH_Clermont-Ferrand_2014_TECH,BTH_Clermont-Ferrand_2014_TECH,61803,https://doi.org/10.15454/LCA9U1,AO14001,VIRTUAL_TRIAL,,,,,,,,traite,2014,19.8,,80,,100,,,,,,59.8,,,,,,86.6,,,,,,246.4,,,,,,84,,1.05,,211,,46,,197,,,,11,,,,1520,,,,,,,,28,
AO14013itkt,2976510,BTH_Clermont-Ferrand_2014_TECH,BTH_Clermont-Ferrand_2014_TECH,62003,https://doi.org/10.15454/UIHLJL,AO14013,VIRTUAL_TRIAL,,,,,,,,traite,2014,18.8,,71,,,,100,,,,,,77.5,,,,,,80,,,,,,257.5,,,,82,,1.14,,215,,60,,176,,43.4,,9.9,,77.1,,,,1555,,,,3.17,,,
AO14014itkt,2976512,BTH_Clermont-Ferrand_2014_TECH,BTH_Clermont-Ferrand_2014_TECH,62034,https://doi.org/10.15454/RWXBD7,AO14014,VIRTUAL_TRIAL,,,,,,,,traite,2014,19.3,,75,,,,100,,,,,,54.45,,,,,,83,,,,,,237.45,,,,88,,1.17,,242,,64,,278,,44.9,,9.1,,78.9,,,,1345,,,,1.87,,,
AO14017itkt,2976513,BTH_Clermont-Ferrand_2014_TECH,BTH_Clermont-Ferrand_2014_TECH,62096,https://doi.org/10.15454/JY3UZ7,AO14017,VIRTUAL_TRIAL,,,,,,,,traite,2014,18.2,,67,,,,100,,,,,,72.7,,,,,,80.75,,,,,,253.45,,,,98,,1.45,,252,,74,,376,,50.4,,10.5,,78.5,,,,1495,,,,3,,,
AO14020itkt,2976538,BTH_Clermont-Ferrand_2014_TECH,BTH_Clermont-Ferrand_2014_TECH,62141,https://doi.org/10.15454/0STI9A,AO14020,VIRTUAL_TRIAL,,,,,,,,traite,2014,17.1,,60,,,,100,,,,,,83.5,,,,,,98.5,,,,,,282,,,,76,,1.27,,165,,57,,179,,46.9,,10.2,,74.8,,,,1850,,,,3.3,,,
EM13147itkt,2976540,BTH_Clermont-Ferrand_2014_TECH,BTH_Clermont-Ferrand_2014_TECH,61412,https://doi.org/10.15454/J7IR6N,EM13147,VIRTUAL_TRIAL,,,,,,,,traite,2014,14.3,,42,,,,91,,,,,,10.75,,,,,,71.63,,,,,,173.38,,,,108,,2.6,,203,,68,,366,,48.9,,9.9,,77.7,,,,810,,,,1.72,,,
CF13158itkt,2976542,BTH_Clermont-Ferrand_2014_TECH,BTH_Clermont-Ferrand_2014_TECH,61152,https://doi.org/10.15454/BOXBBY,CF13158,VIRTUAL_TRIAL,,,,,,,,traite,2014,22.5,,103,,,,100,,,,,,57.75,,,,,,89.63,,,,,,247.38,,,,49,,0.48,,144,,58,,287,,45.4,,9.6,,77.7,,,,1450,,,,2.12,,,
RE13116itkt,2976483,BTH_Clermont-Ferrand_2014_TECH,BTH_Clermont-Ferrand_2014_TECH,61763,https://doi.org/10.15454/N7NCR1,RE13116,VIRTUAL_TRIAL,,,,,,,,traite,2014,22.4,,102,,,,100,,,,,,76,,,,,,87,,,,,,263,,,,62,,0.61,,214,,53,,278,,55,,9.7,,78.6,,,,1505,,,,2.3,,,
DI13002itkt,2976503,BTH_Clermont-Ferrand_2014_TECH,BTH_Clermont-Ferrand_2014_TECH,61791,https://doi.org/10.15454/GW5VMO,DI13002,VIRTUAL_TRIAL,,,,,,,,traite,2014,13.8,,39,,91,,,,,,25.2,,,,,,58.5,,,,,,174.7,,,,,,119,,3.08,,191,,39,,243,,,,10.7,,,,1070,,,,,,,,26,
EM12040itkt,2976526,BTH_Clermont-Ferrand_2014_TECH,BTH_Clermont-Ferrand_2014_TECH,61883,https://doi.org/10.15454/ZJTOW0,EM12040,VIRTUAL_TRIAL,,,,,,,,traite,2014,21.4,,93,,,,100,,,,,,58.65,,,,,,88.13,,,,,,246.78,,,,58,,0.62,,192,,64,,370,,49.9,,10.8,,76.4,,,,1630,,,,1.97,,,
EM11537itkt,2976486,BTH_Clermont-Ferrand_2014_TECH,BTH_Clermont-Ferrand_2014_TECH,49307,https://doi.org/10.15454/S10U8Z,EM11537,VIRTUAL_TRIAL,,,,,,,,traite,2014,14.4,,42,,91,,,,,,30.5,,,,,,55.8,,,,,,177.3,,,,,,123,,2.92,,211,,35,,266,,,,10.3,,,,1095,,,,,,,,25,
AO14041itkt,2976530,BTH_Clermont-Ferrand_2014_TECH,BTH_Clermont-Ferrand_2014_TECH,60915,https://doi.org/10.15454/BHRDHY,AO14041,VIRTUAL_TRIAL,,,,,,,,traite,2014,20.5,,85,,,,100,,,,,,73.3,,,,,,89.63,,,,,,262.93,,,,54,,0.64,,157,,68,,274,,50.1,,10.7,,74.6,,,,1515,,,,1.61,,,
AO14005itkt,2976544,BTH_Clermont-Ferrand_2014_TECH,BTH_Clermont-Ferrand_2014_TECH,61865,https://doi.org/10.15454/AJY3JA,AO14005,VIRTUAL_TRIAL,,,,,,,,traite,2014,23.6,,113,,100,,,,,,59.8,,,,,,88.1,,,,,,247.9,,,,,,57,,0.51,,176,,45,,307,,,,11.4,,,,1520,,,,,,,,25,
CF13080itkt,2976523,BTH_Clermont-Ferrand_2014_TECH,BTH_Clermont-Ferrand_2014_TECH,61079,https://doi.org/10.15454/SAGJTL,CF13080,VIRTUAL_TRIAL,,,,,,,,traite,2014,22.1,,99,,,,100,,,,,,61.3,,,,,,59.13,,,,,,220.43,,,,29,,0.29,,77,,20,,251,,48.3,,9.8,,74.7,,,,1360,,,,1.87,,,
AO13015itkt,2976524,BTH_Clermont-Ferrand_2014_TECH,BTH_Clermont-Ferrand_2014_TECH,60834,https://doi.org/10.15454/KQGENR,AO13015,VIRTUAL_TRIAL,,,,,,,,traite,2014,14.2,,41,,94,,,,,,30.8,,,,,,70.5,,,,,,195.3,,,,,,96,,2.34,,162,,47,,362,,,,11,,,,1215,,,,,,,,28,
RE13003itkt,2976546,BTH_Clermont-Ferrand_2014_TECH,BTH_Clermont-Ferrand_2014_TECH,61467,https://doi.org/10.15454/J5JFPN,RE13003,VIRTUAL_TRIAL,,,,,,,,traite,2014,16.2,,54,,,,100,,,,,,53.7,,,,,,80.75,,,,,,234.45,,,,101,,1.88,,213,,77,,226,,49.6,,10.3,,79.7,,,,1395,,,,2.12,,,
AO14008itkt,2976539,BTH_Clermont-Ferrand_2014_TECH,BTH_Clermont-Ferrand_2014_TECH,61924,https://doi.org/10.15454/7FN5V4,AO14008,VIRTUAL_TRIAL,,,,,,,,traite,2014,21.9,,97,,,,100,,,,,,80.2,,,,,,91.13,,,,,,271.33,,,,64,,0.66,,211,,70,,202,,45,,10.2,,79.5,,,,1545,,,,2.44,,,
AO14028itkt,2976545,BTH_Clermont-Ferrand_2014_TECH,BTH_Clermont-Ferrand_2014_TECH,62039,https://doi.org/10.15454/FMXV4A,AO14028,VIRTUAL_TRIAL,,,,,,,,traite,2014,15.8,,50,,,,100,,,,,,51.3,,,,,,88.13,,,,,,239.43,,,,85,,1.69,,174,,59,,294,,45,,9.8,,78.3,,,,1315,,,,1.96,,,
AO13045itkt,2976506,BTH_Clermont-Ferrand_2014_TECH,BTH_Clermont-Ferrand_2014_TECH,61318,https://doi.org/10.15454/WK73B3,AO13045,VIRTUAL_TRIAL,,,,,,,,traite,2014,14.1,,40,,91,,,,,,28.2,,,,,,58.8,,,,,,178,,,,,,113,,2.81,,188,,37,,266,,,,10.2,,,,1085,,,,,,,,24,
CF09117itkt,2976535,BTH_Clermont-Ferrand_2014_TECH,BTH_Clermont-Ferrand_2014_TECH,48349,https://doi.org/10.15454/DXR4XS,CF09117,VIRTUAL_TRIAL,,,,,,,,traite,2014,26.6,,143,,91,,,,,,28.2,,,,,,60.7,,,,,,179.9,,,,,,72,,0.5,,357,,63,,295,,,,14.3,,,,1095,,,,,,,,,
RE13014itkt,2976517,BTH_Clermont-Ferrand_2014_TECH,BTH_Clermont-Ferrand_2014_TECH,48609,https://doi.org/10.15454/QLBPQK,RE13014,VIRTUAL_TRIAL,,,,,,,,traite,2014,19.9,,80,,,,100,,,,,,73,,,,,,86.63,,,,,,259.63,,,,72,,0.9,,206,,65,,258,,47.5,,9.8,,79.3,,,,1500,,,,2.22,,,
RE13084itkt,2976534,BTH_Clermont-Ferrand_2014_TECH,BTH_Clermont-Ferrand_2014_TECH,49120,https://doi.org/10.15454/P3TGLP,RE13084,VIRTUAL_TRIAL,,,,,,,,traite,2014,17.8,,64,,,,94,,,,,,10.75,,,,,,65.75,,,,,,170.5,,,,97,,1.5,,249,,63,,346,,46.7,,10.5,,79.3,,,,870,,,,2.82,,,
RE13086itkt,2976529,BTH_Clermont-Ferrand_2014_TECH,BTH_Clermont-Ferrand_2014_TECH,49433,https://doi.org/10.15454/XA7QW4,RE13086,VIRTUAL_TRIAL,,,,,,,,traite,2014,15.9,,52,,,,100,,,,,,10.75,,,,,,61.25,,,,,,172,,,,97,,1.88,,213,,60,,346,,49.8,,10.3,,80.5,,,,860,,,,2.64,,,
RE13106itkt,2976536,BTH_Clermont-Ferrand_2014_TECH,BTH_Clermont-Ferrand_2014_TECH,49524,https://doi.org/10.15454/FSEIOR,RE13106,VIRTUAL_TRIAL,,,,,,,,traite,2014,19.5,,77,,,,100,,,,,,69.1,,,,,,86.63,,,,,,255.73,,,,72,,0.93,,178,,50,,276,,49.2,,8.8,,78.1,,,,1525,,,,2.86,,,
RE13005itkt,2976531,BTH_Clermont-Ferrand_2014_TECH,BTH_Clermont-Ferrand_2014_TECH,48484,https://doi.org/10.15454/L7ZWCU,RE13005,VIRTUAL_TRIAL,,,,,,,,traite,2014,16.8,,58,,,,100,,,,,,31.7,,,,,,84,,,,,,215.7,,,,84,,1.47,,190,,73,,224,,47,,9.8,,77.3,,,,1295,,,,1.76,,,
RE13004itkt,2976543,BTH_Clermont-Ferrand_2014_TECH,BTH_Clermont-Ferrand_2014_TECH,49568,https://doi.org/10.15454/LO7ZR2,RE13004,VIRTUAL_TRIAL,,,,,,,,traite,2014,20.6,,86,,,,100,,,,,,32.6,,,,,,85.25,,,,,,217.85,,,,69,,0.8,,215,,74,,292,,48.3,,10,,76.7,,,,1375,,,,1.95,,,
APACHEitkt,2976514,BTH_Clermont-Ferrand_2014_TECH,BTH_Clermont-Ferrand_2014_TECH,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,traite,2014,20.6,,86,,100,,,,82,,53.8,,,,69,,85.5,,,,78,,239.3,,,,229,,64.5,,0.76,,200,,40,,323,,,,10.68,,77.5,,1470,,,,1461,,,,27,
Granamaxitkt,2976515,BTH_Clermont-Ferrand_2014_TECH,BTH_Clermont-Ferrand_2014_TECH,59657,https://doi.org/10.15454/R2A6FC,GRANAMAX,VIRTUAL_TRIAL,,,,,,,,traite,2014,14.1,,40,,,,,,91,,,,,,72,,,,,,93,,,,,,256,,86,,2.15,,142,,,,198,,,,10.55,,76.1,,,,,,1377,,,,,
AO11011itkt,2976488,BTH_Clermont-Ferrand_2014_TECH,BTH_Clermont-Ferrand_2014_TECH,48486,https://doi.org/10.15454/PE1NKZ,AO11011,VIRTUAL_TRIAL,,,,,,,,traite,2014,15.3,,47,,,,,,94,,,,,,71,,,,,,93,,,,,,258,,73,,1.55,,131,,,,144,,,,10.7,,77.1,,,,,,1429,,,,,
Gotikitkt,2976528,BTH_Clermont-Ferrand_2014_TECH,BTH_Clermont-Ferrand_2014_TECH,49404,https://doi.org/10.15454/DILEEP,GOTIK,VIRTUAL_TRIAL,,,,,,,,traite,2014,19.8,,80,,,,,,100,,,,,,72,,,,,,97,,,,,,269,,79,,1,,224,,,,282,,,,11.5,,79.8,,,,,,1366,,,,,
RE10042itkt,2976522,BTH_Clermont-Ferrand_2014_TECH,BTH_Clermont-Ferrand_2014_TECH,48716,https://doi.org/10.15454/5APOHC,RE10042,VIRTUAL_TRIAL,,,,,,,,traite,2014,12.2,,30,,,,,,82,,,,,,71,,,,,,90,,,,,,243,,87,,2.9,,113,,,,213,,,,10.75,,77.4,,,,,,1343,,,,,
RE11058itkt,2976501,BTH_Clermont-Ferrand_2014_TECH,BTH_Clermont-Ferrand_2014_TECH,48469,https://doi.org/10.15454/ENAZXW,RE11058,VIRTUAL_TRIAL,,,,,,,,traite,2014,17.4,,61,,,,,,100,,,,,,66,,,,,,87,,,,,,251,,84,,1.38,,198,,,,285,,,,11.15,,78.9,,,,,,1387,,,,,
EM12096itkt,2976482,BTH_Clermont-Ferrand_2014_TECH,BTH_Clermont-Ferrand_2014_TECH,48739,https://doi.org/10.15454/CEPFO5,EM12096,VIRTUAL_TRIAL,,,,,,,,traite,2014,19.6,,78,,100,,,,,,62.5,,,,,,94,,,,,,256.5,,,,,,113,,1.46,,300,,55,,329,,,,12.1,,,,1610,,,,,,,,36,
EM12231itkt,2976511,BTH_Clermont-Ferrand_2014_TECH,BTH_Clermont-Ferrand_2014_TECH,48934,https://doi.org/10.15454/YCKTDL,EM12231,VIRTUAL_TRIAL,,,,,,,,traite,2014,22.5,,103,,100,,,,,,60.4,,,,,,98.5,,,,,,258.9,,,,,,69,,0.67,,198,,46,,348,,,,11.1,,,,1545,,,,,,,,29,
EM12234itkt,2976509,BTH_Clermont-Ferrand_2014_TECH,BTH_Clermont-Ferrand_2014_TECH,49090,https://doi.org/10.15454/1VGYYS,EM12234,VIRTUAL_TRIAL,,,,,,,,traite,2014,13.3,,36,,91,,,,,,28.2,,,,,,55.8,,,,,,175,,,,,,129,,3.63,,197,,46,,351,,,,11,,,,1115,,,,,,,,29,
RE12002itkt,2976507,BTH_Clermont-Ferrand_2014_TECH,BTH_Clermont-Ferrand_2014_TECH,48869,https://doi.org/10.15454/TN9KFO,RE12002,VIRTUAL_TRIAL,,,,,,,,traite,2014,17.8,,64,,91,,,,,,28.2,,,,,,64.1,,,,,,183.3,,,,,,111,,1.73,,266,,49,,281,,,,11.3,,,,1135,,,,,,,,34,
RE12020itkt,2976481,BTH_Clermont-Ferrand_2014_TECH,BTH_Clermont-Ferrand_2014_TECH,49575,https://doi.org/10.15454/DGI5VN,RE12020,VIRTUAL_TRIAL,,,,,,,,traite,2014,21.5,,94,,91,,,,,,28.2,,,,,,68.5,,,,,,187.7,,,,,,131,,1.41,,461,,68,,221,,,,14.8,,,,1070,,,,,,,,40,
AO14035itkt,2976521,BTH_Clermont-Ferrand_2014_TECH,BTH_Clermont-Ferrand_2014_TECH,60801,https://doi.org/10.15454/XJIDYV,AO14035,VIRTUAL_TRIAL,,,,,,,,traite,2014,22.1,,99,,,,100,,,,,,73,,,,,,88.13,,,,,,261.13,,,,59,,0.59,,183,,71,,315,,48.5,,9.2,,76.4,,,,1405,,,,2.46,,,
AO14039itkt,2976516,BTH_Clermont-Ferrand_2014_TECH,BTH_Clermont-Ferrand_2014_TECH,60867,https://doi.org/10.15454/WFL1YX,AO14039,VIRTUAL_TRIAL,,,,,,,,traite,2014,18.3,,68,,91,,,,,,25.2,,,,,,53.7,,,,,,169.9,,,,,,101,,1.49,,235,,37,,438,,,,10.8,,,,1130,,,,,,,,25,
AO12021itkt,2976492,BTH_Clermont-Ferrand_2014_TECH,BTH_Clermont-Ferrand_2014_TECH,60961,https://doi.org/10.15454/0ZFI4A,AO12021,VIRTUAL_TRIAL,,,,,,,,traite,2014,13.2,,35,,,,,,100,,,,,,68,,,,,,97,,,,,,265,,78,,2.23,,121,,,,115,,,,10.85,,76.5,,,,,,1529,,,,,
AO13022itkt,2976499,BTH_Clermont-Ferrand_2014_TECH,BTH_Clermont-Ferrand_2014_TECH,60962,https://doi.org/10.15454/57FECX,AO13022,VIRTUAL_TRIAL,,,,,,,,traite,2014,18.7,,71,,91,,,,,,25.2,,,,,,58.8,,,,,,175,,,,,,156,,2.21,,178,,46,,336,,,,10.6,,,,1005,,,,,,,,29,
AO14022itkt,2976519,BTH_Clermont-Ferrand_2014_TECH,BTH_Clermont-Ferrand_2014_TECH,61039,https://doi.org/10.15454/T1DLTW,AO14022,VIRTUAL_TRIAL,,,,,,,,traite,2014,17.4,,61,,,,100,,,,,,76,,,,,,88.13,,,,,,264.13,,,,77,,1.26,,179,,55,,236,,41.8,,9.2,,77.8,,,,1505,,,,2.41,,,
AREZZOitkt,2976485,BTH_Clermont-Ferrand_2014_TECH,BTH_Clermont-Ferrand_2014_TECH,27030,https://doi.org/10.15454/SFNXCW,AREZZO,VIRTUAL_TRIAL,,,,,,,,traite,2014,17.7,,64,,94,,,,94,,31.4,,,,73,,82.5,,,,94,,207.9,,,,261,,83.5,,1.39,,203,,49,,364,,,,11.07,,79.3,,1235,,,,1303,,,,30,
AO13030itkt,2976527,BTH_Clermont-Ferrand_2014_TECH,BTH_Clermont-Ferrand_2014_TECH,48837,https://doi.org/10.15454/AFDIUY,AO13030,VIRTUAL_TRIAL,,,,,,,,traite,2014,18.2,,67,,,,,,94,,,,,,54,,,,,,83,,,,,,231,,66,,0.99,,176,,,,303,,,,11.1,,76.7,,,,,,1338,,,,,
