observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
Galibieritkt,2872147,BTH_Epi-centre_2013_SetA1,BTH_Epi-centre_2013_SetA1,59302,https://doi.org/10.15454/Y60IB3,GALIBIER,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,107,,137,,"73,9",,"84,2",,"86,4",
CF09117itknt,2872190,BTH_Epi-centre_2013_SetA1,BTH_Epi-centre_2013_SetA1,48349,https://doi.org/10.15454/DXR4XS,CF09117,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,2,,,,,,"72,9",,"125,9",,"80,87",
AO12011itknt,2872184,BTH_Epi-centre_2013_SetA1,BTH_Epi-centre_2013_SetA1,48909,https://doi.org/10.15454/JCAVKU,AO12011,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,2,,,,,,"76,9",,"148,5",,"95,38",
Galibieritknt,2872146,BTH_Epi-centre_2013_SetA1,BTH_Epi-centre_2013_SetA1,59302,https://doi.org/10.15454/Y60IB3,GALIBIER,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,1,,,,,,"68,7",,"87,4",,"56,16",
AO12013itkt,2872183,BTH_Epi-centre_2013_SetA1,BTH_Epi-centre_2013_SetA1,48425,https://doi.org/10.15454/9SFFFA,AO12013,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,108,,150,,"75,6",,"96,7",,"99,3",
CF09117itkt,2872191,BTH_Epi-centre_2013_SetA1,BTH_Epi-centre_2013_SetA1,48349,https://doi.org/10.15454/DXR4XS,CF09117,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,97,,145,,"75,5",,"91,7",,"94,1",
AO12013itknt,2872182,BTH_Epi-centre_2013_SetA1,BTH_Epi-centre_2013_SetA1,48425,https://doi.org/10.15454/9SFFFA,AO12013,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,3,,,,,,"70,9",,"93,7",,"60,19",
EM08231itknt,2872178,BTH_Epi-centre_2013_SetA1,BTH_Epi-centre_2013_SetA1,49158,https://doi.org/10.15454/UFYMWM,EM08231,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,3,,,,,,"70,1",,"142,8",,"91,75",
EM08231itkt,2872179,BTH_Epi-centre_2013_SetA1,BTH_Epi-centre_2013_SetA1,49158,https://doi.org/10.15454/UFYMWM,EM08231,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,88,,145,,"70,8",,94,,"96,5",
Pakitoitknt,2872152,BTH_Epi-centre_2013_SetA1,BTH_Epi-centre_2013_SetA1,27745,https://doi.org/10.15454/YJMDM5,PAKITO,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,1,,,,,,"68,5",,"90,9",,"58,39",
