observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieG(CO_321:1000238),NmieG(CO_321:1000238).date,NpainG(CO_321:1000237),NpainG(CO_321:1000237).date,NpateG(CO_321:1000236),NpateG(CO_321:1000236).date,NtotG(CO_321:1000239),NtotG(CO_321:1000239).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date
TremieitkfiRep0,2810392,BTH_Rennes_2005_TECH,BTH_Rennes_2005_TECH,24505,https://doi.org/10.15454/9YBOHR,TREMIE,VIRTUAL_TRIAL,,,,,,,,2005,26,,137,,91,,38,,75,,204,,44,,"0,32",,150,,51,,"11,3",,"74,3",
DI04018itkfiRep0,2810369,BTH_Rennes_2005_TECH,BTH_Rennes_2005_TECH,49604,https://doi.org/10.15454/WZ0QO7,DI04018,VIRTUAL_TRIAL,,,,,,,,2005,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
DI05030itkfiRep0,2810366,BTH_Rennes_2005_TECH,BTH_Rennes_2005_TECH,48477,https://doi.org/10.15454/NU9M2G,DI05030,VIRTUAL_TRIAL,,,,,,,,2005,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
CF03287itkfiRep0,2810391,BTH_Rennes_2005_TECH,BTH_Rennes_2005_TECH,49533,https://doi.org/10.15454/QOR8WX,CF03287,VIRTUAL_TRIAL,,,,,,,,2005,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
EM04181itkfiRep0,2810390,BTH_Rennes_2005_TECH,BTH_Rennes_2005_TECH,48531,https://doi.org/10.15454/5QJOWB,EM04181,VIRTUAL_TRIAL,,,,,,,,2005,"22,4",,102,,97,,35,,96,,227,,67,,"0,66",,253,,62,,"10,9",,"80,5",
DI05001itkfiRep0,2810404,BTH_Rennes_2005_TECH,BTH_Rennes_2005_TECH,49480,gnpis_pui:holding-921_taxon-4898_accession-49480,DI05001,VIRTUAL_TRIAL,,,,,,,,2005,22,,98,,91,,32,,97,,220,,48,,"0,49",,161,,49,,"10,8",,"79,5",
RE03019itkfiRep0,2810398,BTH_Rennes_2005_TECH,BTH_Rennes_2005_TECH,26829,https://doi.org/10.15454/NMOYD6,RE03019,VIRTUAL_TRIAL,,,,,,,,2005,"28,9",,170,,79,,8,,57,,144,,48,,"0,28",,167,,73,,"12,2",,"84,3",
RE04009itkfiRep0,2810363,BTH_Rennes_2005_TECH,BTH_Rennes_2005_TECH,26830,https://doi.org/10.15454/6V5ULG,RE04009,VIRTUAL_TRIAL,,,,,,,,2005,"19,6",,78,,94,,26,,75,,196,,58,,"0,73",,173,,23,,11,,"81,4",
RE04043itkfiRep0,2810376,BTH_Rennes_2005_TECH,BTH_Rennes_2005_TECH,26832,https://doi.org/10.15454/05HCVU,RE04043,VIRTUAL_TRIAL,,,,,,,,2005,"29,4",,175,,97,,57,,98,,253,,35,,"0,2",,166,,22,,"11,4",,"80,5",
RE04101itkfiRep0,2810368,BTH_Rennes_2005_TECH,BTH_Rennes_2005_TECH,26834,https://doi.org/10.15454/NMELF4,RE04101,VIRTUAL_TRIAL,,,,,,,,2005,"25,8",,135,,97,,67,,91,,255,,65,,"0,48",,276,,63,,"11,2",,"83,1",
CF01085itkfiRep0,2810384,BTH_Rennes_2005_TECH,BTH_Rennes_2005_TECH,48643,https://doi.org/10.15454/2AB2GR,CF01085,VIRTUAL_TRIAL,,,,,,,,2005,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
RE03111itkfiRep0,2810395,BTH_Rennes_2005_TECH,BTH_Rennes_2005_TECH,26399,https://doi.org/10.15454/XCMLGZ,RE03111,VIRTUAL_TRIAL,,,,,,,,2005,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
DI02001itkfiRep0,2810383,BTH_Rennes_2005_TECH,BTH_Rennes_2005_TECH,26984,https://doi.org/10.15454/GR0LP3,DI02001,VIRTUAL_TRIAL,,,,,,,,2005,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
SoissonsitkfiRep0,2810373,BTH_Rennes_2005_TECH,BTH_Rennes_2005_TECH,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,2005,"26,9",,147,,97,,62,,87,,246,,49,,"0,33",,255,,58,,"11,3",,"80,6",
LM03015itkfiRep0,2810394,BTH_Rennes_2005_TECH,BTH_Rennes_2005_TECH,49288,https://doi.org/10.15454/BU8ZPF,LM03015,VIRTUAL_TRIAL,,,,,,,,2005,"26,3",,140,,94,,45,,89,,228,,67,,"0,48",,280,,10,,"10,8",,"78,9",
LM03014itkfiRep0,2810370,BTH_Rennes_2005_TECH,BTH_Rennes_2005_TECH,49463,https://doi.org/10.15454/8NQXWN,LM03014,VIRTUAL_TRIAL,,,,,,,,2005,"22,5",,103,,91,,66,,91,,248,,84,,"0,81",,267,,18,,"11,7",,"79,8",
EM02207itkfiRep0,2810388,BTH_Rennes_2005_TECH,BTH_Rennes_2005_TECH,26893,https://doi.org/10.15454/WDQKPV,EM02207,VIRTUAL_TRIAL,,,,,,,,2005,"28,3",,162,,88,,65,,96,,248,,42,,"0,26",,186,,0,,11,,"79,9",
EM03149itkfiRep0,2810374,BTH_Rennes_2005_TECH,BTH_Rennes_2005_TECH,26894,https://doi.org/10.15454/HOEWQF,EM03149,VIRTUAL_TRIAL,,,,,,,,2005,"19,8",,79,,97,,27,,71,,195,,52,,"0,66",,153,,13,,"10,5",,"78,5",
DI05025itkfiRep0,2810362,BTH_Rennes_2005_TECH,BTH_Rennes_2005_TECH,49613,https://doi.org/10.15454/VCOHOG,DI05025,VIRTUAL_TRIAL,,,,,,,,2005,"26,5",,143,,88,,73,,88,,250,,62,,"0,44",,289,,38,,"12,4",,"83,9",
CF03342itkfiRep0,2810386,BTH_Rennes_2005_TECH,BTH_Rennes_2005_TECH,49674,https://doi.org/10.15454/WDI3KM,CF03342,VIRTUAL_TRIAL,,,,,,,,2005,"25,9",,136,,97,,50,,97,,244,,58,,"0,43",,241,,61,,"11,7",,"79,5",
CF04048itkfiRep0,2810382,BTH_Rennes_2005_TECH,BTH_Rennes_2005_TECH,48884,https://doi.org/10.15454/NK9ZXF,CF04048,VIRTUAL_TRIAL,,,,,,,,2005,"27,5",,154,,97,,50,,67,,214,,37,,"0,24",,150,,71,,"9,9",,"82,3",
CF04114itkfiRep0,2810367,BTH_Rennes_2005_TECH,BTH_Rennes_2005_TECH,48527,https://doi.org/10.15454/5LEWVH,CF04114,VIRTUAL_TRIAL,,,,,,,,2005,21,,89,,88,,35,,78,,201,,64,,"0,72",,216,,53,,"10,6",,76,
EM03234itkfiRep0,2810389,BTH_Rennes_2005_TECH,BTH_Rennes_2005_TECH,48522,https://doi.org/10.15454/KJPPWH,EM03234,VIRTUAL_TRIAL,,,,,,,,2005,"27,2",,150,,94,,71,,76,,241,,48,,"0,32",,168,,37,,"11,1",,"77,6",
EM04081itkfiRep0,2810380,BTH_Rennes_2005_TECH,BTH_Rennes_2005_TECH,48571,https://doi.org/10.15454/RRGUYW,EM04081,VIRTUAL_TRIAL,,,,,,,,2005,"20,7",,87,,97,,33,,74,,204,,50,,"0,57",,180,,56,,"11,6",,"84,4",
DI04017itkfiRep0,2810387,BTH_Rennes_2005_TECH,BTH_Rennes_2005_TECH,27036,https://doi.org/10.15454/PULIUX,DI04017,VIRTUAL_TRIAL,,,,,,,,2005,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
DI04024itkfiRep0,2810401,BTH_Rennes_2005_TECH,BTH_Rennes_2005_TECH,27037,https://doi.org/10.15454/TWWI1V,DI04024,VIRTUAL_TRIAL,,,,,,,,2005,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
EM03193itkfiRep0,2810379,BTH_Rennes_2005_TECH,BTH_Rennes_2005_TECH,27038,https://doi.org/10.15454/DPT3VI,EM03193,VIRTUAL_TRIAL,,,,,,,,2005,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
CF04076itkfiRep0,2810360,BTH_Rennes_2005_TECH,BTH_Rennes_2005_TECH,27039,https://doi.org/10.15454/YH3ACK,CF04076,VIRTUAL_TRIAL,,,,,,,,2005,"29,1",,172,,100,,52,,86,,239,,38,,"0,22",,170,,24,,"10,6",,"79,9",
EM04241itkfiRep0,2810393,BTH_Rennes_2005_TECH,BTH_Rennes_2005_TECH,27040,https://doi.org/10.15454/AB7Z4M,EM04241,VIRTUAL_TRIAL,,,,,,,,2005,"26,1",,138,,100,,54,,87,,241,,50,,"0,36",,213,,74,,"10,7",,"84,8",
AO05001itkfiRep0,2810372,BTH_Rennes_2005_TECH,BTH_Rennes_2005_TECH,48798,https://doi.org/10.15454/YUL8X7,AO05001,VIRTUAL_TRIAL,,,,,,,,2005,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
DI04019itkfiRep0,2810375,BTH_Rennes_2005_TECH,BTH_Rennes_2005_TECH,48415,gnpis_pui:holding-921_taxon-4898_accession-48415,DI04019,VIRTUAL_TRIAL,,,,,,,,2005,"29,6",,178,,91,,35,,75,,201,,49,,"0,27",,233,,55,,11,,"79,7",
DI05003itkfiRep0,2810403,BTH_Rennes_2005_TECH,BTH_Rennes_2005_TECH,49683,gnpis_pui:holding-921_taxon-4898_accession-49683,DI05003,VIRTUAL_TRIAL,,,,,,,,2005,"26,8",,146,,100,,58,,61,,219,,50,,"0,35",,202,,30,,"10,8",,"80,5",
EM04145itkfiRep0,2810378,BTH_Rennes_2005_TECH,BTH_Rennes_2005_TECH,27041,https://doi.org/10.15454/VQLTLY,EM04145,VIRTUAL_TRIAL,,,,,,,,2005,26,,137,,94,,76,,96,,266,,45,,"0,33",,199,,39,,"11,4",,"82,5",
