observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieL(CO_321:1000243),NmieL(CO_321:1000243).date,NpainL(CO_321:1000242),NpainL(CO_321:1000242).date,NpateL(CO_321:1000241),NpateL(CO_321:1000241).date,NtotL(CO_321:1000244),NtotL(CO_321:1000244).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date
CF04043itkfi,2826970,BTH_Rennes_2007_TECH,BTH_Rennes_2007_TECH,26972,https://doi.org/10.15454/VFM1EQ,CF04043,VIRTUAL_TRIAL,,,,,,,,2007,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
RE06134itkfi,2826951,BTH_Rennes_2007_TECH,BTH_Rennes_2007_TECH,27268,https://doi.org/10.15454/K6RWJK,RE06134,VIRTUAL_TRIAL,,,,,,,,2007,"22,9",,106,,100,,40,,96,,235,,45,,"0,43",,154,,0,,393,,"11,9",,"75,1",
Hendrixitkfi,2826937,BTH_Rennes_2007_TECH,BTH_Rennes_2007_TECH,26833,https://doi.org/10.15454/PYUIEM,HENDRIX,VIRTUAL_TRIAL,,,,,,,,2007,"25,2",,129,,100,,40,,98,,238,,72,,"0,56",,295,,45,,419,,12,,"79,6",
Folkloritkfi,2826943,BTH_Rennes_2007_TECH,BTH_Rennes_2007_TECH,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,2007,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
RE06060itkfi,2826992,BTH_Rennes_2007_TECH,BTH_Rennes_2007_TECH,27265,https://doi.org/10.15454/OLKQ99,RE06060,VIRTUAL_TRIAL,,,,,,,,2007,"16,5",,56,,97,,9,,63,,170,,45,,"0,8",,108,,14,,332,,"10,5",,"77,7",
RE06127itkfi,2826982,BTH_Rennes_2007_TECH,BTH_Rennes_2007_TECH,27267,https://doi.org/10.15454/TBKWQN,RE06127,VIRTUAL_TRIAL,,,,,,,,2007,"23,8",,115,,100,,52,,92,,244,,45,,"0,4",,169,,4,,417,,12,,"78,1",
Apacheitkfi,2826964,BTH_Rennes_2007_TECH,BTH_Rennes_2007_TECH,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,2007,"29,1",,172,,100,,60,,97,,257,,49,,"0,29",,217,,41,,416,,"12,2",,"74,7",
Toisondoritkfi,2826940,BTH_Rennes_2007_TECH,BTH_Rennes_2007_TECH,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,VIRTUAL_TRIAL,,,,,,,,2007,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
Flamenkoitkfi,2826974,BTH_Rennes_2007_TECH,BTH_Rennes_2007_TECH,26969,https://doi.org/10.15454/WDD3QQ,FLAMENKO,VIRTUAL_TRIAL,,,,,,,,2007,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
CF05161itkfi,2826956,BTH_Rennes_2007_TECH,BTH_Rennes_2007_TECH,26974,https://doi.org/10.15454/BQTYVO,CF05161,VIRTUAL_TRIAL,,,,,,,,2007,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
EM05230itkfi,2826965,BTH_Rennes_2007_TECH,BTH_Rennes_2007_TECH,26988,https://doi.org/10.15454/FV0GUM,EM05230,VIRTUAL_TRIAL,,,,,,,,2007,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
Karillonitkfi,2826994,BTH_Rennes_2007_TECH,BTH_Rennes_2007_TECH,27739,https://doi.org/10.15454/LFFVPX,KARILLON,VIRTUAL_TRIAL,,,,,,,,2007,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
Ghaytaitkfi,2826988,BTH_Rennes_2007_TECH,BTH_Rennes_2007_TECH,27784,https://doi.org/10.15454/BYBWWN,GHAYTA,VIRTUAL_TRIAL,,,,,,,,2007,"30,5",,189,,100,,54,,94,,248,,68,,"0,36",,380,,52,,422,,"14,2",,"72,6",
AO07102itkfi,2826961,BTH_Rennes_2007_TECH,BTH_Rennes_2007_TECH,27754,https://doi.org/10.15454/7MX1DM,AO07102,VIRTUAL_TRIAL,,,,,,,,2007,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
AO07116itkfi,2826996,BTH_Rennes_2007_TECH,BTH_Rennes_2007_TECH,27755,https://doi.org/10.15454/IF7X64,AO07116,VIRTUAL_TRIAL,,,,,,,,2007,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
EM06307itkfi,2826990,BTH_Rennes_2007_TECH,BTH_Rennes_2007_TECH,27838,https://doi.org/10.15454/0CP8RW,EM06307,VIRTUAL_TRIAL,,,,,,,,2007,"22,7",,105,,94,,34,,97,,224,,43,,"0,41",,150,,55,,373,,"11,4",,76,
DI07015itkfi,2826967,BTH_Rennes_2007_TECH,BTH_Rennes_2007_TECH,27842,https://doi.org/10.15454/CW6MPE,DI07015,VIRTUAL_TRIAL,,,,,,,,2007,"18,1",,66,,97,,10,,59,,167,,40,,"0,6",,112,,17,,398,,"12,7",,"76,1",
CF03287itkfi,2826976,BTH_Rennes_2007_TECH,BTH_Rennes_2007_TECH,49533,https://doi.org/10.15454/QOR8WX,CF03287,VIRTUAL_TRIAL,,,,,,,,2007,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
RE05108itkfi,2826980,BTH_Rennes_2007_TECH,BTH_Rennes_2007_TECH,26835,https://doi.org/10.15454/FXNO6G,RE05108,VIRTUAL_TRIAL,,,,,,,,2007,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
RE06048itkfi,2826991,BTH_Rennes_2007_TECH,BTH_Rennes_2007_TECH,27264,https://doi.org/10.15454/ILREHV,RE06048,VIRTUAL_TRIAL,,,,,,,,2007,"23,1",,108,,100,,40,,92,,232,,41,,"0,38",,153,,22,,367,,"11,7",,"78,1",
RE05005itkfi,2826941,BTH_Rennes_2007_TECH,BTH_Rennes_2007_TECH,26898,https://doi.org/10.15454/JQW74U,RE05005,VIRTUAL_TRIAL,,,,,,,,2007,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
RE05047itkfi,2826939,BTH_Rennes_2007_TECH,BTH_Rennes_2007_TECH,26903,https://doi.org/10.15454/QRI3MM,RE05047,VIRTUAL_TRIAL,,,,,,,,2007,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
CF06193itkfi,2826978,BTH_Rennes_2007_TECH,BTH_Rennes_2007_TECH,27067,https://doi.org/10.15454/739FBM,CF06193,VIRTUAL_TRIAL,,,,,,,,2007,"21,5",,94,,100,,26,,64,,190,,51,,"0,55",,186,,29,,406,,"12,7",,"73,8",
CF06227itkfi,2826960,BTH_Rennes_2007_TECH,BTH_Rennes_2007_TECH,27068,https://doi.org/10.15454/PIPBFU,CF06227,VIRTUAL_TRIAL,,,,,,,,2007,21,,89,,100,,40,,84,,223,,88,,"0,98",,287,,37,,402,,12,,74,
CF06230itkfi,2826999,BTH_Rennes_2007_TECH,BTH_Rennes_2007_TECH,27069,https://doi.org/10.15454/PBD8PO,CF06230,VIRTUAL_TRIAL,,,,,,,,2007,NA,,NA,,100,,59,,88,,247,,NA,,NA,,NA,,28,,420,,"12,3",,70,
CF06107itkfi,2826952,BTH_Rennes_2007_TECH,BTH_Rennes_2007_TECH,27066,https://doi.org/10.15454/PVLGW3,CF06107,VIRTUAL_TRIAL,,,,,,,,2007,"24,9",,126,,100,,34,,96,,229,,55,,"0,44",,203,,38,,408,,"11,9",,"73,2",
Soissonsitkfi,2826954,BTH_Rennes_2007_TECH,BTH_Rennes_2007_TECH,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,2007,"23,7",,114,,100,,38,,97,,235,,54,,"0,47",,218,,45,,377,,"11,4",,"76,9",
Goreckiitkfi,2826981,BTH_Rennes_2007_TECH,BTH_Rennes_2007_TECH,48843,gnpis_pui:holding-921_taxon-4898_accession-48843,Gorecki,VIRTUAL_TRIAL,,,,,,,,2007,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
AO07127itkfi,2826945,BTH_Rennes_2007_TECH,BTH_Rennes_2007_TECH,27756,https://doi.org/10.15454/PILE9C,AO07127,VIRTUAL_TRIAL,,,,,,,,2007,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
CF06210itkfi,2826995,BTH_Rennes_2007_TECH,BTH_Rennes_2007_TECH,27785,https://doi.org/10.15454/BZGBHW,CF06210,VIRTUAL_TRIAL,,,,,,,,2007,"23,6",,113,,97,,27,,64,,188,,92,,"0,81",,405,,53,,398,,"12,7",,"76,4",
DI07001itkfi,2826946,BTH_Rennes_2007_TECH,BTH_Rennes_2007_TECH,27802,https://doi.org/10.15454/5XXKDL,DI07001,VIRTUAL_TRIAL,,,,,,,,2007,"15,8",,50,,94,,9,,66,,169,,103,,"2,05",,221,,37,,408,,"11,3",,"73,9",
DI07013itkfi,2826968,BTH_Rennes_2007_TECH,BTH_Rennes_2007_TECH,27803,https://doi.org/10.15454/GVABT5,DI07013,VIRTUAL_TRIAL,,,,,,,,2007,"16,5",,56,,94,,9,,64,,168,,69,,"1,24",,156,,57,,382,,"11,3",,"75,8",
EM06017itkfi,2826944,BTH_Rennes_2007_TECH,BTH_Rennes_2007_TECH,27814,https://doi.org/10.15454/ZBYAJC,EM06017,VIRTUAL_TRIAL,,,,,,,,2007,"22,1",,99,,94,,24,,60,,178,,42,,"0,42",,161,,15,,350,,11,,"76,3",
EM06089itkfi,2826957,BTH_Rennes_2007_TECH,BTH_Rennes_2007_TECH,27815,https://doi.org/10.15454/UZYTX5,EM06089,VIRTUAL_TRIAL,,,,,,,,2007,"23,3",,110,,100,,56,,97,,253,,104,,"0,94",,359,,52,,446,,"13,1",,"75,3",
EM06233itkfi,2827003,BTH_Rennes_2007_TECH,BTH_Rennes_2007_TECH,27819,https://doi.org/10.15454/SA4R8B,EM06233,VIRTUAL_TRIAL,,,,,,,,2007,"16,8",,58,,91,,7,,35,,132,,54,,"0,93",,111,,14,,403,,"12,4",,"77,1",
EM06229itkfi,2826962,BTH_Rennes_2007_TECH,BTH_Rennes_2007_TECH,27818,https://doi.org/10.15454/VSKKHS,EM06229,VIRTUAL_TRIAL,,,,,,,,2007,"21,6",,95,,94,,23,,59,,176,,39,,"0,41",,139,,15,,400,,12,,"76,2",
EM06110itkfi,2826997,BTH_Rennes_2007_TECH,BTH_Rennes_2007_TECH,27817,https://doi.org/10.15454/KG1VPB,EM06110,VIRTUAL_TRIAL,,,,,,,,2007,21,,89,,100,,32,,96,,228,,43,,"0,48",,139,,7,,369,,"11,6",,"76,6",
EM06094itkfi,2826986,BTH_Rennes_2007_TECH,BTH_Rennes_2007_TECH,27816,https://doi.org/10.15454/ZMYTIN,EM06094,VIRTUAL_TRIAL,,,,,,,,2007,"27,6",,155,,100,,59,,90,,249,,67,,"0,43",,266,,42,,453,,"12,8",,"73,1",
RE05039itkfi,2826998,BTH_Rennes_2007_TECH,BTH_Rennes_2007_TECH,27825,https://doi.org/10.15454/FYAJT8,RE05039,VIRTUAL_TRIAL,,,,,,,,2007,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
RE06058itkfi,2826959,BTH_Rennes_2007_TECH,BTH_Rennes_2007_TECH,27830,https://doi.org/10.15454/V4CPNJ,RE06058,VIRTUAL_TRIAL,,,,,,,,2007,19,,73,,100,,33,,76,,209,,50,,"0,68",,143,,27,,328,,"11,8",,"76,1",
RE06097itkfi,2826938,BTH_Rennes_2007_TECH,BTH_Rennes_2007_TECH,27832,https://doi.org/10.15454/X0FSJ6,RE06097,VIRTUAL_TRIAL,,,,,,,,2007,"23,3",,110,,100,,43,,77,,220,,38,,"0,35",,140,,8,,282,,"11,9",,77,
RE06130itkfi,2826953,BTH_Rennes_2007_TECH,BTH_Rennes_2007_TECH,27833,https://doi.org/10.15454/QCSBFW,RE06130,VIRTUAL_TRIAL,,,,,,,,2007,"18,1",,66,,100,,9,,53,,162,,63,,"0,95",,170,,9,,324,,"12,1",,"78,9",
RE05074itkfi,2826977,BTH_Rennes_2007_TECH,BTH_Rennes_2007_TECH,27826,https://doi.org/10.15454/UVZHWO,RE05074,VIRTUAL_TRIAL,,,,,,,,2007,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
