observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prot(CO_321:1000070),prot(CO_321:1000070).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
2,2828527,BTH_Lusignan_2008_SetA1,BTH_Lusignan_2008_SetA1,27754,https://doi.org/10.15454/7MX1DM,AO07102,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"11,35",,"63,41",,4,,2,
1,2828526,BTH_Lusignan_2008_SetA1,BTH_Lusignan_2008_SetA1,27754,https://doi.org/10.15454/7MX1DM,AO07102,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"12,25",,"59,47",,3,,2,
2,2828529,BTH_Lusignan_2008_SetA1,BTH_Lusignan_2008_SetA1,27754,https://doi.org/10.15454/7MX1DM,AO07102,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"12,03",,"81,68",,,,"5,5",
1,2828528,BTH_Lusignan_2008_SetA1,BTH_Lusignan_2008_SetA1,27754,https://doi.org/10.15454/7MX1DM,AO07102,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"12,74",,"74,18",,,,"4,5",
1,2828622,BTH_Lusignan_2008_SetA1,BTH_Lusignan_2008_SetA1,27755,https://doi.org/10.15454/IF7X64,AO07116,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"12,17",,"63,26",,3,,"2,5",
2,2828623,BTH_Lusignan_2008_SetA1,BTH_Lusignan_2008_SetA1,27755,https://doi.org/10.15454/IF7X64,AO07116,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"11,84",,"67,7",,"4,2",,4,
2,2828625,BTH_Lusignan_2008_SetA1,BTH_Lusignan_2008_SetA1,27755,https://doi.org/10.15454/IF7X64,AO07116,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"12,33",,"79,09",,,,"8,5",
1,2828624,BTH_Lusignan_2008_SetA1,BTH_Lusignan_2008_SetA1,27755,https://doi.org/10.15454/IF7X64,AO07116,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"12,79",,"74,02",,,,4,
2,2828575,BTH_Lusignan_2008_SetA1,BTH_Lusignan_2008_SetA1,49533,https://doi.org/10.15454/QOR8WX,CF03287,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"12,63",,"67,83",,"3,5",,2,
1,2828576,BTH_Lusignan_2008_SetA1,BTH_Lusignan_2008_SetA1,49533,https://doi.org/10.15454/QOR8WX,CF03287,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"13,34",,"78,11",,,,"6,5",
1,2828574,BTH_Lusignan_2008_SetA1,BTH_Lusignan_2008_SetA1,49533,https://doi.org/10.15454/QOR8WX,CF03287,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"14,21",,"65,89",,3,,1,
