observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieD(CO_321:1000255),NmieD(CO_321:1000255).date,NmieL(CO_321:1000243),NmieL(CO_321:1000243).date,NmieS(CO_321:1000248),NmieS(CO_321:1000248).date,NpainD(CO_321:1000254),NpainD(CO_321:1000254).date,NpainL(CO_321:1000242),NpainL(CO_321:1000242).date,NpainS(CO_321:1000247),NpainS(CO_321:1000247).date,NpateD(CO_321:1000253),NpateD(CO_321:1000253).date,NpateL(CO_321:1000241),NpateL(CO_321:1000241).date,NpateS(CO_321:1000246),NpateS(CO_321:1000246).date,NtotD(CO_321:1000256),NtotD(CO_321:1000256).date,NtotL(CO_321:1000244),NtotL(CO_321:1000244).date,NtotS(CO_321:1000249),NtotS(CO_321:1000249).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,volD(CO_321:1000257),volD(CO_321:1000257).date,volL(CO_321:1000245),volL(CO_321:1000245).date,volS(CO_321:1000250),volS(CO_321:1000250).date,zel(CO_321:1000222),zel(CO_321:1000222).date
EM13073itkt,2976551,BTH_Dijon_2014_TECH,BTH_Dijon_2014_TECH,61398,https://doi.org/10.15454/HEUAIP,EM13073,VIRTUAL_TRIAL,,,,,,,,traite,2014,25.9,,136,,,,100,,,,,,75.4,,,,,,91.13,,,,,,266.53,,,,51,,0.37,,209,,65,,417,,43.5,,11.2,,73.6,,,,1630,,,,,
EM13249itkt,2976558,BTH_Dijon_2014_TECH,BTH_Dijon_2014_TECH,61447,https://doi.org/10.15454/NTKRK8,EM13249,VIRTUAL_TRIAL,,,,,,,,traite,2014,,,,,,,100,,,,,,53.25,,,,,,80.75,,,,,,234,,,,,,,,,,25,,333,,34.9,,11.5,,68.2,,,,1450,,,,,
EM13243itkt,2976562,BTH_Dijon_2014_TECH,BTH_Dijon_2014_TECH,61431,https://doi.org/10.15454/QSZ1IX,EM13243,VIRTUAL_TRIAL,,,,,,,,traite,2014,18.1,,66,,,,94,,,,,,54.98,,,,,,83.75,,,,,,232.73,,,,90,,1.35,,223,,59,,440,,35.3,,10.8,,72.6,,,,1475,,,,,
RE13006itkt,2976609,BTH_Dijon_2014_TECH,BTH_Dijon_2014_TECH,61514,https://doi.org/10.15454/KLQZHB,RE13006,VIRTUAL_TRIAL,,,,,,,,traite,2014,17.4,,61,,,,100,,,,,,36.8,,,,,,77.75,,,,,,214.55,,,,69,,1.12,,173,,57,,340,,43.9,,9.8,,76.3,,,,1460,,,,,
RE13007itkt,2976600,BTH_Dijon_2014_TECH,BTH_Dijon_2014_TECH,61527,https://doi.org/10.15454/JN5VML,RE13007,VIRTUAL_TRIAL,,,,,,,,traite,2014,17.8,,64,,,,100,,,,,,34.4,,,,,,84,,,,,,218.4,,,,80,,1.24,,206,,57,,349,,43.2,,10,,76.2,,,,1380,,,,,
RE12080itkt,2976588,BTH_Dijon_2014_TECH,BTH_Dijon_2014_TECH,61587,https://doi.org/10.15454/TNFH4O,RE12080,VIRTUAL_TRIAL,,,,,,,,traite,2014,18.1,,66,,100,,,,,,59.2,,,,,,84,,,,,,243.2,,,,,,63,,0.95,,156,,53,,373,,,,11.9,,,,1505,,,,,,30,
RE13093itkt,2976565,BTH_Dijon_2014_TECH,BTH_Dijon_2014_TECH,61664,https://doi.org/10.15454/OYADUC,RE13093,VIRTUAL_TRIAL,,,,,,,,traite,2014,18.4,,68,,,,91,,,,,,36.3,,,,,,78.5,,,,,,205.8,,,,62,,0.91,,182,,16,,432,,38.8,,12.1,,72.6,,,,1260,,,,,
RE13094itkt,2976557,BTH_Dijon_2014_TECH,BTH_Dijon_2014_TECH,61678,https://doi.org/10.15454/GQP9HA,RE13094,VIRTUAL_TRIAL,,,,,,,,traite,2014,20.6,,86,,,,100,,,,,,74.2,,,,,,77.75,,,,,,251.95,,,,73,,0.85,,240,,37,,437,,45.6,,10.7,,75,,,,1640,,,,,
AO14026itkt,2976605,BTH_Dijon_2014_TECH,BTH_Dijon_2014_TECH,61704,https://doi.org/10.15454/ZZZLIR,AO14026,VIRTUAL_TRIAL,,,,,,,,traite,2014,21.5,,94,,,,100,,,,,,55.35,,,,,,89.63,,,,,,244.98,,,,73,,0.78,,229,,67,,248,,38.5,,11.4,,71.3,,,,1525,,,,,
AO14001itkt,2976615,BTH_Dijon_2014_TECH,BTH_Dijon_2014_TECH,61803,https://doi.org/10.15454/LCA9U1,AO14001,VIRTUAL_TRIAL,,,,,,,,traite,2014,18.5,,69,,100,,,,,,35,,,,,,97,,,,,,232,,,,,,68,,0.98,,171,,49,,391,,,,12.2,,,,1450,,,,,,30,
AO14013itkt,2976578,BTH_Dijon_2014_TECH,BTH_Dijon_2014_TECH,62003,https://doi.org/10.15454/UIHLJL,AO14013,VIRTUAL_TRIAL,,,,,,,,traite,2014,18,,65,,,,100,,,,,,23,,,,,,49.38,,,,,,172.38,,,,92,,1.41,,252,,57,,415,,34.1,,11.7,,72.9,,,,805,,,,,
AO14014itkt,2976580,BTH_Dijon_2014_TECH,BTH_Dijon_2014_TECH,62034,https://doi.org/10.15454/RWXBD7,AO14014,VIRTUAL_TRIAL,,,,,,,,traite,2014,20.7,,87,,,,100,,,,,,32.6,,,,,,80.75,,,,,,213.35,,,,73,,0.83,,236,,54,,267,,40.3,,10.8,,73.2,,,,1420,,,,,
AO14017itkt,2976581,BTH_Dijon_2014_TECH,BTH_Dijon_2014_TECH,62096,https://doi.org/10.15454/JY3UZ7,AO14017,VIRTUAL_TRIAL,,,,,,,,traite,2014,18.1,,66,,,,100,,,,,,8.13,,,,,,55.38,,,,,,163.51,,,,102,,1.54,,284,,61,,476,,36,,12.4,,72.1,,,,930,,,,,
AO14020itkt,2976606,BTH_Dijon_2014_TECH,BTH_Dijon_2014_TECH,62141,https://doi.org/10.15454/0STI9A,AO14020,VIRTUAL_TRIAL,,,,,,,,traite,2014,18.2,,67,,,,100,,,,,,60.15,,,,,,68.88,,,,,,229.03,,,,72,,1.06,,197,,42,,351,,31.6,,12.2,,69.7,,,,1530,,,,,
EM13147itkt,2976608,BTH_Dijon_2014_TECH,BTH_Dijon_2014_TECH,61412,https://doi.org/10.15454/J7IR6N,EM13147,VIRTUAL_TRIAL,,,,,,,,traite,2014,15.2,,47,,,,94,,,,,,10.38,,,,,,68.5,,,,,,172.88,,,,90,,1.93,,179,,62,,446,,44.6,,11,,72,,,,1180,,,,,
CF13158itkt,2976610,BTH_Dijon_2014_TECH,BTH_Dijon_2014_TECH,61152,https://doi.org/10.15454/BOXBBY,CF13158,VIRTUAL_TRIAL,,,,,,,,traite,2014,23.5,,112,,,,100,,,,,,62.85,,,,,,89.63,,,,,,252.48,,,,56,,0.5,,188,,61,,429,,36.9,,11.3,,72.4,,,,1625,,,,,
RE13116itkt,2976550,BTH_Dijon_2014_TECH,BTH_Dijon_2014_TECH,61763,https://doi.org/10.15454/N7NCR1,RE13116,VIRTUAL_TRIAL,,,,,,,,traite,2014,19.8,,79,,,,100,,,,,,51.68,,,,,,79.25,,,,,,230.93,,,,54,,0.68,,160,,32,,395,,45.8,,9.8,,73.6,,,,1360,,,,,
DI13002itkt,2976571,BTH_Dijon_2014_TECH,BTH_Dijon_2014_TECH,61791,https://doi.org/10.15454/GW5VMO,DI13002,VIRTUAL_TRIAL,,,,,,,,traite,2014,14.4,,42,,91,,,,,,27.5,,,,,,49.3,,,,,,167.8,,,,,,78,,1.87,,147,,47,,397,,,,12.8,,,,1010,,,,,,39,
EM12040itkt,2976595,BTH_Dijon_2014_TECH,BTH_Dijon_2014_TECH,61883,https://doi.org/10.15454/ZJTOW0,EM12040,VIRTUAL_TRIAL,,,,,,,,traite,2014,20.8,,88,,,,100,,,,,,64.05,,,,,,81.5,,,,,,245.55,,,,65,,0.73,,210,,63,,414,,52.6,,11,,78.6,,,,1660,,,,,
EM11537itkt,2976553,BTH_Dijon_2014_TECH,BTH_Dijon_2014_TECH,49307,https://doi.org/10.15454/S10U8Z,EM11537,VIRTUAL_TRIAL,,,,,,,,traite,2014,12.8,,33,,91,,,,,,26,,,,,,49.2,,,,,,166.2,,,,,,95,,2.88,,142,,54,,408,,,,11.9,,,,1200,,,,,,30,
AO14041itkt,2976598,BTH_Dijon_2014_TECH,BTH_Dijon_2014_TECH,60915,https://doi.org/10.15454/BHRDHY,AO14041,VIRTUAL_TRIAL,,,,,,,,traite,2014,19.4,,76,,,,100,,,,,,71.5,,,,,,88.13,,,,,,259.63,,,,49,,0.65,,135,,51,,,,41.5,,10.8,,71,,,,1600,,,,,
AO14005itkt,2976612,BTH_Dijon_2014_TECH,BTH_Dijon_2014_TECH,61865,https://doi.org/10.15454/AJY3JA,AO14005,VIRTUAL_TRIAL,,,,,,,,traite,2014,18.5,,69,,100,,,,,,56.2,,,,,,95.5,,,,,,251.7,,,,,,43,,0.63,,108,,41,,402,,,,11.5,,,,1405,,,,,,23,
CF13080itkt,2976591,BTH_Dijon_2014_TECH,BTH_Dijon_2014_TECH,61079,https://doi.org/10.15454/SAGJTL,CF13080,VIRTUAL_TRIAL,,,,,,,,traite,2014,24.8,,125,,,,91,,,,,,29.75,,,,,,52.38,,,,,,173.13,,,,28,,0.23,,86,,11,,355,,42.6,,12.1,,71.6,,,,1400,,,,,
AO13015itkt,2976593,BTH_Dijon_2014_TECH,BTH_Dijon_2014_TECH,60834,https://doi.org/10.15454/KQGENR,AO13015,VIRTUAL_TRIAL,,,,,,,,traite,2014,18.4,,69,,94,,,,,,32.1,,,,,,64.6,,,,,,190.7,,,,,,69,,1.01,,178,,43,,358,,,,11.3,,,,1285,,,,,,32,
RE13003itkt,2976614,BTH_Dijon_2014_TECH,BTH_Dijon_2014_TECH,61467,https://doi.org/10.15454/J5JFPN,RE13003,VIRTUAL_TRIAL,,,,,,,,traite,2014,18.8,,71,,,,100,,,,,,54,,,,,,70.38,,,,,,224.38,,,,88,,1.24,,261,,67,,391,,37.8,,12.3,,73.3,,,,1405,,,,,
AO14008itkt,2976607,BTH_Dijon_2014_TECH,BTH_Dijon_2014_TECH,61924,https://doi.org/10.15454/7FN5V4,AO14008,VIRTUAL_TRIAL,,,,,,,,traite,2014,16.5,,56,,,,100,,,,,,54.75,,,,,,80,,,,,,234.75,,,,86,,1.56,,205,,60,,417,,38.1,,11.3,,76.2,,,,1355,,,,,
AO14028itkt,2976613,BTH_Dijon_2014_TECH,BTH_Dijon_2014_TECH,62039,https://doi.org/10.15454/FMXV4A,AO14028,VIRTUAL_TRIAL,,,,,,,,traite,2014,17.7,,63,,,,100,,,,,,52.5,,,,,,85.13,,,,,,237.63,,,,72,,1.13,,185,,47,,381,,41.9,,10.4,,72.8,,,,1350,,,,,
AO13045itkt,2976574,BTH_Dijon_2014_TECH,BTH_Dijon_2014_TECH,61318,https://doi.org/10.15454/WK73B3,AO13045,VIRTUAL_TRIAL,,,,,,,,traite,2014,14.4,,42,,91,,,,,,29,,,,,,64.2,,,,,,184.2,,,,,,93,,2.22,,169,,51,,409,,,,12.9,,,,1015,,,,,,39,
CF09117itkt,2976603,BTH_Dijon_2014_TECH,BTH_Dijon_2014_TECH,48349,https://doi.org/10.15454/DXR4XS,CF09117,VIRTUAL_TRIAL,,,,,,,,traite,2014,21.6,,94,,91,,,,,,26,,,,,,64.1,,,,,,181.1,,,,,,69,,0.74,,251,,58,,492,,,,13.7,,,,1030,,,,,,63,
RE13014itkt,2976585,BTH_Dijon_2014_TECH,BTH_Dijon_2014_TECH,48609,https://doi.org/10.15454/QLBPQK,RE13014,VIRTUAL_TRIAL,,,,,,,,traite,2014,25,,127,,,,100,,,,,,83.2,,,,,,91.13,,,,,,274.33,,,,58,,0.46,,230,,70,,367,,46.5,,11.2,,77.9,,,,1740,,,,,
RE13084itkt,2976602,BTH_Dijon_2014_TECH,BTH_Dijon_2014_TECH,49120,https://doi.org/10.15454/P3TGLP,RE13084,VIRTUAL_TRIAL,,,,,,,,traite,2014,14.3,,42,,,,85,,,,,,9.63,,,,,,47.5,,,,,,142.13,,,,109,,2.62,,208,,41,,482,,42.2,,11.7,,75.2,,,,850,,,,,
RE13086itkt,2976597,BTH_Dijon_2014_TECH,BTH_Dijon_2014_TECH,49433,https://doi.org/10.15454/XA7QW4,RE13086,VIRTUAL_TRIAL,,,,,,,,traite,2014,15.5,,49,,,,88,,,,,,38.88,,,,,,37.38,,,,,,164.26,,,,94,,1.94,,205,,51,,506,,43.2,,11.7,,76,,,,817,,,,,
RE13106itkt,2976604,BTH_Dijon_2014_TECH,BTH_Dijon_2014_TECH,49524,https://doi.org/10.15454/FSEIOR,RE13106,VIRTUAL_TRIAL,,,,,,,,traite,2014,23.9,,116,,,,100,,,,,,71.5,,,,,,92.63,,,,,,264.13,,,,52,,0.44,,167,,21,,459,,33.1,,10.6,,68.5,,,,1505,,,,,
RE13005itkt,2976599,BTH_Dijon_2014_TECH,BTH_Dijon_2014_TECH,48484,https://doi.org/10.15454/L7ZWCU,RE13005,VIRTUAL_TRIAL,,,,,,,,traite,2014,20.4,,84,,,,100,,,,,,58.95,,,,,,91.13,,,,,,250.08,,,,70,,0.83,,215,,60,,402,,41.6,,10.8,,74.7,,,,1495,,,,,
RE13004itkt,2976611,BTH_Dijon_2014_TECH,BTH_Dijon_2014_TECH,49568,https://doi.org/10.15454/LO7ZR2,RE13004,VIRTUAL_TRIAL,,,,,,,,traite,2014,21.3,,92,,,,100,,,,,,56.25,,,,,,85.5,,,,,,241.75,,,,68,,0.74,,237,,61,,370,,48.3,,11,,76.1,,,,1555,,,,,
APACHEitkt,2976582,BTH_Dijon_2014_TECH,BTH_Dijon_2014_TECH,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,traite,2014,19.9,,80,,100,,,,91,,61.3,,,,73,,86.6,,,,89,,247.9,,,,253,,56.5,,0.7,,171,,41,,392,,,,11.57,,75.1,,1575,,,,1493,,32,
Bermudeitkt,2976561,BTH_Dijon_2014_TECH,BTH_Dijon_2014_TECH,75270,https://doi.org/10.15454/AIOH4U,Bermude,VIRTUAL_TRIAL,,,,,,,,traite,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,,,,,,,,,,,,,,,,,
Granamaxitkt,2976583,BTH_Dijon_2014_TECH,BTH_Dijon_2014_TECH,59657,https://doi.org/10.15454/R2A6FC,GRANAMAX,VIRTUAL_TRIAL,,,,,,,,traite,2014,13.4,,36,,,,,,100,,,,,,70,,,,,,86,,,,,,256,,79,,2.19,,122,,85,,270,,,,11.2,,75.8,,,,,,1409,,,
AO11011itkt,2976555,BTH_Dijon_2014_TECH,BTH_Dijon_2014_TECH,48486,https://doi.org/10.15454/PE1NKZ,AO11011,VIRTUAL_TRIAL,,,,,,,,traite,2014,16.1,,53,,,,,,100,,,,,,77,,,,,,77,,,,,,254,,66,,1.27,,136,,85,,345,,,,13,,70.2,,,,,,1526,,,
Gotikitkt,2976596,BTH_Dijon_2014_TECH,BTH_Dijon_2014_TECH,49404,https://doi.org/10.15454/DILEEP,GOTIK,VIRTUAL_TRIAL,,,,,,,,traite,2014,17.5,,62,,,,,,85,,,,,,73,,,,,,86,,,,,,244,,74,,1.19,,181,,72,,356,,,,11.5,,77,,,,,,1517,,,
RE10042itkt,2976590,BTH_Dijon_2014_TECH,BTH_Dijon_2014_TECH,48716,https://doi.org/10.15454/5APOHC,RE10042,VIRTUAL_TRIAL,,,,,,,,traite,2014,15.7,,50,,,,,,85,,,,,,69,,,,,,83,,,,,,237,,48,,0.96,,100,,66,,334,,,,12.8,,74.7,,,,,,1365,,,
RE11058itkt,2976569,BTH_Dijon_2014_TECH,BTH_Dijon_2014_TECH,48469,https://doi.org/10.15454/ENAZXW,RE11058,VIRTUAL_TRIAL,,,,,,,,traite,2014,17.8,,64,,,,,,82,,,,,,75,,,,,,84,,,,,,241,,51,,0.8,,131,,81,,319,,,,12.35,,74.4,,,,,,1385,,,
Galibieritkt,2976592,BTH_Dijon_2014_TECH,BTH_Dijon_2014_TECH,59302,https://doi.org/10.15454/Y60IB3,GALIBIER,VIRTUAL_TRIAL,,,,,,,,traite,2014,19,,73,,94,,,,,,30.5,,,,,,70.5,,,,,,195,,,,,,105,,1.43,,312,,63,,399,,,,13.4,,,,1250,,,,,,54,
EM12096itkt,2976549,BTH_Dijon_2014_TECH,BTH_Dijon_2014_TECH,48739,https://doi.org/10.15454/CEPFO5,EM12096,VIRTUAL_TRIAL,,,,,,,,traite,2014,18.6,,70,,100,,,,,,86.5,,,,,,95.5,,,,,,282,,,,,,96,,1.39,,256,,60,,415,,,,13,,,,1750,,,,,,38,
EM12231itkt,2976579,BTH_Dijon_2014_TECH,BTH_Dijon_2014_TECH,48934,https://doi.org/10.15454/YCKTDL,EM12231,VIRTUAL_TRIAL,,,,,,,,traite,2014,25.4,,131,,100,,,,,,85.9,,,,,,95.5,,,,,,281.4,,,,,,47,,0.36,,168,,48,,286,,,,11.4,,,,1730,,,,,,30,
EM12234itkt,2976577,BTH_Dijon_2014_TECH,BTH_Dijon_2014_TECH,49090,https://doi.org/10.15454/1VGYYS,EM12234,VIRTUAL_TRIAL,,,,,,,,traite,2014,15.9,,51,,94,,,,,,35.6,,,,,,59,,,,,,188.6,,,,,,76,,1.49,,157,,46,,420,,,,12,,,,1375,,,,,,31,
RE12002itkt,2976575,BTH_Dijon_2014_TECH,BTH_Dijon_2014_TECH,48869,https://doi.org/10.15454/TN9KFO,RE12002,VIRTUAL_TRIAL,,,,,,,,traite,2014,16.3,,54,,91,,,,,,25.2,,,,,,51.5,,,,,,167.7,,,,,,55,,1.03,,118,,53,,413,,,,12.5,,,,1185,,,,,,40,
RE12020itkt,2976548,BTH_Dijon_2014_TECH,BTH_Dijon_2014_TECH,49575,https://doi.org/10.15454/DGI5VN,RE12020,VIRTUAL_TRIAL,,,,,,,,traite,2014,18.7,,71,,94,,,,,,30,,,,,,60,,,,,,184,,,,,,106,,1.5,,313,,68,,312,,,,13.8,,,,1315,,,,,,56,
AO14035itkt,2976589,BTH_Dijon_2014_TECH,BTH_Dijon_2014_TECH,60801,https://doi.org/10.15454/XJIDYV,AO14035,VIRTUAL_TRIAL,,,,,,,,traite,2014,22.7,,105,,,,100,,,,,,76.9,,,,,,88.13,,,,,,265.03,,,,60,,0.57,,203,,61,,464,,42.9,,10.2,,73.4,,,,1530,,,,,
AO14039itkt,2976584,BTH_Dijon_2014_TECH,BTH_Dijon_2014_TECH,60867,https://doi.org/10.15454/WFL1YX,AO14039,VIRTUAL_TRIAL,,,,,,,,traite,2014,15.8,,51,,91,,,,,,23,,,,,,42,,,,,,156,,,,,,67,,1.33,,142,,44,,544,,,,11.2,,,,990,,,,,,29,
AO12021itkt,2976559,BTH_Dijon_2014_TECH,BTH_Dijon_2014_TECH,60961,https://doi.org/10.15454/0ZFI4A,AO12021,VIRTUAL_TRIAL,,,,,,,,traite,2014,11.4,,26,,,,,,82,,,,,,48,,,,,,84,,,,,,214,,87,,3.35,,103,,71,,274,,,,11.8,,71.9,,,,,,1175,,,
AO13022itkt,2976567,BTH_Dijon_2014_TECH,BTH_Dijon_2014_TECH,60962,https://doi.org/10.15454/57FECX,AO13022,VIRTUAL_TRIAL,,,,,,,,traite,2014,13.8,,39,,88,,,,,,29,,,,,,64.1,,,,,,181.1,,,,,,106,,2.78,,178,,46,,439,,,,12,,,,1137,,,,,,30,
AO14022itkt,2976587,BTH_Dijon_2014_TECH,BTH_Dijon_2014_TECH,61039,https://doi.org/10.15454/T1DLTW,AO14022,VIRTUAL_TRIAL,,,,,,,,traite,2014,20,,81,,,,100,,,,,,50.85,,,,,,77.75,,,,,,228.6,,,,71,,0.87,,230,,43,,355,,31,,12.4,,70.4,,,,1520,,,,,
AREZZOitkt,2976552,BTH_Dijon_2014_TECH,BTH_Dijon_2014_TECH,27030,https://doi.org/10.15454/SFNXCW,AREZZO,VIRTUAL_TRIAL,,,,,,,,traite,2014,17.75,,64,,91,,,,100,,30.5,,,,74,,61.6,,,,93,,183.1,,,,267,,75,,1.22,,192,,43,,318,,,,12.25,,76.3,,1185,,,,1542,,32,
AO13047itkt,2976573,BTH_Dijon_2014_TECH,BTH_Dijon_2014_TECH,49371,https://doi.org/10.15454/QBXBWF,AO13047,VIRTUAL_TRIAL,,,,,,,,traite,2014,16.7,,57,,,,,,82,,,,,,71,,,,,,82,,,,,,235,,58,,1.04,,134,,73,,389,,,,11.85,,75.5,,,,,,1425,,,
CF12202itkt,2976570,BTH_Dijon_2014_TECH,BTH_Dijon_2014_TECH,49079,https://doi.org/10.15454/EYUOPH,CF12202,VIRTUAL_TRIAL,,,,,,,,traite,2014,15.9,,51,,91,,,,,,26,,,,,,42,,,,,,159,,,,,,58,,1.13,,117,,47,,451,,,,11.8,,,,1000,,,,,,35,
DI13003itkt,2976572,BTH_Dijon_2014_TECH,BTH_Dijon_2014_TECH,49052,https://doi.org/10.15454/6DHCDH,DI13003,VIRTUAL_TRIAL,,,,,,,,traite,2014,17.1,,59,,94,,,,,,32.6,,,,,,64.1,,,,,,190.7,,,,,,88,,1.5,,213,,47,,468,,,,12.6,,,,1270,,,,,,42,
DI13005itkt,2976568,BTH_Dijon_2014_TECH,BTH_Dijon_2014_TECH,49746,https://doi.org/10.15454/C5YYJZ,DI13005,VIRTUAL_TRIAL,,,,,,,,traite,2014,20.9,,89,,100,,,,,,58.9,,,,,,85,,,,,,243.9,,,,,,58,,0.66,,196,,41,,339,,,,11,,,,1495,,,,,,30,
