observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
DI12003itkfi,2867309,BTH_Estrées-Mons_2012_SetB1,BTH_Estrées-Mons_2012_SetB1,61774,https://doi.org/10.15454/PDTNHE,DI12003,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,1,,88,,152,,"12,46",,"95,7",,"2,5",,"63,6",,1,,3,,1,
RE10091itkt,2867320,BTH_Estrées-Mons_2012_SetB1,BTH_Estrées-Mons_2012_SetB1,62038,https://doi.org/10.15454/4GF0WY,RE10091,VIRTUAL_TRIAL,,,,,,,,treated,2012,1,,95,,148,,"12,98",,96,,,,"82,4",,2,,2,,"6,5",
RE10091itkfi,2867319,BTH_Estrées-Mons_2012_SetB1,BTH_Estrées-Mons_2012_SetB1,62038,https://doi.org/10.15454/4GF0WY,RE10091,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,1,,92,,149,,"12,25",,"92,5",,"4,5",,"61,4",,1,,1,,3,
EM11149itkt,2867282,BTH_Estrées-Mons_2012_SetB1,BTH_Estrées-Mons_2012_SetB1,62095,https://doi.org/10.15454/BHSE0Q,EM11149,VIRTUAL_TRIAL,,,,,,,,treated,2012,1,,95,,152,,"12,22",,"78,2",,,,"67,2",,1,,1,,9,
EM11149itkfi,2867281,BTH_Estrées-Mons_2012_SetB1,BTH_Estrées-Mons_2012_SetB1,62095,https://doi.org/10.15454/BHSE0Q,EM11149,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,3,,92,,152,,"11,5",,"105,5",,"2,5",,"70,1",,1,,"2,5",,3,
EM11359itkfi,2867321,BTH_Estrées-Mons_2012_SetB1,BTH_Estrées-Mons_2012_SetB1,62111,https://doi.org/10.15454/CSGOVX,EM11359,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,"1,5",,100,,151,,"11,98",,"87,8",,3,,"58,3",,1,,3,,6,
EM11359itkt,2867322,BTH_Estrées-Mons_2012_SetB1,BTH_Estrées-Mons_2012_SetB1,62111,https://doi.org/10.15454/CSGOVX,EM11359,VIRTUAL_TRIAL,,,,,,,,treated,2012,1,,98,,150,,"12,65",,"86,8",,,,"74,6",,2,,2,,8,
DI12007itkfi,2867301,BTH_Estrées-Mons_2012_SetB1,BTH_Estrées-Mons_2012_SetB1,61832,https://doi.org/10.15454/HYWSTF,DI12007,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,"2,5",,95,,152,,"11,73",,"111,1",,4,,"73,8",,1,,2,,2,
DI12007itkt,2867302,BTH_Estrées-Mons_2012_SetB1,BTH_Estrées-Mons_2012_SetB1,61832,https://doi.org/10.15454/HYWSTF,DI12007,VIRTUAL_TRIAL,,,,,,,,treated,2012,1,,95,,151,,"13,02",,"87,4",,,,"75,1",,1,,2,,8,
DI12006itkt,2867304,BTH_Estrées-Mons_2012_SetB1,BTH_Estrées-Mons_2012_SetB1,61817,https://doi.org/10.15454/3PVIBR,DI12006,VIRTUAL_TRIAL,,,,,,,,treated,2012,2,,90,,152,,"12,25",,"91,2",,,,"78,3",,1,,1,,"2,5",
DI12006itkfi,2867303,BTH_Estrées-Mons_2012_SetB1,BTH_Estrées-Mons_2012_SetB1,61817,https://doi.org/10.15454/3PVIBR,DI12006,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,3,,82,,152,,"11,96",,"100,7",,4,,"66,9",,1,,2,,1,
Premioitkfi,2867279,BTH_Estrées-Mons_2012_SetB1,BTH_Estrées-Mons_2012_SetB1,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,"2,5",,85,,150,,"11,39",,"115,9",,"2,5",,77,,1,,3,,1,
Premioitkt,2867280,BTH_Estrées-Mons_2012_SetB1,BTH_Estrées-Mons_2012_SetB1,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,treated,2012,1,,85,,148,,"12,03",,"99,7",,,,"85,7",,1,,2,,6,
Apacheitkfi,2867323,BTH_Estrées-Mons_2012_SetB1,BTH_Estrées-Mons_2012_SetB1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,1,,85,,150,,"11,52",,"95,2",,4,,"63,2",,1,,4,,1,
Apacheitkt,2867324,BTH_Estrées-Mons_2012_SetB1,BTH_Estrées-Mons_2012_SetB1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2012,1,,82,,148,,"12,74",,"99,5",,,,"85,4",,2,,"1,5",,"1,5",
Attlassitkt,2867338,BTH_Estrées-Mons_2012_SetB1,BTH_Estrées-Mons_2012_SetB1,26823,https://doi.org/10.15454/4BHB0N,ATTLASS,VIRTUAL_TRIAL,,,,,,,,treated,2012,"1,5",,92,,152,,"13,04",,"94,8",,,,"81,4",,"1,5",,"1,5",,7,
Attlassitkfi,2867337,BTH_Estrées-Mons_2012_SetB1,BTH_Estrées-Mons_2012_SetB1,26823,https://doi.org/10.15454/4BHB0N,ATTLASS,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,3,,90,,152,,"11,78",,"112,4",,1,,"74,7",,1,,2,,1,
CF11029itkt,2867318,BTH_Estrées-Mons_2012_SetB1,BTH_Estrées-Mons_2012_SetB1,48631,https://doi.org/10.15454/LPOUIM,CF11029,VIRTUAL_TRIAL,,,,,,,,treated,2012,2,,100,,152,,"10,7",,"108,6",,,,"93,3",,"1,5",,2,,"5,5",
CF11029itkfi,2867317,BTH_Estrées-Mons_2012_SetB1,BTH_Estrées-Mons_2012_SetB1,48631,https://doi.org/10.15454/LPOUIM,CF11029,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,4,,92,,154,,"11,35",,"54,6",,4,,"36,3",,7,,1,,1,
CF11051itkt,2867286,BTH_Estrées-Mons_2012_SetB1,BTH_Estrées-Mons_2012_SetB1,49515,https://doi.org/10.15454/XTUZ9D,CF11051,VIRTUAL_TRIAL,,,,,,,,treated,2012,1,,98,,152,,"10,69",,"100,7",,,,"86,5",,1,,2,,7,
CF11051itkfi,2867285,BTH_Estrées-Mons_2012_SetB1,BTH_Estrées-Mons_2012_SetB1,49515,https://doi.org/10.15454/XTUZ9D,CF11051,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,"2,5",,95,,152,,"10,3",,"117,3",,3,,"77,9",,1,,"1,5",,2,
DI12005itkt,2867306,BTH_Estrées-Mons_2012_SetB1,BTH_Estrées-Mons_2012_SetB1,48497,https://doi.org/10.15454/KIPU5T,DI12005,VIRTUAL_TRIAL,,,,,,,,treated,2012,1,,92,,152,,"11,47",,"102,5",,,,88,,"1,5",,2,,"6,5",
DI12005itkfi,2867305,BTH_Estrées-Mons_2012_SetB1,BTH_Estrées-Mons_2012_SetB1,48497,https://doi.org/10.15454/KIPU5T,DI12005,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,"1,5",,85,,153,,"10,7",,85,,7,,"56,5",,4,,1,,2,
EM11389itkfi,2867275,BTH_Estrées-Mons_2012_SetB1,BTH_Estrées-Mons_2012_SetB1,48373,https://doi.org/10.15454/QK5GLN,EM11389,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,3,,82,,152,,"11,98",,"109,7",,3,,"72,9",,1,,3,,1,
EM11389itkt,2867276,BTH_Estrées-Mons_2012_SetB1,BTH_Estrées-Mons_2012_SetB1,48373,https://doi.org/10.15454/QK5GLN,EM11389,VIRTUAL_TRIAL,,,,,,,,treated,2012,1,,88,,151,,"11,78",,"102,8",,,,"88,3",,"1,5",,2,,"7,5",
EM11441itkfi,2867315,BTH_Estrées-Mons_2012_SetB1,BTH_Estrées-Mons_2012_SetB1,49367,https://doi.org/10.15454/28ALS0,EM11441,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,"4,5",,82,,150,,"12,44",,"99,5",,"3,5",,"66,1",,1,,1,,2,
RE11007itkt,2867340,BTH_Estrées-Mons_2012_SetB1,BTH_Estrées-Mons_2012_SetB1,49642,https://doi.org/10.15454/TAMDIS,RE11007,VIRTUAL_TRIAL,,,,,,,,treated,2012,1,,102,,150,,"13,98",,"89,2",,,,"76,6",,1,,2,,"7,5",
RE11007itkfi,2867339,BTH_Estrées-Mons_2012_SetB1,BTH_Estrées-Mons_2012_SetB1,49642,https://doi.org/10.15454/TAMDIS,RE11007,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,1,,98,,151,,"12,75",,"108,7",,3,,"72,2",,1,,"1,5",,1,
AO12008itkfi,2867291,BTH_Estrées-Mons_2012_SetB1,BTH_Estrées-Mons_2012_SetB1,60732,https://doi.org/10.15454/JKQ6L6,AO12008,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,"1,5",,92,,150,,"11,12",,"115,2",,3,,"76,5",,1,,2,,4,
AO12008itkt,2867292,BTH_Estrées-Mons_2012_SetB1,BTH_Estrées-Mons_2012_SetB1,60732,https://doi.org/10.15454/JKQ6L6,AO12008,VIRTUAL_TRIAL,,,,,,,,treated,2012,1,,92,,150,,"11,48",,"88,1",,,,"75,7",,2,,2,,"8,5",
AO12009itkt,2867328,BTH_Estrées-Mons_2012_SetB1,BTH_Estrées-Mons_2012_SetB1,60749,https://doi.org/10.15454/K6ABP7,AO12009,VIRTUAL_TRIAL,,,,,,,,treated,2012,1,,98,,150,,"12,04",,"93,6",,,,"80,4",,"1,5",,2,,"8,5",
AO12009itkfi,2867327,BTH_Estrées-Mons_2012_SetB1,BTH_Estrées-Mons_2012_SetB1,60749,https://doi.org/10.15454/K6ABP7,AO12009,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,2,,92,,150,,"11,23",,"109,2",,"3,5",,"72,6",,1,,1,,4,
AO12012itkfi,2867345,BTH_Estrées-Mons_2012_SetB1,BTH_Estrées-Mons_2012_SetB1,60799,https://doi.org/10.15454/H3MSSG,AO12012,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,"2,5",,92,,153,,"11,76",,"102,7",,1,,"68,2",,4,,3,,1,
AO12012itkt,2867346,BTH_Estrées-Mons_2012_SetB1,BTH_Estrées-Mons_2012_SetB1,60799,https://doi.org/10.15454/H3MSSG,AO12012,VIRTUAL_TRIAL,,,,,,,,treated,2012,1,,95,,153,,"13,36",,"79,7",,,,"68,4",,"1,5",,"1,5",,"8,5",
RE11010itkfi,2867299,BTH_Estrées-Mons_2012_SetB1,BTH_Estrées-Mons_2012_SetB1,60870,https://doi.org/10.15454/RYT1LE,RE11010,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,3,,102,,152,,"11,31",,"102,6",,3,,"68,1",,1,,3,,"4,5",
RE11010itkt,2867300,BTH_Estrées-Mons_2012_SetB1,BTH_Estrées-Mons_2012_SetB1,60870,https://doi.org/10.15454/RYT1LE,RE11010,VIRTUAL_TRIAL,,,,,,,,treated,2012,1,,100,,153,,"12,57",,"92,9",,,,"79,8",,"1,5",,"1,5",,9,
RE11013itkt,2867298,BTH_Estrées-Mons_2012_SetB1,BTH_Estrées-Mons_2012_SetB1,60900,https://doi.org/10.15454/CKLKVS,RE11013,VIRTUAL_TRIAL,,,,,,,,treated,2012,1,,108,,153,,"12,55",,"87,5",,,,"75,1",,1,,"1,5",,"8,5",
RE11013itkfi,2867297,BTH_Estrées-Mons_2012_SetB1,BTH_Estrées-Mons_2012_SetB1,60900,https://doi.org/10.15454/CKLKVS,RE11013,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,2,,102,,154,,"11,56",,"100,9",,"2,5",,67,,1,,3,,"5,5",
RE11016itkfi,2867293,BTH_Estrées-Mons_2012_SetB1,BTH_Estrées-Mons_2012_SetB1,60933,https://doi.org/10.15454/7NVDSE,RE11016,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,2,,100,,154,,"12,21",,"93,3",,"2,5",,62,,1,,"1,5",,8,
RE11016itkt,2867294,BTH_Estrées-Mons_2012_SetB1,BTH_Estrées-Mons_2012_SetB1,60933,https://doi.org/10.15454/7NVDSE,RE11016,VIRTUAL_TRIAL,,,,,,,,treated,2012,1,,102,,153,,"12,41",,"87,7",,,,"75,3",,1,,"1,5",,9,
RE11015itkt,2867296,BTH_Estrées-Mons_2012_SetB1,BTH_Estrées-Mons_2012_SetB1,60917,https://doi.org/10.15454/2YDIBV,RE11015,VIRTUAL_TRIAL,,,,,,,,treated,2012,1,,105,,153,,"12,29",,"99,2",,,,"85,2",,1,,"1,5",,"8,5",
RE11015itkfi,2867295,BTH_Estrées-Mons_2012_SetB1,BTH_Estrées-Mons_2012_SetB1,60917,https://doi.org/10.15454/2YDIBV,RE11015,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,1,,102,,154,,"11,82",,"77,9",,"2,5",,"51,8",,1,,"2,5",,4,
RE11029itkt,2867344,BTH_Estrées-Mons_2012_SetB1,BTH_Estrées-Mons_2012_SetB1,60949,https://doi.org/10.15454/2CCYP2,RE11029,VIRTUAL_TRIAL,,,,,,,,treated,2012,1,,92,,153,,"11,57",,"78,8",,,,"67,7",,2,,"1,5",,"7,5",
RE11029itkfi,2867343,BTH_Estrées-Mons_2012_SetB1,BTH_Estrées-Mons_2012_SetB1,60949,https://doi.org/10.15454/2CCYP2,RE11029,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,3,,88,,153,,"10,83",,"105,3",,1,,70,,1,,"2,5",,1,
EM11366itkt,2867336,BTH_Estrées-Mons_2012_SetB1,BTH_Estrées-Mons_2012_SetB1,49409,https://doi.org/10.15454/9ZJTGU,EM11366,VIRTUAL_TRIAL,,,,,,,,treated,2012,"1,5",,98,,150,,"12,57",,100,,,,"85,9",,"1,5",,2,,"7,5",
EM11366itkfi,2867335,BTH_Estrées-Mons_2012_SetB1,BTH_Estrées-Mons_2012_SetB1,49409,https://doi.org/10.15454/9ZJTGU,EM11366,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,1,,95,,151,,"11,71",,"113,9",,3,,"75,6",,1,,2,,3,
EM11400itkt,2867334,BTH_Estrées-Mons_2012_SetB1,BTH_Estrées-Mons_2012_SetB1,48403,https://doi.org/10.15454/U4Y1OC,EM11400,VIRTUAL_TRIAL,,,,,,,,treated,2012,1,,85,,149,,"12,66",,"101,3",,,,87,,1,,2,,9,
EM11400itkfi,2867333,BTH_Estrées-Mons_2012_SetB1,BTH_Estrées-Mons_2012_SetB1,48403,https://doi.org/10.15454/U4Y1OC,EM11400,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,2,,82,,150,,12,,"103,7",,5,,"68,9",,1,,1,,1,
DI12004itkfi,2867307,BTH_Estrées-Mons_2012_SetB1,BTH_Estrées-Mons_2012_SetB1,49069,https://doi.org/10.15454/EHYGRO,DI12004,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,1,,88,,153,,"11,21",,"132,8",,2,,"88,2",,1,,2,,1,
DI12004itkt,2867308,BTH_Estrées-Mons_2012_SetB1,BTH_Estrées-Mons_2012_SetB1,49069,https://doi.org/10.15454/EHYGRO,DI12004,VIRTUAL_TRIAL,,,,,,,,treated,2012,1,,92,,152,,"12,12",,"105,3",,,,"90,5",,2,,2,,7,
Altigoitkt,2867330,BTH_Estrées-Mons_2012_SetB1,BTH_Estrées-Mons_2012_SetB1,26906,https://doi.org/10.15454/6CYBGM,ALTIGO,VIRTUAL_TRIAL,,,,,,,,treated,2012,1,,85,,148,,"11,16",,"102,1",,,,"87,7",,"1,5",,"1,5",,4,
Altigoitkfi,2867329,BTH_Estrées-Mons_2012_SetB1,BTH_Estrées-Mons_2012_SetB1,26906,https://doi.org/10.15454/6CYBGM,ALTIGO,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,"2,5",,88,,150,,"10,23",,"93,8",,"2,5",,"62,3",,2,,3,,1,
Bermudeitkt,2867288,BTH_Estrées-Mons_2012_SetB1,BTH_Estrées-Mons_2012_SetB1,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,treated,2012,1,,90,,152,,"11,16",,"98,7",,,,"84,7",,1,,"1,5",,6,
Bermudeitkfi,2867287,BTH_Estrées-Mons_2012_SetB1,BTH_Estrées-Mons_2012_SetB1,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,4,,85,,153,,"10,5",,"95,1",,"3,5",,"63,2",,1,,3,,1,
