observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NpainC(CO_321:1000233),NpainC(CO_321:1000233).date,NpateC(CO_321:1000232),NpateC(CO_321:1000232).date,NtotC(CO_321:1000234),NtotC(CO_321:1000234).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,pel(CO_321:1000223),pel(CO_321:1000223).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,sds(CO_321:1000224),sds(CO_321:1000224).date,volC(CO_321:1000235),volC(CO_321:1000235).date,vp(CO_321:1000225),vp(CO_321:1000225).date,zel(CO_321:1000222),zel(CO_321:1000222).date
RE00143itkt,2775317,BTH_Estrées-Mons_2001_TECH,BTH_Estrées-Mons_2001_TECH,49057,gnpis_pui:holding-921_taxon-4898_accession-49057,RE00143,VIRTUAL_TRIAL,,,,,,,,treated,2001,22,,98,,68,,44,,112,,47,,"0,48",,116,,69,,348,,64,,"41,05",,"10,7",,"80,5",,34,,1190,,"2,56",,23,
DI01022itkt,2775303,BTH_Estrées-Mons_2001_TECH,BTH_Estrées-Mons_2001_TECH,49284,gnpis_pui:holding-921_taxon-4898_accession-49284,DI01022,VIRTUAL_TRIAL,,,,,,,,treated,2001,"15,5",,49,,134,,72,,206,,56,,"1,15",,119,,9,,364,,130,,"45,15",,11,,"82,5",,52,,1558,,"2,64",,28,
RE00165itkt,2775322,BTH_Estrées-Mons_2001_TECH,BTH_Estrées-Mons_2001_TECH,49290,gnpis_pui:holding-921_taxon-4898_accession-49290,RE00165,VIRTUAL_TRIAL,,,,,,,,treated,2001,"17,8",,64,,126,,63,,189,,76,,"1,19",,156,,56,,375,,59,,"40,25",,"10,9",,"82,5",,46,,1490,,"2,58",,27,
EM00264itkt,2775335,BTH_Estrées-Mons_2001_TECH,BTH_Estrées-Mons_2001_TECH,48806,gnpis_pui:holding-921_taxon-4898_accession-48806,EM00264,VIRTUAL_TRIAL,,,,,,,,treated,2001,"20,7",,87,,147,,61,,208,,59,,"0,68",,171,,46,,350,,174,,"46,4",,"9,8",,80,,46,,1510,,"3,03",,26,
DI01007itkt,2775296,BTH_Estrées-Mons_2001_TECH,BTH_Estrées-Mons_2001_TECH,48550,gnpis_pui:holding-921_taxon-4898_accession-48550,DI01007,VIRTUAL_TRIAL,,,,,,,,treated,2001,20,,81,,134,,59,,193,,40,,"0,5",,127,,20,,335,,102,,"41,9",,"10,6",,"81,5",,44,,1562,,"2,01",,25,
RE00163itkt,2775309,BTH_Estrées-Mons_2001_TECH,BTH_Estrées-Mons_2001_TECH,48918,gnpis_pui:holding-921_taxon-4898_accession-48918,RE00163,VIRTUAL_TRIAL,,,,,,,,treated,2001,"17,4",,61,,139,,52,,191,,74,,"1,2",,137,,78,,356,,64,,"52,45",,"11,1",,80,,34,,1480,,"2,32",,22,
Skerzzoitkt,2775336,BTH_Estrées-Mons_2001_TECH,BTH_Estrées-Mons_2001_TECH,59735,https://doi.org/10.15454/SGAN4B,SKERZZO,VIRTUAL_TRIAL,,,,,,,,treated,2001,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
CF99077itkt,2775312,BTH_Estrées-Mons_2001_TECH,BTH_Estrées-Mons_2001_TECH,26047,https://doi.org/10.15454/XORVCY,CF99077,VIRTUAL_TRIAL,,,,,,,,treated,2001,"15,8",,50,,105,,52,,157,,94,,"1,85",,191,,29,,305,,169,,"45,75",,"11,2",,80,,43,,1272,,"2,85",,26,
CF99351itkt,2775316,BTH_Estrées-Mons_2001_TECH,BTH_Estrées-Mons_2001_TECH,25899,https://doi.org/10.15454/QG5OJU,CF99351,VIRTUAL_TRIAL,,,,,,,,treated,2001,"20,5",,85,,146,,69,,215,,129,,"1,51",,428,,27,,332,,272,,"35,2",,"12,4",,83,,71,,1665,,"3,26",,48,
CF00064itkt,2775294,BTH_Estrées-Mons_2001_TECH,BTH_Estrées-Mons_2001_TECH,25898,https://doi.org/10.15454/CH5SFE,CF00064,VIRTUAL_TRIAL,,,,,,,,treated,2001,"10,8",,24,,71,,42,,113,,95,,4,,108,,30,,345,,314,,"48,9",,"11,2",,"81,5",,51,,955,,"2,4",,33,
Voltigeitkt,2775311,BTH_Estrées-Mons_2001_TECH,BTH_Estrées-Mons_2001_TECH,26052,https://doi.org/10.15454/FS69PT,VOLTIGE,VIRTUAL_TRIAL,,,,,,,,treated,2001,"20,3",,83,,135,,56,,191,,35,,"0,43",,116,,21,,338,,139,,"39,86",,"10,4",,81,,36,,1550,,"1,76",,23,
EM99012itkt,2775344,BTH_Estrées-Mons_2001_TECH,BTH_Estrées-Mons_2001_TECH,25901,https://doi.org/10.15454/VOT84X,EM99012,VIRTUAL_TRIAL,,,,,,,,treated,2001,"19,1",,74,,131,,61,,192,,70,,"0,94",,211,,35,,363,,152,,"42,8",,"11,9",,"82,5",,59,,1550,,"1,95",,35,
DI00008itkt,2775304,BTH_Estrées-Mons_2001_TECH,BTH_Estrées-Mons_2001_TECH,26858,https://doi.org/10.15454/PRC5QN,DI00008,VIRTUAL_TRIAL,,,,,,,,treated,2001,"22,2",,100,,136,,63,,199,,50,,"0,5",,169,,11,,242,,144,,"42,4",,"11,2",,81,,51,,1515,,"2,65",,29,
EM00018itkt,2775329,BTH_Estrées-Mons_2001_TECH,BTH_Estrées-Mons_2001_TECH,26109,https://doi.org/10.15454/S5ERQF,EM00018,VIRTUAL_TRIAL,,,,,,,,treated,2001,"20,1",,82,,126,,70,,196,,51,,"0,62",,153,,19,,305,,132,,"45,2",,"10,5",,81,,35,,1454,,"2,27",,22,
RE99017itkt,2775340,BTH_Estrées-Mons_2001_TECH,BTH_Estrées-Mons_2001_TECH,26001,https://doi.org/10.15454/9GS2A7,RE99017,VIRTUAL_TRIAL,,,,,,,,treated,2001,"17,3",,60,,130,,60,,190,,36,,"0,59",,99,,12,,333,,160,,"37,45",,"10,9",,80,,38,,1500,,"1,46",,24,
DI00010itkt,2775292,BTH_Estrées-Mons_2001_TECH,BTH_Estrées-Mons_2001_TECH,26106,https://doi.org/10.15454/MAUZZM,DI00010,VIRTUAL_TRIAL,,,,,,,,treated,2001,"18,9",,72,,126,,58,,184,,60,,"0,83",,160,,11,,331,,107,,"41,5",,"10,5",,83,,43,,1432,,"3,11",,22,
CF00116itkt,2775323,BTH_Estrées-Mons_2001_TECH,BTH_Estrées-Mons_2001_TECH,26105,https://doi.org/10.15454/XCQCZQ,CF00116,VIRTUAL_TRIAL,,,,,,,,treated,2001,"24,2",,119,,134,,68,,202,,40,,"0,33",,146,,13,,320,,92,,"46,8",,11,,80,,45,,1415,,"2,74",,23,
EM00072itkt,2775332,BTH_Estrées-Mons_2001_TECH,BTH_Estrées-Mons_2001_TECH,26102,https://doi.org/10.15454/WNKZ9X,EM00072,VIRTUAL_TRIAL,,,,,,,,treated,2001,20,,81,,141,,64,,205,,50,,"0,62",,148,,22,,308,,82,,"44,65",,"10,3",,"77,5",,40,,1457,,"2,58",,20,
CF00110itkt,2775321,BTH_Estrées-Mons_2001_TECH,BTH_Estrées-Mons_2001_TECH,26048,https://doi.org/10.15454/7WIU47,CF00110,VIRTUAL_TRIAL,,,,,,,,treated,2001,"24,4",,121,,124,,58,,182,,37,,"0,31",,135,,16,,322,,94,,"46,8",,"11,4",,80,,46,,1370,,"2,81",,24,
CF00117itkt,2775324,BTH_Estrées-Mons_2001_TECH,BTH_Estrées-Mons_2001_TECH,26049,https://doi.org/10.15454/NGVK7J,CF00117,VIRTUAL_TRIAL,,,,,,,,treated,2001,"23,8",,115,,123,,67,,190,,39,,"0,34",,137,,12,,327,,90,,"46,1",,"11,3",,"79,5",,44,,1380,,"2,85",,22,
CF00020itkt,2775291,BTH_Estrées-Mons_2001_TECH,BTH_Estrées-Mons_2001_TECH,49725,https://doi.org/10.15454/PNW0L6,CF00020,VIRTUAL_TRIAL,,,,,,,,treated,2001,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
EM00002itkt,2775295,BTH_Estrées-Mons_2001_TECH,BTH_Estrées-Mons_2001_TECH,26108,https://doi.org/10.15454/MTMO4R,EM00002,VIRTUAL_TRIAL,,,,,,,,treated,2001,"20,3",,83,,102,,39,,141,,36,,"0,44",,123,,14,,266,,152,,"42,75",,"11,3",,81,,51,,1350,,"1,73",,30,
DI00024itkt,2775298,BTH_Estrées-Mons_2001_TECH,BTH_Estrées-Mons_2001_TECH,26107,https://doi.org/10.15454/IJHBYL,DI00024,VIRTUAL_TRIAL,,,,,,,,treated,2001,"25,4",,131,,146,,62,,208,,38,,"0,29",,149,,16,,335,,110,,"46,5",,"11,2",,81,,47,,1564,,"2,9",,24,
RE01002itkt,2775307,BTH_Estrées-Mons_2001_TECH,BTH_Estrées-Mons_2001_TECH,26110,https://doi.org/10.15454/PY1VVU,RE01002,VIRTUAL_TRIAL,,,,,,,,treated,2001,"23,4",,111,,150,,63,,213,,38,,"0,34",,148,,21,,255,,111,,42,,"11,3",,"82,5",,44,,1701,,"1,74",,25,
CF00108itkt,2775293,BTH_Estrées-Mons_2001_TECH,BTH_Estrées-Mons_2001_TECH,26103,https://doi.org/10.15454/VUCZZU,CF00108,VIRTUAL_TRIAL,,,,,,,,treated,2001,"20,6",,86,,127,,61,,188,,40,,"0,46",,119,,14,,330,,107,,"46,65",,"11,4",,79,,45,,1350,,"2,79",,25,
Rytmicitkt,2775315,BTH_Estrées-Mons_2001_TECH,BTH_Estrées-Mons_2001_TECH,26892,https://doi.org/10.15454/AVKVIW,RYTMIC,VIRTUAL_TRIAL,,,,,,,,treated,2001,"16,4",,54,,151,,74,,225,,99,,"1,82",,205,,55,,362,,148,,"51,9",,"10,7",,"80,5",,49,,1682,,"2,82",,30,
EM99017itkt,2775346,BTH_Estrées-Mons_2001_TECH,BTH_Estrées-Mons_2001_TECH,28764,https://doi.org/10.15454/QT2EUR,EM99017,VIRTUAL_TRIAL,,,,,,,,treated,2001,"16,8",,58,,133,,51,,184,,66,,"1,15",,162,,20,,223,,230,,"43,15",,"10,9",,"82,5",,50,,1546,,"1,93",,32,
RE9819itkt,2775343,BTH_Estrées-Mons_2001_TECH,BTH_Estrées-Mons_2001_TECH,28766,https://doi.org/10.15454/B2UDRG,RE9819,VIRTUAL_TRIAL,,,,,,,,treated,2001,"24,6",,123,,133,,48,,181,,34,,"0,28",,121,,13,,322,,48,,"48,35",,"10,9",,81,,45,,1623,,"2,51",,22,
DI01019itkt,2775331,BTH_Estrées-Mons_2001_TECH,BTH_Estrées-Mons_2001_TECH,48621,gnpis_pui:holding-921_taxon-4898_accession-48621,DI01019,VIRTUAL_TRIAL,,,,,,,,treated,2001,"24,1",,118,,146,,58,,204,,44,,"0,37",,162,,24,,283,,84,,"40,9",,"11,3",,80,,40,,1673,,"2,53",,24,
RE00164itkt,2775305,BTH_Estrées-Mons_2001_TECH,BTH_Estrées-Mons_2001_TECH,48472,gnpis_pui:holding-921_taxon-4898_accession-48472,RE00164,VIRTUAL_TRIAL,,,,,,,,treated,2001,"16,2",,54,,103,,51,,154,,67,,"1,24",,118,,48,,315,,46,,"47,7",,"10,4",,"81,5",,37,,1380,,"2,67",,23,
Soissonsitkt,2775341,BTH_Estrées-Mons_2001_TECH,BTH_Estrées-Mons_2001_TECH,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,treated,2001,"22,4",,102,,130,,46,,176,,55,,"0,54",,229,,43,,349,,222,,"42,2",,"10,8",,83,,58,,1480,,"1,53",,33,
EM00302itkt,2775325,BTH_Estrées-Mons_2001_TECH,BTH_Estrées-Mons_2001_TECH,26864,https://doi.org/10.15454/XVZVZD,EM00302,VIRTUAL_TRIAL,,,,,,,,treated,2001,"21,5",,94,,131,,61,,192,,50,,"0,53",,173,,20,,331,,144,,"44,8",,11,,"80,5",,40,,1432,,"2,18",,24,
RE00160itkt,2775308,BTH_Estrées-Mons_2001_TECH,BTH_Estrées-Mons_2001_TECH,26871,https://doi.org/10.15454/5JJD7K,RE00160,VIRTUAL_TRIAL,,,,,,,,treated,2001,"16,5",,56,,124,,59,,183,,52,,"0,94",,130,,21,,306,,190,,44,,"11,3",,"81,5",,48,,1368,,"2,27",,30,
EM99006itkt,2775319,BTH_Estrées-Mons_2001_TECH,BTH_Estrées-Mons_2001_TECH,28759,https://doi.org/10.15454/1BMHCN,EM99006,VIRTUAL_TRIAL,,,,,,,,treated,2001,"18,8",,71,,150,,67,,217,,72,,1,,194,,62,,280,,189,,"43,15",,"10,8",,82,,62,,1542,,"2,46",,30,
DI01021itkt,2775302,BTH_Estrées-Mons_2001_TECH,BTH_Estrées-Mons_2001_TECH,49218,gnpis_pui:holding-921_taxon-4898_accession-49218,DI01021,VIRTUAL_TRIAL,,,,,,,,treated,2001,22,,98,,146,,67,,213,,45,,"0,46",,152,,5,,357,,66,,"41,1",,"10,9",,80,,42,,1649,,"2,73",,23,
DI01032itkt,2775330,BTH_Estrées-Mons_2001_TECH,BTH_Estrées-Mons_2001_TECH,49224,gnpis_pui:holding-921_taxon-4898_accession-49224,DI01032,VIRTUAL_TRIAL,,,,,,,,treated,2001,"24,7",,124,,141,,56,,197,,44,,"0,35",,162,,16,,322,,99,,"48,2",,"11,1",,"82,5",,44,,1655,,"3,18",,22,
EM00074itkt,2775334,BTH_Estrées-Mons_2001_TECH,BTH_Estrées-Mons_2001_TECH,48639,gnpis_pui:holding-921_taxon-4898_accession-48639,EM00074,VIRTUAL_TRIAL,,,,,,,,treated,2001,"20,6",,86,,133,,66,,199,,55,,"0,64",,169,,43,,348,,170,,"43,25",,"10,1",,"81,5",,48,,1488,,"2,38",,26,
EM00015itkt,2775333,BTH_Estrées-Mons_2001_TECH,BTH_Estrées-Mons_2001_TECH,48653,gnpis_pui:holding-921_taxon-4898_accession-48653,EM00015,VIRTUAL_TRIAL,,,,,,,,treated,2001,"17,7",,63,,143,,66,,209,,99,,"1,56",,242,,63,,316,,199,,"43,55",,"10,8",,"80,5",,61,,1609,,"3,12",,35,
DI01004itkt,2775299,BTH_Estrées-Mons_2001_TECH,BTH_Estrées-Mons_2001_TECH,49003,gnpis_pui:holding-921_taxon-4898_accession-49003,DI01004,VIRTUAL_TRIAL,,,,,,,,treated,2001,"25,2",,129,,139,,67,,206,,40,,"0,31",,156,,15,,316,,101,,"45,6",,11,,"80,5",,41,,1552,,"2,86",,25,
EM00107itkt,2775318,BTH_Estrées-Mons_2001_TECH,BTH_Estrées-Mons_2001_TECH,49059,gnpis_pui:holding-921_taxon-4898_accession-49059,EM00107,VIRTUAL_TRIAL,,,,,,,,treated,2001,"18,8",,71,,130,,63,,193,,64,,"0,9",,162,,42,,327,,149,,"42,75",,"9,9",,"81,5",,45,,1527,,"2,75",,26,
EM00301itkt,2775326,BTH_Estrées-Mons_2001_TECH,BTH_Estrées-Mons_2001_TECH,48481,gnpis_pui:holding-921_taxon-4898_accession-48481,EM00301,VIRTUAL_TRIAL,,,,,,,,treated,2001,"16,1",,52,,134,,68,,202,,101,,"1,93",,217,,47,,332,,191,,"43,8",,"10,2",,"80,5",,60,,1532,,"3,11",,34,
RE00113itkt,2775342,BTH_Estrées-Mons_2001_TECH,BTH_Estrées-Mons_2001_TECH,49700,gnpis_pui:holding-921_taxon-4898_accession-49700,RE00113,VIRTUAL_TRIAL,,,,,,,,treated,2001,17,,58,,138,,63,,201,,54,,"0,92",,132,,27,,293,,133,,"46,25",,"10,5",,"80,5",,38,,1587,,"2,13",,26,
CF99075itkt,2775310,BTH_Estrées-Mons_2001_TECH,BTH_Estrées-Mons_2001_TECH,48935,https://doi.org/10.15454/KCTYDW,CF99075,VIRTUAL_TRIAL,,,,,,,,treated,2001,"18,9",,72,,116,,49,,165,,41,,"0,57",,126,,21,,320,,129,,"45,3",,11,,82,,46,,1347,,"1,69",,28,
