observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieG(CO_321:1000238),NmieG(CO_321:1000238).date,NmieL(CO_321:1000243),NmieL(CO_321:1000243).date,NpainG(CO_321:1000237),NpainG(CO_321:1000237).date,NpainL(CO_321:1000242),NpainL(CO_321:1000242).date,NpateG(CO_321:1000236),NpateG(CO_321:1000236).date,NpateL(CO_321:1000241),NpateL(CO_321:1000241).date,NtotG(CO_321:1000239),NtotG(CO_321:1000239).date,NtotL(CO_321:1000244),NtotL(CO_321:1000244).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,volG(CO_321:1000240),volG(CO_321:1000240).date,volL(CO_321:1000245),volL(CO_321:1000245).date,zel(CO_321:1000222),zel(CO_321:1000222).date
Folkloritkt,2861910,BTH_Le_Moulon_2011_TECH,BTH_Le_Moulon_2011_TECH,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,treated,2011,"13,9",,39,,91,,NA,,39,,NA,,75,,NA,,205,,NA,,118,,"3,03",,192,,97,,352,,"11,7",,NA,,1310,,NA,,39,
RE09013itkt,2861936,BTH_Le_Moulon_2011_TECH,BTH_Le_Moulon_2011_TECH,49189,https://doi.org/10.15454/FINGUM,RE09013,VIRTUAL_TRIAL,,,,,,,,treated,2011,"21,3",,92,,NA,,100,,NA,,"9,2",,NA,,"85,5",,NA,,"194,8",,74,,"0,81",,238,,31,,262,,"10,1",,"77,8",,NA,,1250,,NA,
RE10040itkt,2861937,BTH_Le_Moulon_2011_TECH,BTH_Le_Moulon_2011_TECH,49526,https://doi.org/10.15454/U0AWKP,RE10040,VIRTUAL_TRIAL,,,,,,,,treated,2011,"15,2",,47,,NA,,100,,NA,,"55,5",,NA,,"87,4",,NA,,"242,9",,129,,"2,77",,214,,95,,334,,"9,6",,"79,6",,NA,,1450,,NA,
RE10072itkt,2861913,BTH_Le_Moulon_2011_TECH,BTH_Le_Moulon_2011_TECH,49343,https://doi.org/10.15454/4TBCLY,RE10072,VIRTUAL_TRIAL,,,,,,,,treated,2011,"19,3",,75,,NA,,100,,NA,,"47,4",,NA,,62,,NA,,"209,4",,76,,"1,01",,165,,100,,282,,"9,2",,"81,2",,NA,,1330,,NA,
RE10095itkt,2861919,BTH_Le_Moulon_2011_TECH,BTH_Le_Moulon_2011_TECH,49072,https://doi.org/10.15454/OZM4O0,RE10095,VIRTUAL_TRIAL,,,,,,,,treated,2011,"18,4",,68,,NA,,100,,NA,,73,,NA,,"88,5",,NA,,"261,5",,80,,"1,16",,173,,38,,354,,"11,1",,82,,NA,,1600,,NA,
RE09063itkt,2861933,BTH_Le_Moulon_2011_TECH,BTH_Le_Moulon_2011_TECH,48542,https://doi.org/10.15454/XWSV3O,RE09063,VIRTUAL_TRIAL,,,,,,,,treated,2011,"18,8",,72,,91,,NA,,59,,NA,,90,,NA,,240,,NA,,94,,"1,32",,228,,"81,5",,354,,"11,3",,NA,,1613,,NA,,"31,5",
RE10039itkt,2861915,BTH_Le_Moulon_2011_TECH,BTH_Le_Moulon_2011_TECH,49138,https://doi.org/10.15454/NSZ09C,RE10039,VIRTUAL_TRIAL,,,,,,,,treated,2011,22,,98,,NA,,100,,NA,,32,,NA,,84,,NA,,216,,82,,"0,84",,288,,22,,118,,"10,9",,77,,NA,,1550,,NA,
RE09079itkt,2861903,BTH_Le_Moulon_2011_TECH,BTH_Le_Moulon_2011_TECH,49050,https://doi.org/10.15454/6F6EN3,RE09079,VIRTUAL_TRIAL,,,,,,,,treated,2011,"17,1",,59,,88,,NA,,25,,NA,,75,,NA,,188,,NA,,109,,"1,85",,232,,100,,311,,"13,2",,NA,,1375,,NA,,"36,5",
Premioitkt,2861918,BTH_Le_Moulon_2011_TECH,BTH_Le_Moulon_2011_TECH,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,treated,2011,"13,2",,35,,91,,NA,,72,,NA,,73,,NA,,236,,NA,,109,,"3,11",,165,,82,,331,,"12,1",,NA,,1528,,NA,,30,
EM09003itkt,2861909,BTH_Le_Moulon_2011_TECH,BTH_Le_Moulon_2011_TECH,49087,https://doi.org/10.15454/53EBXZ,EM09003,VIRTUAL_TRIAL,,,,,,,,treated,2011,"13,4",,36,,85,,NA,,17,,NA,,59,,NA,,161,,NA,,137,,"3,81",,208,,100,,256,,"11,3",,NA,,1143,,NA,,33,
Apacheitkt,2861924,BTH_Le_Moulon_2011_TECH,BTH_Le_Moulon_2011_TECH,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2011,"18,1",,66,,91,,NA,,66,,NA,,90,,NA,,247,,NA,,95,,"1,44",,205,,"70,5",,297,,"11,6",,NA,,1668,,NA,,"32,5",
EM10317itkt,2861911,BTH_Le_Moulon_2011_TECH,BTH_Le_Moulon_2011_TECH,61542,https://doi.org/10.15454/GSBZL4,EM10317,VIRTUAL_TRIAL,,,,,,,,treated,2011,"21,4",,93,,NA,,100,,NA,,"72,4",,NA,,"95,5",,NA,,"267,9",,73,,"0,78",,199,,73,,237,,"10,2",,"78,3",,NA,,1580,,NA,
Lyrikitkt,2861955,BTH_Le_Moulon_2011_TECH,BTH_Le_Moulon_2011_TECH,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,treated,2011,"13,4",,36,,88,,NA,,44,,NA,,76,,NA,,208,,NA,,96,,"2,67",,147,,"83,5",,353,,"10,9",,NA,,1278,,NA,,"34,5",
Ghaytaitkt,2861946,BTH_Le_Moulon_2011_TECH,BTH_Le_Moulon_2011_TECH,27784,https://doi.org/10.15454/BYBWWN,GHAYTA,VIRTUAL_TRIAL,,,,,,,,treated,2011,"19,8",,80,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,142,,"1,8",,420,,"110,5",,383,,"15,1",,NA,,NA,,NA,,67,
Grapeliitkt,2861917,BTH_Le_Moulon_2011_TECH,BTH_Le_Moulon_2011_TECH,27821,https://doi.org/10.15454/4TFKM0,GRAPELI,VIRTUAL_TRIAL,,,,,,,,treated,2011,"12,2",,30,,82,,NA,,14,,NA,,56,,NA,,152,,NA,,108,,"3,6",,145,,"40,5",,364,,"11,5",,NA,,1198,,NA,,"22,5",
CF08027itkt,2861957,BTH_Le_Moulon_2011_TECH,BTH_Le_Moulon_2011_TECH,27795,https://doi.org/10.15454/8X7KGE,CF08027,VIRTUAL_TRIAL,,,,,,,,treated,2011,"20,2",,83,,91,,NA,,67,,NA,,80,,NA,,238,,NA,,91,,"1,11",,252,,100,,332,,"11,7",,NA,,1495,,NA,,38,
Granamaxitkt,2861927,BTH_Le_Moulon_2011_TECH,BTH_Le_Moulon_2011_TECH,59657,https://doi.org/10.15454/R2A6FC,GRANAMAX,VIRTUAL_TRIAL,,,,,,,,treated,2011,"16,2",,53,,94,,NA,,67,,NA,,76,,NA,,237,,NA,,135,,"2,55",,281,,83,,288,,"11,3",,NA,,1453,,NA,,39,
AO11011itkt,2861931,BTH_Le_Moulon_2011_TECH,BTH_Le_Moulon_2011_TECH,48486,https://doi.org/10.15454/PE1NKZ,AO11011,VIRTUAL_TRIAL,,,,,,,,treated,2011,"15,9",,51,,91,,NA,,75,,NA,,90,,NA,,256,,NA,,130,,"2,55",,255,,96,,203,,"11,1",,NA,,1585,,NA,,"33,5",
Gotikitkt,2861941,BTH_Le_Moulon_2011_TECH,BTH_Le_Moulon_2011_TECH,49404,https://doi.org/10.15454/DILEEP,GOTIK,VIRTUAL_TRIAL,,,,,,,,treated,2011,"15,9",,51,,91,,NA,,49,,NA,,93,,NA,,233,,NA,,127,,"2,49",,251,,"80,5",,347,,"11,1",,NA,,1415,,NA,,"36,5",
DI11012itkt,2861952,BTH_Le_Moulon_2011_TECH,BTH_Le_Moulon_2011_TECH,48928,https://doi.org/10.15454/G34RHP,DI11012,VIRTUAL_TRIAL,,,,,,,,treated,2011,"12,7",,33,,NA,,82,,NA,,"8,5",,NA,,"54,8",,NA,,"145,2",,130,,"3,99",,178,,93,,323,,"8,7",,"82,5",,NA,,1100,,NA,
DI11013itkt,2861951,BTH_Le_Moulon_2011_TECH,BTH_Le_Moulon_2011_TECH,49232,https://doi.org/10.15454/8YNF2B,DI11013,VIRTUAL_TRIAL,,,,,,,,treated,2011,"15,9",,52,,NA,,88,,NA,,"8,9",,NA,,57,,NA,,"153,9",,119,,"2,3",,230,,83,,301,,"9,1",,"83,5",,NA,,1100,,NA,
RE10042itkt,2861923,BTH_Le_Moulon_2011_TECH,BTH_Le_Moulon_2011_TECH,48716,https://doi.org/10.15454/5APOHC,RE10042,VIRTUAL_TRIAL,,,,,,,,treated,2011,"16,4",,54,,NA,,100,,NA,,"51,8",,NA,,80,,NA,,"231,8",,103,,"1,88",,211,,78,,269,,"9,1",,"80,4",,NA,,1400,,NA,
Gallixeitkt,2861949,BTH_Le_Moulon_2011_TECH,BTH_Le_Moulon_2011_TECH,60702,https://doi.org/10.15454/BKJEDG,GALLIXE,VIRTUAL_TRIAL,,,,,,,,treated,2011,"21,3",,92,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,57,,"0,63",,165,,38,,335,,"11,45",,NA,,NA,,NA,,23,
Croustyitkt,2861938,BTH_Le_Moulon_2011_TECH,BTH_Le_Moulon_2011_TECH,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,VIRTUAL_TRIAL,,,,,,,,treated,2011,"18,6",,70,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,109,,"1,56",,274,,41,,315,,"12,45",,NA,,NA,,NA,,29,
AO10013itkt,2861904,BTH_Le_Moulon_2011_TECH,BTH_Le_Moulon_2011_TECH,48839,https://doi.org/10.15454/PBJK68,AO10013,VIRTUAL_TRIAL,,,,,,,,treated,2011,"17,8",,64,,94,,NA,,67,,NA,,90,,NA,,251,,NA,,100,,"1,56",,226,,62,,184,,"11,4",,NA,,1645,,NA,,"32,5",
AO11012itkt,2861906,BTH_Le_Moulon_2011_TECH,BTH_Le_Moulon_2011_TECH,48904,https://doi.org/10.15454/QDMSRL,AO11012,VIRTUAL_TRIAL,,,,,,,,treated,2011,"15,1",,46,,94,,NA,,68,,NA,,93,,NA,,255,,NA,,130,,"2,83",,233,,96,,314,,"10,9",,NA,,1448,,NA,,36,
AO11013itkt,2861907,BTH_Le_Moulon_2011_TECH,BTH_Le_Moulon_2011_TECH,49347,https://doi.org/10.15454/K3JAUB,AO11013,VIRTUAL_TRIAL,,,,,,,,treated,2011,"17,7",,64,,91,,NA,,32,,NA,,80,,NA,,203,,NA,,118,,"1,87",,281,,"93,5",,307,,"11,2",,NA,,1400,,NA,,35,
AO11014itkt,2861939,BTH_Le_Moulon_2011_TECH,BTH_Le_Moulon_2011_TECH,48888,https://doi.org/10.15454/2YKLGU,AO11014,VIRTUAL_TRIAL,,,,,,,,treated,2011,"19,3",,76,,91,,NA,,37,,NA,,82,,NA,,210,,NA,,107,,"1,43",,269,,84,,361,,"11,1",,NA,,1465,,NA,,36,
DI10001-2itkt,2861947,BTH_Le_Moulon_2011_TECH,BTH_Le_Moulon_2011_TECH,48666,https://doi.org/10.15454/MBT1YT,DI10001-2,VIRTUAL_TRIAL,,,,,,,,treated,2011,"12,4",,31,,79,,NA,,9,,NA,,52,,NA,,140,,NA,,143,,"4,61",,190,,94,,433,,"12,4",,NA,,1015,,NA,,"47,5",
EM09227itkt,2861942,BTH_Le_Moulon_2011_TECH,BTH_Le_Moulon_2011_TECH,48498,https://doi.org/10.15454/GGN6HS,EM09227,VIRTUAL_TRIAL,,,,,,,,treated,2011,"18,5",,69,,NA,,100,,NA,,"38,3",,NA,,"84,5",,NA,,"222,8",,113,,"1,63",,288,,87,,344,,"9,4",,"79,5",,NA,,1460,,NA,
EM09320itkt,2861908,BTH_Le_Moulon_2011_TECH,BTH_Le_Moulon_2011_TECH,48354,https://doi.org/10.15454/V82MUD,EM09320,VIRTUAL_TRIAL,,,,,,,,treated,2011,"11,1",,25,,76,,NA,,2,,NA,,36,,NA,,114,,NA,,142,,"5,68",,160,,81,,346,,"11,1",,NA,,870,,NA,,"33,5",
DI11002itkt,2861928,BTH_Le_Moulon_2011_TECH,BTH_Le_Moulon_2011_TECH,60786,https://doi.org/10.15454/XUWXYL,DI11002,VIRTUAL_TRIAL,,,,,,,,treated,2011,"19,3",,75,,NA,,85,,NA,,"8,1",,NA,,"64,1",,NA,,"157,3",,78,,"1,04",,227,,38,,296,,10,,"78,2",,NA,,960,,NA,
RE09001itkt,2861930,BTH_Le_Moulon_2011_TECH,BTH_Le_Moulon_2011_TECH,48746,https://doi.org/10.15454/ZEEZIW,RE09001,VIRTUAL_TRIAL,,,,,,,,treated,2011,"17,1",,59,,82,,NA,,6,,NA,,47,,NA,,135,,NA,,83,,"1,41",,203,,"47,5",,259,,"11,9",,NA,,1055,,NA,,"26,5",
EM07117itkt,2861916,BTH_Le_Moulon_2011_TECH,BTH_Le_Moulon_2011_TECH,27820,https://doi.org/10.15454/3AQJN1,EM07117,VIRTUAL_TRIAL,,,,,,,,treated,2011,13,,34,,79,,NA,,16,,NA,,52,,NA,,147,,NA,,91,,"2,68",,126,,"43,5",,342,,"11,3",,NA,,1020,,NA,,"27,5",
CF09169itkt,2861920,BTH_Le_Moulon_2011_TECH,BTH_Le_Moulon_2011_TECH,48637,https://doi.org/10.15454/PVGZIK,CF09169,VIRTUAL_TRIAL,,,,,,,,treated,2011,"18,1",,66,,91,,NA,,66,,NA,,84,,NA,,241,,NA,,92,,"1,39",,233,,100,,284,,"12,5",,NA,,1528,,NA,,"34,5",
DI10011itkt,2861905,BTH_Le_Moulon_2011_TECH,BTH_Le_Moulon_2011_TECH,49216,https://doi.org/10.15454/HTBFFE,DI10011,VIRTUAL_TRIAL,,,,,,,,treated,2011,"18,4",,69,,82,,NA,,30,,NA,,60,,NA,,172,,NA,,104,,"1,53",,275,,88,,155,,"11,5",,NA,,1495,,NA,,33,
RE10099itkt,2861929,BTH_Le_Moulon_2011_TECH,BTH_Le_Moulon_2011_TECH,49222,https://doi.org/10.15454/YP9ZYW,RE10099,VIRTUAL_TRIAL,,,,,,,,treated,2011,"26,4",,141,,NA,,100,,NA,,"36,8",,NA,,"95,5",,NA,,"232,3",,50,,"0,35",,196,,39,,297,,"11,1",,80,,NA,,1560,,NA,
DI11014itkt,2861953,BTH_Le_Moulon_2011_TECH,BTH_Le_Moulon_2011_TECH,48652,https://doi.org/10.15454/GG9CKW,DI11014,VIRTUAL_TRIAL,,,,,,,,treated,2011,"18,4",,68,,NA,,100,,NA,,57,,NA,,"88,5",,NA,,"245,5",,97,,"1,42",,230,,79,,347,,9,,"79,9",,NA,,1500,,NA,
EM09318itkt,2861926,BTH_Le_Moulon_2011_TECH,BTH_Le_Moulon_2011_TECH,48847,https://doi.org/10.15454/BPR93C,EM09318,VIRTUAL_TRIAL,,,,,,,,treated,2011,"18,3",,68,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,76,,"1,12",,181,,34,,282,,"11,35",,NA,,NA,,NA,,23,
AO11001itkt,2861934,BTH_Le_Moulon_2011_TECH,BTH_Le_Moulon_2011_TECH,48474,https://doi.org/10.15454/72RLFQ,AO11001,VIRTUAL_TRIAL,,,,,,,,treated,2011,"14,8",,44,,88,,NA,,44,,NA,,75,,NA,,207,,NA,,126,,"2,86",,214,,"75,5",,160,,"10,6",,NA,,1473,,NA,,"31,5",
AO11002itkt,2861935,BTH_Le_Moulon_2011_TECH,BTH_Le_Moulon_2011_TECH,48844,https://doi.org/10.15454/IYISPL,AO11002,VIRTUAL_TRIAL,,,,,,,,treated,2011,"18,8",,72,,97,,NA,,81,,NA,,84,,NA,,262,,NA,,96,,"1,35",,224,,"87,5",,264,,"11,2",,NA,,1745,,NA,,"28,5",
AO11005itkt,2861922,BTH_Le_Moulon_2011_TECH,BTH_Le_Moulon_2011_TECH,49011,https://doi.org/10.15454/08Z5FH,AO11005,VIRTUAL_TRIAL,,,,,,,,treated,2011,"13,7",,38,,79,,NA,,24,,NA,,53,,NA,,156,,NA,,130,,"3,42",,206,,"98,5",,285,,11,,NA,,1100,,NA,,"28,5",
AO11008itkt,2861932,BTH_Le_Moulon_2011_TECH,BTH_Le_Moulon_2011_TECH,49376,https://doi.org/10.15454/DLSQIN,AO11008,VIRTUAL_TRIAL,,,,,,,,treated,2011,"16,2",,53,,88,,NA,,68,,NA,,90,,NA,,246,,NA,,105,,"1,98",,213,,"86,5",,336,,"10,9",,NA,,1568,,NA,,32,
EM09221itkt,2861945,BTH_Le_Moulon_2011_TECH,BTH_Le_Moulon_2011_TECH,49495,https://doi.org/10.15454/CZHVWO,EM09221,VIRTUAL_TRIAL,,,,,,,,treated,2011,"16,6",,56,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,73,,"1,32",,153,,40,,346,,11,,NA,,NA,,NA,,21,
EM09222itkt,2861944,BTH_Le_Moulon_2011_TECH,BTH_Le_Moulon_2011_TECH,48955,https://doi.org/10.15454/A78B2Q,EM09222,VIRTUAL_TRIAL,,,,,,,,treated,2011,"15,3",,47,,76,,NA,,4,,NA,,28,,NA,,108,,NA,,73,,"1,55",,138,,45,,238,,"11,4",,NA,,950,,NA,,"27,5",
