observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieL(CO_321:1000243),NmieL(CO_321:1000243).date,NpainL(CO_321:1000242),NpainL(CO_321:1000242).date,NpateL(CO_321:1000241),NpateL(CO_321:1000241).date,NtotL(CO_321:1000244),NtotL(CO_321:1000244).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date
CF04043itkfi,2818724,BTH_Rennes_2006_TECH,BTH_Rennes_2006_TECH,26972,https://doi.org/10.15454/VFM1EQ,CF04043,VIRTUAL_TRIAL,,,,,,,,2006,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
EM05162itkfi,2818679,BTH_Rennes_2006_TECH,BTH_Rennes_2006_TECH,26971,https://doi.org/10.15454/IAEYHC,EM05162,VIRTUAL_TRIAL,,,,,,,,2006,"17,8",,64,,100,,"10,8",,"71,2",,182,,60,,"0,94",,165,,39,,360,,"8,3",,"79,6",
Hendrixitkfi,2818683,BTH_Rennes_2006_TECH,BTH_Rennes_2006_TECH,26833,https://doi.org/10.15454/PYUIEM,HENDRIX,VIRTUAL_TRIAL,,,,,,,,2006,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
Folkloritkfi,2818681,BTH_Rennes_2006_TECH,BTH_Rennes_2006_TECH,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,2006,"19,4",,76,,100,,29,,"69,8",,"198,8",,73,,"0,95",,208,,61,,375,,"13,7",,"79,1",
RE05091itkfi,2818701,BTH_Rennes_2006_TECH,BTH_Rennes_2006_TECH,27043,https://doi.org/10.15454/QCLAYU,RE05091,VIRTUAL_TRIAL,,,,,,,,2006,"15,9",,52,,100,,"48,8",,"87,4",,"236,1",,88,,"1,71",,199,,52,,372,,"9,3",,"81,1",
RE05041itkfi,2818685,BTH_Rennes_2006_TECH,BTH_Rennes_2006_TECH,27042,https://doi.org/10.15454/1NUEUQ,RE05041,VIRTUAL_TRIAL,,,,,,,,2006,"22,9",,106,,100,,29,,94,,223,,52,,"0,49",,186,,73,,382,,"12,1",,"82,8",
AO06803itkfi,2818699,BTH_Rennes_2006_TECH,BTH_Rennes_2006_TECH,48775,https://doi.org/10.15454/SUCAXZ,AO06803,VIRTUAL_TRIAL,,,,,,,,2006,"24,5",,122,,100,,29,,"79,6",,"208,6",,36,,"0,3",,157,,27,,340,,"13,2",,"78,4",
Flamenkoitkfi,2818727,BTH_Rennes_2006_TECH,BTH_Rennes_2006_TECH,26969,https://doi.org/10.15454/WDD3QQ,FLAMENKO,VIRTUAL_TRIAL,,,,,,,,2006,"24,9",,126,,100,,"49,5",,"87,8",,"237,2",,54,,"0,43",,204,,70,,394,,"9,1",,"77,8",
EM05312itkfi,2818680,BTH_Rennes_2006_TECH,BTH_Rennes_2006_TECH,48450,https://doi.org/10.15454/XWZ3V6,EM05312,VIRTUAL_TRIAL,,,,,,,,2006,"24,4",,121,,100,,"7,8",,"69,8",,"177,5",,53,,"0,44",,148,,61,,359,,"9,8",,"80,5",
CF05140itkfi,2818691,BTH_Rennes_2006_TECH,BTH_Rennes_2006_TECH,49523,https://doi.org/10.15454/MMQSM6,CF05140,VIRTUAL_TRIAL,,,,,,,,2006,"23,9",,116,,100,,"47,8",,"86,2",,"234,1",,57,,"0,5",,229,,56,,342,,"8,4",,"79,7",
CF05161itkfi,2818696,BTH_Rennes_2006_TECH,BTH_Rennes_2006_TECH,26974,https://doi.org/10.15454/BQTYVO,CF05161,VIRTUAL_TRIAL,,,,,,,,2006,"18,9",,72,,100,,"48,2",,"84,8",,"232,9",,97,,"1,34",,239,,73,,381,,11,,"79,6",
EM05230itkfi,2818729,BTH_Rennes_2006_TECH,BTH_Rennes_2006_TECH,26988,https://doi.org/10.15454/FV0GUM,EM05230,VIRTUAL_TRIAL,,,,,,,,2006,23,,107,,100,,"34,1",,"75,5",,"209,6",,41,,"0,38",,156,,27,,365,,"9,4",,"80,4",
EM05178itkfi,2818703,BTH_Rennes_2006_TECH,BTH_Rennes_2006_TECH,26987,https://doi.org/10.15454/KGPOGY,EM05178,VIRTUAL_TRIAL,,,,,,,,2006,"20,5",,85,,100,,32,,"71,2",,"203,2",,52,,"0,61",,148,,66,,347,,"8,3",,"79,2",
AO05004itkfi,2818690,BTH_Rennes_2006_TECH,BTH_Rennes_2006_TECH,48941,https://doi.org/10.15454/YPYOQJ,AO05004,VIRTUAL_TRIAL,,,,,,,,2006,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
Tamaroitkfi,2818728,BTH_Rennes_2006_TECH,BTH_Rennes_2006_TECH,25902,https://doi.org/10.15454/KRPWXN,TAMARO,VIRTUAL_TRIAL,,,,,,,,2006,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
Tremieitkfi,2818715,BTH_Rennes_2006_TECH,BTH_Rennes_2006_TECH,24505,https://doi.org/10.15454/9YBOHR,TREMIE,VIRTUAL_TRIAL,,,,,,,,2006,"22,1",,99,,100,,"50,6",,"78,5",,"229,1",,38,,"0,39",,103,,54,,386,,"9,3",,"75,2",
DI04018itkfi,2818687,BTH_Rennes_2006_TECH,BTH_Rennes_2006_TECH,49604,https://doi.org/10.15454/WZ0QO7,DI04018,VIRTUAL_TRIAL,,,,,,,,2006,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
DI06004itkfi,2818732,BTH_Rennes_2006_TECH,BTH_Rennes_2006_TECH,49291,https://doi.org/10.15454/RCJVYZ,DI06004,VIRTUAL_TRIAL,,,,,,,,2006,19,,73,,100,,23,,"66,5",,"189,5",,86,,"1,17",,252,,41,,393,,"12,3",,"77,5",
CF03287itkfi,2818714,BTH_Rennes_2006_TECH,BTH_Rennes_2006_TECH,49533,https://doi.org/10.15454/QOR8WX,CF03287,VIRTUAL_TRIAL,,,,,,,,2006,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
CF04214itkfi,2818712,BTH_Rennes_2006_TECH,BTH_Rennes_2006_TECH,49393,https://doi.org/10.15454/RBB8O2,CF04214,VIRTUAL_TRIAL,,,,,,,,2006,"20,5",,85,,100,,29,,"92,5",,"221,5",,72,,"0,84",,227,,74,,382,,"9,1",,"81,7",
CF05070itkfi,2818722,BTH_Rennes_2006_TECH,BTH_Rennes_2006_TECH,49098,https://doi.org/10.15454/YQH6B1,CF05070,VIRTUAL_TRIAL,,,,,,,,2006,"21,4",,93,,100,,"33,5",,"67,9",,"201,4",,87,,"0,94",,288,,87,,341,,"13,6",,"79,1",
CF05086itkfi,2818689,BTH_Rennes_2006_TECH,BTH_Rennes_2006_TECH,49341,https://doi.org/10.15454/RKQK2G,CF05086,VIRTUAL_TRIAL,,,,,,,,2006,"24,5",,122,,97,,"36,5",,"76,5",,210,,61,,"0,5",,253,,52,,381,,"10,7",,"79,7",
CF05138itkfi,2818718,BTH_Rennes_2006_TECH,BTH_Rennes_2006_TECH,49473,https://doi.org/10.15454/MHX4J5,CF05138,VIRTUAL_TRIAL,,,,,,,,2006,"17,3",,60,,91,,"20,8",,50,,"161,8",,60,,"0,99",,152,,51,,367,,"11,3",,"79,6",
EM04181itkfi,2818713,BTH_Rennes_2006_TECH,BTH_Rennes_2006_TECH,48531,https://doi.org/10.15454/5QJOWB,EM04181,VIRTUAL_TRIAL,,,,,,,,2006,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
RE05108itkfi,2818717,BTH_Rennes_2006_TECH,BTH_Rennes_2006_TECH,26835,https://doi.org/10.15454/FXNO6G,RE05108,VIRTUAL_TRIAL,,,,,,,,2006,"21,9",,97,,100,,23,,"76,6",,"199,6",,33,,"0,34",,119,,12,,342,,"9,1",,"79,5",
RE05005itkfi,2818677,BTH_Rennes_2006_TECH,BTH_Rennes_2006_TECH,26898,https://doi.org/10.15454/JQW74U,RE05005,VIRTUAL_TRIAL,,,,,,,,2006,24,,117,,100,,"53,2",,"84,8",,238,,58,,"0,49",,197,,75,,281,,"11,2",,"80,1",
RE05038itkfi,2818707,BTH_Rennes_2006_TECH,BTH_Rennes_2006_TECH,26902,https://doi.org/10.15454/JZRTIK,RE05038,VIRTUAL_TRIAL,,,,,,,,2006,"19,4",,76,,94,,26,,"57,8",,"177,8",,73,,"0,96",,209,,49,,341,,"10,5",,"79,2",
RE05037itkfi,2818694,BTH_Rennes_2006_TECH,BTH_Rennes_2006_TECH,26901,https://doi.org/10.15454/WC63BJ,RE05037,VIRTUAL_TRIAL,,,,,,,,2006,"18,1",,66,,84,,26,,64,,174,,85,,"1,27",,214,,65,,408,,"13,3",,"78,4",
RE05011itkfi,2818709,BTH_Rennes_2006_TECH,BTH_Rennes_2006_TECH,26899,https://doi.org/10.15454/3NYQAY,RE05011,VIRTUAL_TRIAL,,,,,,,,2006,24,,117,,100,,"27,5",,"79,6",,"207,1",,45,,"0,38",,176,,21,,340,,"11,5",,"79,3",
RE05016itkfi,2818719,BTH_Rennes_2006_TECH,BTH_Rennes_2006_TECH,26900,https://doi.org/10.15454/YMFJQC,RE05016,VIRTUAL_TRIAL,,,,,,,,2006,"22,3",,101,,97,,"28,4",,"87,4",,"212,8",,66,,"0,66",,219,,66,,325,,"10,9",,"80,8",
RE05050itkfi,2818705,BTH_Rennes_2006_TECH,BTH_Rennes_2006_TECH,26904,https://doi.org/10.15454/8AMC4Z,RE05050,VIRTUAL_TRIAL,,,,,,,,2006,"24,3",,120,,100,,57,,"85,9",,"242,9",,65,,"0,54",,207,,56,,407,,"10,3",,"80,4",
RE05047itkfi,2818688,BTH_Rennes_2006_TECH,BTH_Rennes_2006_TECH,26903,https://doi.org/10.15454/QRI3MM,RE05047,VIRTUAL_TRIAL,,,,,,,,2006,"20,4",,84,,97,,"33,5",,91,,"221,5",,75,,"0,89",,211,,72,,370,,"8,7",,"81,7",
RE03111itkfi,2818733,BTH_Rennes_2006_TECH,BTH_Rennes_2006_TECH,26399,https://doi.org/10.15454/XCMLGZ,RE03111,VIRTUAL_TRIAL,,,,,,,,2006,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
CF04046itkfi,2818710,BTH_Rennes_2006_TECH,BTH_Rennes_2006_TECH,26983,https://doi.org/10.15454/Z7JXFB,CF04046,VIRTUAL_TRIAL,,,,,,,,2006,"21,9",,97,,100,,"32,8",,"88,5",,"221,2",,52,,"0,54",,179,,34,,364,,"10,3",,"79,1",
Soissonsitkfi,2818726,BTH_Rennes_2006_TECH,BTH_Rennes_2006_TECH,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,2006,"24,1",,118,,100,,"49,6",,"88,5",,"238,2",,43,,"0,36",,155,,67,,356,,"12,4",,"80,4",
AO06801itkfi,2818697,BTH_Rennes_2006_TECH,BTH_Rennes_2006_TECH,49266,gnpis_pui:holding-921_taxon-4898_accession-49266,AO06801,VIRTUAL_TRIAL,,,,,,,,2006,"25,1",,128,,100,,48,,"87,4",,"235,4",,53,,"0,42",,232,,43,,392,,"11,2",,"82,1",
DI04017itkfi,2818704,BTH_Rennes_2006_TECH,BTH_Rennes_2006_TECH,27036,https://doi.org/10.15454/PULIUX,DI04017,VIRTUAL_TRIAL,,,,,,,,2006,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
DI04024itkfi,2818723,BTH_Rennes_2006_TECH,BTH_Rennes_2006_TECH,27037,https://doi.org/10.15454/TWWI1V,DI04024,VIRTUAL_TRIAL,,,,,,,,2006,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
EM03193itkfi,2818730,BTH_Rennes_2006_TECH,BTH_Rennes_2006_TECH,27038,https://doi.org/10.15454/DPT3VI,EM03193,VIRTUAL_TRIAL,,,,,,,,2006,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
CF04076itkfi,2818676,BTH_Rennes_2006_TECH,BTH_Rennes_2006_TECH,27039,https://doi.org/10.15454/YH3ACK,CF04076,VIRTUAL_TRIAL,,,,,,,,2006,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
EM04241itkfi,2818716,BTH_Rennes_2006_TECH,BTH_Rennes_2006_TECH,27040,https://doi.org/10.15454/AB7Z4M,EM04241,VIRTUAL_TRIAL,,,,,,,,2006,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
AO05001itkfi,2818692,BTH_Rennes_2006_TECH,BTH_Rennes_2006_TECH,48798,https://doi.org/10.15454/YUL8X7,AO05001,VIRTUAL_TRIAL,,,,,,,,2006,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
RE05039itkfi,2818702,BTH_Rennes_2006_TECH,BTH_Rennes_2006_TECH,27825,https://doi.org/10.15454/FYAJT8,RE05039,VIRTUAL_TRIAL,,,,,,,,2006,"28,4",,164,,100,,48,,"80,5",,"228,5",,47,,"0,29",,223,,26,,383,,"8,5",,"75,3",
RE05074itkfi,2818682,BTH_Rennes_2006_TECH,BTH_Rennes_2006_TECH,27826,https://doi.org/10.15454/UVZHWO,RE05074,VIRTUAL_TRIAL,,,,,,,,2006,"26,2",,139,,97,,"33,5",,"52,3",,"182,8",,28,,"0,2",,124,,7,,270,,"11,8",,"78,2",
EM04145itkfi,2818700,BTH_Rennes_2006_TECH,BTH_Rennes_2006_TECH,27041,https://doi.org/10.15454/VQLTLY,EM04145,VIRTUAL_TRIAL,,,,,,,,2006,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
