observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieD(CO_321:1000255),NmieD(CO_321:1000255).date,NmieL(CO_321:1000243),NmieL(CO_321:1000243).date,NpainD(CO_321:1000254),NpainD(CO_321:1000254).date,NpainL(CO_321:1000242),NpainL(CO_321:1000242).date,NpateD(CO_321:1000253),NpateD(CO_321:1000253).date,NpateL(CO_321:1000241),NpateL(CO_321:1000241).date,NtotD(CO_321:1000256),NtotD(CO_321:1000256).date,NtotL(CO_321:1000244),NtotL(CO_321:1000244).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,volD(CO_321:1000257),volD(CO_321:1000257).date,zel(CO_321:1000222),zel(CO_321:1000222).date
CF09117itkt,2976811,BTH_Rennes_2014_TECH,BTH_Rennes_2014_TECH,48349,https://doi.org/10.15454/DXR4XS,CF09117,VIRTUAL_TRIAL,,,,,,,,traite,2014,27.6,,154,,100,,,,62.7,,,,92.5,,,,179.9,,,,75,,0.49,,373,,55,,421,,,,13.1,,,,1695,,63,
RE13014itkfi,2976797,BTH_Rennes_2014_TECH,BTH_Rennes_2014_TECH,48609,https://doi.org/10.15454/QLBPQK,RE13014,VIRTUAL_TRIAL,,,,,,,,faible intrant,2014,23.1,,108,,,,100,,,,76,,,,89.63,,,,265.63,,67,,0.62,,204,,71,,339,,50.4,,10.1,,80.2,,,,,
RE13084itkfi,2976810,BTH_Rennes_2014_TECH,BTH_Rennes_2014_TECH,49120,https://doi.org/10.15454/P3TGLP,RE13084,VIRTUAL_TRIAL,,,,,,,,faible intrant,2014,20,,81,,,,100,,,,10.75,,,,77.75,,,,188.5,,86,,1.05,,244,,49,,393,,46,,9.7,,81.6,,,,,
RE13086itkfi,2976805,BTH_Rennes_2014_TECH,BTH_Rennes_2014_TECH,49433,https://doi.org/10.15454/XA7QW4,RE13086,VIRTUAL_TRIAL,,,,,,,,faible intrant,2014,20.4,,84,,,,100,,,,11.35,,,,80.75,,,,192.1,,85,,1.01,,248,,65,,406,,48.9,,10.1,,82.3,,,,,
RE13106itkfi,2976812,BTH_Rennes_2014_TECH,BTH_Rennes_2014_TECH,49524,https://doi.org/10.15454/FSEIOR,RE13106,VIRTUAL_TRIAL,,,,,,,,faible intrant,2014,21,,89,,,,100,,,,76.3,,,,91.13,,,,267.43,,70,,0.78,,182,,44,,368,,47.7,,9.2,,78.5,,,,,
RE13005itkfi,2976807,BTH_Rennes_2014_TECH,BTH_Rennes_2014_TECH,48484,https://doi.org/10.15454/L7ZWCU,RE13005,VIRTUAL_TRIAL,,,,,,,,faible intrant,2014,16.5,,56,,,,100,,,,55.5,,,,88.5,,,,244,,96,,1.73,,195,,75,,323,,51,,10.8,,80.6,,,,,
RE13004itkfi,2976819,BTH_Rennes_2014_TECH,BTH_Rennes_2014_TECH,49568,https://doi.org/10.15454/LO7ZR2,RE13004,VIRTUAL_TRIAL,,,,,,,,faible intrant,2014,22.4,,102,,,,100,,,,71.5,,,,88.5,,,,260,,69,,0.68,,207,,60,,295,,52.7,,10.7,,81.4,,,,,
APACHEitkfi,2976796,BTH_Rennes_2014_TECH,BTH_Rennes_2014_TECH,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,faible intrant,2014,24.2,,119,,,,100,,,,77.2,,,,97,,,,274.2,,55,,0.46,,173,,47,,388,,47.7,,9.7,,78.4,,,,,
Bermudeitkfi,2976789,BTH_Rennes_2014_TECH,BTH_Rennes_2014_TECH,75270,https://doi.org/10.15454/AIOH4U,Bermude,VIRTUAL_TRIAL,,,,,,,,faible intrant,2014,24.4,,121,,,,100,,,,83.5,,,,83,,,,266.5,,71,,0.59,,243,,83,,368,,45,,10.4,,80.3,,,,,
Galibieritkt,2976802,BTH_Rennes_2014_TECH,BTH_Rennes_2014_TECH,59302,https://doi.org/10.15454/Y60IB3,GALIBIER,VIRTUAL_TRIAL,,,,,,,,traite,2014,20.5,,85,,100,,,,89.8,,,,92.5,,,,179.9,,,,104,,1.23,,343,,64,,387,,,,15,,,,1860,,68,
AO14035itkfi,2976800,BTH_Rennes_2014_TECH,BTH_Rennes_2014_TECH,60801,https://doi.org/10.15454/XJIDYV,AO14035,VIRTUAL_TRIAL,,,,,,,,faible intrant,2014,22.3,,101,,,,100,,,,64.6,,,,88.88,,,,253.48,,50,,0.5,,140,,61,,398,,48.4,,8.1,,78.5,,,,,
AO14022itkfi,2976799,BTH_Rennes_2014_TECH,BTH_Rennes_2014_TECH,61039,https://doi.org/10.15454/T1DLTW,AO14022,VIRTUAL_TRIAL,,,,,,,,faible intrant,2014,22.6,,104,,,,100,,,,59.4,,,,88.13,,,,247.53,,72,,0.69,,228,,68,,346,,45.3,,10.1,,81.8,,,,,
