observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,rj(CO_321:1000162),rj(CO_321:1000162).date
DI09022,2843808,BTH_Rennes_2009_SetB3_PIETIN-VERSE,BTH_Rennes_2009_SetB3_PIETIN-VERSE,61777,https://doi.org/10.15454/9JEREI,DI09022,VIRTUAL_TRIAL,,,,,,,,2009,"5,5",,3,
RE08065,2843799,BTH_Rennes_2009_SetB3_PIETIN-VERSE,BTH_Rennes_2009_SetB3_PIETIN-VERSE,62042,https://doi.org/10.15454/YJTB6N,RE08065,VIRTUAL_TRIAL,,,,,,,,2009,"4,5",,1,
CF08129,2843828,BTH_Rennes_2009_SetB3_PIETIN-VERSE,BTH_Rennes_2009_SetB3_PIETIN-VERSE,61335,https://doi.org/10.15454/GXWATY,CF08129,VIRTUAL_TRIAL,,,,,,,,2009,"2,5",,3,
DI09019,2843830,BTH_Rennes_2009_SetB3_PIETIN-VERSE,BTH_Rennes_2009_SetB3_PIETIN-VERSE,61729,https://doi.org/10.15454/IJIXOT,DI09019,VIRTUAL_TRIAL,,,,,,,,2009,5,,4,
RE08068,2843827,BTH_Rennes_2009_SetB3_PIETIN-VERSE,BTH_Rennes_2009_SetB3_PIETIN-VERSE,60720,https://doi.org/10.15454/YRTV6F,RE08068,VIRTUAL_TRIAL,,,,,,,,2009,"5,5",,1,
CF08127,2843823,BTH_Rennes_2009_SetB3_PIETIN-VERSE,BTH_Rennes_2009_SetB3_PIETIN-VERSE,27800,https://doi.org/10.15454/WQU9II,CF08127,VIRTUAL_TRIAL,,,,,,,,2009,2,,1,
CF08139,2843810,BTH_Rennes_2009_SetB3_PIETIN-VERSE,BTH_Rennes_2009_SetB3_PIETIN-VERSE,27801,https://doi.org/10.15454/1DEONX,CF08139,VIRTUAL_TRIAL,,,,,,,,2009,3,,1,
DI09017,2843834,BTH_Rennes_2009_SetB3_PIETIN-VERSE,BTH_Rennes_2009_SetB3_PIETIN-VERSE,27812,https://doi.org/10.15454/BEWTVM,DI09017,VIRTUAL_TRIAL,,,,,,,,2009,4,,4,
Premio,2843797,BTH_Rennes_2009_SetB3_PIETIN-VERSE,BTH_Rennes_2009_SetB3_PIETIN-VERSE,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,2009,5,,3,
Apache,2843813,BTH_Rennes_2009_SetB3_PIETIN-VERSE,BTH_Rennes_2009_SetB3_PIETIN-VERSE,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,2009,"3,5",,1,
RE08067,2843826,BTH_Rennes_2009_SetB3_PIETIN-VERSE,BTH_Rennes_2009_SetB3_PIETIN-VERSE,62159,https://doi.org/10.15454/TASSTY,RE08067,VIRTUAL_TRIAL,,,,,,,,2009,"3,5",,1,
Attlass,2843822,BTH_Rennes_2009_SetB3_PIETIN-VERSE,BTH_Rennes_2009_SetB3_PIETIN-VERSE,26823,https://doi.org/10.15454/4BHB0N,ATTLASS,VIRTUAL_TRIAL,,,,,,,,2009,"3,5",,2,
Sankara,2843815,BTH_Rennes_2009_SetB3_PIETIN-VERSE,BTH_Rennes_2009_SetB3_PIETIN-VERSE,26123,https://doi.org/10.15454/R5VJW6,SANKARA,VIRTUAL_TRIAL,,,,,,,,2009,"5,5",,5,
Toisondor,2843806,BTH_Rennes_2009_SetB3_PIETIN-VERSE,BTH_Rennes_2009_SetB3_PIETIN-VERSE,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,VIRTUAL_TRIAL,,,,,,,,2009,"5,5",,6,
AO09023,2843801,BTH_Rennes_2009_SetB3_PIETIN-VERSE,BTH_Rennes_2009_SetB3_PIETIN-VERSE,27902,https://doi.org/10.15454/2JQQDH,AO09023,VIRTUAL_TRIAL,,,,,,,,2009,"7,5",,5,
Caphorn,2843816,BTH_Rennes_2009_SetB3_PIETIN-VERSE,BTH_Rennes_2009_SetB3_PIETIN-VERSE,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,2009,7,,6,
EM08277,2843819,BTH_Rennes_2009_SetB3_PIETIN-VERSE,BTH_Rennes_2009_SetB3_PIETIN-VERSE,27824,https://doi.org/10.15454/OUS6AU,EM08277,VIRTUAL_TRIAL,,,,,,,,2009,4,,1,
CF08137,2843821,BTH_Rennes_2009_SetB3_PIETIN-VERSE,BTH_Rennes_2009_SetB3_PIETIN-VERSE,27312,https://doi.org/10.15454/CPWBIX,CF08137,VIRTUAL_TRIAL,,,,,,,,2009,"3,5",,1,
RE08066,2843812,BTH_Rennes_2009_SetB3_PIETIN-VERSE,BTH_Rennes_2009_SetB3_PIETIN-VERSE,48756,gnpis_pui:holding-921_taxon-4898_accession-48756,RE08066,VIRTUAL_TRIAL,,,,,,,,2009,3,,1,
DI09018,2843829,BTH_Rennes_2009_SetB3_PIETIN-VERSE,BTH_Rennes_2009_SetB3_PIETIN-VERSE,27813,https://doi.org/10.15454/G5QB1J,DI09018,VIRTUAL_TRIAL,,,,,,,,2009,"3,5",,3,
AO09021,2843802,BTH_Rennes_2009_SetB3_PIETIN-VERSE,BTH_Rennes_2009_SetB3_PIETIN-VERSE,48416,gnpis_pui:holding-921_taxon-4898_accession-48416,AO09021,VIRTUAL_TRIAL,,,,,,,,2009,"4,5",,5,
DI09023,2843832,BTH_Rennes_2009_SetB3_PIETIN-VERSE,BTH_Rennes_2009_SetB3_PIETIN-VERSE,27904,https://doi.org/10.15454/ICRTTK,DI09023,VIRTUAL_TRIAL,,,,,,,,2009,"5,5",,1,
EM08237,2843824,BTH_Rennes_2009_SetB3_PIETIN-VERSE,BTH_Rennes_2009_SetB3_PIETIN-VERSE,61990,https://doi.org/10.15454/C00LHY,EM08237,VIRTUAL_TRIAL,,,,,,,,2009,6,,1,
