observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date
CF99085itkfi,2771270,BTH_Estrées-Mons_2001_SetB1,BTH_Estrées-Mons_2001_SetB1,48774,gnpis_pui:holding-921_taxon-4898_accession-48774,CF99085,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,"111,3",,,,"89,3",,,
CF00116itknt,2771199,BTH_Estrées-Mons_2001_SetB1,BTH_Estrées-Mons_2001_SetB1,26105,https://doi.org/10.15454/XCQCZQ,CF00116,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,"104,4",,1,,"85,2",,2,
RE99120itkt,2771248,BTH_Estrées-Mons_2001_SetB1,BTH_Estrées-Mons_2001_SetB1,48532,gnpis_pui:holding-921_taxon-4898_accession-48532,RE99120,VIRTUAL_TRIAL,,,,,,,,treated,2001,"94,9",,,,"104,5",,,
Isengrainitkt,2771251,BTH_Estrées-Mons_2001_SetB1,BTH_Estrées-Mons_2001_SetB1,25585,https://doi.org/10.15454/YZZGYB,ISENGRAIN,VIRTUAL_TRIAL,,,,,,,,treated,2001,"106,8",,,,"117,6",,,
CF00116itkt,2771200,BTH_Estrées-Mons_2001_SetB1,BTH_Estrées-Mons_2001_SetB1,26105,https://doi.org/10.15454/XCQCZQ,CF00116,VIRTUAL_TRIAL,,,,,,,,treated,2001,"95,6",,,,"105,2",,,
RE99120itkfi,2771246,BTH_Estrées-Mons_2001_SetB1,BTH_Estrées-Mons_2001_SetB1,48532,gnpis_pui:holding-921_taxon-4898_accession-48532,RE99120,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,"107,3",,,,"86,2",,,
CF00012itkt,2771221,BTH_Estrées-Mons_2001_SetB1,BTH_Estrées-Mons_2001_SetB1,48689,gnpis_pui:holding-921_taxon-4898_accession-48689,CF00012,VIRTUAL_TRIAL,,,,,,,,treated,2001,"97,8",,,,"107,7",,,
CF00012itkfi,2771219,BTH_Estrées-Mons_2001_SetB1,BTH_Estrées-Mons_2001_SetB1,48689,gnpis_pui:holding-921_taxon-4898_accession-48689,CF00012,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,"106,8",,,,"85,8",,,
Isengrainitkfi,2771249,BTH_Estrées-Mons_2001_SetB1,BTH_Estrées-Mons_2001_SetB1,25585,https://doi.org/10.15454/YZZGYB,ISENGRAIN,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,"105,3",,,,"84,5",,,
CF00012itknt,2771220,BTH_Estrées-Mons_2001_SetB1,BTH_Estrées-Mons_2001_SetB1,48689,gnpis_pui:holding-921_taxon-4898_accession-48689,CF00012,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,"99,7",,1,,"81,4",,2,
CF00160itknt,2771166,BTH_Estrées-Mons_2001_SetB1,BTH_Estrées-Mons_2001_SetB1,49150,gnpis_pui:holding-921_taxon-4898_accession-49150,CF00160,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,"97,2",,1,,"79,3",,4,
CF00116itkfi,2771198,BTH_Estrées-Mons_2001_SetB1,BTH_Estrées-Mons_2001_SetB1,26105,https://doi.org/10.15454/XCQCZQ,CF00116,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,"108,5",,,,"87,1",,,
EM00073itknt,2771241,BTH_Estrées-Mons_2001_SetB1,BTH_Estrées-Mons_2001_SetB1,48841,gnpis_pui:holding-921_taxon-4898_accession-48841,EM00073,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,104,,1,,"84,9",,2,
Farandoleitkt,2771197,BTH_Estrées-Mons_2001_SetB1,BTH_Estrées-Mons_2001_SetB1,25827,https://doi.org/10.15454/FYPHOO,FARANDOLE,VIRTUAL_TRIAL,,,,,,,,treated,2001,"101,5",,,,"111,8",,,
RE00109itknt,2771184,BTH_Estrées-Mons_2001_SetB1,BTH_Estrées-Mons_2001_SetB1,49703,gnpis_pui:holding-921_taxon-4898_accession-49703,RE00109,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,"100,8",,1,,"82,3",,2,
EM00087itkfi,2771225,BTH_Estrées-Mons_2001_SetB1,BTH_Estrées-Mons_2001_SetB1,49626,gnpis_pui:holding-921_taxon-4898_accession-49626,EM00087,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,"114,7",,,,92,,,
EM00074itknt,2771172,BTH_Estrées-Mons_2001_SetB1,BTH_Estrées-Mons_2001_SetB1,48639,gnpis_pui:holding-921_taxon-4898_accession-48639,EM00074,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,"109,1",,1,,89,,3,
EM00072itkt,2771239,BTH_Estrées-Mons_2001_SetB1,BTH_Estrées-Mons_2001_SetB1,26102,https://doi.org/10.15454/WNKZ9X,EM00072,VIRTUAL_TRIAL,,,,,,,,treated,2001,"98,3",,,,"108,2",,,
EM00073itkfi,2771240,BTH_Estrées-Mons_2001_SetB1,BTH_Estrées-Mons_2001_SetB1,48841,gnpis_pui:holding-921_taxon-4898_accession-48841,EM00073,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,"111,7",,,,"89,6",,,
EM00087itkt,2771227,BTH_Estrées-Mons_2001_SetB1,BTH_Estrées-Mons_2001_SetB1,49626,gnpis_pui:holding-921_taxon-4898_accession-49626,EM00087,VIRTUAL_TRIAL,,,,,,,,treated,2001,"92,6",,,,102,,,
EM00087itknt,2771226,BTH_Estrées-Mons_2001_SetB1,BTH_Estrées-Mons_2001_SetB1,49626,gnpis_pui:holding-921_taxon-4898_accession-49626,EM00087,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,"104,8",,1,,"85,6",,2,
EM00072itknt,2771238,BTH_Estrées-Mons_2001_SetB1,BTH_Estrées-Mons_2001_SetB1,26102,https://doi.org/10.15454/WNKZ9X,EM00072,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,"115,7",,1,,"94,4",,2,
EM00073itkt,2771242,BTH_Estrées-Mons_2001_SetB1,BTH_Estrées-Mons_2001_SetB1,48841,gnpis_pui:holding-921_taxon-4898_accession-48841,EM00073,VIRTUAL_TRIAL,,,,,,,,treated,2001,"94,8",,,,"104,4",,,
EM00072itkfi,2771237,BTH_Estrées-Mons_2001_SetB1,BTH_Estrées-Mons_2001_SetB1,26102,https://doi.org/10.15454/WNKZ9X,EM00072,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,"114,7",,,,92,,,
CF99085itknt,2771271,BTH_Estrées-Mons_2001_SetB1,BTH_Estrées-Mons_2001_SetB1,48774,gnpis_pui:holding-921_taxon-4898_accession-48774,CF99085,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,"104,3",,2,,"85,2",,2,
RE00113itkfi,2771210,BTH_Estrées-Mons_2001_SetB1,BTH_Estrées-Mons_2001_SetB1,49700,gnpis_pui:holding-921_taxon-4898_accession-49700,RE00113,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,"108,9",,,,"87,5",,,
EM00088itkt,2771152,BTH_Estrées-Mons_2001_SetB1,BTH_Estrées-Mons_2001_SetB1,48588,gnpis_pui:holding-921_taxon-4898_accession-48588,EM00088,VIRTUAL_TRIAL,,,,,,,,treated,2001,"89,9",,,,99,,,
EM00088itkfi,2771150,BTH_Estrées-Mons_2001_SetB1,BTH_Estrées-Mons_2001_SetB1,48588,gnpis_pui:holding-921_taxon-4898_accession-48588,EM00088,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,"106,8",,,,"85,7",,,
EM00074itkt,2771173,BTH_Estrées-Mons_2001_SetB1,BTH_Estrées-Mons_2001_SetB1,48639,gnpis_pui:holding-921_taxon-4898_accession-48639,EM00074,VIRTUAL_TRIAL,,,,,,,,treated,2001,"99,5",,,,"109,6",,,
Farandoleitknt,2771196,BTH_Estrées-Mons_2001_SetB1,BTH_Estrées-Mons_2001_SetB1,25827,https://doi.org/10.15454/FYPHOO,FARANDOLE,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,"107,6",,1,,"87,8",,2,
EM00088itknt,2771151,BTH_Estrées-Mons_2001_SetB1,BTH_Estrées-Mons_2001_SetB1,48588,gnpis_pui:holding-921_taxon-4898_accession-48588,EM00088,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,"103,1",,1,,"84,1",,3,
RE00109itkfi,2771183,BTH_Estrées-Mons_2001_SetB1,BTH_Estrées-Mons_2001_SetB1,49703,gnpis_pui:holding-921_taxon-4898_accession-49703,RE00109,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,"108,1",,,,"86,8",,,
CF00017itknt,2771208,BTH_Estrées-Mons_2001_SetB1,BTH_Estrées-Mons_2001_SetB1,48962,gnpis_pui:holding-921_taxon-4898_accession-48962,CF00017,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,"97,9",,1,,"79,9",,3,
CF00110itknt,2771190,BTH_Estrées-Mons_2001_SetB1,BTH_Estrées-Mons_2001_SetB1,26048,https://doi.org/10.15454/7WIU47,CF00110,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,"109,6",,1,,"89,4",,2,
CF00110itkfi,2771189,BTH_Estrées-Mons_2001_SetB1,BTH_Estrées-Mons_2001_SetB1,26048,https://doi.org/10.15454/7WIU47,CF00110,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,"110,4",,,,"88,7",,,
CF00017itkfi,2771207,BTH_Estrées-Mons_2001_SetB1,BTH_Estrées-Mons_2001_SetB1,48962,gnpis_pui:holding-921_taxon-4898_accession-48962,CF00017,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,"107,6",,,,"86,4",,,
CF99126itkfi,2771264,BTH_Estrées-Mons_2001_SetB1,BTH_Estrées-Mons_2001_SetB1,49740,gnpis_pui:holding-921_taxon-4898_accession-49740,CF99126,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,"102,1",,,,82,,,
CF99126itknt,2771265,BTH_Estrées-Mons_2001_SetB1,BTH_Estrées-Mons_2001_SetB1,49740,gnpis_pui:holding-921_taxon-4898_accession-49740,CF99126,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,106,,1,,"86,5",,3,
EM00074itkfi,2771171,BTH_Estrées-Mons_2001_SetB1,BTH_Estrées-Mons_2001_SetB1,48639,gnpis_pui:holding-921_taxon-4898_accession-48639,EM00074,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,"113,5",,,,"91,1",,,
CF00110itkt,2771191,BTH_Estrées-Mons_2001_SetB1,BTH_Estrées-Mons_2001_SetB1,26048,https://doi.org/10.15454/7WIU47,CF00110,VIRTUAL_TRIAL,,,,,,,,treated,2001,"95,9",,,,"105,6",,,
CF00013itknt,2771217,BTH_Estrées-Mons_2001_SetB1,BTH_Estrées-Mons_2001_SetB1,48641,gnpis_pui:holding-921_taxon-4898_accession-48641,CF00013,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,98,,1,,80,,2,
CF99126itkt,2771266,BTH_Estrées-Mons_2001_SetB1,BTH_Estrées-Mons_2001_SetB1,49740,gnpis_pui:holding-921_taxon-4898_accession-49740,CF99126,VIRTUAL_TRIAL,,,,,,,,treated,2001,"94,2",,,,"103,7",,,
