observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,sept(CO_321:1000109),sept(CO_321:1000109).date
CF12048itkfi,2876620,BTH_Lusignan_2013_SetB1,BTH_Lusignan_2013_SetB1,61386,https://doi.org/10.15454/SZ7V8T,CF12048,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,100,,150,,"10,9",,78,,"122,6",,"64,2",,"5,2",
EM12096itkfi,2876602,BTH_Lusignan_2013_SetB1,BTH_Lusignan_2013_SetB1,48739,https://doi.org/10.15454/CEPFO5,EM12096,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,90,,146,,"11,8",,"74,2",,"117,6",,"61,6",,6,
AO13003itkfi,2876607,BTH_Lusignan_2013_SetB1,BTH_Lusignan_2013_SetB1,61449,https://doi.org/10.15454/ACXILT,AO13003,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,92,,152,,"10,1",,"72,1",,"122,4",,"64,1",,5,
CF12042itkfi,2876617,BTH_Lusignan_2013_SetB1,BTH_Lusignan_2013_SetB1,61367,https://doi.org/10.15454/TFKRVB,CF12042,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,98,,150,,"10,8",,73,,"104,6",,"54,7",,"4,8",
Apacheitkfi,2876624,BTH_Lusignan_2013_SetB1,BTH_Lusignan_2013_SetB1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,90,,146,,"11,6",,"71,7",,95,,"49,7",,"6,8",
AO13011itkfi,2876627,BTH_Lusignan_2013_SetB1,BTH_Lusignan_2013_SetB1,60766,https://doi.org/10.15454/IIFLIA,AO13011,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,88,,149,,"10,9",,"72,7",,"115,9",,"60,7",,"4,8",
DI13002itkfi,2876619,BTH_Lusignan_2013_SetB1,BTH_Lusignan_2013_SetB1,61791,https://doi.org/10.15454/GW5VMO,DI13002,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,95,,152,,"10,4",,"74,9",,"133,1",,"69,7",,"4,2",
CF12062itkfi,2876618,BTH_Lusignan_2013_SetB1,BTH_Lusignan_2013_SetB1,61428,https://doi.org/10.15454/F7YNUM,CF12062,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,88,,152,,"10,1",,"72,2",,"109,8",,"57,5",,"4,8",
EM12015itkfi,2876638,BTH_Lusignan_2013_SetB1,BTH_Lusignan_2013_SetB1,61864,https://doi.org/10.15454/ASTFXF,EM12015,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,92,,144,,"12,1",,"71,3",,"103,1",,54,,"6,2",
Attlassitkfi,2876634,BTH_Lusignan_2013_SetB1,BTH_Lusignan_2013_SetB1,26823,https://doi.org/10.15454/4BHB0N,ATTLASS,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,92,,151,,"10,2",,"72,8",,132,,"69,1",,4,
CF12130itkfi,2876631,BTH_Lusignan_2013_SetB1,BTH_Lusignan_2013_SetB1,61462,https://doi.org/10.15454/9YFN5V,CF12130,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,100,,152,,"9,8",,"73,2",,"115,5",,"60,5",,5,
Altigoitkfi,2876625,BTH_Lusignan_2013_SetB1,BTH_Lusignan_2013_SetB1,26906,https://doi.org/10.15454/6CYBGM,ALTIGO,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,90,,150,,"10,8",,"72,4",,"94,4",,"49,4",,"5,8",
EM12044itkfi,2876622,BTH_Lusignan_2013_SetB1,BTH_Lusignan_2013_SetB1,49319,https://doi.org/10.15454/QHF1AL,EM12044,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,90,,150,,"10,6",,"73,6",,"120,2",,"62,9",,"4,5",
EM12040itkfi,2876623,BTH_Lusignan_2013_SetB1,BTH_Lusignan_2013_SetB1,61883,https://doi.org/10.15454/ZJTOW0,EM12040,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,90,,145,,"10,6",,"76,5",,120,,"62,8",,"4,8",
CF12149itkfi,2876603,BTH_Lusignan_2013_SetB1,BTH_Lusignan_2013_SetB1,61479,https://doi.org/10.15454/LE3Y6P,CF12149,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,95,,150,,"11,8",,"75,5",,"112,2",,"58,7",,"5,8",
RE12002itkfi,2876614,BTH_Lusignan_2013_SetB1,BTH_Lusignan_2013_SetB1,48869,https://doi.org/10.15454/TN9KFO,RE12002,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,92,,152,,"10,1",,"70,2",,"127,6",,"66,8",,"3,5",
CF12164itkfi,2876606,BTH_Lusignan_2013_SetB1,BTH_Lusignan_2013_SetB1,61495,https://doi.org/10.15454/79MDPU,CF12164,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,90,,152,,"11,3",,"72,6",,"100,5",,"52,6",,6,
CF12053itkfi,2876636,BTH_Lusignan_2013_SetB1,BTH_Lusignan_2013_SetB1,48635,https://doi.org/10.15454/EYGP9K,CF12053,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,92,,152,,"11,2",,74,,"135,4",,"70,8",,"4,2",
Rubiskoitkfi,2876637,BTH_Lusignan_2013_SetB1,BTH_Lusignan_2013_SetB1,27744,https://doi.org/10.15454/XSC5N7,RUBISKO,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,88,,148,,"10,6",,"70,5",,"120,1",,"62,9",,"6,5",
AO13013itkfi,2876628,BTH_Lusignan_2013_SetB1,BTH_Lusignan_2013_SetB1,60800,https://doi.org/10.15454/Z0VQYE,AO13013,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,88,,150,,"10,5",,"68,7",,"121,2",,"63,4",,6,
AO13004itkfi,2876604,BTH_Lusignan_2013_SetB1,BTH_Lusignan_2013_SetB1,61621,https://doi.org/10.15454/BJPX1S,AO13004,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,95,,152,,"9,4",,"72,7",,"132,6",,"69,4",,"3,5",
AO13015itkfi,2876639,BTH_Lusignan_2013_SetB1,BTH_Lusignan_2013_SetB1,60834,https://doi.org/10.15454/KQGENR,AO13015,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,90,,150,,10,,"75,6",,136,,"71,2",,"3,8",
RE12018itkfi,2876626,BTH_Lusignan_2013_SetB1,BTH_Lusignan_2013_SetB1,49597,https://doi.org/10.15454/0WGKSR,RE12018,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,95,,150,,"12,1",,"75,3",,104,,"54,5",,5,
DI13001itkfi,2876633,BTH_Lusignan_2013_SetB1,BTH_Lusignan_2013_SetB1,61775,https://doi.org/10.15454/32FK98,DI13001,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,90,,153,,"10,7",,75,,"119,3",,"62,5",,"4,5",
Bermudeitkfi,2876612,BTH_Lusignan_2013_SetB1,BTH_Lusignan_2013_SetB1,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,88,,152,,"10,8",,"73,3",,"109,7",,"57,4",,"5,8",
RE12001itkfi,2876613,BTH_Lusignan_2013_SetB1,BTH_Lusignan_2013_SetB1,49097,https://doi.org/10.15454/ANZWH3,RE12001,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,92,,150,,"10,8",,"73,5",,"125,7",,"65,8",,"4,5",
AO13005itkfi,2876611,BTH_Lusignan_2013_SetB1,BTH_Lusignan_2013_SetB1,61780,https://doi.org/10.15454/IQQH9F,AO13005,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,95,,154,,"10,3",,"74,4",,"118,1",,"61,8",,4,
Pakitoitkfi,2876621,BTH_Lusignan_2013_SetB1,BTH_Lusignan_2013_SetB1,27745,https://doi.org/10.15454/YJMDM5,PAKITO,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,85,,146,,"11,2",,"72,4",,"100,9",,"52,8",,8,
