observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prot(CO_321:1000070),prot(CO_321:1000070).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,vr(CO_321:1000099),vr(CO_321:1000099).date
Caphornitkfi,2799419,BTH_Le_Moulon_2004_SetB2,BTH_Le_Moulon_2004_SetB2,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"8,8",,"98,3",,"81,6",,1,
LM03014itkt,2799436,BTH_Le_Moulon_2004_SetB2,BTH_Le_Moulon_2004_SetB2,49463,https://doi.org/10.15454/8NQXWN,LM03014,VIRTUAL_TRIAL,,,,,,,,treated,2004,"9,66",,"110,6",,"117,4",,1,
DI04009itkt,2799454,BTH_Le_Moulon_2004_SetB2,BTH_Le_Moulon_2004_SetB2,48478,gnpis_pui:holding-921_taxon-4898_accession-48478,DI04009,VIRTUAL_TRIAL,,,,,,,,treated,2004,"9,44",,"100,4",,"106,5",,2,
EM03069itkt,2799386,BTH_Le_Moulon_2004_SetB2,BTH_Le_Moulon_2004_SetB2,49555,gnpis_pui:holding-921_taxon-4898_accession-49555,EM03069,VIRTUAL_TRIAL,,,,,,,,treated,2004,"9,71",,"106,8",,"113,3",,1,
CF03125itkfi,2799441,BTH_Le_Moulon_2004_SetB2,BTH_Le_Moulon_2004_SetB2,48636,gnpis_pui:holding-921_taxon-4898_accession-48636,CF03125,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"8,72",,"97,5",,"80,9",,1,
CF03125itkt,2799442,BTH_Le_Moulon_2004_SetB2,BTH_Le_Moulon_2004_SetB2,48636,gnpis_pui:holding-921_taxon-4898_accession-48636,CF03125,VIRTUAL_TRIAL,,,,,,,,treated,2004,"10,55",,"97,8",,"103,8",,1,
RE03094itkt,2799456,BTH_Le_Moulon_2004_SetB2,BTH_Le_Moulon_2004_SetB2,26397,https://doi.org/10.15454/A8ZRSZ,RE03094,VIRTUAL_TRIAL,,,,,,,,treated,2004,"10,64",,"103,7",,"110,1",,1,
DI04009itkfi,2799453,BTH_Le_Moulon_2004_SetB2,BTH_Le_Moulon_2004_SetB2,48478,gnpis_pui:holding-921_taxon-4898_accession-48478,DI04009,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"7,62",,"105,3",,"87,4",,1,
Isengrainitkfi,2799445,BTH_Le_Moulon_2004_SetB2,BTH_Le_Moulon_2004_SetB2,25585,https://doi.org/10.15454/YZZGYB,ISENGRAIN,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,8,,"98,6",,"81,9",,1,
CF03388itkfi,2799427,BTH_Le_Moulon_2004_SetB2,BTH_Le_Moulon_2004_SetB2,48582,gnpis_pui:holding-921_taxon-4898_accession-48582,CF03388,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"8,68",,"95,9",,"79,6",,1,
CF03124itkt,2799440,BTH_Le_Moulon_2004_SetB2,BTH_Le_Moulon_2004_SetB2,49408,gnpis_pui:holding-921_taxon-4898_accession-49408,CF03124,VIRTUAL_TRIAL,,,,,,,,treated,2004,"9,2",,"99,7",,"105,8",,1,
CF03139itkt,2799384,BTH_Le_Moulon_2004_SetB2,BTH_Le_Moulon_2004_SetB2,48502,gnpis_pui:holding-921_taxon-4898_accession-48502,CF03139,VIRTUAL_TRIAL,,,,,,,,treated,2004,"9,91",,"95,8",,"101,7",,1,
CF03388itkt,2799428,BTH_Le_Moulon_2004_SetB2,BTH_Le_Moulon_2004_SetB2,48582,gnpis_pui:holding-921_taxon-4898_accession-48582,CF03388,VIRTUAL_TRIAL,,,,,,,,treated,2004,"9,86",,"95,6",,"101,4",,1,
RE02072itkfi,2799431,BTH_Le_Moulon_2004_SetB2,BTH_Le_Moulon_2004_SetB2,49136,https://doi.org/10.15454/GVNGUK,RE02072,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"8,28",,"102,1",,"84,7",,1,
EM03059itkfi,2799425,BTH_Le_Moulon_2004_SetB2,BTH_Le_Moulon_2004_SetB2,48624,gnpis_pui:holding-921_taxon-4898_accession-48624,EM03059,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"8,27",,107,,"88,8",,1,
RE02072itkt,2799432,BTH_Le_Moulon_2004_SetB2,BTH_Le_Moulon_2004_SetB2,49136,https://doi.org/10.15454/GVNGUK,RE02072,VIRTUAL_TRIAL,,,,,,,,treated,2004,"10,29",,"96,7",,"102,6",,1,
Farandoleitkfi,2799421,BTH_Le_Moulon_2004_SetB2,BTH_Le_Moulon_2004_SetB2,25827,https://doi.org/10.15454/FYPHOO,FARANDOLE,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"8,78",,"104,2",,"86,5",,1,
Isengrainitkt,2799446,BTH_Le_Moulon_2004_SetB2,BTH_Le_Moulon_2004_SetB2,25585,https://doi.org/10.15454/YZZGYB,ISENGRAIN,VIRTUAL_TRIAL,,,,,,,,treated,2004,"9,56",,"104,2",,"110,5",,1,
