observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
Bermudeitkfi,2974812,BTH_Lusignan_2015_SetB2,BTH_Lusignan_2015_SetB2,75270,https://doi.org/10.15454/AIOH4U,Bermude,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,94,,133,,78.3,,87,,1,,64.8,,5,,1,
RE14110itkfi,2974830,BTH_Lusignan_2015_SetB2,BTH_Lusignan_2015_SetB2,76151,https://doi.org/10.15454/CLOCOE,RE14110,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,102,,134,,76.3,,102.8,,1,,76.5,,1,,1,
RE14106itkfi,2974814,BTH_Lusignan_2015_SetB2,BTH_Lusignan_2015_SetB2,76137,https://doi.org/10.15454/WGTO7X,RE14106,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,118,,134,,78.2,,92.2,,1,,68.7,,1,,1,
CF14302itkfi,2974818,BTH_Lusignan_2015_SetB2,BTH_Lusignan_2015_SetB2,76141,https://doi.org/10.15454/MD2TW0,CF14302,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,120,,133,,77.5,,68.4,,1,,50.9,,3.5,,7,
EM14142itkfi,2974831,BTH_Lusignan_2015_SetB2,BTH_Lusignan_2015_SetB2,76152,https://doi.org/10.15454/5IZLRI,EM14142,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,100,,123,,82.7,,114.2,,1,,85,,2,,1,
CF14254itkfi,2974837,BTH_Lusignan_2015_SetB2,BTH_Lusignan_2015_SetB2,76156,https://doi.org/10.15454/IKBWDI,CF14254,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,100,,128,,80.7,,94.1,,1,,70,,4.5,,1,
AREZZOitkfi,2974840,BTH_Lusignan_2015_SetB2,BTH_Lusignan_2015_SetB2,27030,https://doi.org/10.15454/SFNXCW,AREZZO,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,96,,130,,83.4,,100.1,,1,,74.5,,1,,1,
CF14188itkfi,2974815,BTH_Lusignan_2015_SetB2,BTH_Lusignan_2015_SetB2,76138,https://doi.org/10.15454/KYFEDO,CF14188,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,90,,135,,72.9,,86.3,,1,,64.2,,1,,1,
EM14097itkfi,2974816,BTH_Lusignan_2015_SetB2,BTH_Lusignan_2015_SetB2,76139,https://doi.org/10.15454/OELY3F,EM14097,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,92,,134,,76.1,,101.4,,1,,75.5,,1,,1,
CELLULEitkfi,2974824,BTH_Lusignan_2015_SetB2,BTH_Lusignan_2015_SetB2,27736,https://doi.org/10.15454/5V5PUX,CELLULE,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,96,,128,,82.4,,107.9,,2.5,,80.3,,3,,1,
CF14312itkfi,2974832,BTH_Lusignan_2015_SetB2,BTH_Lusignan_2015_SetB2,76153,https://doi.org/10.15454/JHIZDA,CF14312,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,93,,132,,79.1,,104.9,,1,,78.1,,1,,1,
CF14270itkfi,2974834,BTH_Lusignan_2015_SetB2,BTH_Lusignan_2015_SetB2,76154,https://doi.org/10.15454/0TV1JD,CF14270,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,92,,131,,75.2,,92.1,,1,,68.5,,3,,1,
CF14255itkfi,2974838,BTH_Lusignan_2015_SetB2,BTH_Lusignan_2015_SetB2,76157,https://doi.org/10.15454/LD0O5U,CF14255,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,98,,124,,81.6,,98.9,,1,,73.7,,1,,6,
DI15009itkfi,2974821,BTH_Lusignan_2015_SetB2,BTH_Lusignan_2015_SetB2,76144,https://doi.org/10.15454/F5OZ5D,DI15009,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,92,,133,,76.5,,97.4,,1,,72.5,,3,,1,
