observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NpainC(CO_321:1000233),NpainC(CO_321:1000233).date,NpateC(CO_321:1000232),NpateC(CO_321:1000232).date,NtotC(CO_321:1000234),NtotC(CO_321:1000234).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,sds(CO_321:1000224),sds(CO_321:1000224).date,volC(CO_321:1000235),volC(CO_321:1000235).date,vp(CO_321:1000225),vp(CO_321:1000225).date
DI02006itkt,2784437,BTH_Clermont-Ferrand_2002_TECH,BTH_Clermont-Ferrand_2002_TECH,49032,gnpis_pui:holding-921_taxon-4898_accession-49032,DI02006,VIRTUAL_TRIAL,,,,,,,,treated,2002,"19,5",,77,,116,,74,,190,,80,,"1,04",,258,,68,,427,,14,,"77,8",,42,,1289,,"2,55",
EM01150itkt,2784483,BTH_Clermont-Ferrand_2002_TECH,BTH_Clermont-Ferrand_2002_TECH,49276,gnpis_pui:holding-921_taxon-4898_accession-49276,EM01150,VIRTUAL_TRIAL,,,,,,,,treated,2002,"22,5",,103,,147,,71,,218,,89,,"0,86",,309,,69,,296,,"15,7",,76,,53,,1650,,"2,85",
EM01288itkt,2784485,BTH_Clermont-Ferrand_2002_TECH,BTH_Clermont-Ferrand_2002_TECH,49281,gnpis_pui:holding-921_taxon-4898_accession-49281,EM01288,VIRTUAL_TRIAL,,,,,,,,treated,2002,"27,3",,151,,147,,77,,224,,67,,"0,44",,368,,62,,366,,14,,"82,4",,50,,1455,,"2,92",
DI01022itkt,2784440,BTH_Clermont-Ferrand_2002_TECH,BTH_Clermont-Ferrand_2002_TECH,49284,gnpis_pui:holding-921_taxon-4898_accession-49284,DI01022,VIRTUAL_TRIAL,,,,,,,,treated,2002,18,,65,,157,,81,,238,,72,,"1,1",,212,,26,,388,,"13,7",,"81,5",,44,,1550,,"2,62",
CF01184itkt,2784476,BTH_Clermont-Ferrand_2002_TECH,BTH_Clermont-Ferrand_2002_TECH,49268,gnpis_pui:holding-921_taxon-4898_accession-49268,CF01184,VIRTUAL_TRIAL,,,,,,,,treated,2002,"23,8",,115,,147,,79,,226,,76,,"0,66",,296,,76,,392,,"13,7",,"79,6",,46,,1582,,"3,1",
RE01086itkt,2784467,BTH_Clermont-Ferrand_2002_TECH,BTH_Clermont-Ferrand_2002_TECH,48512,gnpis_pui:holding-921_taxon-4898_accession-48512,RE01086,VIRTUAL_TRIAL,,,,,,,,treated,2002,"22,2",,100,,102,,65,,167,,73,,"0,73",,225,,87,,344,,"12,9",,"77,7",,49,,1320,,"2,65",
EM00264itkt,2784475,BTH_Clermont-Ferrand_2002_TECH,BTH_Clermont-Ferrand_2002_TECH,48806,gnpis_pui:holding-921_taxon-4898_accession-48806,EM00264,VIRTUAL_TRIAL,,,,,,,,treated,2002,"21,4",,93,,120,,64,,184,,50,,"0,54",,173,,76,,350,,"12,2",,"78,4",,43,,1249,,"2,17",
CF01043itkt,2784477,BTH_Clermont-Ferrand_2002_TECH,BTH_Clermont-Ferrand_2002_TECH,48822,gnpis_pui:holding-921_taxon-4898_accession-48822,CF01043,VIRTUAL_TRIAL,,,,,,,,treated,2002,"25,4",,131,,137,,69,,206,,37,,"0,28",,162,,25,,312,,"13,7",,"77,8",,50,,1452,,"2,14",
EM01063itkt,2784448,BTH_Clermont-Ferrand_2002_TECH,BTH_Clermont-Ferrand_2002_TECH,49119,gnpis_pui:holding-921_taxon-4898_accession-49119,EM01063,VIRTUAL_TRIAL,,,,,,,,treated,2002,"19,4",,76,,163,,70,,233,,46,,"0,6",,130,,34,,325,,"12,7",,"80,1",,44,,1743,,"2,17",
DI02028itkt,2784466,BTH_Clermont-Ferrand_2002_TECH,BTH_Clermont-Ferrand_2002_TECH,49121,gnpis_pui:holding-921_taxon-4898_accession-49121,DI02028,VIRTUAL_TRIAL,,,,,,,,treated,2002,"21,2",,91,,160,,74,,234,,50,,"0,54",,178,,35,,342,,"13,1",,"80,9",,46,,1612,,"2,1",
Apacheitkt,2784453,BTH_Clermont-Ferrand_2002_TECH,BTH_Clermont-Ferrand_2002_TECH,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2002,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,"2,21",
CF01196itkt,2784441,BTH_Clermont-Ferrand_2002_TECH,BTH_Clermont-Ferrand_2002_TECH,49532,gnpis_pui:holding-921_taxon-4898_accession-49532,CF01196,VIRTUAL_TRIAL,,,,,,,,treated,2002,"20,4",,84,,131,,77,,208,,62,,"0,73",,201,,28,,341,,"12,8",,"80,4",,49,,1417,,"2,03",
EM01062itkt,2784447,BTH_Clermont-Ferrand_2002_TECH,BTH_Clermont-Ferrand_2002_TECH,48872,gnpis_pui:holding-921_taxon-4898_accession-48872,EM01062,VIRTUAL_TRIAL,,,,,,,,treated,2002,"23,5",,112,,105,,67,,172,,61,,"0,54",,204,,77,,347,,"14,3",,"78,2",,49,,1382,,"2,07",
EM01214itkt,2784433,BTH_Clermont-Ferrand_2002_TECH,BTH_Clermont-Ferrand_2002_TECH,26408,https://doi.org/10.15454/41FB67,EM01214,VIRTUAL_TRIAL,,,,,,,,treated,2002,"17,5",,62,,167,,80,,247,,62,,"0,99",,168,,29,,301,,"13,2",,77,,47,,1745,,"2,49",
EM01271itkt,2784449,BTH_Clermont-Ferrand_2002_TECH,BTH_Clermont-Ferrand_2002_TECH,26409,https://doi.org/10.15454/LLKGUD,EM01271,VIRTUAL_TRIAL,,,,,,,,treated,2002,20,,81,,156,,76,,232,,67,,"0,83",,225,,54,,358,,"12,5",,"77,2",,63,,1640,,"1,9",
Skerzzoitkt,2784480,BTH_Clermont-Ferrand_2002_TECH,BTH_Clermont-Ferrand_2002_TECH,59735,https://doi.org/10.15454/SGAN4B,SKERZZO,VIRTUAL_TRIAL,,,,,,,,treated,2002,"23,4",,111,,153,,81,,234,,58,,"0,53",,249,,36,,339,,"14,8",,"83,7",,46,,1680,,"2,82",
CF99351itkt,2784450,BTH_Clermont-Ferrand_2002_TECH,BTH_Clermont-Ferrand_2002_TECH,25899,https://doi.org/10.15454/QG5OJU,CF99351,VIRTUAL_TRIAL,,,,,,,,treated,2002,"18,6",,70,,88,,76,,164,,106,,"1,51",,324,,80,,340,,15,,"80,2",,43,,1188,,"2,53",
EM00018itkt,2784470,BTH_Clermont-Ferrand_2002_TECH,BTH_Clermont-Ferrand_2002_TECH,26109,https://doi.org/10.15454/S5ERQF,EM00018,VIRTUAL_TRIAL,,,,,,,,treated,2002,"21,3",,92,,117,,71,,188,,39,,"0,42",,143,,33,,319,,"12,8",,"78,2",,41,,1460,,"1,6",
EM01324itkt,2784452,BTH_Clermont-Ferrand_2002_TECH,BTH_Clermont-Ferrand_2002_TECH,49472,gnpis_pui:holding-921_taxon-4898_accession-49472,EM01324,VIRTUAL_TRIAL,,,,,,,,treated,2002,"19,6",,78,,115,,65,,180,,61,,"0,79",,171,,54,,280,,"13,9",,"75,8",,57,,1381,,"2,28",
DI00010itkt,2784431,BTH_Clermont-Ferrand_2002_TECH,BTH_Clermont-Ferrand_2002_TECH,26106,https://doi.org/10.15454/MAUZZM,DI00010,VIRTUAL_TRIAL,,,,,,,,treated,2002,"19,9",,80,,143,,75,,218,,61,,"0,76",,192,,20,,335,,"12,9",,"80,8",,47,,1537,,"3,11",
CF00116itkt,2784461,BTH_Clermont-Ferrand_2002_TECH,BTH_Clermont-Ferrand_2002_TECH,26105,https://doi.org/10.15454/XCQCZQ,CF00116,VIRTUAL_TRIAL,,,,,,,,treated,2002,"22,9",,106,,135,,72,,207,,47,,"0,44",,161,,19,,392,,"13,2",,"75,7",,57,,1482,,"3,02",
EM00072itkt,2784472,BTH_Clermont-Ferrand_2002_TECH,BTH_Clermont-Ferrand_2002_TECH,26102,https://doi.org/10.15454/WNKZ9X,EM00072,VIRTUAL_TRIAL,,,,,,,,treated,2002,"19,8",,79,,109,,60,,169,,36,,"0,46",,112,,36,,362,,13,,"74,4",,47,,1328,,"2,08",
EM00002itkt,2784434,BTH_Clermont-Ferrand_2002_TECH,BTH_Clermont-Ferrand_2002_TECH,26108,https://doi.org/10.15454/MTMO4R,EM00002,VIRTUAL_TRIAL,,,,,,,,treated,2002,"22,4",,102,,128,,73,,201,,48,,"0,47",,197,,41,,306,,"13,6",,"79,4",,48,,1309,,"1,76",
DI00024itkt,2784435,BTH_Clermont-Ferrand_2002_TECH,BTH_Clermont-Ferrand_2002_TECH,26107,https://doi.org/10.15454/IJHBYL,DI00024,VIRTUAL_TRIAL,,,,,,,,treated,2002,"26,8",,146,,123,,64,,187,,49,,"0,34",,209,,17,,356,,"13,4",,"77,4",,40,,1410,,"2,98",
RE01002itkt,2784473,BTH_Clermont-Ferrand_2002_TECH,BTH_Clermont-Ferrand_2002_TECH,26110,https://doi.org/10.15454/PY1VVU,RE01002,VIRTUAL_TRIAL,,,,,,,,treated,2002,"24,2",,119,,161,,68,,229,,41,,"0,34",,162,,21,,357,,"12,6",,"79,6",,37,,1657,,"1,89",
CF00108itkt,2784432,BTH_Clermont-Ferrand_2002_TECH,BTH_Clermont-Ferrand_2002_TECH,26103,https://doi.org/10.15454/VUCZZU,CF00108,VIRTUAL_TRIAL,,,,,,,,treated,2002,"23,4",,111,,123,,68,,191,,45,,"0,41",,156,,16,,351,,"13,6",,"75,9",,51,,1376,,"2,96",
EM01023itkt,2784465,BTH_Clermont-Ferrand_2002_TECH,BTH_Clermont-Ferrand_2002_TECH,26407,https://doi.org/10.15454/3VKOE9,EM01023,VIRTUAL_TRIAL,,,,,,,,treated,2002,"25,6",,133,,133,,79,,212,,63,,"0,48",,278,,77,,408,,14,,"77,8",,42,,1386,,"1,61",
Rytmicitkt,2784457,BTH_Clermont-Ferrand_2002_TECH,BTH_Clermont-Ferrand_2002_TECH,26892,https://doi.org/10.15454/AVKVIW,RYTMIC,VIRTUAL_TRIAL,,,,,,,,treated,2002,"19,4",,76,,158,,80,,238,,82,,"1,08",,242,,93,,368,,14,,"77,1",,52,,1762,,"2,02",
CF01085itkt,2784462,BTH_Clermont-Ferrand_2002_TECH,BTH_Clermont-Ferrand_2002_TECH,48643,https://doi.org/10.15454/2AB2GR,CF01085,VIRTUAL_TRIAL,,,,,,,,treated,2002,21,,89,,138,,78,,216,,58,,"0,64",,195,,76,,352,,"12,5",,"77,2",,53,,1460,,"2,71",
EM99017itkt,2784486,BTH_Clermont-Ferrand_2002_TECH,BTH_Clermont-Ferrand_2002_TECH,28764,https://doi.org/10.15454/QT2EUR,EM99017,VIRTUAL_TRIAL,,,,,,,,treated,2002,"18,2",,67,,137,,73,,210,,54,,"0,8",,169,,27,,284,,"13,2",,"79,3",,43,,1413,,"1,9",
DI02001itkt,2784459,BTH_Clermont-Ferrand_2002_TECH,BTH_Clermont-Ferrand_2002_TECH,26984,https://doi.org/10.15454/GR0LP3,DI02001,VIRTUAL_TRIAL,,,,,,,,treated,2002,19,,73,,116,,64,,180,,80,,"1,09",,251,,83,,353,,"13,2",,"81,9",,52,,1330,,"2,58",
DI02032itkt,2784436,BTH_Clermont-Ferrand_2002_TECH,BTH_Clermont-Ferrand_2002_TECH,48751,gnpis_pui:holding-921_taxon-4898_accession-48751,DI02032,VIRTUAL_TRIAL,,,,,,,,treated,2002,"15,5",,49,,100,,57,,157,,35,,"0,72",,76,,28,,353,,"13,3",,"79,8",,50,,1238,,"1,97",
Soissonsitkt,2784484,BTH_Clermont-Ferrand_2002_TECH,BTH_Clermont-Ferrand_2002_TECH,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,treated,2002,"21,2",,91,,155,,77,,232,,79,,"0,86",,295,,72,,395,,"13,8",,"82,3",,43,,1708,,"1,52",
Isengrainitkt,2784479,BTH_Clermont-Ferrand_2002_TECH,BTH_Clermont-Ferrand_2002_TECH,25585,https://doi.org/10.15454/YZZGYB,ISENGRAIN,VIRTUAL_TRIAL,,,,,,,,treated,2002,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,"1,37",
RE01037itkt,2784438,BTH_Clermont-Ferrand_2002_TECH,BTH_Clermont-Ferrand_2002_TECH,26096,https://doi.org/10.15454/9ZI12M,RE01037,VIRTUAL_TRIAL,,,,,,,,treated,2002,"18,2",,67,,123,,72,,195,,68,,1,,215,,71,,332,,"14,5",,"80,5",,53,,1472,,"2,13",
RE02101itkt,2784443,BTH_Clermont-Ferrand_2002_TECH,BTH_Clermont-Ferrand_2002_TECH,26099,https://doi.org/10.15454/SIGZUF,RE02101,VIRTUAL_TRIAL,,,,,,,,treated,2002,"22,4",,102,,148,,81,,229,,46,,"0,45",,194,,50,,302,,"13,5",,"77,6",,51,,1602,,"1,44",
CF00060itkt,2784439,BTH_Clermont-Ferrand_2002_TECH,BTH_Clermont-Ferrand_2002_TECH,49450,gnpis_pui:holding-921_taxon-4898_accession-49450,CF00060,VIRTUAL_TRIAL,,,,,,,,treated,2002,"20,4",,84,,112,,75,,187,,81,,"0,97",,291,,77,,352,,"14,8",,"81,4",,51,,1332,,2,
EM01325itkt,2784451,BTH_Clermont-Ferrand_2002_TECH,BTH_Clermont-Ferrand_2002_TECH,49045,gnpis_pui:holding-921_taxon-4898_accession-49045,EM01325,VIRTUAL_TRIAL,,,,,,,,treated,2002,"21,9",,97,,169,,79,,248,,67,,"0,69",,228,,55,,370,,"13,9",,"80,5",,39,,1770,,"2,85",
EM99006itkt,2784456,BTH_Clermont-Ferrand_2002_TECH,BTH_Clermont-Ferrand_2002_TECH,28759,https://doi.org/10.15454/1BMHCN,EM99006,VIRTUAL_TRIAL,,,,,,,,treated,2002,21,,89,,139,,81,,220,,74,,"0,83",,250,,67,,366,,"13,9",,"81,2",,52,,1506,,"2,23",
CF01216itkt,2784442,BTH_Clermont-Ferrand_2002_TECH,BTH_Clermont-Ferrand_2002_TECH,49614,gnpis_pui:holding-921_taxon-4898_accession-49614,CF01216,VIRTUAL_TRIAL,,,,,,,,treated,2002,"25,5",,132,,149,,69,,218,,43,,"0,33",,184,,55,,415,,"13,3",,"78,4",,42,,1680,,"2,68",
EM01328itkt,2784478,BTH_Clermont-Ferrand_2002_TECH,BTH_Clermont-Ferrand_2002_TECH,49205,gnpis_pui:holding-921_taxon-4898_accession-49205,EM01328,VIRTUAL_TRIAL,,,,,,,,treated,2002,"18,9",,72,,142,,76,,218,,72,,1,,216,,74,,399,,"13,6",,"81,9",,54,,1530,,"2,09",
EM00074itkt,2784474,BTH_Clermont-Ferrand_2002_TECH,BTH_Clermont-Ferrand_2002_TECH,48639,gnpis_pui:holding-921_taxon-4898_accession-48639,EM00074,VIRTUAL_TRIAL,,,,,,,,treated,2002,"22,2",,100,,164,,77,,241,,55,,"0,55",,216,,88,,379,,"13,5",,"80,8",,52,,1727,,"1,83",
CF00037itkt,2784460,BTH_Clermont-Ferrand_2002_TECH,BTH_Clermont-Ferrand_2002_TECH,48714,gnpis_pui:holding-921_taxon-4898_accession-48714,CF00037,VIRTUAL_TRIAL,,,,,,,,treated,2002,"20,6",,86,,151,,67,,218,,63,,"0,73",,224,,37,,339,,"14,9",,"80,4",,53,,1592,,"2,82",
EM00107itkt,2784455,BTH_Clermont-Ferrand_2002_TECH,BTH_Clermont-Ferrand_2002_TECH,49059,gnpis_pui:holding-921_taxon-4898_accession-49059,EM00107,VIRTUAL_TRIAL,,,,,,,,treated,2002,"24,1",,118,,122,,69,,191,,57,,"0,48",,241,,71,,362,,14,,"79,8",,44,,1260,,"2,05",
DI02021itkt,2784471,BTH_Clermont-Ferrand_2002_TECH,BTH_Clermont-Ferrand_2002_TECH,49148,gnpis_pui:holding-921_taxon-4898_accession-49148,DI02021,VIRTUAL_TRIAL,,,,,,,,treated,2002,"17,4",,61,,155,,80,,235,,45,,"0,73",,124,,33,,341,,"13,3",,"80,8",,43,,1539,,"2,31",
EM01024itkt,2784446,BTH_Clermont-Ferrand_2002_TECH,BTH_Clermont-Ferrand_2002_TECH,49713,gnpis_pui:holding-921_taxon-4898_accession-49713,EM01024,VIRTUAL_TRIAL,,,,,,,,treated,2002,"23,3",,110,,153,,79,,232,,71,,"0,64",,267,,77,,384,,"14,7",,"78,8",,50,,1698,,"1,9",
