observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,ht(CO_321:1000218),ht(CO_321:1000218).date,oid(CO_321:1000145),oid(CO_321:1000145).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
Koreliitkfi,2819506,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,1,,"92,5",,,,131,,"11,95",,"73,6",,95,,4,,"56,2",,1,,,,"4,5",
CF04076itkt,2819490,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,27039,https://doi.org/10.15454/YH3ACK,CF04076,VIRTUAL_TRIAL,,,,,,,,traité,2007,,,90,,1,,131,,"11,97",,"69,5",,"89,1",,1,,"68,6",,1,,"4,5",,"5,5",
Sankaraitknt,2819531,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,26123,https://doi.org/10.15454/R5VJW6,SANKARA,VIRTUAL_TRIAL,,,,,,,,non traité au fongicides,2007,1,,85,,,,"132,5",,"13,76",,"72,9",,"95,2",,5,,"54,1",,1,,5,,5,
Sankaraitkfi,2819530,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,26123,https://doi.org/10.15454/R5VJW6,SANKARA,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,1,,90,,,,"134,5",,"14,52",,"68,4",,"85,5",,6,,"50,6",,1,,,,"6,5",
Toisondoritkfi,2819491,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,1,,"77,5",,,,128,,"10,2",,"67,3",,102,,1,,"60,4",,"8,5",,,,"2,5",
Koreliitkt,2819508,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,traité,2007,,,95,,1,,"132,5",,"12,13",,"76,6",,"106,6",,2,,"82,1",,1,,"3,5",,"3,5",
Koreliitknt,2819507,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,non traité au fongicides,2007,1,,95,,,,131,,"11,84",,"76,5",,"105,3",,6,,"59,8",,3,,5,,"5,5",
CF04214itkt,2819583,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,49393,https://doi.org/10.15454/RBB8O2,CF04214,VIRTUAL_TRIAL,,,,,,,,traité,2007,,,85,,1,,"132,5",,"11,26",,"72,2",,"72,8",,1,,"56,1",,1,,"4,5",,"3,5",
CF04214itkfi,2819581,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,49393,https://doi.org/10.15454/RBB8O2,CF04214,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,1,,85,,,,131,,"11,7",,"66,3",,"71,7",,6,,"42,4",,7,,,,"3,5",
Barokitknt,2819483,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,non traité au fongicides,2007,1,,85,,,,"130,5",,"10,58",,"75,4",,"124,9",,8,,71,,"2,5",,"2,5",,5,
Soissonsitknt,2819579,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,non traité au fongicides,2007,1,,85,,,,123,,"10,78",,"72,3",,"94,7",,9,,"53,8",,1,,1,,"5,5",
RE05074itkt,2819559,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,27826,https://doi.org/10.15454/UVZHWO,RE05074,VIRTUAL_TRIAL,,,,,,,,traité,2007,,,85,,1,,128,,"12,18",,"69,2",,"117,2",,1,,"90,2",,1,,2,,7,
Toisondoritkt,2819493,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,VIRTUAL_TRIAL,,,,,,,,traité,2007,,,"72,5",,1,,131,,11,,73,,"124,1",,1,,"95,6",,1,,2,,"2,5",
Barokitkt,2819484,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,traité,2007,,,85,,1,,131,,"11,77",,"72,5",,"111,1",,1,,"85,6",,1,,3,,7,
Barokitkfi,2819482,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,1,,90,,,,131,,"11,11",,72,,"103,4",,5,,"61,2",,1,,,,7,
Toisondoritknt,2819492,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,VIRTUAL_TRIAL,,,,,,,,non traité au fongicides,2007,1,,"72,5",,,,"130,5",,"10,84",,"70,6",,"96,7",,1,,55,,9,,1,,"1,5",
RE05074itknt,2819558,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,27826,https://doi.org/10.15454/UVZHWO,RE05074,VIRTUAL_TRIAL,,,,,,,,non traité au fongicides,2007,1,,80,,,,128,,"10,99",,"73,6",,"134,5",,1,,"76,4",,1,,"2,5",,5,
EM03193itknt,2819519,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,27038,https://doi.org/10.15454/DPT3VI,EM03193,VIRTUAL_TRIAL,,,,,,,,non traité au fongicides,2007,1,,85,,,,135,,"12,04",,"75,2",,"111,3",,"3,5",,"63,3",,1,,5,,5,
EM03332itkfi,2819575,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,26986,https://doi.org/10.15454/VOIUNY,EM03332,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,1,,95,,,,134,,"11,8",,67,,"99,2",,"4,5",,"58,7",,1,,,,6,
CF04214itknt,2819582,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,49393,https://doi.org/10.15454/RBB8O2,CF04214,VIRTUAL_TRIAL,,,,,,,,non traité au fongicides,2007,1,,"82,5",,,,131,,"11,22",,"71,8",,"70,8",,"4,5",,"40,2",,"6,5",,1,,"3,5",
Mendelitknt,2819525,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,26120,https://doi.org/10.15454/TNI3IW,MENDEL,VIRTUAL_TRIAL,,,,,,,,non traité au fongicides,2007,1,,80,,,,127,,"12,06",,"68,4",,"88,8",,7,,"50,5",,5,,1,,2,
Flamenkoitkt,2819547,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,26969,https://doi.org/10.15454/WDD3QQ,FLAMENKO,VIRTUAL_TRIAL,,,,,,,,traité,2007,,,"87,5",,1,,127,,"12,28",,"66,9",,"109,2",,1,,"84,1",,1,,"2,5",,7,
EM03332itkt,2819577,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,26986,https://doi.org/10.15454/VOIUNY,EM03332,VIRTUAL_TRIAL,,,,,,,,traité,2007,,,95,,"1,5",,135,,"12,11",,68,,"95,9",,1,,"73,9",,1,,"3,5",,7,
EM03332itknt,2819576,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,26986,https://doi.org/10.15454/VOIUNY,EM03332,VIRTUAL_TRIAL,,,,,,,,non traité au fongicides,2007,1,,95,,,,134,,"11,9",,"70,6",,107,,"6,5",,"60,8",,1,,"2,5",,"5,5",
EM03193itkfi,2819518,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,27038,https://doi.org/10.15454/DPT3VI,EM03193,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,1,,"87,5",,,,135,,"12,03",,"68,2",,"97,9",,4,,58,,1,,,,5,
EM04181itknt,2819552,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,48531,https://doi.org/10.15454/5QJOWB,EM04181,VIRTUAL_TRIAL,,,,,,,,non traité au fongicides,2007,1,,"82,5",,,,"130,5",,"11,48",,70,,"94,5",,5,,"53,7",,"7,5",,1,,4,
EM04241itknt,2819561,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,27040,https://doi.org/10.15454/AB7Z4M,EM04241,VIRTUAL_TRIAL,,,,,,,,non traité au fongicides,2007,3,,85,,,,131,,"11,17",,"75,5",,"114,8",,"4,5",,"65,2",,1,,5,,5,
RE05074itkfi,2819557,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,27826,https://doi.org/10.15454/UVZHWO,RE05074,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"3,5",,"82,5",,,,128,,"12,46",,71,,"128,7",,1,,"76,2",,1,,,,7,
Flamenkoitknt,2819546,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,26969,https://doi.org/10.15454/WDD3QQ,FLAMENKO,VIRTUAL_TRIAL,,,,,,,,non traité au fongicides,2007,1,,"87,5",,,,"124,5",,"11,06",,"72,2",,"140,4",,6,,"79,8",,1,,"5,5",,2,
Flamenkoitkfi,2819545,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,26969,https://doi.org/10.15454/WDD3QQ,FLAMENKO,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,1,,90,,,,125,,"11,65",,"68,7",,"129,1",,"3,5",,"76,4",,1,,,,6,
DI05014itknt,2819504,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,26985,https://doi.org/10.15454/TKJCUM,DI05014,VIRTUAL_TRIAL,,,,,,,,non traité au fongicides,2007,1,,85,,,,135,,"11,12",,"70,8",,"103,8",,7,,59,,2,,3,,5,
AO05004itkfi,2819497,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,48941,https://doi.org/10.15454/YPYOQJ,AO05004,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,1,,"97,5",,,,129,,"12,56",,"67,5",,"94,1",,1,,"55,7",,8,,,,"4,5",
DI05014itkt,2819505,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,26985,https://doi.org/10.15454/TKJCUM,DI05014,VIRTUAL_TRIAL,,,,,,,,traité,2007,,,"92,5",,1,,135,,"11,56",,"77,4",,"106,6",,1,,"82,1",,1,,2,,"6,5",
DI05014itkfi,2819503,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,26985,https://doi.org/10.15454/TKJCUM,DI05014,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,1,,90,,,,135,,"11,15",,"69,2",,"103,8",,3,,"61,4",,1,,,,"5,5",
Mendelitkt,2819526,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,26120,https://doi.org/10.15454/TNI3IW,MENDEL,VIRTUAL_TRIAL,,,,,,,,traité,2007,,,80,,1,,127,,"12,19",,"69,7",,"103,9",,3,,80,,1,,"4,5",,"1,5",
AO05004itkt,2819499,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,48941,https://doi.org/10.15454/YPYOQJ,AO05004,VIRTUAL_TRIAL,,,,,,,,traité,2007,,,95,,1,,131,,"12,68",,"75,1",,"109,6",,1,,"84,4",,"2,5",,3,,6,
EM03193itkt,2819520,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,27038,https://doi.org/10.15454/DPT3VI,EM03193,VIRTUAL_TRIAL,,,,,,,,traité,2007,,,85,,1,,135,,"12,04",,"71,8",,"94,7",,1,,"72,9",,1,,"3,5",,6,
CF03201itkfi,2819536,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,26975,https://doi.org/10.15454/0TTU1F,CF03201,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,1,,95,,,,"130,5",,"11,42",,"74,6",,"128,4",,"2,5",,76,,1,,,,"5,5",
EM04181itkfi,2819551,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,48531,https://doi.org/10.15454/5QJOWB,EM04181,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,1,,85,,,,131,,"12,14",,"64,8",,"100,2",,1,,"59,3",,7,,,,"5,5",
Mendelitkfi,2819524,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,26120,https://doi.org/10.15454/TNI3IW,MENDEL,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,1,,80,,,,127,,"12,17",,"63,8",,"101,1",,8,,"59,8",,3,,,,3,
AO05004itknt,2819498,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,48941,https://doi.org/10.15454/YPYOQJ,AO05004,VIRTUAL_TRIAL,,,,,,,,non traité au fongicides,2007,1,,95,,,,129,,"12,18",,73,,"95,2",,1,,"54,1",,"8,5",,1,,5,
EM04181itkt,2819553,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,48531,https://doi.org/10.15454/5QJOWB,EM04181,VIRTUAL_TRIAL,,,,,,,,traité,2007,,,"87,5",,1,,131,,"12,66",,"65,4",,"97,6",,1,,"75,2",,1,,3,,6,
CF03201itkt,2819538,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,26975,https://doi.org/10.15454/0TTU1F,CF03201,VIRTUAL_TRIAL,,,,,,,,traité,2007,,,"92,5",,1,,"130,5",,"13,32",,"74,8",,"96,8",,1,,"74,6",,1,,3,,"7,5",
CF03201itknt,2819537,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,26975,https://doi.org/10.15454/0TTU1F,CF03201,VIRTUAL_TRIAL,,,,,,,,non traité au fongicides,2007,1,,95,,,,130,,"12,04",,"78,4",,"126,6",,"4,5",,"71,9",,"1,5",,4,,6,
EM04241itkt,2819562,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,27040,https://doi.org/10.15454/AB7Z4M,EM04241,VIRTUAL_TRIAL,,,,,,,,traité,2007,,,"87,5",,1,,131,,"11,88",,"74,4",,"102,5",,2,,79,,1,,"3,5",,7,
AO06313itkt,2819496,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,26967,https://doi.org/10.15454/GRNHCW,AO06313,VIRTUAL_TRIAL,,,,,,,,traité,2007,,,"87,5",,1,,125,,"11,88",,"71,9",,"88,4",,1,,"68,1",,1,,"5,5",,4,
AO06313itkfi,2819494,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,26967,https://doi.org/10.15454/GRNHCW,AO06313,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,1,,85,,,,"124,5",,"11,52",,68,,"90,5",,1,,"53,5",,9,,,,4,
Croustyitkt,2819550,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,VIRTUAL_TRIAL,,,,,,,,traité,2007,,,100,,1,,129,,"11,67",,76,,"101,7",,"1,5",,"78,3",,1,,4,,"4,5",
Croustyitkfi,2819548,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,1,,"97,5",,,,129,,11,,"71,8",,"92,6",,1,,"54,8",,8,,,,3,
AO06313itknt,2819495,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,26967,https://doi.org/10.15454/GRNHCW,AO06313,VIRTUAL_TRIAL,,,,,,,,non traité au fongicides,2007,1,,85,,,,"124,5",,"11,86",,"69,5",,"79,3",,9,,"45,1",,1,,1,,"5,5",
RE05108itkfi,2819563,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,26835,https://doi.org/10.15454/FXNO6G,RE05108,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,1,,95,,,,131,,"11,19",,"71,8",,"118,1",,"2,5",,"69,9",,1,,,,7,
AO05001itkt,2819502,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,48798,https://doi.org/10.15454/YUL8X7,AO05001,VIRTUAL_TRIAL,,,,,,,,traité,2007,,,90,,1,,124,,"13,07",,"67,6",,"89,3",,2,,"68,8",,1,,4,,7,
DI04017itknt,2819528,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,27036,https://doi.org/10.15454/PULIUX,DI04017,VIRTUAL_TRIAL,,,,,,,,non traité au fongicides,2007,1,,"87,5",,,,131,,"11,92",,"72,7",,"107,9",,"7,5",,"61,4",,1,,3,,7,
DI04017itkfi,2819527,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,27036,https://doi.org/10.15454/PULIUX,DI04017,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,2,,"92,5",,,,131,,"12,34",,"65,4",,"88,3",,"5,5",,"52,3",,1,,,,7,
CF04043itkfi,2819539,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,26972,https://doi.org/10.15454/VFM1EQ,CF04043,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,2,,100,,,,128,,"12,53",,70,,"99,1",,4,,"58,7",,1,,,,7,
AO05001itknt,2819501,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,48798,https://doi.org/10.15454/YUL8X7,AO05001,VIRTUAL_TRIAL,,,,,,,,non traité au fongicides,2007,1,,95,,,,123,,"12,15",,"67,7",,"92,2",,9,,"52,4",,1,,1,,"6,5",
Croustyitknt,2819549,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,VIRTUAL_TRIAL,,,,,,,,non traité au fongicides,2007,1,,"97,5",,,,128,,"10,95",,"77,2",,"99,6",,1,,"56,6",,9,,1,,"2,5",
CF04043itkt,2819541,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,26972,https://doi.org/10.15454/VFM1EQ,CF04043,VIRTUAL_TRIAL,,,,,,,,traité,2007,,,"97,5",,1,,131,,"12,12",,"73,5",,"102,1",,"1,5",,"78,6",,1,,3,,7,
CF04043itknt,2819540,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,26972,https://doi.org/10.15454/VFM1EQ,CF04043,VIRTUAL_TRIAL,,,,,,,,non traité au fongicides,2007,1,,"97,5",,,,129,,"12,36",,"73,5",,"108,2",,"7,5",,"61,5",,1,,"5,5",,"5,5",
RE05108itkt,2819565,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,26835,https://doi.org/10.15454/FXNO6G,RE05108,VIRTUAL_TRIAL,,,,,,,,traité,2007,,,95,,1,,131,,"12,5",,"71,2",,"94,7",,1,,"72,9",,1,,"2,5",,8,
RE05108itknt,2819564,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,26835,https://doi.org/10.15454/FXNO6G,RE05108,VIRTUAL_TRIAL,,,,,,,,non traité au fongicides,2007,1,,"92,5",,,,131,,"11,1",,"73,6",,"115,6",,"6,5",,"65,7",,1,,"2,5",,"7,5",
Caphornitknt,2819534,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,non traité au fongicides,2007,1,,"82,5",,,,"127,5",,"12,3",,"72,3",,116,,"2,5",,"65,9",,1,,"6,5",,3,
EM04241itkfi,2819560,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,27040,https://doi.org/10.15454/AB7Z4M,EM04241,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"1,5",,90,,,,131,,"11,76",,"70,8",,"102,8",,4,,"60,8",,1,,,,5,
Hendrixitknt,2819486,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,26833,https://doi.org/10.15454/PYUIEM,HENDRIX,VIRTUAL_TRIAL,,,,,,,,non traité au fongicides,2007,1,,95,,,,"130,5",,12,,"75,9",,"119,9",,"3,5",,"68,1",,1,,3,,4,
Caphornitkt,2819535,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,traité,2007,,,80,,1,,128,,"12,62",,71,,"110,6",,1,,"85,2",,1,,"3,5",,"5,5",
