observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
Apacheitkfi,2877704,BTH_Le_Moulon_2013_SetB2,BTH_Le_Moulon_2013_SetB2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,80,,152,,"10,4",,72,,"89,8",,"74,9",,"7,5",,1,
Apacheitkt,2877705,BTH_Le_Moulon_2013_SetB2,BTH_Le_Moulon_2013_SetB2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2013,80,,154,,"11,7",,"75,7",,"96,4",,"103,1",,,,1,
Lyrikitkt,2877741,BTH_Le_Moulon_2013_SetB2,BTH_Le_Moulon_2013_SetB2,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,treated,2013,90,,156,,"10,3",,"77,4",,"109,8",,"117,4",,,,1,
Lyrikitkfi,2877740,BTH_Le_Moulon_2013_SetB2,BTH_Le_Moulon_2013_SetB2,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,82,,156,,"9,4",,"72,8",,"122,4",,"102,1",,"2,2",,1,
Pakitoitkfi,2877698,BTH_Le_Moulon_2013_SetB2,BTH_Le_Moulon_2013_SetB2,27745,https://doi.org/10.15454/YJMDM5,PAKITO,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,78,,154,,"10,2",,"68,9",,"98,2",,"81,9",,"7,5",,1,
Pakitoitkt,2877699,BTH_Le_Moulon_2013_SetB2,BTH_Le_Moulon_2013_SetB2,27745,https://doi.org/10.15454/YJMDM5,PAKITO,VIRTUAL_TRIAL,,,,,,,,treated,2013,78,,154,,"10,7",,"77,1",,"97,9",,"104,7",,,,1,
EM12205itkfi,2877670,BTH_Le_Moulon_2013_SetB2,BTH_Le_Moulon_2013_SetB2,49562,https://doi.org/10.15454/EJSRJK,EM12205,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,78,,152,,"11,7",,"71,1",,"96,2",,"80,2",,"6,2",,1,
EM12205itkt,2877671,BTH_Le_Moulon_2013_SetB2,BTH_Le_Moulon_2013_SetB2,49562,https://doi.org/10.15454/EJSRJK,EM12205,VIRTUAL_TRIAL,,,,,,,,treated,2013,79,,153,,"11,9",,"77,8",,"90,1",,"96,3",,,,1,
EM12231itkfi,2877702,BTH_Le_Moulon_2013_SetB2,BTH_Le_Moulon_2013_SetB2,48934,https://doi.org/10.15454/YCKTDL,EM12231,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,77,,154,,"10,1",,"63,6",,"99,5",,83,,5,,1,
EM12231itkt,2877703,BTH_Le_Moulon_2013_SetB2,BTH_Le_Moulon_2013_SetB2,48934,https://doi.org/10.15454/YCKTDL,EM12231,VIRTUAL_TRIAL,,,,,,,,treated,2013,82,,156,,"11,2",,"72,5",,"98,2",,105,,,,1,
EM12234itkfi,2877700,BTH_Le_Moulon_2013_SetB2,BTH_Le_Moulon_2013_SetB2,49090,https://doi.org/10.15454/1VGYYS,EM12234,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,82,,154,,"10,9",,"74,5",,"108,6",,"90,6",,3,,1,
EM12234itkt,2877701,BTH_Le_Moulon_2013_SetB2,BTH_Le_Moulon_2013_SetB2,49090,https://doi.org/10.15454/1VGYYS,EM12234,VIRTUAL_TRIAL,,,,,,,,treated,2013,84,,156,,"11,4",,"75,9",,"99,9",,"106,8",,,,1,
