observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieG(CO_321:1000238),NmieG(CO_321:1000238).date,NmieL(CO_321:1000243),NmieL(CO_321:1000243).date,NpainG(CO_321:1000237),NpainG(CO_321:1000237).date,NpainL(CO_321:1000242),NpainL(CO_321:1000242).date,NpateG(CO_321:1000236),NpateG(CO_321:1000236).date,NpateL(CO_321:1000241),NpateL(CO_321:1000241).date,NtotG(CO_321:1000239),NtotG(CO_321:1000239).date,NtotL(CO_321:1000244),NtotL(CO_321:1000244).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,volG(CO_321:1000240),volG(CO_321:1000240).date,volL(CO_321:1000245),volL(CO_321:1000245).date,vp(CO_321:1000225),vp(CO_321:1000225).date,zel(CO_321:1000222),zel(CO_321:1000222).date
CF07002itkt,2835215,BTH_Clermont-Ferrand_2008_TECH,BTH_Clermont-Ferrand_2008_TECH,27786,https://doi.org/10.15454/I30U5V,CF07002,VIRTUAL_TRIAL,,,,,,,,treated,2008,NA,,NA,,NA,,100,,NA,,"56,25",,NA,,94,,NA,,"250,25",,NA,,NA,,NA,,81,,340,,"12,4",,"81,2",,NA,,1550,,"2,29",,NA,
CF05162itkt,2835184,BTH_Clermont-Ferrand_2008_TECH,BTH_Clermont-Ferrand_2008_TECH,26968,https://doi.org/10.15454/3810GN,CF05162,VIRTUAL_TRIAL,,,,,,,,treated,2008,"18,1",,66,,94,,NA,,51,,NA,,76,,NA,,221,,NA,,118,,"1,79",,256,,"69,5",,431,,"12,45",,NA,,1658,,NA,,"3,23",,47,
AO07210itkt,2835176,BTH_Clermont-Ferrand_2008_TECH,BTH_Clermont-Ferrand_2008_TECH,27757,https://doi.org/10.15454/YPTSA5,AO07210,VIRTUAL_TRIAL,,,,,,,,treated,2008,"20,5",,85,,100,,NA,,50,,NA,,97,,NA,,247,,NA,,96,,"1,13",,251,,27,,404,,"13,25",,NA,,1578,,NA,,"2,23",,35,
CF07021itkt,2835211,BTH_Clermont-Ferrand_2008_TECH,BTH_Clermont-Ferrand_2008_TECH,27789,https://doi.org/10.15454/BTYEVM,CF07021,VIRTUAL_TRIAL,,,,,,,,treated,2008,NA,,NA,,NA,,100,,NA,,"68,5",,NA,,"95,5",,NA,,264,,NA,,NA,,NA,,28,,352,,"11,9",,"80,8",,NA,,1650,,"4,03",,NA,
AO07302itkt,2835206,BTH_Clermont-Ferrand_2008_TECH,BTH_Clermont-Ferrand_2008_TECH,27759,https://doi.org/10.15454/VOAXIV,AO07302,VIRTUAL_TRIAL,,,,,,,,treated,2008,"18,6",,70,,97,,NA,,47,,NA,,81,,NA,,225,,NA,,82,,"1,17",,225,,"26,5",,357,,12,,NA,,1535,,NA,,"1,94",,32,
AO08107itkt,2835204,BTH_Clermont-Ferrand_2008_TECH,BTH_Clermont-Ferrand_2008_TECH,27768,https://doi.org/10.15454/BQBT4V,AO08107,VIRTUAL_TRIAL,,,,,,,,treated,2008,NA,,NA,,NA,,97,,NA,,"50,25",,NA,,"92,5",,NA,,"239,75",,NA,,NA,,NA,,59,,352,,12,,"76,3",,NA,,1500,,"2,53",,NA,
CF07018itkt,2835190,BTH_Clermont-Ferrand_2008_TECH,BTH_Clermont-Ferrand_2008_TECH,27788,https://doi.org/10.15454/72PHHY,CF07018,VIRTUAL_TRIAL,,,,,,,,treated,2008,NA,,NA,,NA,,100,,NA,,"33,5",,NA,,"88,13",,NA,,"221,63",,NA,,NA,,NA,,62,,370,,12,,"80,1",,NA,,1400,,"3,44",,NA,
RE07114itkt,2835173,BTH_Clermont-Ferrand_2008_TECH,BTH_Clermont-Ferrand_2008_TECH,27270,https://doi.org/10.15454/JKW4SM,RE07114,VIRTUAL_TRIAL,,,,,,,,treated,2008,NA,,NA,,NA,,100,,NA,,"30,5",,NA,,"95,5",,NA,,226,,NA,,NA,,NA,,59,,352,,"12,6",,"79,3",,NA,,1300,,"2,27",,NA,
RE06134itkt,2835178,BTH_Clermont-Ferrand_2008_TECH,BTH_Clermont-Ferrand_2008_TECH,27268,https://doi.org/10.15454/K6RWJK,RE06134,VIRTUAL_TRIAL,,,,,,,,treated,2008,"22,8",,105,,94,,NA,,63,,NA,,94,,NA,,251,,NA,,75,,"0,71",,252,,17,,398,,"12,7",,NA,,1753,,NA,,"2,68",,31,
RE07019itkt,2835175,BTH_Clermont-Ferrand_2008_TECH,BTH_Clermont-Ferrand_2008_TECH,27305,https://doi.org/10.15454/OPZZGX,RE07019,VIRTUAL_TRIAL,,,,,,,,treated,2008,NA,,NA,,NA,,97,,NA,,"45,75",,NA,,70,,NA,,"212,75",,NA,,NA,,NA,,58,,309,,"12,5",,"79,3",,NA,,900,,"1,44",,NA,
RE07093itkt,2835189,BTH_Clermont-Ferrand_2008_TECH,BTH_Clermont-Ferrand_2008_TECH,27307,https://doi.org/10.15454/CSESMY,RE07093,VIRTUAL_TRIAL,,,,,,,,treated,2008,NA,,NA,,NA,,100,,NA,,"47,25",,NA,,94,,NA,,"241,25",,NA,,NA,,NA,,24,,311,,"11,6",,"80,4",,NA,,1400,,"2,09",,NA,
Hendrixitkt,2835167,BTH_Clermont-Ferrand_2008_TECH,BTH_Clermont-Ferrand_2008_TECH,26833,https://doi.org/10.15454/PYUIEM,HENDRIX,VIRTUAL_TRIAL,,,,,,,,treated,2008,"17,2",,60,,97,,NA,,60,,NA,,97,,NA,,254,,NA,,127,,"2,12",,284,,63,,453,,"12,5",,NA,,1623,,NA,,"3,51",,59,
Folkloritkt,2835170,BTH_Clermont-Ferrand_2008_TECH,BTH_Clermont-Ferrand_2008_TECH,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,treated,2008,"21,1",,90,,97,,NA,,85,,NA,,90,,NA,,272,,NA,,95,,"1,06",,272,,80,,409,,"12,2",,"77,7",,1775,,NA,,"2,29",,43,
RE07012itkt,2835172,BTH_Clermont-Ferrand_2008_TECH,BTH_Clermont-Ferrand_2008_TECH,27269,https://doi.org/10.15454/N0JGJL,RE07012,VIRTUAL_TRIAL,,,,,,,,treated,2008,NA,,NA,,NA,,100,,NA,,"59,25",,NA,,94,,NA,,"253,25",,NA,,NA,,NA,,72,,363,,"12,8",,"80,1",,NA,,1800,,"4,14",,NA,
RE06060itkt,2835209,BTH_Clermont-Ferrand_2008_TECH,BTH_Clermont-Ferrand_2008_TECH,27265,https://doi.org/10.15454/OLKQ99,RE06060,VIRTUAL_TRIAL,,,,,,,,treated,2008,"23,2",,109,,91,,NA,,49,,NA,,94,,NA,,234,,NA,,47,,"0,43",,154,,"25,5",,357,,"12,3",,NA,,1640,,NA,,"1,55",,27,
RE07040itkt,2835210,BTH_Clermont-Ferrand_2008_TECH,BTH_Clermont-Ferrand_2008_TECH,27306,https://doi.org/10.15454/LF7SKR,RE07040,VIRTUAL_TRIAL,,,,,,,,treated,2008,NA,,NA,,NA,,97,,NA,,"41,25",,NA,,87,,NA,,"225,25",,NA,,NA,,NA,,26,,302,,"11,8",,"78,2",,NA,,1200,,"1,64",,NA,
RE06127itkt,2835199,BTH_Clermont-Ferrand_2008_TECH,BTH_Clermont-Ferrand_2008_TECH,27267,https://doi.org/10.15454/TBKWQN,RE06127,VIRTUAL_TRIAL,,,,,,,,treated,2008,"20,2",,83,,97,,NA,,61,,NA,,95,,NA,,253,,NA,,88,,"1,07",,243,,18,,391,,13,,NA,,1738,,NA,,"2,84",,36,
Apacheitkt,2835188,BTH_Clermont-Ferrand_2008_TECH,BTH_Clermont-Ferrand_2008_TECH,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2008,"25,7",,134,,91,,100,,46,,"71,5",,91,,94,,228,,"265,5",,60,,"0,45",,201,,65,,368,,"12,25",,"79,75",,1500,,1650,,"2,4",,34,
CF07022itkt,2835214,BTH_Clermont-Ferrand_2008_TECH,BTH_Clermont-Ferrand_2008_TECH,27790,https://doi.org/10.15454/CEUVSR,CF07022,VIRTUAL_TRIAL,,,,,,,,treated,2008,NA,,NA,,NA,,97,,NA,,"36,5",,NA,,"95,5",,NA,,229,,NA,,NA,,NA,,55,,362,,"12,1",,"79,9",,NA,,1500,,"2,98",,NA,
Toisondoritkt,2835169,BTH_Clermont-Ferrand_2008_TECH,BTH_Clermont-Ferrand_2008_TECH,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,VIRTUAL_TRIAL,,,,,,,,treated,2008,"17,5",,62,,94,,97,,75,,29,,80,,"92,5",,249,,"218,5",,83,,"1,34",,209,,"69,5",,369,,"12,6",,"78,5",,1648,,1250,,"1,98",,37,
Flamenkoitkt,2835195,BTH_Clermont-Ferrand_2008_TECH,BTH_Clermont-Ferrand_2008_TECH,26969,https://doi.org/10.15454/WDD3QQ,FLAMENKO,VIRTUAL_TRIAL,,,,,,,,treated,2008,19,,73,,100,,NA,,84,,NA,,87,,NA,,271,,NA,,106,,"1,45",,275,,"77,5",,420,,"12,45",,"76,4",,1680,,NA,,"2,45",,49,
Lyrikitkt,2835218,BTH_Clermont-Ferrand_2008_TECH,BTH_Clermont-Ferrand_2008_TECH,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,treated,2008,"16,7",,57,,94,,NA,,75,,NA,,86,,NA,,255,,NA,,115,,"2,05",,256,,56,,407,,"11,85",,NA,,1663,,NA,,"3,19",,40,
Musikitkt,2835177,BTH_Clermont-Ferrand_2008_TECH,BTH_Clermont-Ferrand_2008_TECH,27738,https://doi.org/10.15454/JP9LCI,MUSIK,VIRTUAL_TRIAL,,,,,,,,treated,2008,"19,8",,80,,100,,NA,,79,,NA,,94,,NA,,273,,NA,,106,,"1,34",,276,,61,,460,,"12,7",,"79,8",,1615,,NA,,"2,97",,42,
Karillonitkt,2835198,BTH_Clermont-Ferrand_2008_TECH,BTH_Clermont-Ferrand_2008_TECH,27739,https://doi.org/10.15454/LFFVPX,KARILLON,VIRTUAL_TRIAL,,,,,,,,treated,2008,"16,8",,57,,91,,NA,,52,,NA,,93,,NA,,236,,NA,,94,,"1,65",,184,,"83,5",,397,,"11,75",,"79,7",,1460,,NA,,"2,25",,30,
Ghaytaitkt,2835205,BTH_Clermont-Ferrand_2008_TECH,BTH_Clermont-Ferrand_2008_TECH,27784,https://doi.org/10.15454/BYBWWN,GHAYTA,VIRTUAL_TRIAL,,,,,,,,treated,2008,"14,4",,42,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,174,,"4,14",,305,,78,,447,,"13,75",,NA,,NA,,NA,,"2,83",,50,
Grapeliitkt,2835180,BTH_Clermont-Ferrand_2008_TECH,BTH_Clermont-Ferrand_2008_TECH,27821,https://doi.org/10.15454/4TFKM0,GRAPELI,VIRTUAL_TRIAL,,,,,,,,treated,2008,NA,,NA,,NA,,100,,NA,,"47,63",,NA,,"88,5",,NA,,"236,13",,NA,,NA,,NA,,28,,342,,"11,7",,"80,2",,NA,,1600,,"2,8",,NA,
EM06307itkt,2835185,BTH_Clermont-Ferrand_2008_TECH,BTH_Clermont-Ferrand_2008_TECH,27838,https://doi.org/10.15454/0CP8RW,EM06307,VIRTUAL_TRIAL,,,,,,,,treated,2008,"23,2",,109,,91,,NA,,56,,NA,,96,,NA,,243,,NA,,59,,"0,54",,183,,63,,394,,"12,4",,NA,,1645,,NA,,"2,2",,29,
CF07311itkt,2835186,BTH_Clermont-Ferrand_2008_TECH,BTH_Clermont-Ferrand_2008_TECH,27837,https://doi.org/10.15454/CYACZC,CF07311,VIRTUAL_TRIAL,,,,,,,,treated,2008,NA,,NA,,NA,,100,,NA,,"44,25",,NA,,87,,NA,,"231,25",,NA,,NA,,NA,,27,,281,,"12,3",,81,,NA,,1300,,"2,01",,NA,
RE06048itkt,2835207,BTH_Clermont-Ferrand_2008_TECH,BTH_Clermont-Ferrand_2008_TECH,27264,https://doi.org/10.15454/ILREHV,RE06048,VIRTUAL_TRIAL,,,,,,,,treated,2008,"22,9",,106,,91,,NA,,34,,NA,,94,,NA,,219,,NA,,62,,"0,58",,205,,"29,5",,358,,"12,6",,NA,,1490,,NA,,"1,64",,27,
RE07095itkt,2835191,BTH_Clermont-Ferrand_2008_TECH,BTH_Clermont-Ferrand_2008_TECH,27266,https://doi.org/10.15454/PYG05B,RE07095,VIRTUAL_TRIAL,,,,,,,,treated,2008,NA,,NA,,NA,,97,,NA,,"30,5",,NA,,"98,5",,NA,,226,,NA,,NA,,NA,,44,,353,,"12,8",,"79,4",,NA,,1300,,"2,59",,NA,
CF07143itkt,2835200,BTH_Clermont-Ferrand_2008_TECH,BTH_Clermont-Ferrand_2008_TECH,27792,https://doi.org/10.15454/NZODZY,CF07143,VIRTUAL_TRIAL,,,,,,,,treated,2008,NA,,NA,,NA,,100,,NA,,38,,NA,,"60,38",,NA,,"198,38",,NA,,NA,,NA,,86,,318,,"12,2",,"80,3",,NA,,1400,,"2,75",,NA,
RE07089itkt,2835213,BTH_Clermont-Ferrand_2008_TECH,BTH_Clermont-Ferrand_2008_TECH,48646,https://doi.org/10.15454/TXCHAY,RE07089,VIRTUAL_TRIAL,,,,,,,,treated,2008,NA,,NA,,NA,,100,,NA,,"41,25",,NA,,87,,NA,,"228,25",,NA,,NA,,NA,,24,,282,,"12,3",,"78,4",,NA,,1150,,"2,22",,NA,
Soissonsitkt,2835212,BTH_Clermont-Ferrand_2008_TECH,BTH_Clermont-Ferrand_2008_TECH,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,treated,2008,"24,2",,119,,97,,100,,71,,"44,48",,89,,94,,257,,"238,48",,73,,"0,62",,302,,69,,"344,5",,"12,7",,"80,85",,1673,,1420,,"1,79",,41,
AO07127itkt,2835187,BTH_Clermont-Ferrand_2008_TECH,BTH_Clermont-Ferrand_2008_TECH,27756,https://doi.org/10.15454/PILE9C,AO07127,VIRTUAL_TRIAL,,,,,,,,treated,2008,"21,1",,90,,91,,NA,,29,,NA,,90,,NA,,210,,NA,,78,,"0,87",,234,,26,,384,,"12,5",,NA,,1485,,NA,,"2,35",,28,
CF07193itkt,2835182,BTH_Clermont-Ferrand_2008_TECH,BTH_Clermont-Ferrand_2008_TECH,27793,https://doi.org/10.15454/0F480I,CF07193,VIRTUAL_TRIAL,,,,,,,,treated,2008,NA,,NA,,NA,,100,,NA,,29,,NA,,50,,NA,,179,,NA,,NA,,NA,,76,,328,,"13,3",,"79,3",,NA,,900,,"2,95",,NA,
CF07267itkt,2835179,BTH_Clermont-Ferrand_2008_TECH,BTH_Clermont-Ferrand_2008_TECH,27794,https://doi.org/10.15454/LNBBQV,CF07267,VIRTUAL_TRIAL,,,,,,,,treated,2008,NA,,NA,,NA,,100,,NA,,"47,25",,NA,,"92,5",,NA,,"239,75",,NA,,NA,,NA,,27,,287,,"11,9",,"78,9",,NA,,1400,,"2,07",,NA,
DI07001itkt,2835174,BTH_Clermont-Ferrand_2008_TECH,BTH_Clermont-Ferrand_2008_TECH,27802,https://doi.org/10.15454/5XXKDL,DI07001,VIRTUAL_TRIAL,,,,,,,,treated,2008,"15,7",,50,,97,,NA,,74,,NA,,84,,NA,,255,,NA,,153,,"3,06",,309,,65,,381,,"12,65",,NA,,1623,,NA,,"2,44",,46,
EM06017itkt,2835171,BTH_Clermont-Ferrand_2008_TECH,BTH_Clermont-Ferrand_2008_TECH,27814,https://doi.org/10.15454/ZBYAJC,EM06017,VIRTUAL_TRIAL,,,,,,,,treated,2008,"25,9",,136,,94,,NA,,67,,NA,,86,,NA,,247,,NA,,77,,"0,57",,331,,"34,5",,384,,"13,05",,NA,,1785,,NA,,"2,36",,39,
EM06233itkt,2835217,BTH_Clermont-Ferrand_2008_TECH,BTH_Clermont-Ferrand_2008_TECH,27819,https://doi.org/10.15454/SA4R8B,EM06233,VIRTUAL_TRIAL,,,,,,,,treated,2008,"21,8",,96,,82,,NA,,56,,NA,,87,,NA,,225,,NA,,78,,"0,81",,259,,33,,387,,"12,95",,NA,,1725,,NA,,"2,46",,38,
EM06229itkt,2835193,BTH_Clermont-Ferrand_2008_TECH,BTH_Clermont-Ferrand_2008_TECH,27818,https://doi.org/10.15454/VSKKHS,EM06229,VIRTUAL_TRIAL,,,,,,,,treated,2008,"20,9",,89,,94,,NA,,74,,NA,,97,,NA,,265,,NA,,89,,"1,01",,266,,30,,377,,"12,7",,NA,,1633,,NA,,"2,06",,32,
EM06110itkt,2835192,BTH_Clermont-Ferrand_2008_TECH,BTH_Clermont-Ferrand_2008_TECH,27817,https://doi.org/10.15454/KG1VPB,EM06110,VIRTUAL_TRIAL,,,,,,,,treated,2008,"21,6",,95,,91,,NA,,39,,NA,,67,,NA,,197,,NA,,57,,"0,61",,156,,29,,352,,"12,15",,NA,,1483,,NA,,"2,01",,57,
EM06094itkt,2835203,BTH_Clermont-Ferrand_2008_TECH,BTH_Clermont-Ferrand_2008_TECH,27816,https://doi.org/10.15454/ZMYTIN,EM06094,VIRTUAL_TRIAL,,,,,,,,treated,2008,"17,4",,61,,91,,NA,,30,,NA,,74,,NA,,195,,NA,,117,,"1,92",,234,,"61,5",,429,,"13,3",,NA,,1310,,NA,,"3,63",,40,
CF07141itkt,2835202,BTH_Clermont-Ferrand_2008_TECH,BTH_Clermont-Ferrand_2008_TECH,27903,https://doi.org/10.15454/EWNN9Q,CF07141,VIRTUAL_TRIAL,,,,,,,,treated,2008,NA,,NA,,NA,,100,,NA,,"54,75",,NA,,"90,38",,NA,,"245,13",,NA,,NA,,NA,,63,,366,,"12,3",,"79,5",,NA,,1650,,"3,47",,NA,
