observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
AO13031itkfi,2885063,BTH_Le_Moulon_2014_SetB1,BTH_Le_Moulon_2014_SetB1,61106,https://doi.org/10.15454/3H61CU,AO13031,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,88,,134,,"10,6",,"110,3",,76,,2,,"6,2",,1,
CF13085itkt,2885062,BTH_Le_Moulon_2014_SetB1,BTH_Le_Moulon_2014_SetB1,61107,https://doi.org/10.15454/18C6AU,CF13085,VIRTUAL_TRIAL,,,,,,,,treated,2014,102,,133,,"10,7",,106,,"104,1",,,,,,1,
AO14002itkt,2885084,BTH_Le_Moulon_2014_SetB1,BTH_Le_Moulon_2014_SetB1,61818,https://doi.org/10.15454/ALLHPZ,AO14002,VIRTUAL_TRIAL,,,,,,,,treated,2014,79,,140,,"9,8",,"101,7",,"99,9",,,,,,1,
AO14002itkfi,2885083,BTH_Le_Moulon_2014_SetB1,BTH_Le_Moulon_2014_SetB1,61818,https://doi.org/10.15454/ALLHPZ,AO14002,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,73,,139,,"11,2",,"88,7",,"61,1",,"2,5",,5,,1,
RE13004itkfi,2885079,BTH_Le_Moulon_2014_SetB1,BTH_Le_Moulon_2014_SetB1,49568,https://doi.org/10.15454/LO7ZR2,RE13004,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,98,,136,,"10,4",,"110,3",,76,,1,,"5,5",,2,
RE13004itkt,2885080,BTH_Le_Moulon_2014_SetB1,BTH_Le_Moulon_2014_SetB1,49568,https://doi.org/10.15454/LO7ZR2,RE13004,VIRTUAL_TRIAL,,,,,,,,treated,2014,108,,136,,"10,7",,"102,7",,"100,9",,,,,,2,
CF13085itkfi,2885061,BTH_Le_Moulon_2014_SetB1,BTH_Le_Moulon_2014_SetB1,61107,https://doi.org/10.15454/18C6AU,CF13085,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,96,,132,,"10,4",,"116,6",,"80,4",,1,,"6,5",,1,
Rubiskoitkfi,2885073,BTH_Le_Moulon_2014_SetB1,BTH_Le_Moulon_2014_SetB1,27744,https://doi.org/10.15454/XSC5N7,RUBISKO,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,86,,132,,"10,6",,"114,4",,"78,9",,1,,"6,5",,1,
DI14001itkfi,2885017,BTH_Le_Moulon_2014_SetB1,BTH_Le_Moulon_2014_SetB1,61257,https://doi.org/10.15454/VZKVRG,DI14001,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,98,,136,,"9,7",,"116,8",,"80,5",,1,,"3,8",,2,
Bermudeitkt,2885024,BTH_Le_Moulon_2014_SetB1,BTH_Le_Moulon_2014_SetB1,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,treated,2014,92,,138,,"10,6",,"105,2",,"103,3",,,,,,1,
CF13129itkfi,2885047,BTH_Le_Moulon_2014_SetB1,BTH_Le_Moulon_2014_SetB1,61123,https://doi.org/10.15454/O7VNE2,CF13129,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,91,,132,,"10,4",,"93,5",,"64,4",,1,,"8,5",,1,
AO14003itkt,2885072,BTH_Le_Moulon_2014_SetB1,BTH_Le_Moulon_2014_SetB1,61833,https://doi.org/10.15454/XVTEGI,AO14003,VIRTUAL_TRIAL,,,,,,,,treated,2014,96,,135,,"10,6",,"107,3",,"105,4",,,,,,1,
DI14001itkt,2885018,BTH_Le_Moulon_2014_SetB1,BTH_Le_Moulon_2014_SetB1,61257,https://doi.org/10.15454/VZKVRG,DI14001,VIRTUAL_TRIAL,,,,,,,,treated,2014,98,,138,,"10,1",,"113,9",,"111,9",,,,,,"5,5",
DI14002itkt,2885020,BTH_Le_Moulon_2014_SetB1,BTH_Le_Moulon_2014_SetB1,61270,https://doi.org/10.15454/3B26GW,DI14002,VIRTUAL_TRIAL,,,,,,,,treated,2014,94,,138,,"9,8",,"112,1",,"110,2",,,,,,1,
CF13129itkt,2885048,BTH_Le_Moulon_2014_SetB1,BTH_Le_Moulon_2014_SetB1,61123,https://doi.org/10.15454/O7VNE2,CF13129,VIRTUAL_TRIAL,,,,,,,,treated,2014,91,,132,,"10,1",,"96,3",,"94,6",,,,,,"3,5",
AO14003itkfi,2885071,BTH_Le_Moulon_2014_SetB1,BTH_Le_Moulon_2014_SetB1,61833,https://doi.org/10.15454/XVTEGI,AO14003,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,96,,135,,"10,7",,"111,9",,"77,1",,2,,"5,5",,1,
RE13003itkfi,2885085,BTH_Le_Moulon_2014_SetB1,BTH_Le_Moulon_2014_SetB1,61467,https://doi.org/10.15454/J5JFPN,RE13003,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,109,,140,,"10,3",,126,,"86,8",,2,,3,,2,
Bermudeitkfi,2885023,BTH_Le_Moulon_2014_SetB1,BTH_Le_Moulon_2014_SetB1,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,88,,136,,"10,2",,"103,2",,"71,1",,1,,"6,8",,1,
DI14002itkfi,2885019,BTH_Le_Moulon_2014_SetB1,BTH_Le_Moulon_2014_SetB1,61270,https://doi.org/10.15454/3B26GW,DI14002,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,92,,138,,"10,9",,"98,7",,68,,2,,7,,3,
Grapeliitkt,2885032,BTH_Le_Moulon_2014_SetB1,BTH_Le_Moulon_2014_SetB1,27821,https://doi.org/10.15454/4TFKM0,GRAPELI,VIRTUAL_TRIAL,,,,,,,,treated,2014,111,,139,,"9,8",,"109,6",,"107,7",,,,,,2,
AO14004itkt,2885066,BTH_Le_Moulon_2014_SetB1,BTH_Le_Moulon_2014_SetB1,61848,https://doi.org/10.15454/IRJFMZ,AO14004,VIRTUAL_TRIAL,,,,,,,,treated,2014,88,,139,,"10,9",,"101,1",,"99,3",,,,,,2,
RE13003itkt,2885086,BTH_Le_Moulon_2014_SetB1,BTH_Le_Moulon_2014_SetB1,61467,https://doi.org/10.15454/J5JFPN,RE13003,VIRTUAL_TRIAL,,,,,,,,treated,2014,115,,139,,"10,8",,"106,5",,"104,7",,,,,,3,
AO13042itkt,2885038,BTH_Le_Moulon_2014_SetB1,BTH_Le_Moulon_2014_SetB1,61269,https://doi.org/10.15454/CHX9GO,AO13042,VIRTUAL_TRIAL,,,,,,,,treated,2014,98,,139,,"10,3",,"102,7",,"100,8",,,,,,3,
AO14004itkfi,2885065,BTH_Le_Moulon_2014_SetB1,BTH_Le_Moulon_2014_SetB1,61848,https://doi.org/10.15454/IRJFMZ,AO14004,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,85,,140,,"10,4",,"108,7",,"74,9",,1,,4,,1,
AO13042itkfi,2885037,BTH_Le_Moulon_2014_SetB1,BTH_Le_Moulon_2014_SetB1,61269,https://doi.org/10.15454/CHX9GO,AO13042,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,92,,138,,"11,1",,"97,6",,"67,3",,2,,"7,5",,1,
Apacheitkt,2885044,BTH_Le_Moulon_2014_SetB1,BTH_Le_Moulon_2014_SetB1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2014,91,,130,,"10,5",,"98,4",,"96,7",,,,,,5,
Arezzoitkt,2885088,BTH_Le_Moulon_2014_SetB1,BTH_Le_Moulon_2014_SetB1,27030,https://doi.org/10.15454/SFNXCW,AREZZO,VIRTUAL_TRIAL,,,,,,,,treated,2014,90,,129,,"10,8",,"94,5",,"92,8",,,,,,"4,5",
EM12040itkfi,2885041,BTH_Le_Moulon_2014_SetB1,BTH_Le_Moulon_2014_SetB1,61883,https://doi.org/10.15454/ZJTOW0,EM12040,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,90,,125,,"10,8",,"87,6",,"60,4",,2,,"5,8",,"3,5",
Apacheitkfi,2885043,BTH_Le_Moulon_2014_SetB1,BTH_Le_Moulon_2014_SetB1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,86,,132,,"11,5",,80,,"55,1",,2,,9,,2,
EM12370itkfi,2885051,BTH_Le_Moulon_2014_SetB1,BTH_Le_Moulon_2014_SetB1,61336,https://doi.org/10.15454/CHLSIA,EM12370,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,79,,136,,"10,6",,"98,8",,"68,1",,1,,"5,2",,1,
EM12370itkt,2885052,BTH_Le_Moulon_2014_SetB1,BTH_Le_Moulon_2014_SetB1,61336,https://doi.org/10.15454/CHLSIA,EM12370,VIRTUAL_TRIAL,,,,,,,,treated,2014,86,,138,,"10,1",,"100,8",,99,,,,,,2,
EM12040itkt,2885042,BTH_Le_Moulon_2014_SetB1,BTH_Le_Moulon_2014_SetB1,61883,https://doi.org/10.15454/ZJTOW0,EM12040,VIRTUAL_TRIAL,,,,,,,,treated,2014,95,,127,,"11,3",,"81,9",,"80,5",,,,,,6,
AO13045itkfi,2885033,BTH_Le_Moulon_2014_SetB1,BTH_Le_Moulon_2014_SetB1,61318,https://doi.org/10.15454/WK73B3,AO13045,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,82,,136,,"10,7",,"92,4",,"63,7",,1,,"7,2",,1,
AO13045itkt,2885034,BTH_Le_Moulon_2014_SetB1,BTH_Le_Moulon_2014_SetB1,61318,https://doi.org/10.15454/WK73B3,AO13045,VIRTUAL_TRIAL,,,,,,,,treated,2014,85,,138,,"10,1",,"104,1",,"102,3",,,,,,1,
EM12088itkfi,2885053,BTH_Le_Moulon_2014_SetB1,BTH_Le_Moulon_2014_SetB1,61319,https://doi.org/10.15454/LLRB0D,EM12088,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,78,,146,,"10,8",,95,,"65,5",,"2,5",,"3,8",,1,
EM12088itkt,2885054,BTH_Le_Moulon_2014_SetB1,BTH_Le_Moulon_2014_SetB1,61319,https://doi.org/10.15454/LLRB0D,EM12088,VIRTUAL_TRIAL,,,,,,,,treated,2014,85,,146,,"10,5",,"100,4",,"98,6",,,,,,1,
AO13022itkfi,2885027,BTH_Le_Moulon_2014_SetB1,BTH_Le_Moulon_2014_SetB1,60962,https://doi.org/10.15454/57FECX,AO13022,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,92,,139,,"10,8",,"102,9",,"70,9",,"2,2",,"6,5",,2,
AO14007itkt,2885014,BTH_Le_Moulon_2014_SetB1,BTH_Le_Moulon_2014_SetB1,61908,https://doi.org/10.15454/JVDPDP,AO14007,VIRTUAL_TRIAL,,,,,,,,treated,2014,89,,138,,"10,8",,"102,8",,101,,,,,,1,
RE13006itkfi,2885075,BTH_Le_Moulon_2014_SetB1,BTH_Le_Moulon_2014_SetB1,61514,https://doi.org/10.15454/KLQZHB,RE13006,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,96,,134,,"10,2",,"111,8",,"77,1",,1,,"5,5",,2,
CF13043itkfi,2885049,BTH_Le_Moulon_2014_SetB1,BTH_Le_Moulon_2014_SetB1,61021,https://doi.org/10.15454/PXQDDZ,CF13043,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,89,,133,,"12,3",,"81,5",,"56,2",,2,,8,,1,
AO13022itkt,2885028,BTH_Le_Moulon_2014_SetB1,BTH_Le_Moulon_2014_SetB1,60962,https://doi.org/10.15454/57FECX,AO13022,VIRTUAL_TRIAL,,,,,,,,treated,2014,100,,138,,"10,2",,"117,5",,"115,4",,,,,,1,
AO14007itkfi,2885013,BTH_Le_Moulon_2014_SetB1,BTH_Le_Moulon_2014_SetB1,61908,https://doi.org/10.15454/JVDPDP,AO14007,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,81,,136,,"11,1",,"108,8",,75,,1,,"7,5",,1,
RE13006itkt,2885076,BTH_Le_Moulon_2014_SetB1,BTH_Le_Moulon_2014_SetB1,61514,https://doi.org/10.15454/KLQZHB,RE13006,VIRTUAL_TRIAL,,,,,,,,treated,2014,104,,133,,"10,3",,"106,5",,"104,7",,,,,,2,
RE13007itkt,2885078,BTH_Le_Moulon_2014_SetB1,BTH_Le_Moulon_2014_SetB1,61527,https://doi.org/10.15454/JN5VML,RE13007,VIRTUAL_TRIAL,,,,,,,,treated,2014,96,,131,,"10,8",,"102,4",,"100,6",,,,,,1,
RE13014itkfi,2885039,BTH_Le_Moulon_2014_SetB1,BTH_Le_Moulon_2014_SetB1,48609,https://doi.org/10.15454/QLBPQK,RE13014,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,110,,137,,"10,1",,"112,3",,"77,4",,1,,"5,2",,3,
Attlassitkt,2885068,BTH_Le_Moulon_2014_SetB1,BTH_Le_Moulon_2014_SetB1,26823,https://doi.org/10.15454/4BHB0N,ATTLASS,VIRTUAL_TRIAL,,,,,,,,treated,2014,100,,135,,"9,8",,"109,5",,"107,6",,,,,,1,
Attlassitkfi,2885067,BTH_Le_Moulon_2014_SetB1,BTH_Le_Moulon_2014_SetB1,26823,https://doi.org/10.15454/4BHB0N,ATTLASS,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,86,,134,,"10,2",,"121,6",,"83,8",,2,,4,,1,
RE13007itkfi,2885077,BTH_Le_Moulon_2014_SetB1,BTH_Le_Moulon_2014_SetB1,61527,https://doi.org/10.15454/JN5VML,RE13007,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,94,,132,,"10,1",,"114,6",,"78,9",,1,,"4,8",,1,
AO14005itkfi,2885069,BTH_Le_Moulon_2014_SetB1,BTH_Le_Moulon_2014_SetB1,61865,https://doi.org/10.15454/AJY3JA,AO14005,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,75,,136,,"11,2",,"103,8",,"71,5",,1,,"6,5",,1,
AO14005itkt,2885070,BTH_Le_Moulon_2014_SetB1,BTH_Le_Moulon_2014_SetB1,61865,https://doi.org/10.15454/AJY3JA,AO14005,VIRTUAL_TRIAL,,,,,,,,treated,2014,90,,138,,"10,7",,"100,9",,"99,1",,,,,,4,
RE13014itkt,2885040,BTH_Le_Moulon_2014_SetB1,BTH_Le_Moulon_2014_SetB1,48609,https://doi.org/10.15454/QLBPQK,RE13014,VIRTUAL_TRIAL,,,,,,,,treated,2014,116,,136,,"9,8",,"107,8",,"105,8",,,,,,3,
RE13054itkfi,2885029,BTH_Le_Moulon_2014_SetB1,BTH_Le_Moulon_2014_SetB1,61573,https://doi.org/10.15454/WE57LI,RE13054,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,96,,138,,"10,3",,"110,7",,"76,3",,1,,"4,5",,1,
Arezzoitkfi,2885087,BTH_Le_Moulon_2014_SetB1,BTH_Le_Moulon_2014_SetB1,27030,https://doi.org/10.15454/SFNXCW,AREZZO,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,88,,128,,"11,1",,"102,4",,"70,6",,1,,"8,5",,2,
CF13080itkt,2885058,BTH_Le_Moulon_2014_SetB1,BTH_Le_Moulon_2014_SetB1,61079,https://doi.org/10.15454/SAGJTL,CF13080,VIRTUAL_TRIAL,,,,,,,,treated,2014,88,,132,,"11,1",,"92,8",,"91,2",,,,,,3,
RE13054itkt,2885030,BTH_Le_Moulon_2014_SetB1,BTH_Le_Moulon_2014_SetB1,61573,https://doi.org/10.15454/WE57LI,RE13054,VIRTUAL_TRIAL,,,,,,,,treated,2014,106,,138,,"10,6",,102,,"100,2",,,,,,"2,5",
