observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
1,2821556,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,26980,https://doi.org/10.15454/RUE1SF,CF05173,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2007,,,,,"68,1",,81,
2,2821533,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,26899,https://doi.org/10.15454/3NYQAY,RE05011,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2007,,,,,"71,7",,"72,74",
1,2821532,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,26899,https://doi.org/10.15454/3NYQAY,RE05011,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2007,,,,,"71,4",,"74,07",
2,2821535,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,26899,https://doi.org/10.15454/3NYQAY,RE05011,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"47,84",,"10,83",,"70,1",,"102,22",
2,2821531,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,26899,https://doi.org/10.15454/3NYQAY,RE05011,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"45,45",,"10,39",,"73,5",,"68,74",
2,2821571,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,26900,https://doi.org/10.15454/YMFJQC,RE05016,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"51,02",,"11,1",,"71,8",,"109,05",
2,2821403,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,26971,https://doi.org/10.15454/IAEYHC,EM05162,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"45,8",,"9,89",,"70,6",,"114,13",
2,2821567,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,26900,https://doi.org/10.15454/YMFJQC,RE05016,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"47,09",,"9,76",,"72,1",,"85,88",
2,2821569,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,26900,https://doi.org/10.15454/YMFJQC,RE05016,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2007,,,,,69,,"77,46",
1,2821568,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,26900,https://doi.org/10.15454/YMFJQC,RE05016,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2007,,,,,71,,"70,22",
1,2821566,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,26900,https://doi.org/10.15454/YMFJQC,RE05016,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"48,07",,"9,78",,"69,4",,"82,45",
2,2821399,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,26971,https://doi.org/10.15454/IAEYHC,EM05162,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"41,49",,"8,77",,"71,6",,"79,75",
1,2821398,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,26971,https://doi.org/10.15454/IAEYHC,EM05162,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"40,76",,"8,31",,"72,2",,"78,59",
1,2821570,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,26900,https://doi.org/10.15454/YMFJQC,RE05016,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"49,34",,"10,75",,73,,"105,8",
