observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,rdt(CO_321:1000074),rdt(CO_321:1000074).date
1,2765529,BTH_Le_Moulon_2000_SetB2,BTH_Le_Moulon_2000_SetB2,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,REPLICATION,1,,,,,,REPLICATION:1,treated,2000,"103,2",
1,2765491,BTH_Le_Moulon_2000_SetB2,BTH_Le_Moulon_2000_SetB2,25585,https://doi.org/10.15454/YZZGYB,ISENGRAIN,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2000,"66,7",
2,2765492,BTH_Le_Moulon_2000_SetB2,BTH_Le_Moulon_2000_SetB2,25585,https://doi.org/10.15454/YZZGYB,ISENGRAIN,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2000,"65,5",
2,2765494,BTH_Le_Moulon_2000_SetB2,BTH_Le_Moulon_2000_SetB2,25585,https://doi.org/10.15454/YZZGYB,ISENGRAIN,REPLICATION,2,,,,,,REPLICATION:2,treated,2000,"98,5",
1,2765493,BTH_Le_Moulon_2000_SetB2,BTH_Le_Moulon_2000_SetB2,25585,https://doi.org/10.15454/YZZGYB,ISENGRAIN,REPLICATION,1,,,,,,REPLICATION:1,treated,2000,"110,6",
2,2765442,BTH_Le_Moulon_2000_SetB2,BTH_Le_Moulon_2000_SetB2,26868,https://doi.org/10.15454/NP8MBD,RE00009,REPLICATION,2,,,,,,REPLICATION:2,treated,2000,"108,9",
1,2765439,BTH_Le_Moulon_2000_SetB2,BTH_Le_Moulon_2000_SetB2,26868,https://doi.org/10.15454/NP8MBD,RE00009,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2000,75,
1,2765441,BTH_Le_Moulon_2000_SetB2,BTH_Le_Moulon_2000_SetB2,26868,https://doi.org/10.15454/NP8MBD,RE00009,REPLICATION,1,,,,,,REPLICATION:1,treated,2000,"107,2",
2,2765440,BTH_Le_Moulon_2000_SetB2,BTH_Le_Moulon_2000_SetB2,26868,https://doi.org/10.15454/NP8MBD,RE00009,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2000,77,
2,2765438,BTH_Le_Moulon_2000_SetB2,BTH_Le_Moulon_2000_SetB2,26867,https://doi.org/10.15454/PZEUL6,RE00008,REPLICATION,2,,,,,,REPLICATION:2,treated,2000,"101,1",
2,2765436,BTH_Le_Moulon_2000_SetB2,BTH_Le_Moulon_2000_SetB2,26867,https://doi.org/10.15454/PZEUL6,RE00008,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2000,"71,6",
1,2765435,BTH_Le_Moulon_2000_SetB2,BTH_Le_Moulon_2000_SetB2,26867,https://doi.org/10.15454/PZEUL6,RE00008,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2000,"79,3",
1,2765437,BTH_Le_Moulon_2000_SetB2,BTH_Le_Moulon_2000_SetB2,26867,https://doi.org/10.15454/PZEUL6,RE00008,REPLICATION,1,,,,,,REPLICATION:1,treated,2000,"132,7",
2,2765456,BTH_Le_Moulon_2000_SetB2,BTH_Le_Moulon_2000_SetB2,49391,gnpis_pui:holding-921_taxon-4898_accession-49391,DI00013,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2000,84,
1,2765455,BTH_Le_Moulon_2000_SetB2,BTH_Le_Moulon_2000_SetB2,49391,gnpis_pui:holding-921_taxon-4898_accession-49391,DI00013,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2000,"78,6",
2,2765458,BTH_Le_Moulon_2000_SetB2,BTH_Le_Moulon_2000_SetB2,49391,gnpis_pui:holding-921_taxon-4898_accession-49391,DI00013,REPLICATION,2,,,,,,REPLICATION:2,treated,2000,"92,8",
1,2765457,BTH_Le_Moulon_2000_SetB2,BTH_Le_Moulon_2000_SetB2,49391,gnpis_pui:holding-921_taxon-4898_accession-49391,DI00013,REPLICATION,1,,,,,,REPLICATION:1,treated,2000,"106,2",
1,2765537,BTH_Le_Moulon_2000_SetB2,BTH_Le_Moulon_2000_SetB2,48500,gnpis_pui:holding-921_taxon-4898_accession-48500,RE99107,REPLICATION,1,,,,,,REPLICATION:1,treated,2000,"103,8",
2,2765538,BTH_Le_Moulon_2000_SetB2,BTH_Le_Moulon_2000_SetB2,48500,gnpis_pui:holding-921_taxon-4898_accession-48500,RE99107,REPLICATION,2,,,,,,REPLICATION:2,treated,2000,"98,4",
2,2765536,BTH_Le_Moulon_2000_SetB2,BTH_Le_Moulon_2000_SetB2,48500,gnpis_pui:holding-921_taxon-4898_accession-48500,RE99107,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2000,"78,9",
1,2765535,BTH_Le_Moulon_2000_SetB2,BTH_Le_Moulon_2000_SetB2,48500,gnpis_pui:holding-921_taxon-4898_accession-48500,RE99107,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2000,"76,1",
2,2765540,BTH_Le_Moulon_2000_SetB2,BTH_Le_Moulon_2000_SetB2,49070,gnpis_pui:holding-921_taxon-4898_accession-49070,CF99087,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2000,"72,4",
1,2765539,BTH_Le_Moulon_2000_SetB2,BTH_Le_Moulon_2000_SetB2,49070,gnpis_pui:holding-921_taxon-4898_accession-49070,CF99087,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2000,"74,1",
