observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NpainC(CO_321:1000233),NpainC(CO_321:1000233).date,NpateC(CO_321:1000232),NpateC(CO_321:1000232).date,NtotC(CO_321:1000234),NtotC(CO_321:1000234).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,pel(CO_321:1000223),pel(CO_321:1000223).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,sds(CO_321:1000224),sds(CO_321:1000224).date,volC(CO_321:1000235),volC(CO_321:1000235).date,vp(CO_321:1000225),vp(CO_321:1000225).date,zel(CO_321:1000222),zel(CO_321:1000222).date
DI9714itkt,2775188,BTH_Clermont-Ferrand_2001_TECH,BTH_Clermont-Ferrand_2001_TECH,25900,https://doi.org/10.15454/FRB0LL,DI9714,VIRTUAL_TRIAL,,,,,,,,treated,2001,"23,5",,112,,160,,76,,236,,109,,"0,97",,473,,39,,526,,157,,"31,7",,"14,2",,74,,69,,1975,,"3,93",,48,
RE00149itkt,2775202,BTH_Clermont-Ferrand_2001_TECH,BTH_Clermont-Ferrand_2001_TECH,48470,gnpis_pui:holding-921_taxon-4898_accession-48470,RE00149,VIRTUAL_TRIAL,,,,,,,,treated,2001,"16,4",,54,,150,,76,,226,,149,,"2,73",,306,,80,,452,,104,,NA,,"14,9",,NA,,56,,1621,,"2,84",,38,
RE00144itkt,2775233,BTH_Clermont-Ferrand_2001_TECH,BTH_Clermont-Ferrand_2001_TECH,48402,gnpis_pui:holding-921_taxon-4898_accession-48402,RE00144,VIRTUAL_TRIAL,,,,,,,,treated,2001,18,,65,,142,,64,,206,,84,,"1,29",,206,,12,,433,,52,,38,,"12,2",,76,,46,,1569,,"3,52",,27,
RE00143itkt,2775205,BTH_Clermont-Ferrand_2001_TECH,BTH_Clermont-Ferrand_2001_TECH,49057,gnpis_pui:holding-921_taxon-4898_accession-49057,RE00143,VIRTUAL_TRIAL,,,,,,,,treated,2001,"22,1",,99,,97,,65,,162,,62,,"0,62",,173,,58,,463,,43,,"34,25",,"13,1",,"77,5",,45,,1298,,"3,07",,33,
DI01022itkt,2775191,BTH_Clermont-Ferrand_2001_TECH,BTH_Clermont-Ferrand_2001_TECH,49284,gnpis_pui:holding-921_taxon-4898_accession-49284,DI01022,VIRTUAL_TRIAL,,,,,,,,treated,2001,18,,65,,151,,74,,225,,78,,"1,19",,216,,9,,419,,108,,"35,85",,"12,6",,80,,58,,1624,,"3,31",,35,
RE00165itkt,2775210,BTH_Clermont-Ferrand_2001_TECH,BTH_Clermont-Ferrand_2001_TECH,49290,gnpis_pui:holding-921_taxon-4898_accession-49290,RE00165,VIRTUAL_TRIAL,,,,,,,,treated,2001,"20,1",,82,,140,,72,,212,,68,,"0,83",,174,,51,,448,,30,,"32,55",,"12,9",,79,,50,,1629,,"2,67",,31,
EM00264itkt,2775223,BTH_Clermont-Ferrand_2001_TECH,BTH_Clermont-Ferrand_2001_TECH,48806,gnpis_pui:holding-921_taxon-4898_accession-48806,EM00264,VIRTUAL_TRIAL,,,,,,,,treated,2001,"24,2",,119,,151,,68,,219,,62,,"0,52",,255,,36,,459,,123,,"32,35",,"12,3",,"75,5",,55,,1646,,"3,06",,37,
DI01007itkt,2775184,BTH_Clermont-Ferrand_2001_TECH,BTH_Clermont-Ferrand_2001_TECH,48550,gnpis_pui:holding-921_taxon-4898_accession-48550,DI01007,VIRTUAL_TRIAL,,,,,,,,treated,2001,"20,8",,88,,119,,62,,181,,69,,"0,78",,252,,10,,408,,100,,"29,55",,"13,3",,"74,5",,60,,1335,,"2,58",,42,
RE00163itkt,2775197,BTH_Clermont-Ferrand_2001_TECH,BTH_Clermont-Ferrand_2001_TECH,48918,gnpis_pui:holding-921_taxon-4898_accession-48918,RE00163,VIRTUAL_TRIAL,,,,,,,,treated,2001,"14,5",,43,,136,,60,,196,,122,,"2,87",,205,,46,,418,,27,,"39,95",,"12,9",,"77,5",,41,,1568,,"2,52",,28,
Skerzzoitkt,2775224,BTH_Clermont-Ferrand_2001_TECH,BTH_Clermont-Ferrand_2001_TECH,59735,https://doi.org/10.15454/SGAN4B,SKERZZO,VIRTUAL_TRIAL,,,,,,,,treated,2001,"31,2",,198,,89,,63,,152,,73,,"0,37",,451,,36,,460,,117,,"32,35",,"14,5",,80,,70,,1263,,"3,5",,57,
CF99077itkt,2775200,BTH_Clermont-Ferrand_2001_TECH,BTH_Clermont-Ferrand_2001_TECH,26047,https://doi.org/10.15454/XORVCY,CF99077,VIRTUAL_TRIAL,,,,,,,,treated,2001,"18,5",,69,,137,,75,,212,,87,,"1,26",,245,,17,,447,,119,,"31,05",,"13,6",,"74,5",,47,,1605,,"2,75",,35,
CF99351itkt,2775204,BTH_Clermont-Ferrand_2001_TECH,BTH_Clermont-Ferrand_2001_TECH,25899,https://doi.org/10.15454/QG5OJU,CF99351,VIRTUAL_TRIAL,,,,,,,,treated,2001,"20,5",,85,,138,,79,,217,,132,,"1,55",,459,,44,,438,,172,,"28,5",,"13,6",,"80,5",,73,,1698,,"3,48",,49,
CF00064itkt,2775182,BTH_Clermont-Ferrand_2001_TECH,BTH_Clermont-Ferrand_2001_TECH,25898,https://doi.org/10.15454/CH5SFE,CF00064,VIRTUAL_TRIAL,,,,,,,,treated,2001,"16,5",,56,,158,,77,,235,,131,,"2,36",,315,,37,,490,,156,,"42,45",,"13,1",,"80,5",,60,,1692,,"2,81",,37,
Voltigeitkt,2775199,BTH_Clermont-Ferrand_2001_TECH,BTH_Clermont-Ferrand_2001_TECH,26052,https://doi.org/10.15454/FS69PT,VOLTIGE,VIRTUAL_TRIAL,,,,,,,,treated,2001,"19,9",,80,,144,,72,,216,,57,,"0,71",,205,,20,,412,,142,,"31,4",,13,,"77,5",,56,,1822,,"2,26",,39,
EM99012itkt,2775232,BTH_Clermont-Ferrand_2001_TECH,BTH_Clermont-Ferrand_2001_TECH,25901,https://doi.org/10.15454/VOT84X,EM99012,VIRTUAL_TRIAL,,,,,,,,treated,2001,"21,8",,96,,149,,82,,231,,73,,"0,76",,289,,30,,437,,134,,NA,,"13,4",,NA,,58,,1707,,"2,39",,42,
DI00008itkt,2775192,BTH_Clermont-Ferrand_2001_TECH,BTH_Clermont-Ferrand_2001_TECH,26858,https://doi.org/10.15454/PRC5QN,DI00008,VIRTUAL_TRIAL,,,,,,,,treated,2001,"23,5",,112,,149,,72,,221,,65,,"0,58",,252,,9,,358,,80,,NA,,"12,7",,NA,,53,,1677,,"3,55",,33,
EM00018itkt,2775217,BTH_Clermont-Ferrand_2001_TECH,BTH_Clermont-Ferrand_2001_TECH,26109,https://doi.org/10.15454/S5ERQF,EM00018,VIRTUAL_TRIAL,,,,,,,,treated,2001,"21,3",,92,,156,,83,,239,,69,,"0,74",,261,,21,,433,,127,,"32,5",,"13,4",,79,,58,,1648,,"2,58",,38,
RE99017itkt,2775228,BTH_Clermont-Ferrand_2001_TECH,BTH_Clermont-Ferrand_2001_TECH,26001,https://doi.org/10.15454/9GS2A7,RE99017,VIRTUAL_TRIAL,,,,,,,,treated,2001,"16,5",,56,,130,,79,,209,,56,,1,,142,,16,,467,,151,,"26,5",,"13,4",,76,,50,,1505,,"1,93",,33,
DI00010itkt,2775180,BTH_Clermont-Ferrand_2001_TECH,BTH_Clermont-Ferrand_2001_TECH,26106,https://doi.org/10.15454/MAUZZM,DI00010,VIRTUAL_TRIAL,,,,,,,,treated,2001,20,,81,,147,,73,,220,,86,,"1,06",,282,,12,,441,,105,,"32,8",,"13,2",,79,,62,,1572,,"3,96",,38,
CF00116itkt,2775211,BTH_Clermont-Ferrand_2001_TECH,BTH_Clermont-Ferrand_2001_TECH,26105,https://doi.org/10.15454/XCQCZQ,CF00116,VIRTUAL_TRIAL,,,,,,,,treated,2001,"23,8",,115,,146,,69,,215,,58,,"0,51",,205,,11,,444,,61,,"37,4",,"12,7",,76,,55,,1667,,"3,63",,30,
EM00072itkt,2775220,BTH_Clermont-Ferrand_2001_TECH,BTH_Clermont-Ferrand_2001_TECH,26102,https://doi.org/10.15454/WNKZ9X,EM00072,VIRTUAL_TRIAL,,,,,,,,treated,2001,"21,1",,90,,132,,62,,194,,48,,"0,53",,161,,16,,415,,46,,"32,1",,12,,73,,43,,1468,,"2,9",,28,
CF00110itkt,2775209,BTH_Clermont-Ferrand_2001_TECH,BTH_Clermont-Ferrand_2001_TECH,26048,https://doi.org/10.15454/7WIU47,CF00110,VIRTUAL_TRIAL,,,,,,,,treated,2001,"21,9",,97,,155,,69,,224,,60,,"0,62",,191,,6,,430,,70,,"36,3",,"12,5",,76,,56,,1658,,"3,7",,30,
CF00117itkt,2775212,BTH_Clermont-Ferrand_2001_TECH,BTH_Clermont-Ferrand_2001_TECH,26049,https://doi.org/10.15454/NGVK7J,CF00117,VIRTUAL_TRIAL,,,,,,,,treated,2001,23,,107,,148,,68,,216,,56,,"0,53",,188,,12,,416,,68,,"38,55",,13,,"75,5",,55,,1668,,"3,64",,30,
CF00020itkt,2775179,BTH_Clermont-Ferrand_2001_TECH,BTH_Clermont-Ferrand_2001_TECH,49725,https://doi.org/10.15454/PNW0L6,CF00020,VIRTUAL_TRIAL,,,,,,,,treated,2001,"21,8",,96,,150,,75,,225,,69,,"0,72",,234,,11,,378,,72,,NA,,"13,3",,NA,,56,,1655,,"3,43",,35,
EM00002itkt,2775183,BTH_Clermont-Ferrand_2001_TECH,BTH_Clermont-Ferrand_2001_TECH,26108,https://doi.org/10.15454/MTMO4R,EM00002,VIRTUAL_TRIAL,,,,,,,,treated,2001,"18,4",,68,,154,,73,,227,,61,,"0,89",,179,,17,,380,,138,,"40,25",,"11,6",,79,,47,,1620,,"2,44",,29,
DI00024itkt,2775186,BTH_Clermont-Ferrand_2001_TECH,BTH_Clermont-Ferrand_2001_TECH,26107,https://doi.org/10.15454/IJHBYL,DI00024,VIRTUAL_TRIAL,,,,,,,,treated,2001,"21,3",,92,,139,,62,,201,,60,,"0,65",,183,,11,,347,,66,,NA,,"11,2",,NA,,45,,1547,,"3,77",,25,
RE01002itkt,2775195,BTH_Clermont-Ferrand_2001_TECH,BTH_Clermont-Ferrand_2001_TECH,26110,https://doi.org/10.15454/PY1VVU,RE01002,VIRTUAL_TRIAL,,,,,,,,treated,2001,"19,4",,76,,158,,74,,232,,54,,"0,71",,159,,26,,371,,50,,NA,,"12,1",,NA,,45,,1760,,"2,08",,27,
CF00108itkt,2775181,BTH_Clermont-Ferrand_2001_TECH,BTH_Clermont-Ferrand_2001_TECH,26103,https://doi.org/10.15454/VUCZZU,CF00108,VIRTUAL_TRIAL,,,,,,,,treated,2001,"21,6",,95,,135,,70,,205,,59,,"0,62",,184,,15,,421,,70,,"38,2",,"12,8",,"75,5",,53,,1584,,"3,63",,32,
Rytmicitkt,2775203,BTH_Clermont-Ferrand_2001_TECH,BTH_Clermont-Ferrand_2001_TECH,26892,https://doi.org/10.15454/AVKVIW,RYTMIC,VIRTUAL_TRIAL,,,,,,,,treated,2001,17,,58,,140,,70,,210,,113,,"1,93",,267,,29,,486,,125,,"32,9",,"13,6",,76,,56,,1604,,"3,04",,38,
EM99017itkt,2775234,BTH_Clermont-Ferrand_2001_TECH,BTH_Clermont-Ferrand_2001_TECH,28764,https://doi.org/10.15454/QT2EUR,EM99017,VIRTUAL_TRIAL,,,,,,,,treated,2001,"18,2",,67,,157,,76,,233,,86,,"1,28",,246,,38,,391,,152,,"37,55",,"12,3",,"79,5",,57,,1685,,"2,52",,36,
RE9819itkt,2775231,BTH_Clermont-Ferrand_2001_TECH,BTH_Clermont-Ferrand_2001_TECH,28766,https://doi.org/10.15454/B2UDRG,RE9819,VIRTUAL_TRIAL,,,,,,,,treated,2001,"26,1",,138,,142,,55,,197,,50,,"0,36",,178,,15,,388,,45,,"44,75",,"12,4",,79,,49,,1572,,"2,61",,29,
DI01019itkt,2775219,BTH_Clermont-Ferrand_2001_TECH,BTH_Clermont-Ferrand_2001_TECH,48621,gnpis_pui:holding-921_taxon-4898_accession-48621,DI01019,VIRTUAL_TRIAL,,,,,,,,treated,2001,"23,8",,115,,155,,78,,233,,59,,"0,51",,230,,22,,351,,82,,"29,2",,"13,2",,"75,5",,48,,1687,,"3,05",,31,
RE00164itkt,2775193,BTH_Clermont-Ferrand_2001_TECH,BTH_Clermont-Ferrand_2001_TECH,48472,gnpis_pui:holding-921_taxon-4898_accession-48472,RE00164,VIRTUAL_TRIAL,,,,,,,,treated,2001,"15,3",,48,,137,,66,,203,,101,,"2,13",,178,,38,,438,,36,,35,,"13,1",,77,,45,,1477,,"2,88",,33,
Soissonsitkt,2775229,BTH_Clermont-Ferrand_2001_TECH,BTH_Clermont-Ferrand_2001_TECH,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,treated,2001,"19,3",,75,,164,,82,,246,,93,,"1,24",,293,,57,,370,,168,,"36,75",,"12,4",,"81,5",,56,,1812,,"1,96",,35,
EM00302itkt,2775213,BTH_Clermont-Ferrand_2001_TECH,BTH_Clermont-Ferrand_2001_TECH,26864,https://doi.org/10.15454/XVZVZD,EM00302,VIRTUAL_TRIAL,,,,,,,,treated,2001,22,,98,,140,,76,,216,,66,,"0,68",,263,,18,,358,,131,,"33,3",,"12,7",,78,,55,,1507,,"2,45",,35,
RE00160itkt,2775196,BTH_Clermont-Ferrand_2001_TECH,BTH_Clermont-Ferrand_2001_TECH,26871,https://doi.org/10.15454/5JJD7K,RE00160,VIRTUAL_TRIAL,,,,,,,,treated,2001,"18,4",,68,,143,,77,,220,,49,,"0,72",,145,,20,,464,,162,,"35,15",,"12,3",,79,,51,,1521,,"2,58",,37,
EM99006itkt,2775207,BTH_Clermont-Ferrand_2001_TECH,BTH_Clermont-Ferrand_2001_TECH,28759,https://doi.org/10.15454/1BMHCN,EM99006,VIRTUAL_TRIAL,,,,,,,,treated,2001,"21,4",,93,,168,,81,,249,,89,,"0,95",,301,,40,,477,,130,,37,,"12,8",,79,,54,,1838,,"2,98",,34,
DI01021itkt,2775190,BTH_Clermont-Ferrand_2001_TECH,BTH_Clermont-Ferrand_2001_TECH,49218,gnpis_pui:holding-921_taxon-4898_accession-49218,DI01021,VIRTUAL_TRIAL,,,,,,,,treated,2001,"21,2",,91,,137,,68,,205,,72,,"0,79",,233,,16,,387,,66,,"35,25",,"13,2",,"77,5",,57,,1539,,"3,37",,31,
DI01032itkt,2775218,BTH_Clermont-Ferrand_2001_TECH,BTH_Clermont-Ferrand_2001_TECH,49224,gnpis_pui:holding-921_taxon-4898_accession-49224,DI01032,VIRTUAL_TRIAL,,,,,,,,treated,2001,"21,1",,90,,132,,56,,188,,69,,"0,77",,214,,14,,442,,68,,"35,7",,"12,5",,"77,5",,52,,1581,,"3,47",,30,
EM00074itkt,2775222,BTH_Clermont-Ferrand_2001_TECH,BTH_Clermont-Ferrand_2001_TECH,48639,gnpis_pui:holding-921_taxon-4898_accession-48639,EM00074,VIRTUAL_TRIAL,,,,,,,,treated,2001,"21,8",,96,,162,,73,,235,,72,,"0,75",,245,,NA,,459,,106,,"32,6",,NA,,78,,53,,1722,,"2,46",,34,
EM00015itkt,2775221,BTH_Clermont-Ferrand_2001_TECH,BTH_Clermont-Ferrand_2001_TECH,48653,gnpis_pui:holding-921_taxon-4898_accession-48653,EM00015,VIRTUAL_TRIAL,,,,,,,,treated,2001,20,,81,,114,,72,,186,,102,,"1,25",,328,,36,,540,,172,,"31,75",,"13,2",,"74,5",,63,,1394,,"2,9",,44,
DI01004itkt,2775187,BTH_Clermont-Ferrand_2001_TECH,BTH_Clermont-Ferrand_2001_TECH,49003,gnpis_pui:holding-921_taxon-4898_accession-49003,DI01004,VIRTUAL_TRIAL,,,,,,,,treated,2001,"24,9",,126,,133,,70,,203,,61,,"0,49",,234,,18,,375,,63,,"37,35",,"12,9",,76,,52,,1520,,"3,69",,32,
EM00107itkt,2775206,BTH_Clermont-Ferrand_2001_TECH,BTH_Clermont-Ferrand_2001_TECH,49059,gnpis_pui:holding-921_taxon-4898_accession-49059,EM00107,VIRTUAL_TRIAL,,,,,,,,treated,2001,"20,7",,87,,134,,70,,204,,70,,"0,8",,230,,51,,437,,128,,NA,,"12,8",,NA,,55,,1527,,"3,14",,36,
EM00301itkt,2775214,BTH_Clermont-Ferrand_2001_TECH,BTH_Clermont-Ferrand_2001_TECH,48481,gnpis_pui:holding-921_taxon-4898_accession-48481,EM00301,VIRTUAL_TRIAL,,,,,,,,treated,2001,"20,4",,84,,154,,76,,230,,108,,"1,29",,378,,38,,539,,170,,29,,"14,7",,73,,67,,1835,,"2,77",,55,
RE00113itkt,2775230,BTH_Clermont-Ferrand_2001_TECH,BTH_Clermont-Ferrand_2001_TECH,49700,gnpis_pui:holding-921_taxon-4898_accession-49700,RE00113,VIRTUAL_TRIAL,,,,,,,,treated,2001,"18,8",,71,,135,,70,,205,,64,,"0,89",,194,,18,,459,,110,,"36,9",,"13,2",,"76,5",,54,,1478,,"2,4",,38,
CF99075itkt,2775198,BTH_Clermont-Ferrand_2001_TECH,BTH_Clermont-Ferrand_2001_TECH,48935,https://doi.org/10.15454/KCTYDW,CF99075,VIRTUAL_TRIAL,,,,,,,,treated,2001,"24,7",,124,,168,,77,,245,,62,,"0,5",,278,,29,,415,,116,,"42,55",,"13,1",,80,,54,,1958,,"2,34",,34,
