observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieG(CO_321:1000238),NmieG(CO_321:1000238).date,NmieL(CO_321:1000243),NmieL(CO_321:1000243).date,NpainG(CO_321:1000237),NpainG(CO_321:1000237).date,NpainL(CO_321:1000242),NpainL(CO_321:1000242).date,NpateG(CO_321:1000236),NpateG(CO_321:1000236).date,NpateL(CO_321:1000241),NpateL(CO_321:1000241).date,NtotG(CO_321:1000239),NtotG(CO_321:1000239).date,NtotL(CO_321:1000244),NtotL(CO_321:1000244).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,volG(CO_321:1000240),volG(CO_321:1000240).date,volL(CO_321:1000245),volL(CO_321:1000245).date,vp(CO_321:1000225),vp(CO_321:1000225).date,zel(CO_321:1000222),zel(CO_321:1000222).date
CF05162itkt,2835294,BTH_Estrées-Mons_2008_TECH,BTH_Estrées-Mons_2008_TECH,26968,https://doi.org/10.15454/3810GN,CF05162,VIRTUAL_TRIAL,,,,,,,,treated,2008,"17,8",,64,,94,,NA,,33,,NA,,87,,NA,,214,,NA,,104,,"1,62",,223,,"57,5",,395,,"11,3",,NA,,1465,,NA,,"2,95",,41,
AO07210itkt,2835286,BTH_Estrées-Mons_2008_TECH,BTH_Estrées-Mons_2008_TECH,27757,https://doi.org/10.15454/YPTSA5,AO07210,VIRTUAL_TRIAL,,,,,,,,treated,2008,"21,2",,91,,88,,NA,,33,,NA,,94,,NA,,215,,NA,,79,,"0,87",,237,,27,,363,,"11,75",,NA,,1593,,NA,,"2,54",,33,
CF07021itkt,2835321,BTH_Estrées-Mons_2008_TECH,BTH_Estrées-Mons_2008_TECH,27789,https://doi.org/10.15454/BTYEVM,CF07021,VIRTUAL_TRIAL,,,,,,,,treated,2008,NA,,NA,,NA,,88,,NA,,"30,5",,NA,,"92,5",,NA,,211,,NA,,NA,,NA,,24,,292,,"11,6",,"81,4",,NA,,1350,,"3,38",,NA,
AO07302itkt,2835316,BTH_Estrées-Mons_2008_TECH,BTH_Estrées-Mons_2008_TECH,27759,https://doi.org/10.15454/VOAXIV,AO07302,VIRTUAL_TRIAL,,,,,,,,treated,2008,"19,8",,80,,94,,NA,,15,,NA,,87,,NA,,196,,NA,,59,,"0,75",,182,,29,,282,,11,,NA,,1448,,NA,,"1,76",,33,
AO08107itkt,2835314,BTH_Estrées-Mons_2008_TECH,BTH_Estrées-Mons_2008_TECH,27768,https://doi.org/10.15454/BQBT4V,AO08107,VIRTUAL_TRIAL,,,,,,,,treated,2008,NA,,NA,,NA,,100,,NA,,"33,8",,NA,,"84,75",,NA,,"218,55",,NA,,NA,,NA,,71,,322,,"11,2",,"77,7",,NA,,1310,,"2,53",,NA,
CF07018itkt,2835300,BTH_Estrées-Mons_2008_TECH,BTH_Estrées-Mons_2008_TECH,27788,https://doi.org/10.15454/72PHHY,CF07018,VIRTUAL_TRIAL,,,,,,,,treated,2008,NA,,NA,,NA,,100,,NA,,26,,NA,,87,,NA,,213,,NA,,NA,,NA,,69,,312,,"11,5",,"80,7",,NA,,1120,,"3,03",,NA,
RE07114itkt,2835283,BTH_Estrées-Mons_2008_TECH,BTH_Estrées-Mons_2008_TECH,27270,https://doi.org/10.15454/JKW4SM,RE07114,VIRTUAL_TRIAL,,,,,,,,treated,2008,NA,,NA,,NA,,100,,NA,,"44,25",,NA,,94,,NA,,"238,25",,NA,,NA,,NA,,56,,342,,"11,4",,"80,2",,NA,,1300,,"1,79",,NA,
RE06134itkt,2835288,BTH_Estrées-Mons_2008_TECH,BTH_Estrées-Mons_2008_TECH,27268,https://doi.org/10.15454/K6RWJK,RE06134,VIRTUAL_TRIAL,,,,,,,,treated,2008,"24,2",,119,,97,,NA,,38,,NA,,72,,NA,,207,,NA,,57,,"0,48",,198,,21,,315,,"11,95",,NA,,1648,,NA,,"2,41",,34,
RE07019itkt,2835285,BTH_Estrées-Mons_2008_TECH,BTH_Estrées-Mons_2008_TECH,27305,https://doi.org/10.15454/OPZZGX,RE07019,VIRTUAL_TRIAL,,,,,,,,treated,2008,NA,,NA,,NA,,100,,NA,,"30,5",,NA,,"81,75",,NA,,"212,25",,NA,,NA,,NA,,66,,306,,"11,2",,"81,9",,NA,,1150,,"1,31",,NA,
RE07093itkt,2835299,BTH_Estrées-Mons_2008_TECH,BTH_Estrées-Mons_2008_TECH,27307,https://doi.org/10.15454/CSESMY,RE07093,VIRTUAL_TRIAL,,,,,,,,treated,2008,NA,,NA,,NA,,100,,NA,,"27,5",,NA,,"72,38",,NA,,"199,88",,NA,,NA,,NA,,19,,296,,"10,6",,"79,9",,NA,,1200,,"1,84",,NA,
Hendrixitkt,2835277,BTH_Estrées-Mons_2008_TECH,BTH_Estrées-Mons_2008_TECH,26833,https://doi.org/10.15454/PYUIEM,HENDRIX,VIRTUAL_TRIAL,,,,,,,,treated,2008,"17,9",,65,,97,,NA,,51,,NA,,99,,NA,,255,,NA,,122,,"1,88",,298,,"69,5",,355,,"11,85",,NA,,1590,,NA,,"3,14",,64,
Folkloritkt,2835280,BTH_Estrées-Mons_2008_TECH,BTH_Estrées-Mons_2008_TECH,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,treated,2008,"23,7",,114,,100,,NA,,48,,NA,,84,,NA,,232,,NA,,67,,"0,59",,217,,"63,5",,273,,"11,3",,"79,2",,1600,,NA,,"2,13",,39,
