observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,water_regime,season,Check(EIPO:0000004),Check(EIPO:0000004).date,L10(MIPO:0000020),L10(MIPO:0000020).date,L11(MIPO:0000020),L11(MIPO:0000020).date,L12(MIPO:0000020),L12(MIPO:0000020).date,L13(MIPO:0000020),L13(MIPO:0000020).date,L14(MIPO:0000020),L14(MIPO:0000020).date,L15(MIPO:0000020),L15(MIPO:0000020).date,L9(MIPO:0000020),L9(MIPO:0000020).date,TnbL(MIPO:0000019),TnbL(MIPO:0000019).date,W10(MIPO:0000021),W10(MIPO:0000021).date,W11(MIPO:0000021),W11(MIPO:0000021).date,W12(MIPO:0000021),W12(MIPO:0000021).date,W13(MIPO:0000021),W13(MIPO:0000021).date,W14(MIPO:0000021),W14(MIPO:0000021).date,W15(MIPO:0000021),W15(MIPO:0000021).date,W9(MIPO:0000021),W9(MIPO:0000021).date
6,3357030,Kar12,KWS Karlsruhe 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,6,,,"REPLICATE>BLOCK>PLOT>PLANT:6,REPLICATE>BLOCK>PLOT:400108,REPLICATE>BLOCK:21,REPLICATE:2,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,2012,Yes,,,,,,101,,,,73,,,,,,16,,,,,,10,,,,9.5,,,,,
1,3357073,Kar12,KWS Karlsruhe 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,1,,,"REPLICATE>BLOCK>PLOT>PLANT:1,REPLICATE>BLOCK>PLOT:401488,REPLICATE>BLOCK:13,REPLICATE>BLOCK:13,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:1",rainfed,2012,Yes,,,,99.5,,,,91,,,,,,,,16,,,,9,,,,8.5,,,,,,,
10,3357034,Kar12,KWS Karlsruhe 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,10,,,"REPLICATE>BLOCK>PLOT>PLANT:10,REPLICATE>BLOCK>PLOT:400108,REPLICATE>BLOCK:21,REPLICATE:2,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,2012,Yes,,,,95.5,,,,83.5,,,,,,,,15,,,,10,,,,8.5,,,,,,,
2,3357026,Kar12,KWS Karlsruhe 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,2,,,"REPLICATE>BLOCK>PLOT>PLANT:2,REPLICATE>BLOCK>PLOT:400108,REPLICATE>BLOCK:21,REPLICATE:2,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,2012,Yes,,94,,,,82,,,,,,,,,,15,,9.5,,,,9,,,,,,,,,
7,3357082,Kar12,KWS Karlsruhe 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,7,,,"REPLICATE>BLOCK>PLOT>PLANT:7,REPLICATE>BLOCK>PLOT:401488,REPLICATE>BLOCK:13,REPLICATE>BLOCK:13,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:1",rainfed,2012,Yes,,,,94,,,,85,,,,,,,,16,,,,9.5,,,,9,,,,,,,
10,3357072,Kar12,KWS Karlsruhe 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,10,,,"REPLICATE>BLOCK>PLOT>PLANT:10,REPLICATE>BLOCK>PLOT:401241,REPLICATE>BLOCK:26,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,2012,,,,,98.5,,,,80.5,,,,,,,,16,,,,9,,,,9,,,,,,,
8,3357070,Kar12,KWS Karlsruhe 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,8,,,"REPLICATE>BLOCK>PLOT>PLANT:8,REPLICATE>BLOCK>PLOT:401241,REPLICATE>BLOCK:26,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,2012,,,,,107,,,,92,,,,,,,,16,,,,9,,,,9,,,,,,,
4,3357079,Kar12,KWS Karlsruhe 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,4,,,"REPLICATE>BLOCK>PLOT>PLANT:4,REPLICATE>BLOCK>PLOT:401488,REPLICATE>BLOCK:13,REPLICATE>BLOCK:13,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:1",rainfed,2012,Yes,,,,98,,,,88,,,,,,,,16,,,,9.5,,,,9,,,,,,,
3,3357065,Kar12,KWS Karlsruhe 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,3,,,"REPLICATE>BLOCK>PLOT>PLANT:3,REPLICATE>BLOCK>PLOT:401241,REPLICATE>BLOCK:26,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,2012,,,,,,,99,,,,84,,,,,,17,,,,,,9.5,,,,9,,,,,
6,3357068,Kar12,KWS Karlsruhe 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,6,,,"REPLICATE>BLOCK>PLOT>PLANT:6,REPLICATE>BLOCK>PLOT:401241,REPLICATE>BLOCK:26,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,2012,,,102,,,,87,,,,,,,,,,16,,10,,,,10,,,,,,,,,
8,3357083,Kar12,KWS Karlsruhe 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,8,,,"REPLICATE>BLOCK>PLOT>PLANT:8,REPLICATE>BLOCK>PLOT:401488,REPLICATE>BLOCK:13,REPLICATE>BLOCK:13,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:1",rainfed,2012,Yes,,,,99,,,,92.5,,,,,,,,16,,,,10,,,,9.5,,,,,,,
9,3357071,Kar12,KWS Karlsruhe 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,9,,,"REPLICATE>BLOCK>PLOT>PLANT:9,REPLICATE>BLOCK>PLOT:401241,REPLICATE>BLOCK:26,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,2012,,,,,99.5,,,,86,,,,,,,,16,,,,9.5,,,,9.5,,,,,,,
5,3357067,Kar12,KWS Karlsruhe 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,5,,,"REPLICATE>BLOCK>PLOT>PLANT:5,REPLICATE>BLOCK>PLOT:401241,REPLICATE>BLOCK:26,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,2012,,,,,95.5,,,,83,,,,,,,,15,,,,10,,,,10,,,,,,,
2,3357064,Kar12,KWS Karlsruhe 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,2,,,"REPLICATE>BLOCK>PLOT>PLANT:2,REPLICATE>BLOCK>PLOT:401241,REPLICATE>BLOCK:26,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,2012,,,,,100.5,,,,89.5,,,,,,,,16,,,,9,,,,10,,,,,,,
6,3357081,Kar12,KWS Karlsruhe 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,6,,,"REPLICATE>BLOCK>PLOT>PLANT:6,REPLICATE>BLOCK>PLOT:401488,REPLICATE>BLOCK:13,REPLICATE>BLOCK:13,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:1",rainfed,2012,Yes,,,,,,97,,,,82,,,,,,17,,,,,,10,,,,9,,,,,
4,3357066,Kar12,KWS Karlsruhe 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,4,,,"REPLICATE>BLOCK>PLOT>PLANT:4,REPLICATE>BLOCK>PLOT:401241,REPLICATE>BLOCK:26,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,2012,,,102.5,,,,90.5,,,,,,,,,,15,,9.5,,,,10,,,,,,,,,
10,3357085,Kar12,KWS Karlsruhe 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,10,,,"REPLICATE>BLOCK>PLOT>PLANT:10,REPLICATE>BLOCK>PLOT:401488,REPLICATE>BLOCK:13,REPLICATE>BLOCK:13,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:1",rainfed,2012,Yes,,,,97.5,,,,84,,,,,,,,16,,,,9.5,,,,9,,,,,,,
1,3357060,Kar12,KWS Karlsruhe 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,1,,,"REPLICATE>BLOCK>PLOT>PLANT:1,REPLICATE>BLOCK>PLOT:401241,REPLICATE>BLOCK:26,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,2012,,,,,,,94.5,,,,85.5,,,,,,17,,,,,,9.5,,,,10,,,,,
7,3357069,Kar12,KWS Karlsruhe 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,7,,,"REPLICATE>BLOCK>PLOT>PLANT:7,REPLICATE>BLOCK>PLOT:401241,REPLICATE>BLOCK:26,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,2012,,,104.5,,,,92,,,,,,,,,,15,,9.5,,,,9.5,,,,,,,,,
10,3357059,Kar12,KWS Karlsruhe 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,10,,,"REPLICATE>BLOCK>PLOT>PLANT:10,REPLICATE>BLOCK>PLOT:400399,REPLICATE>BLOCK:13,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,2012,,,,,91,,,,70,,,,,,,,15,,,,10,,,,9.5,,,,,,,
2,3357077,Kar12,KWS Karlsruhe 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,2,,,"REPLICATE>BLOCK>PLOT>PLANT:2,REPLICATE>BLOCK>PLOT:401488,REPLICATE>BLOCK:13,REPLICATE>BLOCK:13,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:1",rainfed,2012,Yes,,,,98.5,,,,92,,,,,,,,16,,,,9.5,,,,9.5,,,,,,,
8,3357057,Kar12,KWS Karlsruhe 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,8,,,"REPLICATE>BLOCK>PLOT>PLANT:8,REPLICATE>BLOCK>PLOT:400399,REPLICATE>BLOCK:13,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,2012,,,,,103,,,,84,,,,,,,,16,,,,10,,,,10,,,,,,,
3,3357078,Kar12,KWS Karlsruhe 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,3,,,"REPLICATE>BLOCK>PLOT>PLANT:3,REPLICATE>BLOCK>PLOT:401488,REPLICATE>BLOCK:13,REPLICATE>BLOCK:13,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:1",rainfed,2012,Yes,,,,,,100,,,,73,,,,,,17,,,,,,9,,,,8.5,,,,,
3,3357052,Kar12,KWS Karlsruhe 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,3,,,"REPLICATE>BLOCK>PLOT>PLANT:3,REPLICATE>BLOCK>PLOT:400399,REPLICATE>BLOCK:13,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,2012,,,,,102,,,,92,,,,,,,,16,,,,9,,,,9,,,,,,,
5,3357092,Kar12,KWS Karlsruhe 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,5,,,"REPLICATE>BLOCK>PLOT>PLANT:5,REPLICATE>BLOCK>PLOT:401651,REPLICATE>BLOCK:3,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,2012,Yes,,,,99.5,,,,85,,,,,,,,16,,,,9.5,,,,10,,,,,,,
6,3357055,Kar12,KWS Karlsruhe 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,6,,,"REPLICATE>BLOCK>PLOT>PLANT:6,REPLICATE>BLOCK>PLOT:400399,REPLICATE>BLOCK:13,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,2012,,,96,,,,85,,,,,,,,,,15,,9.5,,,,10,,,,,,,,,
9,3357058,Kar12,KWS Karlsruhe 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,9,,,"REPLICATE>BLOCK>PLOT>PLANT:9,REPLICATE>BLOCK>PLOT:400399,REPLICATE>BLOCK:13,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,2012,,,,,80,,,,60,,,,,,,,15,,,,10,,,,8.5,,,,,,,
5,3357054,Kar12,KWS Karlsruhe 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,5,,,"REPLICATE>BLOCK>PLOT>PLANT:5,REPLICATE>BLOCK>PLOT:400399,REPLICATE>BLOCK:13,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,2012,,,,,,,96,,,,76,,,,,,16,,,,,,10.5,,,,9.5,,,,,
9,3357096,Kar12,KWS Karlsruhe 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,9,,,"REPLICATE>BLOCK>PLOT>PLANT:9,REPLICATE>BLOCK>PLOT:401651,REPLICATE>BLOCK:3,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,2012,Yes,,,,107.5,,,,93,,,,,,,,16,,,,9,,,,9,,,,,,,
2,3357051,Kar12,KWS Karlsruhe 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,2,,,"REPLICATE>BLOCK>PLOT>PLANT:2,REPLICATE>BLOCK>PLOT:400399,REPLICATE>BLOCK:13,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,2012,,,,,,,103,,,,75,,,,,,16,,,,,,9.5,,,,8.5,,,,,
9,3357046,Kar12,KWS Karlsruhe 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,9,,,"REPLICATE>BLOCK>PLOT>PLANT:9,REPLICATE>BLOCK>PLOT:400313,REPLICATE>BLOCK:28,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,2012,Yes,,,,,,97,,,,79.5,,,,,,16,,,,,,10,,,,10,,,,,
4,3357053,Kar12,KWS Karlsruhe 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,4,,,"REPLICATE>BLOCK>PLOT>PLANT:4,REPLICATE>BLOCK>PLOT:400399,REPLICATE>BLOCK:13,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,2012,,,,,103,,,,87,,,,,,,,16,,,,9.5,,,,10,,,,,,,
5,3357107,Kar12,KWS Karlsruhe 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,5,,,"REPLICATE>BLOCK>PLOT>PLANT:5,REPLICATE>BLOCK>PLOT:401882,REPLICATE>BLOCK:20,REPLICATE>BLOCK:9,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:3",rainfed,2012,Yes,,,,,,102,,,,80,,,,,,16,,,,,,10.5,,,,9.5,,,,,
2,3357039,Kar12,KWS Karlsruhe 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,2,,,"REPLICATE>BLOCK>PLOT>PLANT:2,REPLICATE>BLOCK>PLOT:400313,REPLICATE>BLOCK:28,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,2012,Yes,,,,,,91.5,,,,75,,,,,,16,,,,,,10,,,,10,,,,,
1,3357086,Kar12,KWS Karlsruhe 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,1,,,"REPLICATE>BLOCK>PLOT>PLANT:1,REPLICATE>BLOCK>PLOT:401651,REPLICATE>BLOCK:3,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,2012,Yes,,,,,,99,,,,76,,,,,,17,,,,,,9.5,,,,8,,,,,
2,3357104,Kar12,KWS Karlsruhe 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,2,,,"REPLICATE>BLOCK>PLOT>PLANT:2,REPLICATE>BLOCK>PLOT:401882,REPLICATE>BLOCK:20,REPLICATE>BLOCK:9,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:3",rainfed,2012,Yes,,,,100.5,,,,90.5,,,,,,,,16,,,,10,,,,10,,,,,,,
1,3357048,Kar12,KWS Karlsruhe 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,1,,,"REPLICATE>BLOCK>PLOT>PLANT:1,REPLICATE>BLOCK>PLOT:400399,REPLICATE>BLOCK:13,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,2012,,,,,104,,,,88,,,,,,,,16,,,,10,,,,10,,,,,,,
10,3357047,Kar12,KWS Karlsruhe 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,10,,,"REPLICATE>BLOCK>PLOT>PLANT:10,REPLICATE>BLOCK>PLOT:400313,REPLICATE>BLOCK:28,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,2012,Yes,,,,,,96,,,,74.5,,,,,,16,,,,,,10,,,,10.5,,,,,
10,3357112,Kar12,KWS Karlsruhe 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,10,,,"REPLICATE>BLOCK>PLOT>PLANT:10,REPLICATE>BLOCK>PLOT:401882,REPLICATE>BLOCK:20,REPLICATE>BLOCK:9,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:3",rainfed,2012,Yes,,99,,,,82.5,,,,,,,,,,14,,9.5,,,,8.5,,,,,,,,,
7,3357056,Kar12,KWS Karlsruhe 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,7,,,"REPLICATE>BLOCK>PLOT>PLANT:7,REPLICATE>BLOCK>PLOT:400399,REPLICATE>BLOCK:13,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,2012,,,,,98,,,,,,,,,,105,,15,,,,10.5,,,,,,,,,,10,
6,3357043,Kar12,KWS Karlsruhe 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,6,,,"REPLICATE>BLOCK>PLOT>PLANT:6,REPLICATE>BLOCK>PLOT:400313,REPLICATE>BLOCK:28,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,2012,Yes,,,,,,101,,,,67,,,,,,16,,,,,,8.5,,,,7.5,,,,,
10,3357022,Kar12,KWS Karlsruhe 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,10,,,"REPLICATE>BLOCK>PLOT>PLANT:10,REPLICATE>BLOCK>PLOT:400085,REPLICATE>BLOCK:24,REPLICATE:2,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,2012,,,,,,,98,,,,76,,,,,,16,,,,,,10,,,,8.5,,,,,
7,3357094,Kar12,KWS Karlsruhe 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,7,,,"REPLICATE>BLOCK>PLOT>PLANT:7,REPLICATE>BLOCK>PLOT:401651,REPLICATE>BLOCK:3,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,2012,Yes,,,,101.5,,,,88,,,,,,,,16,,,,9,,,,9,,,,,,,
8,3357045,Kar12,KWS Karlsruhe 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,8,,,"REPLICATE>BLOCK>PLOT>PLANT:8,REPLICATE>BLOCK>PLOT:400313,REPLICATE>BLOCK:28,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,2012,Yes,,,,,,104,,,,82.5,,,,,,16,,,,,,10,,,,9.5,,,,,
8,3357020,Kar12,KWS Karlsruhe 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,8,,,"REPLICATE>BLOCK>PLOT>PLANT:8,REPLICATE>BLOCK>PLOT:400085,REPLICATE>BLOCK:24,REPLICATE:2,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,2012,,,,,,,93,,,,81,,,,,,17,,,,,,10.5,,,,10.5,,,,,
4,3357041,Kar12,KWS Karlsruhe 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,4,,,"REPLICATE>BLOCK>PLOT>PLANT:4,REPLICATE>BLOCK>PLOT:400313,REPLICATE>BLOCK:28,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,2012,Yes,,,,,,98,,,,72.5,,,,,,16,,,,,,9.5,,,,8.5,,,,,
