observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,water_regime,season,Check(EIPO:0000004),Check(EIPO:0000004).date,L10(MIPO:0000020),L10(MIPO:0000020).date,L11(MIPO:0000020),L11(MIPO:0000020).date,L12(MIPO:0000020),L12(MIPO:0000020).date,L13(MIPO:0000020),L13(MIPO:0000020).date,L14(MIPO:0000020),L14(MIPO:0000020).date,L15(MIPO:0000020),L15(MIPO:0000020).date,TnbL(MIPO:0000019),TnbL(MIPO:0000019).date,W10(MIPO:0000021),W10(MIPO:0000021).date,W11(MIPO:0000021),W11(MIPO:0000021).date,W12(MIPO:0000021),W12(MIPO:0000021).date,W13(MIPO:0000021),W13(MIPO:0000021).date,W14(MIPO:0000021),W14(MIPO:0000021).date,W15(MIPO:0000021),W15(MIPO:0000021).date
7,3348771,Cra12,KWS Caracal 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,7,,,"REPLICATE>BLOCK>PLOT>PLANT:7,REPLICATE>BLOCK>PLOT:402684,REPLICATE>BLOCK:5,REPLICATE>BLOCK:5,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:1",rainfed,2012,Yes,,,,80,,,,68,,,,,,16,,,,6.8,,,,6.5,,,,,
3,3348692,Cra12,KWS Caracal 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,3,,,"REPLICATE>BLOCK>PLOT>PLANT:3,REPLICATE>BLOCK>PLOT:400994,REPLICATE>BLOCK:5,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,2012,Yes,,,,80,,,,67,,,,,,16,,,,6.8,,,,6.8,,,,,
9,3348698,Cra12,KWS Caracal 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,9,,,"REPLICATE>BLOCK>PLOT>PLANT:9,REPLICATE>BLOCK>PLOT:400994,REPLICATE>BLOCK:5,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,2012,Yes,,,,85,,,,76,,,,,,16,,,,6.6,,,,7.5,,,,,
4,3348768,Cra12,KWS Caracal 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,4,,,"REPLICATE>BLOCK>PLOT>PLANT:4,REPLICATE>BLOCK>PLOT:402684,REPLICATE>BLOCK:5,REPLICATE>BLOCK:5,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:1",rainfed,2012,Yes,,,,,,81,,,,77,,,,17,,,,,,6.5,,,,6.4,,,
10,3348762,Cra12,KWS Caracal 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,10,,,"REPLICATE>BLOCK>PLOT>PLANT:10,REPLICATE>BLOCK>PLOT:402571,REPLICATE>BLOCK:8,REPLICATE>BLOCK:8,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:3",rainfed,2012,,,,,,,79,,,,61,,,,17,,,,,,7,,,,6.5,,,
8,3348760,Cra12,KWS Caracal 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,8,,,"REPLICATE>BLOCK>PLOT>PLANT:8,REPLICATE>BLOCK>PLOT:402571,REPLICATE>BLOCK:8,REPLICATE>BLOCK:8,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:3",rainfed,2012,,,,,83,,,,76,,,,,,16,,,,7,,,,7,,,,,
3,3348755,Cra12,KWS Caracal 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,3,,,"REPLICATE>BLOCK>PLOT>PLANT:3,REPLICATE>BLOCK>PLOT:402571,REPLICATE>BLOCK:8,REPLICATE>BLOCK:8,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:3",rainfed,2012,,,,,,,74,,,,73,,,,17,,,,,,6,,,,6,,,
8,3348772,Cra12,KWS Caracal 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,8,,,"REPLICATE>BLOCK>PLOT>PLANT:8,REPLICATE>BLOCK>PLOT:402684,REPLICATE>BLOCK:5,REPLICATE>BLOCK:5,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:1",rainfed,2012,Yes,,,,,,80,,,,68,,,,17,,,,,,6.6,,,,6,,,
6,3348758,Cra12,KWS Caracal 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,6,,,"REPLICATE>BLOCK>PLOT>PLANT:6,REPLICATE>BLOCK>PLOT:402571,REPLICATE>BLOCK:8,REPLICATE>BLOCK:8,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:3",rainfed,2012,,,,,,,83,,,,71,,,,17,,,,,,7,,,,6.6,,,
9,3348761,Cra12,KWS Caracal 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,9,,,"REPLICATE>BLOCK>PLOT>PLANT:9,REPLICATE>BLOCK>PLOT:402571,REPLICATE>BLOCK:8,REPLICATE>BLOCK:8,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:3",rainfed,2012,,,,,73,,,,61,,,,,,16,,,,6,,,,6,,,,,
6,3348770,Cra12,KWS Caracal 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,6,,,"REPLICATE>BLOCK>PLOT>PLANT:6,REPLICATE>BLOCK>PLOT:402684,REPLICATE>BLOCK:5,REPLICATE>BLOCK:5,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:1",rainfed,2012,Yes,,,,83,,,,74,,,,,,17,,,,6.7,,,,6,,,,,
5,3348757,Cra12,KWS Caracal 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,5,,,"REPLICATE>BLOCK>PLOT>PLANT:5,REPLICATE>BLOCK>PLOT:402571,REPLICATE>BLOCK:8,REPLICATE>BLOCK:8,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:3",rainfed,2012,,,,,83,,,,77,,,,,,16,,,,6.8,,,,6.6,,,,,
10,3348774,Cra12,KWS Caracal 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,10,,,"REPLICATE>BLOCK>PLOT>PLANT:10,REPLICATE>BLOCK>PLOT:402684,REPLICATE>BLOCK:5,REPLICATE>BLOCK:5,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:1",rainfed,2012,Yes,,,,,,82,,,,73,,,,17,,,,,,6.3,,,,6.5,,,
2,3348754,Cra12,KWS Caracal 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,2,,,"REPLICATE>BLOCK>PLOT>PLANT:2,REPLICATE>BLOCK>PLOT:402571,REPLICATE>BLOCK:8,REPLICATE>BLOCK:8,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:3",rainfed,2012,,,,,75,,,,74,,,,,,16,,,,6,,,,6.5,,,,,
4,3348756,Cra12,KWS Caracal 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,4,,,"REPLICATE>BLOCK>PLOT>PLANT:4,REPLICATE>BLOCK>PLOT:402571,REPLICATE>BLOCK:8,REPLICATE>BLOCK:8,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:3",rainfed,2012,,,,,88,,,,79,,,,,,15,,,,7,,,,7.2,,,,,
5,3348682,Cra12,KWS Caracal 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,5,,,"REPLICATE>BLOCK>PLOT>PLANT:5,REPLICATE>BLOCK>PLOT:400950,REPLICATE>BLOCK:7,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,2012,,,82,,,,83,,,,,,,,15,,7.7,,,,8.3,,,,,,,
5,3348694,Cra12,KWS Caracal 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,5,,,"REPLICATE>BLOCK>PLOT>PLANT:5,REPLICATE>BLOCK>PLOT:400994,REPLICATE>BLOCK:5,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,2012,Yes,,,,87,,,,79,,,,,,16,,,,6,,,,6.5,,,,,
2,3348766,Cra12,KWS Caracal 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,2,,,"REPLICATE>BLOCK>PLOT>PLANT:2,REPLICATE>BLOCK>PLOT:402684,REPLICATE>BLOCK:5,REPLICATE>BLOCK:5,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:1",rainfed,2012,Yes,,,,,,77,,,,75,,,,17,,,,,,6.9,,,,6.8,,,
1,3348751,Cra12,KWS Caracal 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,1,,,"REPLICATE>BLOCK>PLOT>PLANT:1,REPLICATE>BLOCK>PLOT:402571,REPLICATE>BLOCK:8,REPLICATE>BLOCK:8,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:3",rainfed,2012,,,,,,,86,,,,81,,,,16,,,,,,7,,,,7,,,
7,3348759,Cra12,KWS Caracal 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,7,,,"REPLICATE>BLOCK>PLOT>PLANT:7,REPLICATE>BLOCK>PLOT:402571,REPLICATE>BLOCK:8,REPLICATE>BLOCK:8,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:3",rainfed,2012,,,,,65,,,,51,,,,,,15,,,,5.4,,,,4.5,,,,,
10,3348725,Cra12,KWS Caracal 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,10,,,"REPLICATE>BLOCK>PLOT>PLANT:10,REPLICATE>BLOCK>PLOT:402234,REPLICATE>BLOCK:18,REPLICATE:1,REPLICATE:2,REPLICATE:1,REPLICATE:3",rainfed,2012,,,,,84,,,,82,,,,,,16,,,,6.8,,,,6.7,,,,,
8,3348723,Cra12,KWS Caracal 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,8,,,"REPLICATE>BLOCK>PLOT>PLANT:8,REPLICATE>BLOCK>PLOT:402234,REPLICATE>BLOCK:18,REPLICATE:1,REPLICATE:2,REPLICATE:1,REPLICATE:3",rainfed,2012,,,,,86,,,,82,,,,,,16,,,,7.5,,,,7.2,,,,,
3,3348767,Cra12,KWS Caracal 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,3,,,"REPLICATE>BLOCK>PLOT>PLANT:3,REPLICATE>BLOCK>PLOT:402684,REPLICATE>BLOCK:5,REPLICATE>BLOCK:5,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:1",rainfed,2012,Yes,,,,,,80,,,,76,,,,17,,,,,,7.1,,,,6.7,,,
5,3348732,Cra12,KWS Caracal 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,5,,,"REPLICATE>BLOCK>PLOT>PLANT:5,REPLICATE>BLOCK>PLOT:402516,REPLICATE>BLOCK:10,REPLICATE:1,REPLICATE:2,REPLICATE:2,REPLICATE:3",rainfed,2012,Yes,,,,81,,,,63,,,,,,17,,,,7.1,,,,7,,,,,
2,3348742,Cra12,KWS Caracal 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,2,,,"REPLICATE>BLOCK>PLOT>PLANT:2,REPLICATE>BLOCK>PLOT:402557,REPLICATE>BLOCK:9,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,2012,Yes,,,,82,,,,77,,,,,,17,,,,6.7,,,,6.6,,,,,
3,3348718,Cra12,KWS Caracal 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,3,,,"REPLICATE>BLOCK>PLOT>PLANT:3,REPLICATE>BLOCK>PLOT:402234,REPLICATE>BLOCK:18,REPLICATE:1,REPLICATE:2,REPLICATE:1,REPLICATE:3",rainfed,2012,,,,,,,77,,,,64,,,,17,,,,,,7,,,,6,,,
6,3348721,Cra12,KWS Caracal 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,6,,,"REPLICATE>BLOCK>PLOT>PLANT:6,REPLICATE>BLOCK>PLOT:402234,REPLICATE>BLOCK:18,REPLICATE:1,REPLICATE:2,REPLICATE:1,REPLICATE:3",rainfed,2012,,,,,78,,,,72,,,,,,16,,,,7.5,,,,7,,,,,
9,3348736,Cra12,KWS Caracal 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,9,,,"REPLICATE>BLOCK>PLOT>PLANT:9,REPLICATE>BLOCK>PLOT:402516,REPLICATE>BLOCK:10,REPLICATE:1,REPLICATE:2,REPLICATE:2,REPLICATE:3",rainfed,2012,Yes,,71,,,,70,,,,,,,,15,,8,,,,7.8,,,,,,,
9,3348724,Cra12,KWS Caracal 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,9,,,"REPLICATE>BLOCK>PLOT>PLANT:9,REPLICATE>BLOCK>PLOT:402234,REPLICATE>BLOCK:18,REPLICATE:1,REPLICATE:2,REPLICATE:1,REPLICATE:3",rainfed,2012,,,84,,,,84,,,,,,,,15,,7.6,,,,7.4,,,,,,,
5,3348720,Cra12,KWS Caracal 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,5,,,"REPLICATE>BLOCK>PLOT>PLANT:5,REPLICATE>BLOCK>PLOT:402234,REPLICATE>BLOCK:18,REPLICATE:1,REPLICATE:2,REPLICATE:1,REPLICATE:3",rainfed,2012,,,,,77,,,,77,,,,,,16,,,,7.5,,,,7.2,,,,,
3,3348743,Cra12,KWS Caracal 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,3,,,"REPLICATE>BLOCK>PLOT>PLANT:3,REPLICATE>BLOCK>PLOT:402557,REPLICATE>BLOCK:9,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,2012,Yes,,,,,,85,,,,76,,,,17,,,,,,6.5,,,,6.4,,,
2,3348679,Cra12,KWS Caracal 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,2,,,"REPLICATE>BLOCK>PLOT>PLANT:2,REPLICATE>BLOCK>PLOT:400950,REPLICATE>BLOCK:7,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,2012,,,84,,,,80,,,,,,,,15,,6.3,,,,7.5,,,,,,,
10,3348750,Cra12,KWS Caracal 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,10,,,"REPLICATE>BLOCK>PLOT>PLANT:10,REPLICATE>BLOCK>PLOT:402557,REPLICATE>BLOCK:9,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,2012,Yes,,,,86,,,,81,,,,,,16,,,,8,,,,8,,,,,
1,3348650,Cra12,KWS Caracal 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,1,,,"REPLICATE>BLOCK>PLOT>PLANT:1,REPLICATE>BLOCK>PLOT:400833,REPLICATE>BLOCK:12,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,2012,,,,,,,64,,,,56,,,,17,,,,,,7,,,,6.5,,,
2,3348717,Cra12,KWS Caracal 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,2,,,"REPLICATE>BLOCK>PLOT>PLANT:2,REPLICATE>BLOCK>PLOT:402234,REPLICATE>BLOCK:18,REPLICATE:1,REPLICATE:2,REPLICATE:1,REPLICATE:3",rainfed,2012,,,78,,,,77,,,,,,,,15,,7.5,,,,7.2,,,,,,,
5,3348745,Cra12,KWS Caracal 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,5,,,"REPLICATE>BLOCK>PLOT>PLANT:5,REPLICATE>BLOCK>PLOT:402557,REPLICATE>BLOCK:9,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,2012,Yes,,,,86,,,,74,,,,,,16,,,,7.1,,,,7.1,,,,,
1,3348726,Cra12,KWS Caracal 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,1,,,"REPLICATE>BLOCK>PLOT>PLANT:1,REPLICATE>BLOCK>PLOT:402516,REPLICATE>BLOCK:10,REPLICATE:1,REPLICATE:2,REPLICATE:2,REPLICATE:3",rainfed,2012,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3348668,Cra12,KWS Caracal 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,3,,,"REPLICATE>BLOCK>PLOT>PLANT:3,REPLICATE>BLOCK>PLOT:400924,REPLICATE>BLOCK:8,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,2012,Yes,,,,79,,,,70,,,,,,16,,,,7,,,,8,,,,,
4,3348719,Cra12,KWS Caracal 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,4,,,"REPLICATE>BLOCK>PLOT>PLANT:4,REPLICATE>BLOCK>PLOT:402234,REPLICATE>BLOCK:18,REPLICATE:1,REPLICATE:2,REPLICATE:1,REPLICATE:3",rainfed,2012,,,,,77,,,,67,,,,,,16,,,,8,,,,6.8,,,,,
7,3348659,Cra12,KWS Caracal 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,7,,,"REPLICATE>BLOCK>PLOT>PLANT:7,REPLICATE>BLOCK>PLOT:400833,REPLICATE>BLOCK:12,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,2012,,,,,,,82,,,,78,,,,17,,,,,,7,,,,8,,,
2,3348667,Cra12,KWS Caracal 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,2,,,"REPLICATE>BLOCK>PLOT>PLANT:2,REPLICATE>BLOCK>PLOT:400924,REPLICATE>BLOCK:8,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,2012,Yes,,,,,,,,73,,,,62,,18,,,,,,,,7.2,,,,7,
1,3348713,Cra12,KWS Caracal 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,1,,,"REPLICATE>BLOCK>PLOT>PLANT:1,REPLICATE>BLOCK>PLOT:402234,REPLICATE>BLOCK:18,REPLICATE:1,REPLICATE:2,REPLICATE:1,REPLICATE:3",rainfed,2012,,,,,82,,,,78,,,,,,15,,,,7.5,,,,6.5,,,,,
10,3348675,Cra12,KWS Caracal 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,10,,,"REPLICATE>BLOCK>PLOT>PLANT:10,REPLICATE>BLOCK>PLOT:400924,REPLICATE>BLOCK:8,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,2012,Yes,,,,82,,,,68,,,,,,16,,,,7.2,,,,7.5,,,,,
4,3348656,Cra12,KWS Caracal 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,4,,,"REPLICATE>BLOCK>PLOT>PLANT:4,REPLICATE>BLOCK>PLOT:400833,REPLICATE>BLOCK:12,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,2012,,,,,76,,,,69,,,,,,16,,,,6,,,,7.5,,,,,
7,3348734,Cra12,KWS Caracal 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,7,,,"REPLICATE>BLOCK>PLOT>PLANT:7,REPLICATE>BLOCK>PLOT:402516,REPLICATE>BLOCK:10,REPLICATE:1,REPLICATE:2,REPLICATE:2,REPLICATE:3",rainfed,2012,Yes,,,,80,,,,73,,,,,,17,,,,8.4,,,,75,,,,,
7,3348722,Cra12,KWS Caracal 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,7,,,"REPLICATE>BLOCK>PLOT>PLANT:7,REPLICATE>BLOCK>PLOT:402234,REPLICATE>BLOCK:18,REPLICATE:1,REPLICATE:2,REPLICATE:1,REPLICATE:3",rainfed,2012,,,,,85,,,,80,,,,,,16,,,,7.8,,,,7.4,,,,,
2,3348654,Cra12,KWS Caracal 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,2,,,"REPLICATE>BLOCK>PLOT>PLANT:2,REPLICATE>BLOCK>PLOT:400833,REPLICATE>BLOCK:12,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,2012,,,,,78,,,,66,,,,,,16,,,,7,,,,7.3,,,,,
6,3348671,Cra12,KWS Caracal 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,6,,,"REPLICATE>BLOCK>PLOT>PLANT:6,REPLICATE>BLOCK>PLOT:400924,REPLICATE>BLOCK:8,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,2012,Yes,,,,81,,,,74,,,,,,16,,,,7.5,,,,8.4,,,,,
