observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,water_regime,season,FFLW_D20deg(MIPO:0000024),FFLW_D20deg(MIPO:0000024).date,GN(MIPO:0000017),GN(MIPO:0000017).date,GY_Adj_tha(MIPO:0000018),GY_Adj_tha(MIPO:0000018).date,KW(MIPO:0000012),KW(MIPO:0000012).date,MFLW_D20deg(MIPO:0000025),MFLW_D20deg(MIPO:0000025).date,plant_height(MIPO:0000006),plant_height(MIPO:0000006).date,tassel_height(MIPO:0000014),tassel_height(MIPO:0000014).date
3147water_regimerainfed,3334122,Bol12,University_of_Bologna Cadriano 2012,127541,https://doi.org/10.15454/LBNZ4P,F874_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2012,177.2213656543,,256.9271342798,,1052.4316753217,,60.4713592298,,65.3466068732,,234.3575702809,,95.1108213129,
3042water_regimerainfed,3334024,Bol12,University_of_Bologna Cadriano 2012,127441,https://doi.org/10.15454/DB5QJS,HMV5405_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2012,196.2338268079,,215.4282557435,,2074.0959532251,,68.9720957326,,67.7515622588,,248.9079931378,,107.7148215915,
3100water_regimewatered,3334322,Bol12,University_of_Bologna Cadriano 2012,127494,https://doi.org/10.15454/Q0HNOG,LH93_H,VIRTUAL_TRIAL,,,,,,,,watered,2012,194.0038383379,,233.4046840246,,1919.1481630062,,67.7302503156,,74.5658639073,,245.5575560141,,105.1416849593,
3066water_regimewatered,3334293,Bol12,University_of_Bologna Cadriano 2012,127465,https://doi.org/10.15454/U7YFIU,B106_H,VIRTUAL_TRIAL,,,,,,,,watered,2012,208.2784985171,,242.756342304,,1712.5399665348,,68.3565711976,,74.5044450241,,266.4680738923,,113.5344233111,
3065water_regimerainfed,3334046,Bol12,University_of_Bologna Cadriano 2012,127464,https://doi.org/10.15454/HOMOXO,F918_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2012,182.7457142717,,205.6360316538,,1157.1709447048,,70.8989963279,,79.9117892091,,234.2671669642,,104.7380440987,
3027water_regimerainfed,3334009,Bol12,University_of_Bologna Cadriano 2012,127426,https://doi.org/10.15454/3UYP74,B97_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2012,202.1349925816,,230.6570645826,,1625.0919998475,,68.9449971458,,75.2918763972,,253.0461974634,,105.7370567774,
3101water_regimerainfed,3334077,Bol12,University_of_Bologna Cadriano 2012,127495,https://doi.org/10.15454/MDSCXQ,11430_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2012,197.1837122548,,209.9188374346,,1702.5938190773,,66.1151870169,,69.1477247533,,255.1088241165,,95.5479297231,
3003water_regimewatered,3334231,Bol12,University_of_Bologna Cadriano 2012,127402,https://doi.org/10.15454/5GN11W,Oh43_H,VIRTUAL_TRIAL,,,,,,,,watered,2012,193.7138275037,,237.6218714393,,1486.074517834,,65.5732241323,,75.1316995194,,239.0461901477,,95.2097969343,
3016water_regimerainfed,3333998,Bol12,University_of_Bologna Cadriano 2012,127415,https://doi.org/10.15454/DPMMOI,F1890_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2012,189.3491778703,,218.4746867115,,1962.7261449986,,66.5466115176,,69.2564967497,,249.2100804392,,103.5962964774,
3056water_regimerainfed,3334037,Bol12,University_of_Bologna Cadriano 2012,127455,https://doi.org/10.15454/CGZZ3F,DK78371A_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2012,193.3981094992,,210.6993803911,,852.6437354011,,71.240189004,,79.9388902305,,242.9999192007,,92.9178255594,
3102water_regimewatered,3334324,Bol12,University_of_Bologna Cadriano 2012,127496,https://doi.org/10.15454/IGF7DX,A3_H,VIRTUAL_TRIAL,,,,,,,,watered,2012,191.1228506454,,257.117587229,,1455.302401782,,65.7393736678,,76.2885500316,,246.7375776944,,105.3499440096,
3102water_regimerainfed,3334078,Bol12,University_of_Bologna Cadriano 2012,127496,https://doi.org/10.15454/IGF7DX,A3_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2012,192.6137484243,,220.6254430229,,950.6074742569,,66.6455214713,,76.9492319168,,244.8721006447,,104.1554821946,
3103water_regimewatered,3334325,Bol12,University_of_Bologna Cadriano 2012,127497,https://doi.org/10.15454/7OOY7F,A375_H,VIRTUAL_TRIAL,,,,,,,,watered,2012,193.432493221,,215.3714737521,,1872.4542776239,,65.2085259258,,72.1761907797,,250.512291244,,120.6059249436,
3103water_regimerainfed,3334079,Bol12,University_of_Bologna Cadriano 2012,127497,https://doi.org/10.15454/7OOY7F,A375_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2012,201.0260221071,,178.8471397061,,1854.5968484397,,67.352865063,,70.5403300741,,253.9220012872,,113.9260763114,
3061water_regimerainfed,3334042,Bol12,University_of_Bologna Cadriano 2012,127460,https://doi.org/10.15454/COQ7PM,PB98TR_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2012,209.4973877482,,195.441806259,,906.9448008682,,68.3872840212,,81.6188738283,,260.2547889162,,122.1113434613,
3139water_regimewatered,3334360,Bol12,University_of_Bologna Cadriano 2012,127533,https://doi.org/10.15454/PQQBMH,F05404_H,VIRTUAL_TRIAL,,,,,,,,watered,2012,198.9995818198,,265.9226528948,,2176.8473805692,,65.0702426626,,71.1204169981,,249.976269692,,102.1228799412,
3055water_regimewatered,3334282,Bol12,University_of_Bologna Cadriano 2012,127454,https://doi.org/10.15454/CAUHOJ,PHG86_H,VIRTUAL_TRIAL,,,,,,,,watered,2012,193.9305153948,,247.5604452522,,1932.8481894284,,65.1177616114,,69.9026633244,,252.3730357906,,99.1347092345,
3104water_regimewatered,3334326,Bol12,University_of_Bologna Cadriano 2012,127498,https://doi.org/10.15454/X4VLZJ,B109_H,VIRTUAL_TRIAL,,,,,,,,watered,2012,194.6027702742,,238.2618279216,,2085.5526530602,,65.1159847519,,71.7359939509,,246.2249965587,,99.6193842516,
3017water_regimewatered,3334245,Bol12,University_of_Bologna Cadriano 2012,127416,https://doi.org/10.15454/O8CNHP,A374_H,VIRTUAL_TRIAL,,,,,,,,watered,2012,207.459697556,,213.8851660858,,2317.2955284974,,64.400433852,,73.8067030759,,252.0673114271,,99.343091679,
3006water_regimerainfed,3333988,Bol12,University_of_Bologna Cadriano 2012,127405,https://doi.org/10.15454/FLE1RA,EZ47_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2012,186.2723395538,,226.9105295456,,683.285948007,,65.0482903783,,76.4378637056,,242.4930531552,,86.8878074188,
3136water_regimewatered,3334357,Bol12,University_of_Bologna Cadriano 2012,127530,https://doi.org/10.15454/2BEETM,F04701_H,VIRTUAL_TRIAL,,,,,,,,watered,2012,198.059823047,,302.6635454444,,1045.1703207772,,69.5569500603,,70.5587966871,,262.7578937522,,103.4599379735,
3105water_regimewatered,3334327,Bol12,University_of_Bologna Cadriano 2012,127499,https://doi.org/10.15454/3XPQEN,B110_H,VIRTUAL_TRIAL,,,,,,,,watered,2012,200.996173399,,240.3406896281,,2647.3104127564,,65.3646403647,,72.7311240337,,258.4227951951,,106.5511242055,
3054water_regimerainfed,3334035,Bol12,University_of_Bologna Cadriano 2012,127453,https://doi.org/10.15454/P7GP0D,F748_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2012,190.4642450868,,187.6426245513,,1175.1511744485,,66.6416571337,,75.4242125973,,241.4833531715,,100.9384151173,
3117water_regimewatered,3334339,Bol12,University_of_Bologna Cadriano 2012,127511,https://doi.org/10.15454/LQ4CSH,EC175_H,VIRTUAL_TRIAL,,,,,,,,watered,2012,197.1295759756,,236.4935829997,,654.1255036243,,65.2535424651,,72.9399784291,,247.1314328638,,94.7829723233,
3045water_regimewatered,3334273,Bol12,University_of_Bologna Cadriano 2012,127444,https://doi.org/10.15454/UX5L2C,W23_H,VIRTUAL_TRIAL,,,,,,,,watered,2012,189.9777393331,,221.4944862368,,1079.1935873404,,64.2328601922,,74.0184215797,,244.2939543911,,91.4787268378,
3135water_regimerainfed,3334110,Bol12,University_of_Bologna Cadriano 2012,127529,https://doi.org/10.15454/Y8KSIC,F04402_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2012,191.1648433102,,235.7673154871,,1077.1446902069,,65.6090928074,,69.3460052644,,250.7161880572,,98.0226098695,
3106water_regimerainfed,3334082,Bol12,University_of_Bologna Cadriano 2012,127500,https://doi.org/10.15454/RYTRV5,C103_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2012,217.3795770827,,216.9991207183,,246.9888427623,,72.7518680175,,80.6100640055,,266.1890451772,,99.0688681661,
3045water_regimerainfed,3334027,Bol12,University_of_Bologna Cadriano 2012,127444,https://doi.org/10.15454/UX5L2C,W23_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2012,198.0558819645,,177.2276674335,,912.7527469381,,64.9553670452,,74.0646047549,,248.4881221776,,94.8909900449,
3107water_regimerainfed,3334083,Bol12,University_of_Bologna Cadriano 2012,127501,https://doi.org/10.15454/UIVO1U,CR1Ht_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2012,184.4175593085,,212.9739923831,,1223.4184423165,,64.9905775594,,69.9254837792,,233.7323521754,,93.0659626775,
3131water_regimerainfed,3334107,Bol12,University_of_Bologna Cadriano 2012,127525,https://doi.org/10.15454/3VKPVB,W153R_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2012,187.2276561161,,237.0226222201,,1011.5997024335,,61.0502903171,,65.8178649135,,238.0810430297,,100.5632591686,
3046water_regimewatered,3334274,Bol12,University_of_Bologna Cadriano 2012,127445,https://doi.org/10.15454/HWCPGC,Mo17_H,VIRTUAL_TRIAL,,,,,,,,watered,2012,188.2014516102,,308.2483837302,,610.5597142539,,66.4629784363,,79.3424221966,,222.9276024484,,98.2993026627,
3130water_regimewatered,3334352,Bol12,University_of_Bologna Cadriano 2012,127524,https://doi.org/10.15454/3Q2V9S,EZ42_H,VIRTUAL_TRIAL,,,,,,,,watered,2012,205.2945722524,,229.5235269798,,1768.3127097239,,68.5989204123,,70.5108316094,,257.8920571466,,104.8717930198,
3108water_regimerainfed,3334084,Bol12,University_of_Bologna Cadriano 2012,127502,https://doi.org/10.15454/MWWCXA,D09_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2012,187.5002525844,,211.1710277193,,1251.1423288484,,60.3104738091,,64.7715457257,,233.0184452294,,95.5265913708,
3018water_regimewatered,3334246,Bol12,University_of_Bologna Cadriano 2012,127417,https://doi.org/10.15454/TPZTSA,FR19_H,VIRTUAL_TRIAL,,,,,,,,watered,2012,194.2653823123,,215.7774967749,,1287.2524173634,,66.1308663703,,70.8004542618,,246.1302968689,,99.1733809345,
3056water_regimewatered,3334283,Bol12,University_of_Bologna Cadriano 2012,127455,https://doi.org/10.15454/CGZZ3F,DK78371A_H,VIRTUAL_TRIAL,,,,,,,,watered,2012,192.3987980663,,278.7341132728,,909.356408065,,65.037331883,,74.5282212735,,247.2961910683,,100.4554337734,
3018water_regimerainfed,3334000,Bol12,University_of_Bologna Cadriano 2012,127417,https://doi.org/10.15454/TPZTSA,FR19_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2012,193.8773225115,,173.8274740239,,1441.292878151,,66.5482871686,,71.4058415507,,248.6795871527,,95.7252752809,
3004water_regimerainfed,3333986,Bol12,University_of_Bologna Cadriano 2012,127403,https://doi.org/10.15454/EW2AP2,W64A_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2012,180.7025314813,,198.6247085424,,1453.1357318276,,63.7963221376,,71.3115581604,,236.1710080804,,94.9735286936,
3126water_regimewatered,3334348,Bol12,University_of_Bologna Cadriano 2012,127520,https://doi.org/10.15454/TYSFSI,EZ31_H,VIRTUAL_TRIAL,,,,,,,,watered,2012,167.2322147487,,210.7170407168,,1600.3426510909,,68.372144464,,78.3188717559,,225.4173999129,,79.7540766469,
3125water_regimerainfed,3334101,Bol12,University_of_Bologna Cadriano 2012,127519,https://doi.org/10.15454/DBYYTN,EZ18_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2012,201.5965624274,,205.9556441372,,684.6754478806,,74.5334064516,,84.9356784918,,257.3798769958,,112.0796616701,
