,observationunitname,observationunitdbid,studydbid,germplasmdbid,germplasmpui,germplasmname,studyname,observationlevel,replicate,replicate.1,plot,plant,x,y,observationlevels,water_regime,GN,KW,MFLW_D20deg,FFLW_D20deg,GY_Adj_tha,plant_height,tassel_height,ear_height,ASI_D20deg,season,Tnight_Early,Tnight_Flo,Tnight_Fill,Ri_Early,Ri_Flo,Ri_Fill,Psi_Flo,Psi_Fill,Tmax_Early,Tmax_Flo,Tmax_Fill,TnbL,L8,L10,L12,W8,W10,W12,Check,L9,L11,L13,W9,W11,W13,L14,W14,L15,W15
22,400893,3361177,Mur13,127651,https://doi.org/10.15454/ZSEK9Q,B14a_H,KWS Murony 2013,REPLICATE>BLOCK>PLOT,,,400893.0,,14.0,2.0,"REPLICATE>BLOCK>PLOT:400893,REPLICATE>BLOCK:2,REPLICATE:2",watered,3326.6799733866,278.9657815126,"63,401277574","67,7330179755",9.2802987862,273,NA,133,"-4,33174040150",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,400663,3360935,Mur13,127651,https://doi.org/10.15454/ZSEK9Q,B14a_H,KWS Murony 2013,REPLICATE>BLOCK>PLOT,,,400663.0,,3.0,21.0,"REPLICATE>BLOCK>PLOT:400663,REPLICATE>BLOCK:27,REPLICATE:1",watered,3238.2328156976,295.5733522325,"63,401277574","66,243252045",9.5713532864,250,NA,142,"-2,84197447100",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,402844,3360849,Mur13,127651,https://doi.org/10.15454/ZSEK9Q,B14a_H,KWS Murony 2013,REPLICATE>BLOCK>PLOT,,,402844.0,,28.0,13.0,"REPLICATE>BLOCK>PLOT:402844,REPLICATE>BLOCK:28,REPLICATE:2",rainfed,2803.3191298497,292.7629997656,"64,8642032369","69,2778139489",8.2070811776,265,NA,150,"-4,41361071200",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,402373,3360326,Mur13,127651,https://doi.org/10.15454/ZSEK9Q,B14a_H,KWS Murony 2013,REPLICATE>BLOCK>PLOT,,,402373.0,,11.0,3.0,"REPLICATE>BLOCK>PLOT:402373,REPLICATE>BLOCK:11,REPLICATE:1",rainfed,3208.3755488011,281.3608,"60,5685845381","66,243252045",9.0271111111,258,NA,133,"-5,67466750690",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,400908,3361215,Mur13,127652,https://doi.org/10.15454/WPUFWH,F816_H,KWS Murony 2013,REPLICATE>BLOCK>PLOT,,,400908.0,,15.0,14.0,"REPLICATE>BLOCK>PLOT:400908,REPLICATE>BLOCK:15,REPLICATE:2",watered,2698.3344291037,260.590789916,"60,5685845381","63,401277574",7.0316110034,253,NA,115,"-2,83269303590",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,400771,3361058,Mur13,127652,https://doi.org/10.15454/WPUFWH,F816_H,KWS Murony 2013,REPLICATE>BLOCK>PLOT,,,400771.0,,9.0,3.0,"REPLICATE>BLOCK>PLOT:400771,REPLICATE>BLOCK:9,REPLICATE:1",watered,2651.0212950891,245.6172927002,"59,2242133829","60,5685845381",6.5113667339,268,NA,128,"-1,34437115520",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,402511,3360479,Mur13,127652,https://doi.org/10.15454/WPUFWH,F816_H,KWS Murony 2013,REPLICATE>BLOCK>PLOT,,,402511.0,,16.0,22.0,"REPLICATE>BLOCK>PLOT:402511,REPLICATE>BLOCK:16,REPLICATE:3",rainfed,2581.9088319088,246.3682494685,"59,2242133829","60,5685845381",6.361003592,235,NA,118,"-1,34437115520",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,402137,3360063,Mur13,127652,https://doi.org/10.15454/WPUFWH,F816_H,KWS Murony 2013,REPLICATE>BLOCK>PLOT,,,402137.0,,2.0,18.0,"REPLICATE>BLOCK>PLOT:402137,REPLICATE>BLOCK:2,REPLICATE:2",rainfed,2916.3779163779,252.6467869698,"59,2242133829","60,5685845381",7.3681351016,250,NA,125,"-1,34437115520",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,402804,3360805,Mur13,127652,https://doi.org/10.15454/WPUFWH,F816_H,KWS Murony 2013,REPLICATE>BLOCK>PLOT,,,402804.0,,27.0,2.0,"REPLICATE>BLOCK>PLOT:402804,REPLICATE>BLOCK:27,REPLICATE:1",rainfed,2608.3112290009,248.008,"60,5685845381","63,401277574",6.4688205128,270,NA,138,"-2,83269303590",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,401072,3361403,Mur13,127653,https://doi.org/10.15454/CHTSUF,NS501_H,KWS Murony 2013,REPLICATE>BLOCK>PLOT,,,401072.0,,23.0,10.0,"REPLICATE>BLOCK>PLOT:401072,REPLICATE>BLOCK:23,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:1",watered,2755.6734453286,242.2157983193,"60,5685845381","70,9031411312",6.6746764347,265,NA,130,"-10,33455659310",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
