,observationunitname,observationunitdbid,studydbid,germplasmdbid,germplasmpui,germplasmname,studyname,observationlevel,replicate,replicate.1,plot,plant,x,y,observationlevels,water_regime,GN,KW,MFLW_D20deg,FFLW_D20deg,GY_Adj_tha,plant_height,tassel_height,ear_height,ASI_D20deg,season,TnbL,L10,L12,W10,W12,L11,L13,W11,W13,Check,L9,W9
33,4,3344174,Bol12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,University_of_Bologna Cadriano 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,4.0,,,"REPLICATE>BLOCK>PLOT>PLANT:4,REPLICATE>BLOCK>PLOT:2237,REPLICATE>BLOCK:16,REPLICATE>BLOCK:32,REPLICATE:2,REPLICATE:1,REPLICATE:1,REPLICATE:3,REPLICATE:1",rainfed,,,,,,,,,,2012,16,87,82,9,8,,,,,,,
34,1,3344169,Bol12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,University_of_Bologna Cadriano 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,1.0,,,"REPLICATE>BLOCK>PLOT>PLANT:1,REPLICATE>BLOCK>PLOT:2237,REPLICATE>BLOCK:16,REPLICATE>BLOCK:32,REPLICATE:2,REPLICATE:1,REPLICATE:1,REPLICATE:3,REPLICATE:1",rainfed,,,,,,,,,,2012,16,96,88,8.5,8,,,,,,,
35,3,3344151,Bol12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,University_of_Bologna Cadriano 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,3.0,,,"REPLICATE>BLOCK>PLOT>PLANT:3,REPLICATE>BLOCK>PLOT:1403,REPLICATE>BLOCK:18,REPLICATE>BLOCK:35,REPLICATE:2,REPLICATE:1,REPLICATE:3,REPLICATE:1",watered,,,,,,,,,,2012,18,86,74,8.5,7.4,,,,,,,
36,5,3344153,Bol12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,University_of_Bologna Cadriano 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,5.0,,,"REPLICATE>BLOCK>PLOT>PLANT:5,REPLICATE>BLOCK>PLOT:1403,REPLICATE>BLOCK:18,REPLICATE>BLOCK:35,REPLICATE:2,REPLICATE:1,REPLICATE:3,REPLICATE:1",watered,,,,,,,,,,2012,16,88,84,9,8,,,,,,,
37,2,3344150,Bol12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,University_of_Bologna Cadriano 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,2.0,,,"REPLICATE>BLOCK>PLOT>PLANT:2,REPLICATE>BLOCK>PLOT:1403,REPLICATE>BLOCK:18,REPLICATE>BLOCK:35,REPLICATE:2,REPLICATE:1,REPLICATE:3,REPLICATE:1",watered,,,,,,,,,,2012,17,88,83,8,8,,,,,,,
38,4,3344152,Bol12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,University_of_Bologna Cadriano 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,4.0,,,"REPLICATE>BLOCK>PLOT>PLANT:4,REPLICATE>BLOCK>PLOT:1403,REPLICATE>BLOCK:18,REPLICATE>BLOCK:35,REPLICATE:2,REPLICATE:1,REPLICATE:3,REPLICATE:1",watered,,,,,,,,,,2012,17,,,,,84,65,8.6,7,,,
39,1,3344146,Bol12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,University_of_Bologna Cadriano 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,1.0,,,"REPLICATE>BLOCK>PLOT>PLANT:1,REPLICATE>BLOCK>PLOT:1403,REPLICATE>BLOCK:18,REPLICATE>BLOCK:35,REPLICATE:2,REPLICATE:1,REPLICATE:3,REPLICATE:1",watered,,,,,,,,,,2012,16,80,79,8,8,,,,,,,
40,3,3344143,Bol12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,University_of_Bologna Cadriano 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,3.0,,,"REPLICATE>BLOCK>PLOT>PLANT:3,REPLICATE>BLOCK>PLOT:1382,REPLICATE>BLOCK:39,REPLICATE>BLOCK:35,REPLICATE:2,REPLICATE:1,REPLICATE:3,REPLICATE:2",watered,,,,,,,,,,2012,18,90,80,7.5,7,,,,,,,
41,5,3344145,Bol12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,University_of_Bologna Cadriano 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,5.0,,,"REPLICATE>BLOCK>PLOT>PLANT:5,REPLICATE>BLOCK>PLOT:1382,REPLICATE>BLOCK:39,REPLICATE>BLOCK:35,REPLICATE:2,REPLICATE:1,REPLICATE:3,REPLICATE:2",watered,,,,,,,,,,2012,16,97,80,8,8,,,,,,,
42,2,3344142,Bol12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,University_of_Bologna Cadriano 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,2.0,,,"REPLICATE>BLOCK>PLOT>PLANT:2,REPLICATE>BLOCK>PLOT:1382,REPLICATE>BLOCK:39,REPLICATE>BLOCK:35,REPLICATE:2,REPLICATE:1,REPLICATE:3,REPLICATE:2",watered,,,,,,,,,,2012,18,90,89,8,7.5,,,,,,,
43,4,3344144,Bol12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,University_of_Bologna Cadriano 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,4.0,,,"REPLICATE>BLOCK>PLOT>PLANT:4,REPLICATE>BLOCK>PLOT:1382,REPLICATE>BLOCK:39,REPLICATE>BLOCK:35,REPLICATE:2,REPLICATE:1,REPLICATE:3,REPLICATE:2",watered,,,,,,,,,,2012,16,94,90,8,7,,,,,,,
44,1,3344139,Bol12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,University_of_Bologna Cadriano 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,1.0,,,"REPLICATE>BLOCK>PLOT>PLANT:1,REPLICATE>BLOCK>PLOT:1382,REPLICATE>BLOCK:39,REPLICATE>BLOCK:35,REPLICATE:2,REPLICATE:1,REPLICATE:3,REPLICATE:2",watered,,,,,,,,,,2012,16,91,82,8.5,8,,,,,,,
45,5,3344205,Bol12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,University_of_Bologna Cadriano 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,5.0,,,"REPLICATE>BLOCK>PLOT>PLANT:5,REPLICATE>BLOCK>PLOT:2754,REPLICATE>BLOCK:57,REPLICATE>BLOCK:30,REPLICATE:3,REPLICATE:3",rainfed,,,,,,,,,,2012,15,88,81,8.5,7.5,,,,,Yes,,
46,1,3344199,Bol12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,University_of_Bologna Cadriano 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,1.0,,,"REPLICATE>BLOCK>PLOT>PLANT:1,REPLICATE>BLOCK>PLOT:2754,REPLICATE>BLOCK:57,REPLICATE>BLOCK:30,REPLICATE:3,REPLICATE:3",rainfed,,,,,,,,,,2012,16,91,84,7,7,,,,,Yes,,
47,4,3344204,Bol12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,University_of_Bologna Cadriano 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,4.0,,,"REPLICATE>BLOCK>PLOT>PLANT:4,REPLICATE>BLOCK>PLOT:2754,REPLICATE>BLOCK:57,REPLICATE>BLOCK:30,REPLICATE:3,REPLICATE:3",rainfed,,,,,,,,,,2012,16,89,84,8,7.5,,,,,Yes,,
48,2,3344202,Bol12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,University_of_Bologna Cadriano 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,2.0,,,"REPLICATE>BLOCK>PLOT>PLANT:2,REPLICATE>BLOCK>PLOT:2754,REPLICATE>BLOCK:57,REPLICATE>BLOCK:30,REPLICATE:3,REPLICATE:3",rainfed,,,,,,,,,,2012,16,89,81,8,7.5,,,,,Yes,,
49,3,3344203,Bol12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,University_of_Bologna Cadriano 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,3.0,,,"REPLICATE>BLOCK>PLOT>PLANT:3,REPLICATE>BLOCK>PLOT:2754,REPLICATE>BLOCK:57,REPLICATE>BLOCK:30,REPLICATE:3,REPLICATE:3",rainfed,,,,,,,,,,2012,15,89,88,8,7.5,,,,,Yes,,
50,5,3344183,Bol12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,University_of_Bologna Cadriano 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,5.0,,,"REPLICATE>BLOCK>PLOT>PLANT:5,REPLICATE>BLOCK>PLOT:2349,REPLICATE>BLOCK:36,REPLICATE>BLOCK:29,REPLICATE:2,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:2",rainfed,,,,,,,,,,2012,16,93,82,9,8,,,,,Yes,,
51,1,3344176,Bol12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,University_of_Bologna Cadriano 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,1.0,,,"REPLICATE>BLOCK>PLOT>PLANT:1,REPLICATE>BLOCK>PLOT:2349,REPLICATE>BLOCK:36,REPLICATE>BLOCK:29,REPLICATE:2,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:2",rainfed,,,,,,,,,,2012,19,74,91,7,8,,,,,Yes,,
52,4,3344182,Bol12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,University_of_Bologna Cadriano 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,4.0,,,"REPLICATE>BLOCK>PLOT>PLANT:4,REPLICATE>BLOCK>PLOT:2349,REPLICATE>BLOCK:36,REPLICATE>BLOCK:29,REPLICATE:2,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:2",rainfed,,,,,,,,,,2012,16,84,80,9,7.5,,,,,Yes,,
53,4,3344159,Bol12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,University_of_Bologna Cadriano 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,4.0,,,"REPLICATE>BLOCK>PLOT>PLANT:4,REPLICATE>BLOCK>PLOT:1418,REPLICATE>BLOCK:3,REPLICATE>BLOCK:5,REPLICATE:2,REPLICATE:1,REPLICATE:3,REPLICATE:2,REPLICATE:1,REPLICATE:1,REPLICATE:3",watered,,,,,,,,,,2012,16,90,81,9,8,,,,,Yes,,
54,2,3344157,Bol12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,University_of_Bologna Cadriano 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,2.0,,,"REPLICATE>BLOCK>PLOT>PLANT:2,REPLICATE>BLOCK>PLOT:1418,REPLICATE>BLOCK:3,REPLICATE>BLOCK:5,REPLICATE:2,REPLICATE:1,REPLICATE:3,REPLICATE:2,REPLICATE:1,REPLICATE:1,REPLICATE:3",watered,,,,,,,,,,2012,17,88,89,8.7,8.5,,,,,Yes,,
55,3,3344158,Bol12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,University_of_Bologna Cadriano 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,3.0,,,"REPLICATE>BLOCK>PLOT>PLANT:3,REPLICATE>BLOCK>PLOT:1418,REPLICATE>BLOCK:3,REPLICATE>BLOCK:5,REPLICATE:2,REPLICATE:1,REPLICATE:3,REPLICATE:2,REPLICATE:1,REPLICATE:1,REPLICATE:3",watered,,,,,,,,,,2012,17,92,88,8,7.5,,,,,Yes,,
56,5,3344138,Bol12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,University_of_Bologna Cadriano 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,5.0,,,"REPLICATE>BLOCK>PLOT>PLANT:5,REPLICATE>BLOCK>PLOT:1342,REPLICATE>BLOCK:37,REPLICATE>BLOCK:31,REPLICATE:2,REPLICATE:1,REPLICATE:3,REPLICATE:2",watered,,,,,,,,,,2012,18,,,,,83,,7.5,,Yes,80,9
57,1,3344131,Bol12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,University_of_Bologna Cadriano 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,1.0,,,"REPLICATE>BLOCK>PLOT>PLANT:1,REPLICATE>BLOCK>PLOT:1342,REPLICATE>BLOCK:37,REPLICATE>BLOCK:31,REPLICATE:2,REPLICATE:1,REPLICATE:3,REPLICATE:2",watered,,,,,,,,,,2012,16,93,86,9,8.5,,,,,Yes,,
58,4,3344137,Bol12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,University_of_Bologna Cadriano 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,4.0,,,"REPLICATE>BLOCK>PLOT>PLANT:4,REPLICATE>BLOCK>PLOT:1342,REPLICATE>BLOCK:37,REPLICATE>BLOCK:31,REPLICATE:2,REPLICATE:1,REPLICATE:3,REPLICATE:2",watered,,,,,,,,,,2012,15,,,,,82,,7.5,,Yes,80,8
