,observationunitname,observationunitdbid,studydbid,germplasmdbid,germplasmpui,germplasmname,studyname,observationlevel,replicate,replicate.1,plot,plant,x,y,observationlevels,water_regime,GN,KW,MFLW_D20deg,FFLW_D20deg,GY_Adj_tha,plant_height,tassel_height,ear_height,ASI_D20deg,season,Tnight_Early,Tnight_Flo,Tnight_Fill,Ri_Early,Ri_Flo,Ri_Fill,Psi_Flo,Psi_Fill,Tmax_Early,Tmax_Flo,Tmax_Fill,TnbL,L9,L10,L11,L12,L13,W9,W10,W11,W12,W13,L14,W14,L8,W8
10,YCXGDTM1088040,3356051,Gra13,127474,https://doi.org/10.15454/GF4RQE,EP55_H,Biogemma Graneros 2013,REPLICATE>BLOCK>PLOT,,,YCXGDTM1088040,,88.0,40.0,"REPLICATE>BLOCK>PLOT:YCXGDTM1088040,REPLICATE>BLOCK:6,REPLICATE:2",watered,3623.1884057971,266.1708823529,NA,NA,9.643872549,270,320,135,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,
11,YCXGDTM1071047,3356050,Gra13,127474,https://doi.org/10.15454/GF4RQE,EP55_H,Biogemma Graneros 2013,REPLICATE>BLOCK>PLOT,,,YCXGDTM1071047,,71.0,47.0,"REPLICATE>BLOCK>PLOT:YCXGDTM1071047,REPLICATE>BLOCK:17,REPLICATE:1",watered,3341.1949685535,258.1411764706,NA,NA,8.625,315,350,125,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,
12,3078water_regimewatered,3338120,Gra13,127474,https://doi.org/10.15454/GF4RQE,EP55_H,Biogemma Graneros 2013,VIRTUAL_TRIAL,,,,,,,,watered,268.2091916696,67.4436777393,,296.1852461432,3511.7885798007,335.955034383,134.5750116724,,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,
13,3078water_regimerainfed,3337874,Gra13,127474,https://doi.org/10.15454/GF4RQE,EP55_H,Biogemma Graneros 2013,VIRTUAL_TRIAL,,,,,,,,rainfed,272.1240153258,67.5383993814,71.6816200189,189.8771622565,2506.8104699057,233.6468765197,110.5545767872,,,2013,16.0841477273,15.3195745921,13.4598498377,302.323,440.351,1288.803,-228.0737179487,-48.8586309524,38.0538344768,37.6863912445,33.7160891294,,,,,,,,,,,,,,,
14,YCXGDTM1098030,3356984,Gra13,127650,https://doi.org/10.15454/I2W4OZ,SGI061_H,Biogemma Graneros 2013,REPLICATE>BLOCK>PLOT,,,YCXGDTM1098030,,98.0,30.0,"REPLICATE>BLOCK>PLOT:YCXGDTM1098030,REPLICATE>BLOCK:58,REPLICATE:5",rainfed,2792.0962199313,276.9635294118,"67,8477662825","72,2486439239",7.7330882353,165,205,90,"-4,40087764140",2013,,,,,,,,,,,,,,,,,,,,,,,,,,
15,YCXGDTM1080025,3356983,Gra13,127650,https://doi.org/10.15454/I2W4OZ,SGI061_H,Biogemma Graneros 2013,REPLICATE>BLOCK>PLOT,,,YCXGDTM1080025,,80.0,25.0,"REPLICATE>BLOCK>PLOT:YCXGDTM1080025,REPLICATE>BLOCK:36,REPLICATE:4",rainfed,2904.7250193648,312.4979411765,"67,8477662825","72,2486439239",9.0772058824,180,220,80,"-4,40087764140",2013,,,,,,,,,,,,,,,,,,,,,,,,,,
16,YCXGDTM1056021,3356982,Gra13,127650,https://doi.org/10.15454/I2W4OZ,SGI061_H,Biogemma Graneros 2013,REPLICATE>BLOCK>PLOT,,,YCXGDTM1056021,,56.0,21.0,"REPLICATE>BLOCK>PLOT:YCXGDTM1056021,REPLICATE>BLOCK:17,REPLICATE:3",rainfed,3093.5402684564,286.4305882353,"66,4276631668","70,752276834",8.8608455882,200,240,105,"-4,32461366720",2013,,,,,,,,,,,,,,,,,,,,,,,,,,
17,YCXGDTM1093045,3356981,Gra13,127650,https://doi.org/10.15454/I2W4OZ,SGI061_H,Biogemma Graneros 2013,REPLICATE>BLOCK>PLOT,,,YCXGDTM1093045,,93.0,45.0,"REPLICATE>BLOCK>PLOT:YCXGDTM1093045,REPLICATE>BLOCK:14,REPLICATE:2",watered,4457.0502431118,293.6194117647,NA,NA,13.0867647059,290,340,155,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,
18,YCXGDTM1065049,3356980,Gra13,127650,https://doi.org/10.15454/I2W4OZ,SGI061_H,Biogemma Graneros 2013,REPLICATE>BLOCK>PLOT,,,YCXGDTM1065049,,65.0,49.0,"REPLICATE>BLOCK>PLOT:YCXGDTM1065049,REPLICATE>BLOCK:19,REPLICATE:1",watered,3994.4903581267,294.3147058824,NA,NA,11.756372549,290,330,130,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,
19,3256water_regimewatered,3338292,Gra13,127650,https://doi.org/10.15454/I2W4OZ,SGI061_H,Biogemma Graneros 2013,VIRTUAL_TRIAL,,,,,,,,watered,305.2223484592,68.4538686771,,288.0788739303,4199.3207449331,329.2708856667,134.0449288228,,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,
20,3256water_regimerainfed,3338046,Gra13,127650,https://doi.org/10.15454/I2W4OZ,SGI061_H,Biogemma Graneros 2013,VIRTUAL_TRIAL,,,,,,,,rainfed,302.777250223,67.6448742721,72.086475275,183.3534846204,2988.713499495,218.8868877486,90.7554334317,,,2013,16.2928853755,15.2347835498,13.4598498377,254.335,440.351,1288.803,-227.8511904762,-48.8586309524,38.2689626735,37.6149285637,33.7160891294,,,,,,,,,,,,,,,
21,YCXGDTM1097026,3356989,Gra13,127651,https://doi.org/10.15454/ZSEK9Q,B14a_H,Biogemma Graneros 2013,REPLICATE>BLOCK>PLOT,,,YCXGDTM1097026,,97.0,26.0,"REPLICATE>BLOCK>PLOT:YCXGDTM1097026,REPLICATE>BLOCK:39,REPLICATE:5",rainfed,2145.9899749373,303.9441176471,"66,4276631668","70,752276834",6.5226102941,160,200,60,"-4,32461366720",2013,,,,,,,,,,,,,,,,,,,,,,,,,,
22,YCXGDTM1077031,3356988,Gra13,127651,https://doi.org/10.15454/ZSEK9Q,B14a_H,Biogemma Graneros 2013,REPLICATE>BLOCK>PLOT,,,YCXGDTM1077031,,77.0,31.0,"REPLICATE>BLOCK>PLOT:YCXGDTM1077031,REPLICATE>BLOCK:63,REPLICATE:4",rainfed,1624.9315818281,285.8717647059,"74,9225179234","78,4192045197",4.6452205882,140,180,55,"-3,49668659630",2013,,,,,,,,,,,,,,,,,,,,,,,,,,
23,YCXGDTM1046021,3356987,Gra13,127651,https://doi.org/10.15454/ZSEK9Q,B14a_H,Biogemma Graneros 2013,REPLICATE>BLOCK>PLOT,,,YCXGDTM1046021,,46.0,21.0,"REPLICATE>BLOCK>PLOT:YCXGDTM1046021,REPLICATE>BLOCK:15,REPLICATE:3",rainfed,2212.6906318083,278.28,"70,752276834","74,9225179234",6.1574754902,190,230,80,"-4,17024108940",2013,,,,,,,,,,,,,,,,,,,,,,,,,,
24,YCXGDTM1080039,3356986,Gra13,127651,https://doi.org/10.15454/ZSEK9Q,B14a_H,Biogemma Graneros 2013,REPLICATE>BLOCK>PLOT,,,YCXGDTM1080039,,80.0,39.0,"REPLICATE>BLOCK>PLOT:YCXGDTM1080039,REPLICATE>BLOCK:4,REPLICATE:2",watered,3500.4516711834,339.0458823529,NA,NA,11.8681372549,285,340,135,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,
25,YCXGDTM1058043,3356985,Gra13,127651,https://doi.org/10.15454/ZSEK9Q,B14a_H,Biogemma Graneros 2013,REPLICATE>BLOCK>PLOT,,,YCXGDTM1058043,,58.0,43.0,"REPLICATE>BLOCK>PLOT:YCXGDTM1058043,REPLICATE>BLOCK:10,REPLICATE:1,REPLICATE:3,REPLICATE:2,REPLICATE:4,REPLICATE:5",watered,3078.517434772,316.4202941176,NA,NA,9.7410539216,290,345,150,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,
26,YCXGDTM1094019,3356994,Gra13,127652,https://doi.org/10.15454/WPUFWH,F816_H,Biogemma Graneros 2013,REPLICATE>BLOCK>PLOT,,,YCXGDTM1094019,,94.0,19.0,"REPLICATE>BLOCK>PLOT:YCXGDTM1094019,REPLICATE>BLOCK:6,REPLICATE:5",rainfed,2663.874191652,277.4964705882,"66,4276631668","70,752276834",7.3921568627,190,240,90,"-4,32461366720",2013,,,,,,,,,,,,,,,,,,,,,,,,,,
27,YCXGDTM1086026,3356993,Gra13,127652,https://doi.org/10.15454/WPUFWH,F816_H,Biogemma Graneros 2013,REPLICATE>BLOCK>PLOT,,,YCXGDTM1086026,,86.0,26.0,"REPLICATE>BLOCK>PLOT:YCXGDTM1086026,REPLICATE>BLOCK:42,REPLICATE:4",rainfed,2709.740990991,288.3388235294,"66,4276631668","70,752276834",7.8132352941,200,250,80,"-4,32461366720",2013,,,,,,,,,,,,,,,,,,,,,,,,,,
28,YCXGDTM1064032,3356992,Gra13,127652,https://doi.org/10.15454/WPUFWH,F816_H,Biogemma Graneros 2013,REPLICATE>BLOCK>PLOT,,,YCXGDTM1064032,,64.0,32.0,"REPLICATE>BLOCK>PLOT:YCXGDTM1064032,REPLICATE>BLOCK:69,REPLICATE:3",rainfed,3151.5392781316,297.7458823529,"66,4276631668","67,8477662825",9.3835784314,205,250,100,"-1,42010311570",2013,,,,,,,,,,,,,,,,,,,,,,,,,,
29,YCXGDTM1099045,3356991,Gra13,127652,https://doi.org/10.15454/WPUFWH,F816_H,Biogemma Graneros 2013,REPLICATE>BLOCK>PLOT,,,YCXGDTM1099045,,99.0,45.0,"REPLICATE>BLOCK>PLOT:YCXGDTM1099045,REPLICATE>BLOCK:14,REPLICATE:2",watered,3097.5219824141,305.0232352941,NA,NA,9.4481617647,290,330,135,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,
30,YCXGDTM1060043,3356990,Gra13,127652,https://doi.org/10.15454/WPUFWH,F816_H,Biogemma Graneros 2013,REPLICATE>BLOCK>PLOT,,,YCXGDTM1060043,,60.0,43.0,"REPLICATE>BLOCK>PLOT:YCXGDTM1060043,REPLICATE>BLOCK:10,REPLICATE:1,REPLICATE:3,REPLICATE:2,REPLICATE:4,REPLICATE:5",watered,3060.263653484,296.9955882353,NA,NA,9.0888480392,265,330,125,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,
31,YCXGDTM1096029,3356999,Gra13,127653,https://doi.org/10.15454/CHTSUF,NS501_H,Biogemma Graneros 2013,REPLICATE>BLOCK>PLOT,,,YCXGDTM1096029,,96.0,29.0,"REPLICATE>BLOCK>PLOT:YCXGDTM1096029,REPLICATE>BLOCK:53,REPLICATE:5",rainfed,2664.0601042625,265.6755882353,"67,8477662825","72,2486439239",7.0777573529,155,195,65,"-4,40087764140",2013,,,,,,,,,,,,,,,,,,,,,,,,,,
32,YCXGDTM1069022,3356998,Gra13,127653,https://doi.org/10.15454/CHTSUF,NS501_H,Biogemma Graneros 2013,REPLICATE>BLOCK>PLOT,,,YCXGDTM1069022,,69.0,22.0,"REPLICATE>BLOCK>PLOT:YCXGDTM1069022,REPLICATE>BLOCK:20,REPLICATE:4",rainfed,2583.6972343523,282.5455882353,"66,4276631668","70,752276834",7.300122549,185,220,110,"-4,32461366720",2013,,,,,,,,,,,,,,,,,,,,,,,,,,
33,YCXGDTM1046025,3356997,Gra13,127653,https://doi.org/10.15454/CHTSUF,NS501_H,Biogemma Graneros 2013,REPLICATE>BLOCK>PLOT,,,YCXGDTM1046025,,46.0,25.0,"REPLICATE>BLOCK>PLOT:YCXGDTM1046025,REPLICATE>BLOCK:34,REPLICATE:3",rainfed,2644.596651446,266.6647058824,"66,4276631668","70,752276834",7.0522058824,180,210,85,"-4,32461366720",2013,,,,,,,,,,,,,,,,,,,,,,,,,,
34,YCXGDTM1100049,3356996,Gra13,127653,https://doi.org/10.15454/CHTSUF,NS501_H,Biogemma Graneros 2013,REPLICATE>BLOCK>PLOT,,,YCXGDTM1100049,,100.0,49.0,"REPLICATE>BLOCK>PLOT:YCXGDTM1100049,REPLICATE>BLOCK:20,REPLICATE:2",watered,3543.0839002268,287.7741176471,NA,NA,10.1960784314,290,340,145,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,
35,YCXGDTM1079040,3356995,Gra13,127653,https://doi.org/10.15454/CHTSUF,NS501_H,Biogemma Graneros 2013,REPLICATE>BLOCK>PLOT,,,YCXGDTM1079040,,79.0,40.0,"REPLICATE>BLOCK>PLOT:YCXGDTM1079040,REPLICATE>BLOCK:7,REPLICATE:1",watered,3575.2472600909,301.4805882353,NA,NA,10.7786764706,260,305,115,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,
36,YCXGDTM1089032,3357004,Gra13,127654,https://doi.org/10.15454/UHHPBO,Pa35_H,Biogemma Graneros 2013,REPLICATE>BLOCK>PLOT,,,YCXGDTM1089032,,89.0,32.0,"REPLICATE>BLOCK>PLOT:YCXGDTM1089032,REPLICATE>BLOCK:65,REPLICATE:5",rainfed,1914.0164899882,274.0105882353,"65,0109583653","69,2512954927",5.2446078431,165,210,80,"-4,24033712740",2013,,,,,,,,,,,,,,,,,,,,,,,,,,
37,YCXGDTM1086025,3357003,Gra13,127654,https://doi.org/10.15454/UHHPBO,Pa35_H,Biogemma Graneros 2013,REPLICATE>BLOCK>PLOT,,,YCXGDTM1086025,,86.0,25.0,"REPLICATE>BLOCK>PLOT:YCXGDTM1086025,REPLICATE>BLOCK:37,REPLICATE:4",rainfed,2065.8263305322,286.65,"69,2512954927","73,5986808046",5.9216911765,160,210,80,"-4,34738531190",2013,,,,,,,,,,,,,,,,,,,,,,,,,,
38,YCXGDTM1053022,3357002,Gra13,127654,https://doi.org/10.15454/UHHPBO,Pa35_H,Biogemma Graneros 2013,REPLICATE>BLOCK>PLOT,,,YCXGDTM1053022,,53.0,22.0,"REPLICATE>BLOCK>PLOT:YCXGDTM1053022,REPLICATE>BLOCK:21,REPLICATE:3",rainfed,1773.0496453901,283.7279411765,"70,752276834","74,9225179234",5.0306372549,175,220,100,"-4,17024108940",2013,,,,,,,,,,,,,,,,,,,,,,,,,,
39,YCXGDTM1090039,3357001,Gra13,127654,https://doi.org/10.15454/UHHPBO,Pa35_H,Biogemma Graneros 2013,REPLICATE>BLOCK>PLOT,,,YCXGDTM1090039,,90.0,39.0,"REPLICATE>BLOCK>PLOT:YCXGDTM1090039,REPLICATE>BLOCK:4,REPLICATE:2",watered,2694.2355889724,309.4205882353,NA,NA,8.3365196078,280,340,150,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,
40,YCXGDTM1071045,3357000,Gra13,127654,https://doi.org/10.15454/UHHPBO,Pa35_H,Biogemma Graneros 2013,REPLICATE>BLOCK>PLOT,,,YCXGDTM1071045,,71.0,45.0,"REPLICATE>BLOCK>PLOT:YCXGDTM1071045,REPLICATE>BLOCK:14,REPLICATE:1",watered,2342.907227616,294.0952941176,NA,NA,6.890379902,270,320,160,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,
41,YCXGDTM1089023,3357009,Gra13,127655,https://doi.org/10.15454/TXE8L9,PP147_H,Biogemma Graneros 2013,REPLICATE>BLOCK>PLOT,,,YCXGDTM1089023,,89.0,23.0,"REPLICATE>BLOCK>PLOT:YCXGDTM1089023,REPLICATE>BLOCK:24,REPLICATE:5",rainfed,1674.7052518757,282.8270588235,"70,752276834","74,9225179234",4.7365196078,195,240,105,"-4,17024108940",2013,,,,,,,,,,,,,,,,,,,,,,,,,,
42,YCXGDTM1077029,3357008,Gra13,127655,https://doi.org/10.15454/TXE8L9,PP147_H,Biogemma Graneros 2013,REPLICATE>BLOCK>PLOT,,,YCXGDTM1077029,,77.0,29.0,"REPLICATE>BLOCK>PLOT:YCXGDTM1077029,REPLICATE>BLOCK:54,REPLICATE:4",rainfed,1845.5706304868,291.8752941176,"72,2486439239","76,1315900235",5.3867647059,155,200,70,"-3,88294609960",2013,,,,,,,,,,,,,,,,,,,,,,,,,,
43,YCXGDTM1044022,3357007,Gra13,127655,https://doi.org/10.15454/TXE8L9,PP147_H,Biogemma Graneros 2013,REPLICATE>BLOCK>PLOT,,,YCXGDTM1044022,,44.0,22.0,"REPLICATE>BLOCK>PLOT:YCXGDTM1044022,REPLICATE>BLOCK:19,REPLICATE:3",rainfed,2024.765729585,284.8852941176,"69,2512954927","73,5986808046",5.7682598039,190,230,100,"-4,34738531190",2013,,,,,,,,,,,,,,,,,,,,,,,,,,
44,YCXGDTM1058048,3357005,Gra13,127655,https://doi.org/10.15454/TXE8L9,PP147_H,Biogemma Graneros 2013,REPLICATE>BLOCK>PLOT,,,YCXGDTM1058048,,58.0,48.0,"REPLICATE>BLOCK>PLOT:YCXGDTM1058048,REPLICATE>BLOCK:17,REPLICATE:1",watered,3042.9019040733,316.8697058824,NA,NA,9.6420343137,290,350,150,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,
45,YCXGDTM1100038,3357006,Gra13,127655,https://doi.org/10.15454/TXE8L9,PP147_H,Biogemma Graneros 2013,REPLICATE>BLOCK>PLOT,,,YCXGDTM1100038,,100.0,38.0,"REPLICATE>BLOCK>PLOT:YCXGDTM1100038,REPLICATE>BLOCK:3,REPLICATE:1,REPLICATE:3,REPLICATE:2,REPLICATE:4,REPLICATE:5",watered,2828.2640949555,308.0576470588,NA,NA,8.7126838235,270,335,145,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,
46,10,3355474,Gra13,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Biogemma Graneros 2013,REPLICATE>BLOCK>PLOT>PLANT,,,,10.0,,,"REPLICATE>BLOCK>PLOT>PLANT:10,REPLICATE>BLOCK>PLOT:YCXGDTM1102027,REPLICATE>BLOCK:45,REPLICATE:3,REPLICATE:4,REPLICATE:5",rainfed,,,,,,,,,,2013,,,,,,,,,,,,17,82,84,82,75,71,7,8,8,8,7,,,,
47,8,3355472,Gra13,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Biogemma Graneros 2013,REPLICATE>BLOCK>PLOT>PLANT,,,,8.0,,,"REPLICATE>BLOCK>PLOT>PLANT:8,REPLICATE>BLOCK>PLOT:YCXGDTM1102027,REPLICATE>BLOCK:45,REPLICATE:3,REPLICATE:4,REPLICATE:5",rainfed,,,,,,,,,,2013,,,,,,,,,,,,16,87,82,83,74,64,8,8,8,8,8,,,,
48,3,3355469,Gra13,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Biogemma Graneros 2013,REPLICATE>BLOCK>PLOT>PLANT,,,,3.0,,,"REPLICATE>BLOCK>PLOT>PLANT:3,REPLICATE>BLOCK>PLOT:YCXGDTM1102027,REPLICATE>BLOCK:45,REPLICATE:3,REPLICATE:4,REPLICATE:5",rainfed,,,,,,,,,,2013,,,,,,,,,,,,17,73,75,74,69,60,7,7,7,7,7,,,,
49,6,3355485,Gra13,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Biogemma Graneros 2013,REPLICATE>BLOCK>PLOT>PLANT,,,,6.0,,,"REPLICATE>BLOCK>PLOT>PLANT:6,REPLICATE>BLOCK>PLOT:YCXGDTM1102027,REPLICATE>BLOCK:45,REPLICATE:3,REPLICATE:4,REPLICATE:5",rainfed,,,,,,,,,,2013,,,,,,,,,,,,17,,86,88,86,80,,8,8,8,8,72,8,,
50,9,3355473,Gra13,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Biogemma Graneros 2013,REPLICATE>BLOCK>PLOT>PLANT,,,,9.0,,,"REPLICATE>BLOCK>PLOT>PLANT:9,REPLICATE>BLOCK>PLOT:YCXGDTM1102027,REPLICATE>BLOCK:45,REPLICATE:3,REPLICATE:4,REPLICATE:5",rainfed,,,,,,,,,,2013,,,,,,,,,,,,17,83,89,86,84,72,8,9,9,8,9,,,,
51,5,3355471,Gra13,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Biogemma Graneros 2013,REPLICATE>BLOCK>PLOT>PLANT,,,,5.0,,,"REPLICATE>BLOCK>PLOT>PLANT:5,REPLICATE>BLOCK>PLOT:YCXGDTM1102027,REPLICATE>BLOCK:45,REPLICATE:3,REPLICATE:4,REPLICATE:5",rainfed,,,,,,,,,,2013,,,,,,,,,,,,17,76,81,79,70,58,7,8,8,8,8,,,,
52,2,3355468,Gra13,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Biogemma Graneros 2013,REPLICATE>BLOCK>PLOT>PLANT,,,,2.0,,,"REPLICATE>BLOCK>PLOT>PLANT:2,REPLICATE>BLOCK>PLOT:YCXGDTM1102027,REPLICATE>BLOCK:45,REPLICATE:3,REPLICATE:4,REPLICATE:5",rainfed,,,,,,,,,,2013,,,,,,,,,,,,16,72,74,74,67,62,7,8,7,7,8,,,,
53,4,3355470,Gra13,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Biogemma Graneros 2013,REPLICATE>BLOCK>PLOT>PLANT,,,,4.0,,,"REPLICATE>BLOCK>PLOT>PLANT:4,REPLICATE>BLOCK>PLOT:YCXGDTM1102027,REPLICATE>BLOCK:45,REPLICATE:3,REPLICATE:4,REPLICATE:5",rainfed,,,,,,,,,,2013,,,,,,,,,,,,17,72,69,70,65,58,6,7,7,8,7,,,,
54,1,3355464,Gra13,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Biogemma Graneros 2013,REPLICATE>BLOCK>PLOT>PLANT,,,,1.0,,,"REPLICATE>BLOCK>PLOT>PLANT:1,REPLICATE>BLOCK>PLOT:YCXGDTM1102027,REPLICATE>BLOCK:45,REPLICATE:3,REPLICATE:4,REPLICATE:5",rainfed,,,,,,,,,,2013,,,,,,,,,,,,17,75,80,76,74,68,7,8,7,8,7,,,,
55,7,3355486,Gra13,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Biogemma Graneros 2013,REPLICATE>BLOCK>PLOT>PLANT,,,,7.0,,,"REPLICATE>BLOCK>PLOT>PLANT:7,REPLICATE>BLOCK>PLOT:YCXGDTM1102027,REPLICATE>BLOCK:45,REPLICATE:3,REPLICATE:4,REPLICATE:5",rainfed,,,,,,,,,,2013,,,,,,,,,,,,17,,81,86,82,82,,8,8,8,8,72,8,,
56,10,3355463,Gra13,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Biogemma Graneros 2013,REPLICATE>BLOCK>PLOT>PLANT,,,,10.0,,,"REPLICATE>BLOCK>PLOT>PLANT:10,REPLICATE>BLOCK>PLOT:YCXGDTM1086028,REPLICATE>BLOCK:51,REPLICATE:3,REPLICATE:4,REPLICATE:5",rainfed,,,,,,,,,,2013,,,,,,,,,,,,17,75,85,85,81,74,7,8,8,8,7,,,,
