,observationunitname,observationunitdbid,studydbid,germplasmdbid,germplasmpui,germplasmname,studyname,observationlevel,replicate,replicate.1,plot,plant,x,y,observationlevels,water_regime,GN,KW,MFLW_D20deg,FFLW_D20deg,GY_Adj_tha,plant_height,tassel_height,ear_height,ASI_D20deg,season,Tnight_Early,Tnight_Flo,Tnight_Fill,Ri_Early,Ri_Flo,Ri_Fill,Psi_Flo,Psi_Fill,Tmax_Early,Tmax_Flo,Tmax_Fill,TnbL,L11,L13,W11,W13,Check
23,WD1123,3350877,Deb12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Syngenta Debrecen 2012,REPLICATE>BLOCK>PLOT,,,WD1123,,10.0,18.0,"REPLICATE>BLOCK>PLOT:WD1123,REPLICATE>BLOCK:18,REPLICATE:1",rainfed,2485.8757062147,209.0404705882,"65,7698661507","68,1215767585",5.1964862745,210,260,120,"-2,35171060780",2012,,,,,,,,,,,,,,,,,
24,WW2123,3350588,Deb12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Syngenta Debrecen 2012,REPLICATE>BLOCK>PLOT,,,WW2123,,24.0,18.0,"REPLICATE>BLOCK>PLOT:WW2123,REPLICATE>BLOCK:18,REPLICATE:2",watered,2357.7063214122,304.9849411765,"66,8932531126","66,8932531126",7.1906492375,228,289,118,"0,00000000000",2012,,,,,,,,,,,,,,,,,
25,WW1125,3350301,Deb12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Syngenta Debrecen 2012,REPLICATE>BLOCK>PLOT,,,WW1125,,10.0,20.0,"REPLICATE>BLOCK>PLOT:WW1125,REPLICATE>BLOCK:18,REPLICATE:1",watered,2285.6280193237,319.9868235294,"66,8932531126","69,553958451",7.3137084967,231,298,114,"-2,66070533840",2012,,,,,,,,,,,,,,,,,
26,,3350154,Deb12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Syngenta Debrecen 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,,,,"REPLICATE>BLOCK>PLOT>PLANT:NA,REPLICATE>BLOCK>PLOT:WD3045,REPLICATE>BLOCK:7,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,,,,,,,,,,2012,,,,,,,,,,,,17,92.5,89.4,9.16,9.17,Yes
27,,3350150,Deb12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Syngenta Debrecen 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,,,,"REPLICATE>BLOCK>PLOT>PLANT:NA,REPLICATE>BLOCK>PLOT:WD2040,REPLICATE>BLOCK:6,REPLICATE:1,REPLICATE:2,REPLICATE:2,REPLICATE:3",rainfed,,,,,,,,,,2012,,,,,,,,,,,,17,93.02,90.37,8.94,9.2,Yes
28,,3350146,Deb12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Syngenta Debrecen 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,,,,"REPLICATE>BLOCK>PLOT>PLANT:NA,REPLICATE>BLOCK>PLOT:WD1087,REPLICATE>BLOCK:13,REPLICATE:1,REPLICATE:2,REPLICATE:1,REPLICATE:3",rainfed,,,,,,,,,,2012,,,,,,,,,,,,16.6,94.51,93.6,9.02,9.04,Yes
29,,3350142,Deb12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Syngenta Debrecen 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,,,,"REPLICATE>BLOCK>PLOT>PLANT:NA,REPLICATE>BLOCK>PLOT:WW2061,REPLICATE>BLOCK:9,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,,,,,,,,,,2012,,,,,,,,,,,,16.6,99.08,97.43,9.06,9.33,Yes
30,,3350138,Deb12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Syngenta Debrecen 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,,,,"REPLICATE>BLOCK>PLOT>PLANT:NA,REPLICATE>BLOCK>PLOT:WW1132,REPLICATE>BLOCK:19,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,,,,,,,,,,2012,,,,,,,,,,,,16.33333333,96.74,95.35,8.93,9.19,Yes
31,3001water_regimewatered,3336325,Deb12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Syngenta Debrecen 2012,VIRTUAL_TRIAL,,,,,,,,watered,356.8766842386,66.9378858113,68.1621199157,231.4899916616,2281.9886712138,294.3434827609,118.7964256174,,,2012,20.6300116828,18.7530717334,17.5404403916,150.555,178.253,1030.456,-20.4047619048,-39.9292929293,35.9072756089,32.7536579162,30.4844700442,,,,,,
32,3001water_regimerainfed,3336079,Deb12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Syngenta Debrecen 2012,VIRTUAL_TRIAL,,,,,,,,rainfed,293.936310839,67.0839155711,69.6600251801,199.0591041484,2290.6885252691,253.321407078,111.7987871059,,,2012,20.6300116828,18.8914456227,17.4749502854,150.555,199.836,1008.873,-53.8636363636,-129.1076923077,35.9072756089,32.948009075,30.3837790694,,,,,,
