observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,water_regime,season,L10(MIPO:0000020),L10(MIPO:0000020).date,L11(MIPO:0000020),L11(MIPO:0000020).date,L12(MIPO:0000020),L12(MIPO:0000020).date,L13(MIPO:0000020),L13(MIPO:0000020).date,L14(MIPO:0000020),L14(MIPO:0000020).date,L8(MIPO:0000020),L8(MIPO:0000020).date,L9(MIPO:0000020),L9(MIPO:0000020).date,TnbL(MIPO:0000019),TnbL(MIPO:0000019).date,W10(MIPO:0000021),W10(MIPO:0000021).date,W11(MIPO:0000021),W11(MIPO:0000021).date,W12(MIPO:0000021),W12(MIPO:0000021).date,W13(MIPO:0000021),W13(MIPO:0000021).date,W14(MIPO:0000021),W14(MIPO:0000021).date,W8(MIPO:0000021),W8(MIPO:0000021).date,W9(MIPO:0000021),W9(MIPO:0000021).date
6,3355432,Gra13,Biogemma Graneros 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,6,,,"REPLICATE>BLOCK>PLOT>PLANT:6,REPLICATE>BLOCK>PLOT:YCXGDTM1071038,REPLICATE>BLOCK:3,REPLICATE:1,REPLICATE:3,REPLICATE:2,REPLICATE:4,REPLICATE:5",watered,2013,104,,111,,105,,102,,,,,,97,,17,,10,,10,,10,,10,,,,,,9,
9,3355478,Gra13,Biogemma Graneros 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,9,,,"REPLICATE>BLOCK>PLOT>PLANT:9,REPLICATE>BLOCK>PLOT:YCXGDTM1071038,REPLICATE>BLOCK:3,REPLICATE:1,REPLICATE:3,REPLICATE:2,REPLICATE:4,REPLICATE:5",watered,2013,90,,99,,100,,102,,93,,,,,,16,,8,,9,,10,,10,,10,,,,,
5,3355441,Gra13,Biogemma Graneros 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,5,,,"REPLICATE>BLOCK>PLOT>PLANT:5,REPLICATE>BLOCK>PLOT:YCXGDTM1091051,REPLICATE>BLOCK:23,REPLICATE:1,REPLICATE:3,REPLICATE:2,REPLICATE:4,REPLICATE:5",watered,2013,87,,103,,99,,94,,,,,,75,,16,,7,,8,,7,,7,,,,,,6,
6,3355485,Gra13,Biogemma Graneros 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,6,,,"REPLICATE>BLOCK>PLOT>PLANT:6,REPLICATE>BLOCK>PLOT:YCXGDTM1102027,REPLICATE>BLOCK:45,REPLICATE:3,REPLICATE:4,REPLICATE:5",rainfed,2013,86,,88,,86,,80,,72,,,,,,17,,8,,8,,8,,8,,8,,,,,
1,3355434,Gra13,Biogemma Graneros 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,1,,,"REPLICATE>BLOCK>PLOT>PLANT:1,REPLICATE>BLOCK>PLOT:YCXGDTM1091051,REPLICATE>BLOCK:23,REPLICATE:1,REPLICATE:3,REPLICATE:2,REPLICATE:4,REPLICATE:5",watered,2013,102,,102,,104,,98,,,,,,96,,17,,9,,10,,10,,9,,,,,,9,
4,3355440,Gra13,Biogemma Graneros 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,4,,,"REPLICATE>BLOCK>PLOT>PLANT:4,REPLICATE>BLOCK>PLOT:YCXGDTM1091051,REPLICATE>BLOCK:23,REPLICATE:1,REPLICATE:3,REPLICATE:2,REPLICATE:4,REPLICATE:5",watered,2013,105,,107,,102,,82,,,,,,95,,17,,9,,10,,10,,9,,,,,,9,
7,3355480,Gra13,Biogemma Graneros 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,7,,,"REPLICATE>BLOCK>PLOT>PLANT:7,REPLICATE>BLOCK>PLOT:YCXGDTM1091051,REPLICATE>BLOCK:23,REPLICATE:1,REPLICATE:3,REPLICATE:2,REPLICATE:4,REPLICATE:5",watered,2013,100,,108,,112,,103,,96,,,,,,16,,9,,10,,10,,9,,9,,,,,
10,3355484,Gra13,Biogemma Graneros 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,10,,,"REPLICATE>BLOCK>PLOT>PLANT:10,REPLICATE>BLOCK>PLOT:YCXGDTM1045020,REPLICATE>BLOCK:10,REPLICATE:1,REPLICATE:3,REPLICATE:2,REPLICATE:4,REPLICATE:5",rainfed,2013,96,,100,,97,,97,,97,,,,,,17,,9,,9,,8,,9,,8,,,,,
8,3355426,Gra13,Biogemma Graneros 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,8,,,"REPLICATE>BLOCK>PLOT>PLANT:8,REPLICATE>BLOCK>PLOT:YCXGDTM1045020,REPLICATE>BLOCK:10,REPLICATE:1,REPLICATE:3,REPLICATE:2,REPLICATE:4,REPLICATE:5",rainfed,2013,101,,96,,92,,,,,,80,,95,,17,,8,,8,,8,,,,,,7,,8,
3,3355447,Gra13,Biogemma Graneros 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,3,,,"REPLICATE>BLOCK>PLOT>PLANT:3,REPLICATE>BLOCK>PLOT:YCXGDTM1045020,REPLICATE>BLOCK:10,REPLICATE:1,REPLICATE:3,REPLICATE:2,REPLICATE:4,REPLICATE:5",rainfed,2013,90,,93,,93,,85,,,,,,82,,17,,8,,9,,9,,9,,,,,,8,
2,3355455,Gra13,Biogemma Graneros 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,2,,,"REPLICATE>BLOCK>PLOT>PLANT:2,REPLICATE>BLOCK>PLOT:YCXGDTM1086028,REPLICATE>BLOCK:51,REPLICATE:3,REPLICATE:4,REPLICATE:5",rainfed,2013,82,,88,,78,,73,,,,,,80,,17,,8,,8,,8,,7,,,,,,7,
6,3355449,Gra13,Biogemma Graneros 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,6,,,"REPLICATE>BLOCK>PLOT>PLANT:6,REPLICATE>BLOCK>PLOT:YCXGDTM1045020,REPLICATE>BLOCK:10,REPLICATE:1,REPLICATE:3,REPLICATE:2,REPLICATE:4,REPLICATE:5",rainfed,2013,96,,92,,98,,86,,,,,,90,,17,,8,,8,,8,,8,,,,,,8,
9,3355450,Gra13,Biogemma Graneros 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,9,,,"REPLICATE>BLOCK>PLOT>PLANT:9,REPLICATE>BLOCK>PLOT:YCXGDTM1045020,REPLICATE>BLOCK:10,REPLICATE:1,REPLICATE:3,REPLICATE:2,REPLICATE:4,REPLICATE:5",rainfed,2013,100,,96,,93,,90,,,,,,94,,17,,9,,9,,8,,8,,,,,,9,
6,3355459,Gra13,Biogemma Graneros 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,6,,,"REPLICATE>BLOCK>PLOT>PLANT:6,REPLICATE>BLOCK>PLOT:YCXGDTM1086028,REPLICATE>BLOCK:51,REPLICATE:3,REPLICATE:4,REPLICATE:5",rainfed,2013,82,,83,,81,,70,,,,,,80,,17,,7,,8,,7,,7,,,,,,7,
5,3355482,Gra13,Biogemma Graneros 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,5,,,"REPLICATE>BLOCK>PLOT>PLANT:5,REPLICATE>BLOCK>PLOT:YCXGDTM1045020,REPLICATE>BLOCK:10,REPLICATE:1,REPLICATE:3,REPLICATE:2,REPLICATE:4,REPLICATE:5",rainfed,2013,90,,92,,90,,84,,72,,,,,,17,,9,,9,,9,,8,,8,,,,,
3,3355456,Gra13,Biogemma Graneros 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,3,,,"REPLICATE>BLOCK>PLOT>PLANT:3,REPLICATE>BLOCK>PLOT:YCXGDTM1086028,REPLICATE>BLOCK:51,REPLICATE:3,REPLICATE:4,REPLICATE:5",rainfed,2013,81,,79,,79,,71,,,,,,73,,16,,8,,8,,7,,7,,,,,,7,
2,3355481,Gra13,Biogemma Graneros 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,2,,,"REPLICATE>BLOCK>PLOT>PLANT:2,REPLICATE>BLOCK>PLOT:YCXGDTM1045020,REPLICATE>BLOCK:10,REPLICATE:1,REPLICATE:3,REPLICATE:2,REPLICATE:4,REPLICATE:5",rainfed,2013,62,,96,,94,,97,,79,,,,,,18,,9,,8,,8,,8,,8,,,,,
8,3355461,Gra13,Biogemma Graneros 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,8,,,"REPLICATE>BLOCK>PLOT>PLANT:8,REPLICATE>BLOCK>PLOT:YCXGDTM1086028,REPLICATE>BLOCK:51,REPLICATE:3,REPLICATE:4,REPLICATE:5",rainfed,2013,83,,97,,82,,76,,,,,,89,,17,,7,,7,,7,,7,,,,,,7,
4,3355448,Gra13,Biogemma Graneros 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,4,,,"REPLICATE>BLOCK>PLOT>PLANT:4,REPLICATE>BLOCK>PLOT:YCXGDTM1045020,REPLICATE>BLOCK:10,REPLICATE:1,REPLICATE:3,REPLICATE:2,REPLICATE:4,REPLICATE:5",rainfed,2013,96,,94,,97,,73,,,,,,93,,18,,8,,7,,8,,7,,,,,,8,
10,3355463,Gra13,Biogemma Graneros 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,10,,,"REPLICATE>BLOCK>PLOT>PLANT:10,REPLICATE>BLOCK>PLOT:YCXGDTM1086028,REPLICATE>BLOCK:51,REPLICATE:3,REPLICATE:4,REPLICATE:5",rainfed,2013,85,,85,,81,,74,,,,,,75,,17,,8,,8,,8,,7,,,,,,7,
1,3355446,Gra13,Biogemma Graneros 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,1,,,"REPLICATE>BLOCK>PLOT>PLANT:1,REPLICATE>BLOCK>PLOT:YCXGDTM1045020,REPLICATE>BLOCK:10,REPLICATE:1,REPLICATE:3,REPLICATE:2,REPLICATE:4,REPLICATE:5",rainfed,2013,89,,93,,86,,81,,,,,,84,,18,,8,,9,,8,,8,,,,,,7,
7,3355483,Gra13,Biogemma Graneros 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,7,,,"REPLICATE>BLOCK>PLOT>PLANT:7,REPLICATE>BLOCK>PLOT:YCXGDTM1045020,REPLICATE>BLOCK:10,REPLICATE:1,REPLICATE:3,REPLICATE:2,REPLICATE:4,REPLICATE:5",rainfed,2013,86,,91,,9,,94,,85,,,,,,16,,8,,10,,7,,8,,9,,,,,
4,3355470,Gra13,Biogemma Graneros 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,4,,,"REPLICATE>BLOCK>PLOT>PLANT:4,REPLICATE>BLOCK>PLOT:YCXGDTM1102027,REPLICATE>BLOCK:45,REPLICATE:3,REPLICATE:4,REPLICATE:5",rainfed,2013,69,,70,,65,,58,,,,,,72,,17,,7,,7,,8,,7,,,,,,6,
10,3355479,Gra13,Biogemma Graneros 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,10,,,"REPLICATE>BLOCK>PLOT>PLANT:10,REPLICATE>BLOCK>PLOT:YCXGDTM1071038,REPLICATE>BLOCK:3,REPLICATE:1,REPLICATE:3,REPLICATE:2,REPLICATE:4,REPLICATE:5",watered,2013,102,,107,,107,,103,,92,,,,,,16,,9,,10,,9,,9,,9,,,,,
5,3355471,Gra13,Biogemma Graneros 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,5,,,"REPLICATE>BLOCK>PLOT>PLANT:5,REPLICATE>BLOCK>PLOT:YCXGDTM1102027,REPLICATE>BLOCK:45,REPLICATE:3,REPLICATE:4,REPLICATE:5",rainfed,2013,81,,79,,70,,58,,,,,,76,,17,,8,,8,,8,,8,,,,,,7,
2,3355468,Gra13,Biogemma Graneros 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,2,,,"REPLICATE>BLOCK>PLOT>PLANT:2,REPLICATE>BLOCK>PLOT:YCXGDTM1102027,REPLICATE>BLOCK:45,REPLICATE:3,REPLICATE:4,REPLICATE:5",rainfed,2013,74,,74,,67,,62,,,,,,72,,16,,8,,7,,7,,8,,,,,,7,
8,3355422,Gra13,Biogemma Graneros 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,8,,,"REPLICATE>BLOCK>PLOT>PLANT:8,REPLICATE>BLOCK>PLOT:YCXGDTM1071038,REPLICATE>BLOCK:3,REPLICATE:1,REPLICATE:3,REPLICATE:2,REPLICATE:4,REPLICATE:5",watered,2013,103,,107,,96,,,,,,103,,113,,16,,8,,8,,8,,,,,,7,,8,
6,3355442,Gra13,Biogemma Graneros 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,6,,,"REPLICATE>BLOCK>PLOT>PLANT:6,REPLICATE>BLOCK>PLOT:YCXGDTM1091051,REPLICATE>BLOCK:23,REPLICATE:1,REPLICATE:3,REPLICATE:2,REPLICATE:4,REPLICATE:5",watered,2013,108,,109,,104,,93,,,,,,100,,16,,9,,9,,8,,8,,,,,,9,
10,3355474,Gra13,Biogemma Graneros 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,10,,,"REPLICATE>BLOCK>PLOT>PLANT:10,REPLICATE>BLOCK>PLOT:YCXGDTM1102027,REPLICATE>BLOCK:45,REPLICATE:3,REPLICATE:4,REPLICATE:5",rainfed,2013,84,,82,,75,,71,,,,,,82,,17,,8,,8,,8,,7,,,,,,7,
3,3355469,Gra13,Biogemma Graneros 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,3,,,"REPLICATE>BLOCK>PLOT>PLANT:3,REPLICATE>BLOCK>PLOT:YCXGDTM1102027,REPLICATE>BLOCK:45,REPLICATE:3,REPLICATE:4,REPLICATE:5",rainfed,2013,75,,74,,69,,60,,,,,,73,,17,,7,,7,,7,,7,,,,,,7,
9,3355444,Gra13,Biogemma Graneros 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,9,,,"REPLICATE>BLOCK>PLOT>PLANT:9,REPLICATE>BLOCK>PLOT:YCXGDTM1091051,REPLICATE>BLOCK:23,REPLICATE:1,REPLICATE:3,REPLICATE:2,REPLICATE:4,REPLICATE:5",watered,2013,103,,107,,81,,95,,,,,,97,,17,,10,,11,,9,,10,,,,,,9,
8,3355472,Gra13,Biogemma Graneros 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,8,,,"REPLICATE>BLOCK>PLOT>PLANT:8,REPLICATE>BLOCK>PLOT:YCXGDTM1102027,REPLICATE>BLOCK:45,REPLICATE:3,REPLICATE:4,REPLICATE:5",rainfed,2013,82,,83,,74,,64,,,,,,87,,16,,8,,8,,8,,8,,,,,,8,
9,3355473,Gra13,Biogemma Graneros 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,9,,,"REPLICATE>BLOCK>PLOT>PLANT:9,REPLICATE>BLOCK>PLOT:YCXGDTM1102027,REPLICATE>BLOCK:45,REPLICATE:3,REPLICATE:4,REPLICATE:5",rainfed,2013,89,,86,,84,,72,,,,,,83,,17,,9,,9,,8,,9,,,,,,8,
1,3355464,Gra13,Biogemma Graneros 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,1,,,"REPLICATE>BLOCK>PLOT>PLANT:1,REPLICATE>BLOCK>PLOT:YCXGDTM1102027,REPLICATE>BLOCK:45,REPLICATE:3,REPLICATE:4,REPLICATE:5",rainfed,2013,80,,76,,74,,68,,,,,,75,,17,,8,,7,,8,,7,,,,,,7,
7,3355486,Gra13,Biogemma Graneros 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,7,,,"REPLICATE>BLOCK>PLOT>PLANT:7,REPLICATE>BLOCK>PLOT:YCXGDTM1102027,REPLICATE>BLOCK:45,REPLICATE:3,REPLICATE:4,REPLICATE:5",rainfed,2013,81,,86,,82,,82,,72,,,,,,17,,8,,8,,8,,8,,8,,,,,
9,3355462,Gra13,Biogemma Graneros 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,9,,,"REPLICATE>BLOCK>PLOT>PLANT:9,REPLICATE>BLOCK>PLOT:YCXGDTM1086028,REPLICATE>BLOCK:51,REPLICATE:3,REPLICATE:4,REPLICATE:5",rainfed,2013,82,,78,,74,,67,,,,,,78,,17,,7,,8,,7,,7,,,,,,8,
5,3355458,Gra13,Biogemma Graneros 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,5,,,"REPLICATE>BLOCK>PLOT>PLANT:5,REPLICATE>BLOCK>PLOT:YCXGDTM1086028,REPLICATE>BLOCK:51,REPLICATE:3,REPLICATE:4,REPLICATE:5",rainfed,2013,79,,77,,70,,61,,,,,,80,,16,,8,,7,,7,,7,,,,,,7,
