observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,water_regime,season,Check(EIPO:0000004),Check(EIPO:0000004).date,L10(MIPO:0000020),L10(MIPO:0000020).date,L11(MIPO:0000020),L11(MIPO:0000020).date,L12(MIPO:0000020),L12(MIPO:0000020).date,L13(MIPO:0000020),L13(MIPO:0000020).date,L14(MIPO:0000020),L14(MIPO:0000020).date,L8(MIPO:0000020),L8(MIPO:0000020).date,L9(MIPO:0000020),L9(MIPO:0000020).date,TnbL(MIPO:0000019),TnbL(MIPO:0000019).date,W10(MIPO:0000021),W10(MIPO:0000021).date,W11(MIPO:0000021),W11(MIPO:0000021).date,W12(MIPO:0000021),W12(MIPO:0000021).date,W13(MIPO:0000021),W13(MIPO:0000021).date,W14(MIPO:0000021),W14(MIPO:0000021).date,W8(MIPO:0000021),W8(MIPO:0000021).date,W9(MIPO:0000021),W9(MIPO:0000021).date
2,3347181,Cam13,Syngenta Campagnola 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,2,,,"REPLICATE>BLOCK>PLOT>PLANT:2,REPLICATE>BLOCK>PLOT:FRI00406835,REPLICATE>BLOCK:250,REPLICATE>BLOCK:36,REPLICATE:1,REPLICATE:1",watered,2013,Yes,,75,,,,81,,,,,,60,,,,18,,7,,,,8.5,,,,,,6,,,
11,3347190,Cam13,Syngenta Campagnola 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,11,,,"REPLICATE>BLOCK>PLOT>PLANT:11,REPLICATE>BLOCK>PLOT:FRI00406835,REPLICATE>BLOCK:250,REPLICATE>BLOCK:36,REPLICATE:1,REPLICATE:1",watered,2013,Yes,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,
3,3347182,Cam13,Syngenta Campagnola 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,3,,,"REPLICATE>BLOCK>PLOT>PLANT:3,REPLICATE>BLOCK>PLOT:FRI00406835,REPLICATE>BLOCK:250,REPLICATE>BLOCK:36,REPLICATE:1,REPLICATE:1",watered,2013,Yes,,79,,,,80,,,,,,70,,,,16,,9,,,,10,,,,,,7,,,
5,3347170,Cam13,Syngenta Campagnola 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,5,,,"REPLICATE>BLOCK>PLOT>PLANT:5,REPLICATE>BLOCK>PLOT:FRI00407643,REPLICATE>BLOCK:48,REPLICATE>BLOCK:7,REPLICATE:3,REPLICATE:3",rainfed,2013,Yes,,84,,,,83,,,,,,78,,,,16,,8.5,,,,9,,,,,,8,,,
9,3347174,Cam13,Syngenta Campagnola 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,9,,,"REPLICATE>BLOCK>PLOT>PLANT:9,REPLICATE>BLOCK>PLOT:FRI00407643,REPLICATE>BLOCK:48,REPLICATE>BLOCK:7,REPLICATE:3,REPLICATE:3",rainfed,2013,Yes,,75,,,,84,,,,,,68,,,,16,,7.5,,,,9,,,,,,8,,,
1,3347163,Cam13,Syngenta Campagnola 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,1,,,"REPLICATE>BLOCK>PLOT>PLANT:1,REPLICATE>BLOCK>PLOT:FRI00407643,REPLICATE>BLOCK:48,REPLICATE>BLOCK:7,REPLICATE:3,REPLICATE:3",rainfed,2013,Yes,,79,,,,87,,,,,,67,,,,16,,8,,,,9,,,,,,7,,,
7,3347172,Cam13,Syngenta Campagnola 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,7,,,"REPLICATE>BLOCK>PLOT>PLANT:7,REPLICATE>BLOCK>PLOT:FRI00407643,REPLICATE>BLOCK:48,REPLICATE>BLOCK:7,REPLICATE:3,REPLICATE:3",rainfed,2013,Yes,,79,,,,88,,,,,,62,,,,16,,8.5,,,,8,,,,,,6.5,,,
4,3347169,Cam13,Syngenta Campagnola 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,4,,,"REPLICATE>BLOCK>PLOT>PLANT:4,REPLICATE>BLOCK>PLOT:FRI00407643,REPLICATE>BLOCK:48,REPLICATE>BLOCK:7,REPLICATE:3,REPLICATE:3",rainfed,2013,Yes,,77,,,,85,,,,,,68,,,,14,,8,,,,9,,,,,,6.5,,,
8,3347173,Cam13,Syngenta Campagnola 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,8,,,"REPLICATE>BLOCK>PLOT>PLANT:8,REPLICATE>BLOCK>PLOT:FRI00407643,REPLICATE>BLOCK:48,REPLICATE>BLOCK:7,REPLICATE:3,REPLICATE:3",rainfed,2013,Yes,,76,,,,84,,,,,,64,,,,16,,7.5,,,,8,,,,,,7,,,
6,3347143,Cam13,Syngenta Campagnola 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,6,,,"REPLICATE>BLOCK>PLOT>PLANT:6,REPLICATE>BLOCK>PLOT:FRI00408317,REPLICATE>BLOCK:4,REPLICATE>BLOCK:1,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:1",rainfed,2013,Yes,,76,,,,79,,,,,,56,,,,16,,7.5,,,,8,,,,,,5,,,
6,3347171,Cam13,Syngenta Campagnola 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,6,,,"REPLICATE>BLOCK>PLOT>PLANT:6,REPLICATE>BLOCK>PLOT:FRI00407643,REPLICATE>BLOCK:48,REPLICATE>BLOCK:7,REPLICATE:3,REPLICATE:3",rainfed,2013,Yes,,83,,,,87,,,,,,62,,,,16,,8,,,,8.5,,,,,,7,,,
10,3347175,Cam13,Syngenta Campagnola 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,10,,,"REPLICATE>BLOCK>PLOT>PLANT:10,REPLICATE>BLOCK>PLOT:FRI00407643,REPLICATE>BLOCK:48,REPLICATE>BLOCK:7,REPLICATE:3,REPLICATE:3",rainfed,2013,Yes,,76,,,,85,,,,,,65,,,,16,,7,,,,9,,,,,,7,,,
2,3347167,Cam13,Syngenta Campagnola 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,2,,,"REPLICATE>BLOCK>PLOT>PLANT:2,REPLICATE>BLOCK>PLOT:FRI00407643,REPLICATE>BLOCK:48,REPLICATE>BLOCK:7,REPLICATE:3,REPLICATE:3",rainfed,2013,Yes,,77,,,,82,,,,,,70,,,,16,,9,,,,9,,,,,,7,,,
11,3347176,Cam13,Syngenta Campagnola 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,11,,,"REPLICATE>BLOCK>PLOT>PLANT:11,REPLICATE>BLOCK>PLOT:FRI00407643,REPLICATE>BLOCK:48,REPLICATE>BLOCK:7,REPLICATE:3,REPLICATE:3",rainfed,2013,Yes,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,
3,3347168,Cam13,Syngenta Campagnola 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,3,,,"REPLICATE>BLOCK>PLOT>PLANT:3,REPLICATE>BLOCK>PLOT:FRI00407643,REPLICATE>BLOCK:48,REPLICATE>BLOCK:7,REPLICATE:3,REPLICATE:3",rainfed,2013,Yes,,75,,,,84,,,,,,69,,,,15,,8.5,,,,8,,,,,,7,,,
5,3347156,Cam13,Syngenta Campagnola 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,5,,,"REPLICATE>BLOCK>PLOT>PLANT:5,REPLICATE>BLOCK>PLOT:FRI00407971,REPLICATE>BLOCK:148,REPLICATE>BLOCK:22,REPLICATE:2,REPLICATE:2",rainfed,2013,Yes,,80,,,,83,,,,,,77,,,,15,,7,,,,7.5,,,,,,7.5,,,
9,3347160,Cam13,Syngenta Campagnola 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,9,,,"REPLICATE>BLOCK>PLOT>PLANT:9,REPLICATE>BLOCK>PLOT:FRI00407971,REPLICATE>BLOCK:148,REPLICATE>BLOCK:22,REPLICATE:2,REPLICATE:2",rainfed,2013,Yes,,77,,,,70,,,,,,59,,,,16,,7,,,,7.5,,,,,,5.5,,,
1,3347149,Cam13,Syngenta Campagnola 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,1,,,"REPLICATE>BLOCK>PLOT>PLANT:1,REPLICATE>BLOCK>PLOT:FRI00407971,REPLICATE>BLOCK:148,REPLICATE>BLOCK:22,REPLICATE:2,REPLICATE:2",rainfed,2013,Yes,,80,,,,84,,,,,,64,,,,19,,8,,,,8,,,,,,8,,,
7,3347158,Cam13,Syngenta Campagnola 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,7,,,"REPLICATE>BLOCK>PLOT>PLANT:7,REPLICATE>BLOCK>PLOT:FRI00407971,REPLICATE>BLOCK:148,REPLICATE>BLOCK:22,REPLICATE:2,REPLICATE:2",rainfed,2013,Yes,,76,,,,78,,,,,,65,,,,15,,7.5,,,,8,,,,,,6.5,,,
10,3347203,Cam13,Syngenta Campagnola 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,10,,,"REPLICATE>BLOCK>PLOT>PLANT:10,REPLICATE>BLOCK>PLOT:FRI00406594,REPLICATE>BLOCK:183,REPLICATE>BLOCK:27,REPLICATE:2,REPLICATE:2",watered,2013,Yes,,81,,,,84,,,,,,77,,,,16,,8.5,,,,9,,,,,,7,,,
6,3347199,Cam13,Syngenta Campagnola 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,6,,,"REPLICATE>BLOCK>PLOT>PLANT:6,REPLICATE>BLOCK>PLOT:FRI00406594,REPLICATE>BLOCK:183,REPLICATE>BLOCK:27,REPLICATE:2,REPLICATE:2",watered,2013,Yes,,92,,,,92,,,,,,82,,,,16,,7,,,,8,,,,,,7,,,
4,3347155,Cam13,Syngenta Campagnola 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,4,,,"REPLICATE>BLOCK>PLOT>PLANT:4,REPLICATE>BLOCK>PLOT:FRI00407971,REPLICATE>BLOCK:148,REPLICATE>BLOCK:22,REPLICATE:2,REPLICATE:2",rainfed,2013,Yes,,85,,,,79,,,,,,79,,,,16,,7,,,,7,,,,,,7,,,
4,3347197,Cam13,Syngenta Campagnola 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,4,,,"REPLICATE>BLOCK>PLOT>PLANT:4,REPLICATE>BLOCK>PLOT:FRI00406594,REPLICATE>BLOCK:183,REPLICATE>BLOCK:27,REPLICATE:2,REPLICATE:2",watered,2013,Yes,,,,82,,,,86,,,,,,74,,17,,,,9.5,,,,10,,,,,,7.5,
8,3347159,Cam13,Syngenta Campagnola 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,8,,,"REPLICATE>BLOCK>PLOT>PLANT:8,REPLICATE>BLOCK>PLOT:FRI00407971,REPLICATE>BLOCK:148,REPLICATE>BLOCK:22,REPLICATE:2,REPLICATE:2",rainfed,2013,Yes,,82,,,,74,,,,,,66,,,,15,,7,,,,6,,,,,,7,,,
8,3347201,Cam13,Syngenta Campagnola 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,8,,,"REPLICATE>BLOCK>PLOT>PLANT:8,REPLICATE>BLOCK>PLOT:FRI00406594,REPLICATE>BLOCK:183,REPLICATE>BLOCK:27,REPLICATE:2,REPLICATE:2",watered,2013,Yes,,80,,,,86,,,,,,72,,,,16,,8,,,,9.5,,,,,,8.5,,,
6,3347157,Cam13,Syngenta Campagnola 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,6,,,"REPLICATE>BLOCK>PLOT>PLANT:6,REPLICATE>BLOCK>PLOT:FRI00407971,REPLICATE>BLOCK:148,REPLICATE>BLOCK:22,REPLICATE:2,REPLICATE:2",rainfed,2013,Yes,,76,,,,78,,,,,,64,,,,15,,8,,,,7.5,,,,,,7,,,
10,3347161,Cam13,Syngenta Campagnola 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,10,,,"REPLICATE>BLOCK>PLOT>PLANT:10,REPLICATE>BLOCK>PLOT:FRI00407971,REPLICATE>BLOCK:148,REPLICATE>BLOCK:22,REPLICATE:2,REPLICATE:2",rainfed,2013,Yes,,73,,,,84,,,,,,55,,,,15,,8,,,,7,,,,,,6,,,
1,3347191,Cam13,Syngenta Campagnola 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,1,,,"REPLICATE>BLOCK>PLOT>PLANT:1,REPLICATE>BLOCK>PLOT:FRI00406594,REPLICATE>BLOCK:183,REPLICATE>BLOCK:27,REPLICATE:2,REPLICATE:2",watered,2013,Yes,,81,,,,87,,,,,,70,,,,16,,10,,,,10,,,,,,6.5,,,
2,3347153,Cam13,Syngenta Campagnola 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,2,,,"REPLICATE>BLOCK>PLOT>PLANT:2,REPLICATE>BLOCK>PLOT:FRI00407971,REPLICATE>BLOCK:148,REPLICATE>BLOCK:22,REPLICATE:2,REPLICATE:2",rainfed,2013,Yes,,72,,,,85,,,,,,59,,,,16,,7,,,,7,,,,,,6,,,
9,3347202,Cam13,Syngenta Campagnola 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,9,,,"REPLICATE>BLOCK>PLOT>PLANT:9,REPLICATE>BLOCK>PLOT:FRI00406594,REPLICATE>BLOCK:183,REPLICATE>BLOCK:27,REPLICATE:2,REPLICATE:2",watered,2013,Yes,,83,,,,86,,,,,,77,,,,15,,8,,,,9,,,,,,7,,,
3,3347140,Cam13,Syngenta Campagnola 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,3,,,"REPLICATE>BLOCK>PLOT>PLANT:3,REPLICATE>BLOCK>PLOT:FRI00408317,REPLICATE>BLOCK:4,REPLICATE>BLOCK:1,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:1",rainfed,2013,Yes,,77,,,,81,,,,,,52,,,,16,,8,,,,9,,,,,,6.5,,,
11,3347162,Cam13,Syngenta Campagnola 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,11,,,"REPLICATE>BLOCK>PLOT>PLANT:11,REPLICATE>BLOCK>PLOT:FRI00407971,REPLICATE>BLOCK:148,REPLICATE>BLOCK:22,REPLICATE:2,REPLICATE:2",rainfed,2013,Yes,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,
2,3347139,Cam13,Syngenta Campagnola 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,2,,,"REPLICATE>BLOCK>PLOT>PLANT:2,REPLICATE>BLOCK>PLOT:FRI00408317,REPLICATE>BLOCK:4,REPLICATE>BLOCK:1,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:1",rainfed,2013,Yes,,78,,,,89,,,,,,64,,,,15,,7.5,,,,8,,,,,,6,,,
11,3347148,Cam13,Syngenta Campagnola 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,11,,,"REPLICATE>BLOCK>PLOT>PLANT:11,REPLICATE>BLOCK>PLOT:FRI00408317,REPLICATE>BLOCK:4,REPLICATE>BLOCK:1,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:1",rainfed,2013,Yes,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,
3,3347154,Cam13,Syngenta Campagnola 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,3,,,"REPLICATE>BLOCK>PLOT>PLANT:3,REPLICATE>BLOCK>PLOT:FRI00407971,REPLICATE>BLOCK:148,REPLICATE>BLOCK:22,REPLICATE:2,REPLICATE:2",rainfed,2013,Yes,,70,,,,77,,,,,,57,,,,15,,7,,,,7.5,,,,,,7,,,
5,3347198,Cam13,Syngenta Campagnola 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,5,,,"REPLICATE>BLOCK>PLOT>PLANT:5,REPLICATE>BLOCK>PLOT:FRI00406594,REPLICATE>BLOCK:183,REPLICATE>BLOCK:27,REPLICATE:2,REPLICATE:2",watered,2013,Yes,,82,,,,81,,,,,,71,,,,16,,9,,,,9,,,,,,7,,,
5,3347142,Cam13,Syngenta Campagnola 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,5,,,"REPLICATE>BLOCK>PLOT>PLANT:5,REPLICATE>BLOCK>PLOT:FRI00408317,REPLICATE>BLOCK:4,REPLICATE>BLOCK:1,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:1",rainfed,2013,Yes,,72,,,,80,,,,,,59,,,,16,,9,,,,8,,,,,,7.5,,,
8,3347145,Cam13,Syngenta Campagnola 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,8,,,"REPLICATE>BLOCK>PLOT>PLANT:8,REPLICATE>BLOCK>PLOT:FRI00408317,REPLICATE>BLOCK:4,REPLICATE>BLOCK:1,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:1",rainfed,2013,Yes,,79,,,,82,,,,,,53,,,,16,,7.5,,,,8,,,,,,6,,,
7,3347144,Cam13,Syngenta Campagnola 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,7,,,"REPLICATE>BLOCK>PLOT>PLANT:7,REPLICATE>BLOCK>PLOT:FRI00408317,REPLICATE>BLOCK:4,REPLICATE>BLOCK:1,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:1",rainfed,2013,Yes,,81,,,,84,,,,,,70,,,,16,,7,,,,7.5,,,,,,6.5,,,
9,3347146,Cam13,Syngenta Campagnola 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,9,,,"REPLICATE>BLOCK>PLOT>PLANT:9,REPLICATE>BLOCK>PLOT:FRI00408317,REPLICATE>BLOCK:4,REPLICATE>BLOCK:1,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:1",rainfed,2013,Yes,,80,,,,84,,,,,,56,,,,16,,7,,,,8,,,,,,6,,,
1,3347135,Cam13,Syngenta Campagnola 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,1,,,"REPLICATE>BLOCK>PLOT>PLANT:1,REPLICATE>BLOCK>PLOT:FRI00408317,REPLICATE>BLOCK:4,REPLICATE>BLOCK:1,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:1",rainfed,2013,Yes,,69,,,,72,,,,85,,,,,,19,,7,,,,7,,,,8,,,,,
4,3347141,Cam13,Syngenta Campagnola 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,4,,,"REPLICATE>BLOCK>PLOT>PLANT:4,REPLICATE>BLOCK>PLOT:FRI00408317,REPLICATE>BLOCK:4,REPLICATE>BLOCK:1,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:1",rainfed,2013,Yes,,76,,,,80,,,,,,54,,,,16,,8,,,,8.5,,,,,,7,,,
10,3347147,Cam13,Syngenta Campagnola 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,10,,,"REPLICATE>BLOCK>PLOT>PLANT:10,REPLICATE>BLOCK>PLOT:FRI00408317,REPLICATE>BLOCK:4,REPLICATE>BLOCK:1,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:1",rainfed,2013,Yes,,79,,,,85,,,,,,58,,,,16,,7,,,,8,,,,,,6,,,
7,3347200,Cam13,Syngenta Campagnola 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,7,,,"REPLICATE>BLOCK>PLOT>PLANT:7,REPLICATE>BLOCK>PLOT:FRI00406594,REPLICATE>BLOCK:183,REPLICATE>BLOCK:27,REPLICATE:2,REPLICATE:2",watered,2013,Yes,,91,,,,83,,,,,,78,,,,15,,7.5,,,,9,,,,,,7,,,
3,3347196,Cam13,Syngenta Campagnola 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,3,,,"REPLICATE>BLOCK>PLOT>PLANT:3,REPLICATE>BLOCK>PLOT:FRI00406594,REPLICATE>BLOCK:183,REPLICATE>BLOCK:27,REPLICATE:2,REPLICATE:2",watered,2013,Yes,,79,,,,82,,,,,,71,,,,16,,8.5,,,,8.5,,,,,,6,,,
