observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,water_regime,season,Check(EIPO:0000004),Check(EIPO:0000004).date,L10(MIPO:0000020),L10(MIPO:0000020).date,L11(MIPO:0000020),L11(MIPO:0000020).date,L12(MIPO:0000020),L12(MIPO:0000020).date,L13(MIPO:0000020),L13(MIPO:0000020).date,L14(MIPO:0000020),L14(MIPO:0000020).date,L15(MIPO:0000020),L15(MIPO:0000020).date,L8(MIPO:0000020),L8(MIPO:0000020).date,L9(MIPO:0000020),L9(MIPO:0000020).date,TnbL(MIPO:0000019),TnbL(MIPO:0000019).date,W10(MIPO:0000021),W10(MIPO:0000021).date,W11(MIPO:0000021),W11(MIPO:0000021).date,W12(MIPO:0000021),W12(MIPO:0000021).date,W13(MIPO:0000021),W13(MIPO:0000021).date,W14(MIPO:0000021),W14(MIPO:0000021).date,W15(MIPO:0000021),W15(MIPO:0000021).date,W8(MIPO:0000021),W8(MIPO:0000021).date,W9(MIPO:0000021),W9(MIPO:0000021).date
6,3359915,Mur13,KWS Murony 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,6,,,"REPLICATE>BLOCK>PLOT>PLANT:6,REPLICATE>BLOCK>PLOT:400839,REPLICATE>BLOCK:24,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,2013,Yes,,,,91,,,,86,,,,,,,,79,,16,,,,8,,,,8,,,,,,,,7.5,
2,3360003,Mur13,KWS Murony 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,2,,,"REPLICATE>BLOCK>PLOT>PLANT:2,REPLICATE>BLOCK>PLOT:402622,REPLICATE>BLOCK:20,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,2013,,,,,82,,,,72,,,,,,,,79,,16,,,,9,,,,7.5,,,,,,,,7.5,
10,3359918,Mur13,KWS Murony 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,10,,,"REPLICATE>BLOCK>PLOT>PLANT:10,REPLICATE>BLOCK>PLOT:400839,REPLICATE>BLOCK:24,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,2013,Yes,,,,92,,,,87,,,,,,,,85,,16,,,,9.5,,,,7.5,,,,,,,,8,
2,3360011,Mur13,KWS Murony 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,2,,,"REPLICATE>BLOCK>PLOT>PLANT:2,REPLICATE>BLOCK>PLOT:402696,REPLICATE>BLOCK:23,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:1",rainfed,2013,Yes,,92,,,,88,,,,,,,,81,,,,15,,9,,,,8.5,,,,,,,,7.5,,,
2,3359919,Mur13,KWS Murony 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,2,,,"REPLICATE>BLOCK>PLOT>PLANT:2,REPLICATE>BLOCK>PLOT:400839,REPLICATE>BLOCK:24,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,2013,Yes,,90,,,,83,,,,78,,,,,,,,16,,9,,,,8.5,,,,7.5,,,,,,,
3,3359999,Mur13,KWS Murony 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,3,,,"REPLICATE>BLOCK>PLOT>PLANT:3,REPLICATE>BLOCK>PLOT:402622,REPLICATE>BLOCK:20,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,2013,,,89,,,,84,,,,,,,,78,,,,16,,8,,,,8.5,,,,,,,,7,,,
5,3360014,Mur13,KWS Murony 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,5,,,"REPLICATE>BLOCK>PLOT>PLANT:5,REPLICATE>BLOCK>PLOT:402696,REPLICATE>BLOCK:23,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:1",rainfed,2013,Yes,,92,,,,88,,,,,,,,81,,,,15,,9,,,,9,,,,,,,,7.5,,,
10,3360019,Mur13,KWS Murony 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,10,,,"REPLICATE>BLOCK>PLOT>PLANT:10,REPLICATE>BLOCK>PLOT:402696,REPLICATE>BLOCK:23,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:1",rainfed,2013,Yes,,,,92,,,,89,,,,,,,,91,,16,,,,9.5,,,,7.5,,,,,,,,8,
8,3360006,Mur13,KWS Murony 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,8,,,"REPLICATE>BLOCK>PLOT>PLANT:8,REPLICATE>BLOCK>PLOT:402622,REPLICATE>BLOCK:20,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,2013,,,,,92,,,,79,,,,,,,,93,,16,,,,9,,,,7,,,,,,,,8.5,
3,3359912,Mur13,KWS Murony 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,3,,,"REPLICATE>BLOCK>PLOT>PLANT:3,REPLICATE>BLOCK>PLOT:400839,REPLICATE>BLOCK:24,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,2013,Yes,,,,90,,,,81,,,,,,,,90,,16,,,,8,,,,8,,,,,,,,7,
9,3360017,Mur13,KWS Murony 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,9,,,"REPLICATE>BLOCK>PLOT>PLANT:9,REPLICATE>BLOCK>PLOT:402696,REPLICATE>BLOCK:23,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:1",rainfed,2013,Yes,,89,,,,87,,,,,,,,82,,,,15,,9,,,,8,,,,,,,,7,,,
1,3359983,Mur13,KWS Murony 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,1,,,"REPLICATE>BLOCK>PLOT>PLANT:1,REPLICATE>BLOCK>PLOT:402429,REPLICATE>BLOCK:13,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:1",rainfed,2013,,,93,,,,85,,,,,,,,81,,,,15,,8.5,,,,7.5,,,,,,,,7.5,,,
10,3359994,Mur13,KWS Murony 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,10,,,"REPLICATE>BLOCK>PLOT>PLANT:10,REPLICATE>BLOCK>PLOT:402429,REPLICATE>BLOCK:13,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:1",rainfed,2013,,,91,,,,83,,,,,,,,84,,,,15,,7.5,,,,8,,,,,,,,7,,,
7,3359992,Mur13,KWS Murony 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,7,,,"REPLICATE>BLOCK>PLOT>PLANT:7,REPLICATE>BLOCK>PLOT:402429,REPLICATE>BLOCK:13,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:1",rainfed,2013,,,89,,,,80,,,,,,,,79,,,,15,,8.5,,,,7,,,,,,,,7.5,,,
4,3360013,Mur13,KWS Murony 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,4,,,"REPLICATE>BLOCK>PLOT>PLANT:4,REPLICATE>BLOCK>PLOT:402696,REPLICATE>BLOCK:23,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:1",rainfed,2013,Yes,,89,,,,87,,,,,,,,77,,,,15,,9,,,,9,,,,,,,,7.5,,,
1,3360008,Mur13,KWS Murony 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,1,,,"REPLICATE>BLOCK>PLOT>PLANT:1,REPLICATE>BLOCK>PLOT:402696,REPLICATE>BLOCK:23,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:1",rainfed,2013,Yes,,89,,,,86,,,,,,,,76,,,,15,,8,,,,8,,,,,,,,7,,,
4,3359989,Mur13,KWS Murony 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,4,,,"REPLICATE>BLOCK>PLOT>PLANT:4,REPLICATE>BLOCK>PLOT:402429,REPLICATE>BLOCK:13,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:1",rainfed,2013,,,91,,,,89,,,,,,,,83,,,,15,,8,,,,8.5,,,,,,,,7.5,,,
8,3359993,Mur13,KWS Murony 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,8,,,"REPLICATE>BLOCK>PLOT>PLANT:8,REPLICATE>BLOCK>PLOT:402429,REPLICATE>BLOCK:13,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:1",rainfed,2013,,,92,,,,83,,,,,,,,89,,,,15,,8.5,,,,7,,,,,,,,7.5,,,
3,3359988,Mur13,KWS Murony 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,3,,,"REPLICATE>BLOCK>PLOT>PLANT:3,REPLICATE>BLOCK>PLOT:402429,REPLICATE>BLOCK:13,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:1",rainfed,2013,,,89,,,,88,,,,,,,,78,,,,16,,8,,,,8,,,,,,,,7,,,
5,3359990,Mur13,KWS Murony 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,5,,,"REPLICATE>BLOCK>PLOT>PLANT:5,REPLICATE>BLOCK>PLOT:402429,REPLICATE>BLOCK:13,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:1",rainfed,2013,,,87,,,,76,,,,,,,,87,,,,15,,8.5,,,,8.5,,,,,,,,8,,,
9,3359995,Mur13,KWS Murony 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,9,,,"REPLICATE>BLOCK>PLOT>PLANT:9,REPLICATE>BLOCK>PLOT:402429,REPLICATE>BLOCK:13,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:1",rainfed,2013,,,,,91,,,,79,,,,,,,,91,,15,,,,7.5,,,,7,,,,,,,,7,
6,3359991,Mur13,KWS Murony 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,6,,,"REPLICATE>BLOCK>PLOT>PLANT:6,REPLICATE>BLOCK>PLOT:402429,REPLICATE>BLOCK:13,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:1",rainfed,2013,,,92,,,,82,,,,,,,,85,,,,15,,8,,,,7,,,,,,,,7,,,
7,3360015,Mur13,KWS Murony 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,7,,,"REPLICATE>BLOCK>PLOT>PLANT:7,REPLICATE>BLOCK>PLOT:402696,REPLICATE>BLOCK:23,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:1",rainfed,2013,Yes,,93,,,,84,,,,,,,,82,,,,16,,9,,,,9,,,,,,,,7,,,
2,3359987,Mur13,KWS Murony 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,2,,,"REPLICATE>BLOCK>PLOT>PLANT:2,REPLICATE>BLOCK>PLOT:402429,REPLICATE>BLOCK:13,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:1",rainfed,2013,,,91,,,,75,,,,,,,,81,,,,15,,8.5,,,,8,,,,,,,,7.5,,,
8,3360016,Mur13,KWS Murony 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,8,,,"REPLICATE>BLOCK>PLOT>PLANT:8,REPLICATE>BLOCK>PLOT:402696,REPLICATE>BLOCK:23,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:1",rainfed,2013,Yes,,89,,,,89,,,,,,,,82,,,,15,,8.5,,,,7,,,,,,,,7,,,
6,3360018,Mur13,KWS Murony 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,6,,,"REPLICATE>BLOCK>PLOT>PLANT:6,REPLICATE>BLOCK>PLOT:402696,REPLICATE>BLOCK:23,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:1",rainfed,2013,Yes,,,,89,,,,83,,,,,,,,86,,16,,,,9.5,,,,8,,,,,,,,7.5,
6,3360000,Mur13,KWS Murony 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,6,,,"REPLICATE>BLOCK>PLOT>PLANT:6,REPLICATE>BLOCK>PLOT:402622,REPLICATE>BLOCK:20,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,2013,,,91,,,,86,,,,,,,,82,,,,15,,9,,,,8.5,,,,,,,,7.5,,,
9,3360007,Mur13,KWS Murony 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,9,,,"REPLICATE>BLOCK>PLOT>PLANT:9,REPLICATE>BLOCK>PLOT:402622,REPLICATE>BLOCK:20,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,2013,,,,,91,,,,83,,,,,,,,91,,16,,,,9,,,,7,,,,,,,,7.5,
5,3360005,Mur13,KWS Murony 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,5,,,"REPLICATE>BLOCK>PLOT>PLANT:5,REPLICATE>BLOCK>PLOT:402622,REPLICATE>BLOCK:20,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,2013,,,,,94,,,,84,,,,,,,,86,,16,,,,9,,,,8,,,,,,,,7,
3,3360012,Mur13,KWS Murony 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,3,,,"REPLICATE>BLOCK>PLOT>PLANT:3,REPLICATE>BLOCK>PLOT:402696,REPLICATE>BLOCK:23,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:1",rainfed,2013,Yes,,86,,,,80,,,,,,,,82,,,,15,,9.5,,,,8.5,,,,,,,,8,,,
