,biological_material_id,organism,genus,species,subsp,cvar,var,accession_number,accession_name,organization,material_source_id,material_source_doi
16,3017,,Zea,mays,,,A374,A374_H,A374_H,INRAE,A374_H:INRAE,https://doi.org/10.15454/O8CNHP
17,3018,,Zea,mays,,,FR19,FR19_H,FR19_H,INRAE,FR19_H:INRAE,https://doi.org/10.15454/TPZTSA
18,3019,,Zea,mays,,,B100,B100_H,B100_H,INRAE,B100_H:INRAE,https://doi.org/10.15454/PJSPJG
19,3020,,Zea,mays,,,EZ11A,EZ11A_H,EZ11A_H,INRAE,EZ11A_H:INRAE,https://doi.org/10.15454/F8P1TS
20,3021,,Zea,mays,,,EZ37,EZ37_H,EZ37_H,INRAE,EZ37_H:INRAE,https://doi.org/10.15454/GD6TZS
21,3022,,Zea,mays,,,F1808,F1808_H,F1808_H,INRAE,F1808_H:INRAE,https://doi.org/10.15454/RFTVJ3
22,3023,,Zea,mays,,,Pa405,Pa405_H,Pa405_H,INRAE,Pa405_H:INRAE,https://doi.org/10.15454/KUZQQB
23,3024,,Zea,mays,,,LH38,LH38_H,LH38_H,INRAE,LH38_H:INRAE,https://doi.org/10.15454/M33T8W
24,3025,,Zea,mays,,,Oh02,Oh02_H,Oh02_H,INRAE,Oh02_H:INRAE,https://doi.org/10.15454/EYCTRV
25,3026,,Zea,mays,,,UH250,UH250_H,UH250_H,INRAE,UH250_H:INRAE,https://doi.org/10.15454/ZEQFBU
26,3027,,Zea,mays,,,B97,B97_H,B97_H,INRAE,B97_H:INRAE,https://doi.org/10.15454/3UYP74
27,3028,,Zea,mays,,,F838,F838_H,F838_H,INRAE,F838_H:INRAE,https://doi.org/10.15454/KSZLK9
28,3029,,Zea,mays,,,B104,B104_H,B104_H,INRAE,B104_H:INRAE,https://doi.org/10.15454/4W8MAU
29,3030,,Zea,mays,,,B89,B89_H,B89_H,INRAE,B89_H:INRAE,https://doi.org/10.15454/LFK19C
30,3031,,Zea,mays,,,NC290,NC290_H,NC290_H,INRAE,NC290_H:INRAE,https://doi.org/10.15454/TX6MDP
31,3032,,Zea,mays,,,UH_P089,UH_P089_H,UH_P089_H,INRAE,UH_P089_H:INRAE,https://doi.org/10.15454/YK08AN
32,3033,,Zea,mays,,,EC232,EC232_H,EC232_H,INRAE,EC232_H:INRAE,https://doi.org/10.15454/V2GUZ8
33,3034,,Zea,mays,,,LAN496,LAN496_H,LAN496_H,INRAE,LAN496_H:INRAE,https://doi.org/10.15454/CAPEG4
34,3035,,Zea,mays,,,EP2008-18,EP2008-18_H,EP2008-18_H,INRAE,EP2008-18_H:INRAE,https://doi.org/10.15454/LLQDYK
35,3036,,Zea,mays,,,F7081,F7081_H,F7081_H,INRAE,F7081_H:INRAE,https://doi.org/10.15454/OVKBUY
36,3037,,Zea,mays,,,HMV5422,HMV5422_H,HMV5422_H,INRAE,HMV5422_H:INRAE,https://doi.org/10.15454/MNJOZY
37,3038,,Zea,mays,,,Os426,Os426_H,Os426_H,INRAE,Os426_H:INRAE,https://doi.org/10.15454/GYTVRS
38,3039,,Zea,mays,,,PHG39,PHG39_H,PHG39_H,INRAE,PHG39_H:INRAE,https://doi.org/10.15454/CCDUCG
39,3040,,Zea,mays,,,F7001,F7001_H,F7001_H,INRAE,F7001_H:INRAE,https://doi.org/10.15454/J1WKMB
40,3041,,Zea,mays,,,LH74,LH74_H,LH74_H,INRAE,LH74_H:INRAE,https://doi.org/10.15454/VUPKKL
41,3042,,Zea,mays,,,HMV5405,HMV5405_H,HMV5405_H,INRAE,HMV5405_H:INRAE,https://doi.org/10.15454/DB5QJS
42,3043,,Zea,mays,,,F924,F924_H,F924_H,INRAE,F924_H:INRAE,https://doi.org/10.15454/RPM9FH
43,3044,,Zea,mays,,,EZ40,EZ40_H,EZ40_H,INRAE,EZ40_H:INRAE,https://doi.org/10.15454/BNROZU
44,3045,,Zea,mays,,,W23,W23_H,W23_H,INRAE,W23_H:INRAE,https://doi.org/10.15454/UX5L2C
45,3046,,Zea,mays,,,Mo17,Mo17_H,Mo17_H,INRAE,Mo17_H:INRAE,https://doi.org/10.15454/HWCPGC
46,3047,,Zea,mays,,,W9,W9_H,W9_H,INRAE,W9_H:INRAE,https://doi.org/10.15454/ALXSGY
47,3048,,Zea,mays,,,EZ34,EZ34_H,EZ34_H,INRAE,EZ34_H:INRAE,https://doi.org/10.15454/X1FWVP
48,3049,,Zea,mays,,,F7025,F7025_H,F7025_H,INRAE,F7025_H:INRAE,https://doi.org/10.15454/FVQLLZ
49,3050,,Zea,mays,,,CO109,CO109_H,CO109_H,INRAE,CO109_H:INRAE,https://doi.org/10.15454/X6F0EB
50,3051,,Zea,mays,,,PHG83,PHG83_H,PHG83_H,INRAE,PHG83_H:INRAE,https://doi.org/10.15454/ETLUFX
51,3052,,Zea,mays,,,N25,N25_H,N25_H,INRAE,N25_H:INRAE,https://doi.org/10.15454/N0XW6Z
52,3053,,Zea,mays,,,B107,B107_H,B107_H,INRAE,B107_H:INRAE,https://doi.org/10.15454/XH5MEH
53,3054,,Zea,mays,,,F748,F748_H,F748_H,INRAE,F748_H:INRAE,https://doi.org/10.15454/P7GP0D
54,3055,,Zea,mays,,,PHG86,PHG86_H,PHG86_H,INRAE,PHG86_H:INRAE,https://doi.org/10.15454/CAUHOJ
55,3056,,Zea,mays,,,DK78371A,DK78371A_H,DK78371A_H,INRAE,DK78371A_H:INRAE,https://doi.org/10.15454/CGZZ3F
56,3057,,Zea,mays,,,F712,F712_H,F712_H,INRAE,F712_H:INRAE,https://doi.org/10.15454/6FDQYP
57,3058,,Zea,mays,,,HMV5325,HMV5325_H,HMV5325_H,INRAE,HMV5325_H:INRAE,https://doi.org/10.15454/OJMQGR
58,3059,,Zea,mays,,,B113,B113_H,B113_H,INRAE,B113_H:INRAE,https://doi.org/10.15454/HZM5Q3
59,3060,,Zea,mays,,,LH145,LH145_H,LH145_H,INRAE,LH145_H:INRAE,https://doi.org/10.15454/DTTZ23
60,3061,,Zea,mays,,,PB98TR,PB98TR_H,PB98TR_H,INRAE,PB98TR_H:INRAE,https://doi.org/10.15454/COQ7PM
61,3062,,Zea,mays,,,PB116,PB116_H,PB116_H,INRAE,PB116_H:INRAE,https://doi.org/10.15454/WFCPMD
62,3063,,Zea,mays,,,W602S,W602S_H,W602S_H,INRAE,W602S_H:INRAE,https://doi.org/10.15454/WFMW08
63,3064,,Zea,mays,,,N6,N6_H,N6_H,INRAE,N6_H:INRAE,https://doi.org/10.15454/OJB9O0
64,3065,,Zea,mays,,,F918,F918_H,F918_H,INRAE,F918_H:INRAE,https://doi.org/10.15454/HOMOXO
65,3066,,Zea,mays,,,B106,B106_H,B106_H,INRAE,B106_H:INRAE,https://doi.org/10.15454/U7YFIU
66,3067,,Zea,mays,,,AS5707,AS5707_H,AS5707_H,INRAE,AS5707_H:INRAE,https://doi.org/10.15454/U4PWL3
67,3069,,Zea,mays,,,Lp5,Lp5_H,Lp5_H,INRAE,Lp5_H:INRAE,https://doi.org/10.15454/VVTTBY
68,3070,,Zea,mays,,,EA1163,EA1163_H,EA1163_H,INRAE,EA1163_H:INRAE,https://doi.org/10.15454/CV1BWK
69,3072,,Zea,mays,,,LH82,LH82_H,LH82_H,INRAE,LH82_H:INRAE,https://doi.org/10.15454/FVLUWO
70,3074,,Zea,mays,,,B108,B108_H,B108_H,INRAE,B108_H:INRAE,https://doi.org/10.15454/21XOCO
71,3075,,Zea,mays,,,UH_P128,UH_P128_H,UH_P128_H,INRAE,UH_P128_H:INRAE,https://doi.org/10.15454/TOUBKW
72,3076,,Zea,mays,,,EP51,EP51_H,EP51_H,INRAE,EP51_H:INRAE,https://doi.org/10.15454/SP8JD0
73,3077,,Zea,mays,,,PHH93,PHH93_H,PHH93_H,INRAE,PHH93_H:INRAE,https://doi.org/10.15454/WZXITF
74,3078,,Zea,mays,,,EP55,EP55_H,EP55_H,INRAE,EP55_H:INRAE,https://doi.org/10.15454/GF4RQE
75,3079,,Zea,mays,,,B98,B98_H,B98_H,INRAE,B98_H:INRAE,https://doi.org/10.15454/T3WOSC
76,3080,,Zea,mays,,,ML606,ML606_H,ML606_H,INRAE,ML606_H:INRAE,https://doi.org/10.15454/KOKHG9
77,3081,,Zea,mays,,,DKFBHJ,DKFBHJ_H,DKFBHJ_H,INRAE,DKFBHJ_H:INRAE,https://doi.org/10.15454/WMRRM7
78,3082,,Zea,mays,,,PHG47,PHG47_H,PHG47_H,INRAE,PHG47_H:INRAE,https://doi.org/10.15454/SZLUZC
79,3083,,Zea,mays,,,PHB09,PHB09_H,PHB09_H,INRAE,PHB09_H:INRAE,https://doi.org/10.15454/ZUQPG3
80,3084,,Zea,mays,,,F98902,F98902_H,F98902_H,INRAE,F98902_H:INRAE,https://doi.org/10.15454/ELUEOX
81,3085,,Zea,mays,,,B37,B37_H,B37_H,INRAE,B37_H:INRAE,https://doi.org/10.15454/QKMCCR
82,3086,,Zea,mays,,,F353,F353_H,F353_H,INRAE,F353_H:INRAE,https://doi.org/10.15454/BWEN08
83,3087,,Zea,mays,,,EC136,EC136_H,EC136_H,INRAE,EC136_H:INRAE,https://doi.org/10.15454/OTWCEI
84,3088,,Zea,mays,,,W95115,W95115_H,W95115_H,INRAE,W95115_H:INRAE,https://doi.org/10.15454/9GOSKA
85,3089,,Zea,mays,,,Pa91,Pa91_H,Pa91_H,INRAE,Pa91_H:INRAE,https://doi.org/10.15454/ITYYBD
86,3090,,Zea,mays,,,EA3076,EA3076_H,EA3076_H,INRAE,EA3076_H:INRAE,https://doi.org/10.15454/7XVPGB
87,3091,,Zea,mays,,,PHK76,PHK76_H,PHK76_H,INRAE,PHK76_H:INRAE,https://doi.org/10.15454/D6A8VZ
88,3092,,Zea,mays,,,EP10,EP10_H,EP10_H,INRAE,EP10_H:INRAE,https://doi.org/10.15454/BZLOYX
89,3094,,Zea,mays,,,NDB8,NDB8_H,NDB8_H,INRAE,NDB8_H:INRAE,https://doi.org/10.15454/I1PIAB
90,3096,,Zea,mays,,,MS71,MS71_H,MS71_H,INRAE,MS71_H:INRAE,https://doi.org/10.15454/4XYXKB
91,3097,,Zea,mays,,,DK4676A,DK4676A_H,DK4676A_H,INRAE,DK4676A_H:INRAE,https://doi.org/10.15454/JQK4DZ
92,3098,,Zea,mays,,,EP29,EP29_H,EP29_H,INRAE,EP29_H:INRAE,https://doi.org/10.15454/GEYWPP
93,3099,,Zea,mays,,,NC358,NC358_H,NC358_H,INRAE,NC358_H:INRAE,https://doi.org/10.15454/2D05EV
94,3100,,Zea,mays,,,LH93,LH93_H,LH93_H,INRAE,LH93_H:INRAE,https://doi.org/10.15454/Q0HNOG
95,3101,,Zea,mays,,,11430,11430_H,11430_H,INRAE,11430_H:INRAE,https://doi.org/10.15454/MDSCXQ
96,3102,,Zea,mays,,,A3,A3_H,A3_H,INRAE,A3_H:INRAE,https://doi.org/10.15454/IGF7DX
97,3103,,Zea,mays,,,A375,A375_H,A375_H,INRAE,A375_H:INRAE,https://doi.org/10.15454/7OOY7F
98,3104,,Zea,mays,,,B109,B109_H,B109_H,INRAE,B109_H:INRAE,https://doi.org/10.15454/X4VLZJ
99,3105,,Zea,mays,,,B110,B110_H,B110_H,INRAE,B110_H:INRAE,https://doi.org/10.15454/3XPQEN
100,3106,,Zea,mays,,,C103,C103_H,C103_H,INRAE,C103_H:INRAE,https://doi.org/10.15454/RYTRV5
101,3107,,Zea,mays,,,CR1Ht,CR1Ht_H,CR1Ht_H,INRAE,CR1Ht_H:INRAE,https://doi.org/10.15454/UIVO1U
102,3108,,Zea,mays,,,D09,D09_H,D09_H,INRAE,D09_H:INRAE,https://doi.org/10.15454/MWWCXA
103,3109,,Zea,mays,,,DE811,DE811_H,DE811_H,INRAE,DE811_H:INRAE,https://doi.org/10.15454/4ES48F
104,3110,,Zea,mays,,,DK78010,DK78010_H,DK78010_H,INRAE,DK78010_H:INRAE,https://doi.org/10.15454/CFMQSJ
105,3111,,Zea,mays,,,DKFAPW,DKFAPW_H,DKFAPW_H,INRAE,DKFAPW_H:INRAE,https://doi.org/10.15454/WUYS9V
106,3112,,Zea,mays,,,DKIBO2,DKIBO2_H,DKIBO2_H,INRAE,DKIBO2_H:INRAE,https://doi.org/10.15454/JHDBU3
107,3113,,Zea,mays,,,DKMBST,DKMBST_H,DKMBST_H,INRAE,DKMBST_H:INRAE,https://doi.org/10.15454/KN2JI5
108,3114,,Zea,mays,,,EC140,EC140_H,EC140_H,INRAE,EC140_H:INRAE,https://doi.org/10.15454/TB90FE
109,3115,,Zea,mays,,,EC151,EC151_H,EC151_H,INRAE,EC151_H:INRAE,https://doi.org/10.15454/HPRD42
110,3116,,Zea,mays,,,EC169,EC169_H,EC169_H,INRAE,EC169_H:INRAE,https://doi.org/10.15454/I2LIRO
111,3117,,Zea,mays,,,EC175,EC175_H,EC175_H,INRAE,EC175_H:INRAE,https://doi.org/10.15454/LQ4CSH
112,3118,,Zea,mays,,,EC242C,EC242C_H,EC242C_H,INRAE,EC242C_H:INRAE,https://doi.org/10.15454/WY6RQU
113,3119,,Zea,mays,,,EC334,EC334_H,EC334_H,INRAE,EC334_H:INRAE,https://doi.org/10.15454/7R7CML
114,3120,,Zea,mays,,,EA1027,EA1027_H,EA1027_H,INRAE,EA1027_H:INRAE,https://doi.org/10.15454/NC19EQ
115,3121,,Zea,mays,,,EP2008-22,EP2008-22_H,EP2008-22_H,INRAE,EP2008-22_H:INRAE,https://doi.org/10.15454/BUYPKE
116,3122,,Zea,mays,,,EP67,EP67_H,EP67_H,INRAE,EP67_H:INRAE,https://doi.org/10.15454/I93CVI
117,3123,,Zea,mays,,,EP72,EP72_H,EP72_H,INRAE,EP72_H:INRAE,https://doi.org/10.15454/NI7BTY
118,3124,,Zea,mays,,,EP77,EP77_H,EP77_H,INRAE,EP77_H:INRAE,https://doi.org/10.15454/VGU01X
119,3125,,Zea,mays,,,EZ18,EZ18_H,EZ18_H,INRAE,EZ18_H:INRAE,https://doi.org/10.15454/DBYYTN
120,3126,,Zea,mays,,,EZ31,EZ31_H,EZ31_H,INRAE,EZ31_H:INRAE,https://doi.org/10.15454/TYSFSI
121,3127,,Zea,mays,,,EZ35,EZ35_H,EZ35_H,INRAE,EZ35_H:INRAE,https://doi.org/10.15454/EJEGWP
122,3128,,Zea,mays,,,EZ36,EZ36_H,EZ36_H,INRAE,EZ36_H:INRAE,https://doi.org/10.15454/HVTNGN
123,3129,,Zea,mays,,,EZ38,EZ38_H,EZ38_H,INRAE,EZ38_H:INRAE,https://doi.org/10.15454/QQEUB4
124,3130,,Zea,mays,,,EZ42,EZ42_H,EZ42_H,INRAE,EZ42_H:INRAE,https://doi.org/10.15454/3Q2V9S
125,3131,,Zea,mays,,,W153R,W153R_H,W153R_H,INRAE,W153R_H:INRAE,https://doi.org/10.15454/3VKPVB
126,3132,,Zea,mays,,,EZ48,EZ48_H,EZ48_H,INRAE,EZ48_H:INRAE,https://doi.org/10.15454/U6LYU7
127,3133,,Zea,mays,,,F546,F546_H,F546_H,INRAE,F546_H:INRAE,https://doi.org/10.15454/MWDWAE
128,3134,,Zea,mays,,,F04401,F04401_H,F04401_H,INRAE,F04401_H:INRAE,https://doi.org/10.15454/OAENUW
129,3135,,Zea,mays,,,F04402,F04402_H,F04402_H,INRAE,F04402_H:INRAE,https://doi.org/10.15454/Y8KSIC
130,3136,,Zea,mays,,,F04701,F04701_H,F04701_H,INRAE,F04701_H:INRAE,https://doi.org/10.15454/2BEETM
131,3137,,Zea,mays,,,F04702,F04702_H,F04702_H,INRAE,F04702_H:INRAE,https://doi.org/10.15454/G6TRI1
132,3138,,Zea,mays,,,F05101,F05101_H,F05101_H,INRAE,F05101_H:INRAE,https://doi.org/10.15454/LT9EBP
133,3139,,Zea,mays,,,F05404,F05404_H,F05404_H,INRAE,F05404_H:INRAE,https://doi.org/10.15454/PQQBMH
134,3140,,Zea,mays,,,F608,F608_H,F608_H,INRAE,F608_H:INRAE,https://doi.org/10.15454/AIXVTG
135,3141,,Zea,mays,,,F618,F618_H,F618_H,INRAE,F618_H:INRAE,https://doi.org/10.15454/UUGPLJ
136,3142,,Zea,mays,,,F7019,F7019_H,F7019_H,INRAE,F7019_H:INRAE,https://doi.org/10.15454/ML81EC
137,3143,,Zea,mays,,,F7058,F7058_H,F7058_H,INRAE,F7058_H:INRAE,https://doi.org/10.15454/QPSSQO
138,3144,,Zea,mays,,,F7057,F7057_H,F7057_H,INRAE,F7057_H:INRAE,https://doi.org/10.15454/7L8N8B
139,3145,,Zea,mays,,,F7082,F7082_H,F7082_H,INRAE,F7082_H:INRAE,https://doi.org/10.15454/IFDAIO
140,3146,,Zea,mays,,,F752,F752_H,F752_H,INRAE,F752_H:INRAE,https://doi.org/10.15454/DU6APM
141,3147,,Zea,mays,,,F874,F874_H,F874_H,INRAE,F874_H:INRAE,https://doi.org/10.15454/LBNZ4P
142,3148,,Zea,mays,,,F888,F888_H,F888_H,INRAE,F888_H:INRAE,https://doi.org/10.15454/VQ9W36
143,3149,,Zea,mays,,,F908,F908_H,F908_H,INRAE,F908_H:INRAE,https://doi.org/10.15454/TML7FA
144,3150,,Zea,mays,,,F922,F922_H,F922_H,INRAE,F922_H:INRAE,https://doi.org/10.15454/VSJSVC
145,3151,,Zea,mays,,,FP1,FP1_H,FP1_H,INRAE,FP1_H:INRAE,https://doi.org/10.15454/V1LWRV
146,3152,,Zea,mays,,,F218,F218_H,F218_H,INRAE,F218_H:INRAE,https://doi.org/10.15454/FLADQ9
147,3153,,Zea,mays,,,F252,F252_H,F252_H,INRAE,F252_H:INRAE,https://doi.org/10.15454/KVWABC
148,3154,,Zea,mays,,,F354,F354_H,F354_H,INRAE,F354_H:INRAE,https://doi.org/10.15454/AYJM3H
149,3155,,Zea,mays,,,H99,H99_H,H99_H,INRAE,H99_H:INRAE,https://doi.org/10.15454/B39W9G
150,3156,,Zea,mays,,,HMV5301,HMV5301_H,HMV5301_H,INRAE,HMV5301_H:INRAE,https://doi.org/10.15454/ZLKLHI
151,3157,,Zea,mays,,,HMV5343,HMV5343_H,HMV5343_H,INRAE,HMV5343_H:INRAE,https://doi.org/10.15454/A6PR22
152,3158,,Zea,mays,,,HMV5347,HMV5347_H,HMV5347_H,INRAE,HMV5347_H:INRAE,https://doi.org/10.15454/GDWINS
153,3159,,Zea,mays,,,HMV5409,HMV5409_H,HMV5409_H,INRAE,HMV5409_H:INRAE,https://doi.org/10.15454/0TQ4ET
154,3160,,Zea,mays,,,HMV5502,HMV5502_H,HMV5502_H,INRAE,HMV5502_H:INRAE,https://doi.org/10.15454/QSWXHN
155,3161,,Zea,mays,,,I198,I198_H,I198_H,INRAE,I198_H:INRAE,https://doi.org/10.15454/DL4JVF
156,3162,,Zea,mays,,,I205,I205_H,I205_H,INRAE,I205_H:INRAE,https://doi.org/10.15454/PXEAAU
157,3163,,Zea,mays,,,I211,I211_H,I211_H,INRAE,I211_H:INRAE,https://doi.org/10.15454/M1T9X4
158,3164,,Zea,mays,,,I233,I233_H,I233_H,INRAE,I233_H:INRAE,https://doi.org/10.15454/C4VEF0
159,3165,,Zea,mays,,,I238,I238_H,I238_H,INRAE,I238_H:INRAE,https://doi.org/10.15454/VMZUXV
160,3166,,Zea,mays,,,I242,I242_H,I242_H,INRAE,I242_H:INRAE,https://doi.org/10.15454/DEW3P6
161,3167,,Zea,mays,,,I261,I261_H,I261_H,INRAE,I261_H:INRAE,https://doi.org/10.15454/GILEFF
162,3168,,Zea,mays,,,I267,I267_H,I267_H,INRAE,I267_H:INRAE,https://doi.org/10.15454/GVPFQE
163,3169,,Zea,mays,,,IDT,IDT_H,IDT_H,INRAE,IDT_H:INRAE,https://doi.org/10.15454/T2QBKI
164,3170,,Zea,mays,,,LH123Ht,LH123Ht_H,LH123Ht_H,INRAE,LH123Ht_H:INRAE,https://doi.org/10.15454/LYOFZO
165,3171,,Zea,mays,,,LH39,LH39_H,LH39_H,INRAE,LH39_H:INRAE,https://doi.org/10.15454/WNQFKH
166,3172,,Zea,mays,,,LH59,LH59_H,LH59_H,INRAE,LH59_H:INRAE,https://doi.org/10.15454/JWCMJS
167,3173,,Zea,mays,,,LH60,LH60_H,LH60_H,INRAE,LH60_H:INRAE,https://doi.org/10.15454/MR6MIM
168,3174,,Zea,mays,,,LH65,LH65_H,LH65_H,INRAE,LH65_H:INRAE,https://doi.org/10.15454/NFXR4L
169,3175,,Zea,mays,,,Lo1016,Lo1016_H,Lo1016_H,INRAE,Lo1016_H:INRAE,https://doi.org/10.15454/TW76QX
170,3176,,Zea,mays,,,Lo1026,Lo1026_H,Lo1026_H,INRAE,Lo1026_H:INRAE,https://doi.org/10.15454/JBNGJT
171,3177,,Zea,mays,,,Lo1035,Lo1035_H,Lo1035_H,INRAE,Lo1035_H:INRAE,https://doi.org/10.15454/PM06E7
172,3178,,Zea,mays,,,Lo1038,Lo1038_H,Lo1038_H,INRAE,Lo1038_H:INRAE,https://doi.org/10.15454/MNN3BT
173,3179,,Zea,mays,,,Lo1056,Lo1056_H,Lo1056_H,INRAE,Lo1056_H:INRAE,https://doi.org/10.15454/YW6ASO
174,3180,,Zea,mays,,,Lo1063,Lo1063_H,Lo1063_H,INRAE,Lo1063_H:INRAE,https://doi.org/10.15454/AOK4RM
175,3181,,Zea,mays,,,Lo1087,Lo1087_H,Lo1087_H,INRAE,Lo1087_H:INRAE,https://doi.org/10.15454/089G4O
176,3182,,Zea,mays,,,Lo1094,Lo1094_H,Lo1094_H,INRAE,Lo1094_H:INRAE,https://doi.org/10.15454/KF2P15
177,3183,,Zea,mays,,,Lo1095,Lo1095_H,Lo1095_H,INRAE,Lo1095_H:INRAE,https://doi.org/10.15454/EKBCA6
178,3184,,Zea,mays,,,Lo1101,Lo1101_H,Lo1101_H,INRAE,Lo1101_H:INRAE,https://doi.org/10.15454/CPJZKR
179,3185,,Zea,mays,,,Lo1106,Lo1106_H,Lo1106_H,INRAE,Lo1106_H:INRAE,https://doi.org/10.15454/IGO0FR
180,3186,,Zea,mays,,,Lo1123,Lo1123_H,Lo1123_H,INRAE,Lo1123_H:INRAE,https://doi.org/10.15454/QHEMLY
181,3187,,Zea,mays,,,Lo1124,Lo1124_H,Lo1124_H,INRAE,Lo1124_H:INRAE,https://doi.org/10.15454/UHQTBS
182,3188,,Zea,mays,,,Lo1130,Lo1130_H,Lo1130_H,INRAE,Lo1130_H:INRAE,https://doi.org/10.15454/D6XH5E
183,3189,,Zea,mays,,,Lo1172,Lo1172_H,Lo1172_H,INRAE,Lo1172_H:INRAE,https://doi.org/10.15454/GJAFVX
184,3190,,Zea,mays,,,Lo1180,Lo1180_H,Lo1180_H,INRAE,Lo1180_H:INRAE,https://doi.org/10.15454/4YFVBA
185,3191,,Zea,mays,,,Lo1187,Lo1187_H,Lo1187_H,INRAE,Lo1187_H:INRAE,https://doi.org/10.15454/VNMSHP
186,3192,,Zea,mays,,,Lo1199,Lo1199_H,Lo1199_H,INRAE,Lo1199_H:INRAE,https://doi.org/10.15454/9UZPXS
187,3193,,Zea,mays,,,Lo1203,Lo1203_H,Lo1203_H,INRAE,Lo1203_H:INRAE,https://doi.org/10.15454/B3KRWB
188,3194,,Zea,mays,,,Lo1223,Lo1223_H,Lo1223_H,INRAE,Lo1223_H:INRAE,https://doi.org/10.15454/8XPNG8
189,3195,,Zea,mays,,,Lo1242,Lo1242_H,Lo1242_H,INRAE,Lo1242_H:INRAE,https://doi.org/10.15454/LSJ0SQ
190,3196,,Zea,mays,,,Lo1251,Lo1251_H,Lo1251_H,INRAE,Lo1251_H:INRAE,https://doi.org/10.15454/ZPQMID
191,3197,,Zea,mays,,,Lo1253,Lo1253_H,Lo1253_H,INRAE,Lo1253_H:INRAE,https://doi.org/10.15454/NKIE76
192,3198,,Zea,mays,,,Lo1261,Lo1261_H,Lo1261_H,INRAE,Lo1261_H:INRAE,https://doi.org/10.15454/YBXTRS
193,3199,,Zea,mays,,,Lo1266,Lo1266_H,Lo1266_H,INRAE,Lo1266_H:INRAE,https://doi.org/10.15454/TNGTAV
194,3200,,Zea,mays,,,Lo1270,Lo1270_H,Lo1270_H,INRAE,Lo1270_H:INRAE,https://doi.org/10.15454/TMJHZA
195,3201,,Zea,mays,,,Lo1273,Lo1273_H,Lo1273_H,INRAE,Lo1273_H:INRAE,https://doi.org/10.15454/TUULPT
196,3202,,Zea,mays,,,Lo1274,Lo1274_H,Lo1274_H,INRAE,Lo1274_H:INRAE,https://doi.org/10.15454/DTTIUB
197,3203,,Zea,mays,,,Lo1280,Lo1280_H,Lo1280_H,INRAE,Lo1280_H:INRAE,https://doi.org/10.15454/ZVAVSP
198,3204,,Zea,mays,,,Lo1282,Lo1282_H,Lo1282_H,INRAE,Lo1282_H:INRAE,https://doi.org/10.15454/E3TUYJ
199,3205,,Zea,mays,,,Lo1284,Lo1284_H,Lo1284_H,INRAE,Lo1284_H:INRAE,https://doi.org/10.15454/OVW4GG
200,3206,,Zea,mays,,,Lo1288,Lo1288_H,Lo1288_H,INRAE,Lo1288_H:INRAE,https://doi.org/10.15454/XXTRYK
201,3207,,Zea,mays,,,Lo1290,Lo1290_H,Lo1290_H,INRAE,Lo1290_H:INRAE,https://doi.org/10.15454/YL5R4U
202,3208,,Zea,mays,,,Pa36,Pa36_H,Pa36_H,INRAE,Pa36_H:INRAE,https://doi.org/10.15454/LFUUTO
203,3209,,Zea,mays,,,Lo1301,Lo1301_H,Lo1301_H,INRAE,Lo1301_H:INRAE,https://doi.org/10.15454/1ZCMBD
