observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,water_regime,season,FFLW_D20deg(MIPO:0000024),FFLW_D20deg(MIPO:0000024).date,GN(MIPO:0000017),GN(MIPO:0000017).date,GY_Adj_tha(MIPO:0000018),GY_Adj_tha(MIPO:0000018).date,KW(MIPO:0000012),KW(MIPO:0000012).date,MFLW_D20deg(MIPO:0000025),MFLW_D20deg(MIPO:0000025).date,Psi_Fill(EIPO:0000003),Psi_Fill(EIPO:0000003).date,Psi_Flo(EIPO:0000003),Psi_Flo(EIPO:0000003).date,Ri_Early(EIPO:0000002),Ri_Early(EIPO:0000002).date,Ri_Fill(EIPO:0000002),Ri_Fill(EIPO:0000002).date,Ri_Flo(EIPO:0000002),Ri_Flo(EIPO:0000002).date,Tmax_Early(EIPO:0000005),Tmax_Early(EIPO:0000005).date,Tmax_Fill(EIPO:0000005),Tmax_Fill(EIPO:0000005).date,Tmax_Flo(EIPO:0000005),Tmax_Flo(EIPO:0000005).date,Tnight_Early(EIPO:0000001),Tnight_Early(EIPO:0000001).date,Tnight_Fill(EIPO:0000001),Tnight_Fill(EIPO:0000001).date,Tnight_Flo(EIPO:0000001),Tnight_Flo(EIPO:0000001).date,tassel_height(MIPO:0000014),tassel_height(MIPO:0000014).date
3079water_regimewatered,3340153,Mur13,KWS Murony 2013,127475,https://doi.org/10.15454/T3WOSC,B98_H,VIRTUAL_TRIAL,,,,,,,,watered,2013,283.326285963,,283.9657029012,,3395.8883226228,,64.0753744153,,70.1538935942,,-17.1079545455,,-36.575,,313.813,,810.734,,294.362,,32.4894218269,,27.8663165236,,35.8681317283,,16.932806713,,14.7544752959,,20.94975,,137.8020403908,
3208water_regimerainfed,3340030,Mur13,KWS Murony 2013,127602,https://doi.org/10.15454/LFUUTO,Pa36_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2013,241.2885523002,,240.4782914693,,1137.3291301891,,60.0265547374,,61.7944020725,,-158.2755102041,,-89.9631578947,,233.414,,942.793,,251.758,,32.7165368467,,28.121375053,,34.7742999684,,17.2565265152,,14.7568522194,,19.7661403509,,134.6175987414,
3211water_regimewatered,3340279,Mur13,KWS Murony 2013,127605,https://doi.org/10.15454/0LXNCN,Mo15W_H,VIRTUAL_TRIAL,,,,,,,,watered,2013,271.9387069501,,321.4294976807,,3318.9227171285,,67.2948949214,,70.7363229838,,-17.1079545455,,-39.7549019608,,376.558,,810.734,,248.924,,33.1680568061,,27.8663165236,,35.9471645097,,17.3611611111,,14.7544752959,,21.1958496732,,152.9878416347,
3210water_regimerainfed,3340032,Mur13,KWS Murony 2013,127604,https://doi.org/10.15454/WAG6NL,Lo904_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2013,261.394106562,,317.9756596505,,3159.5828858595,,62.7861171917,,66.2054135954,,-157.9787234043,,-107.2222222222,,293.562,,894.395,,248.368,,32.4349955727,,27.6745153566,,35.4569049568,,17.0332233796,,14.4419831533,,20.7440123457,,138.1341102399,
3027water_regimerainfed,3339859,Mur13,KWS Murony 2013,127426,https://doi.org/10.15454/3UYP74,B97_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2013,257.3081313764,,306.7143528183,,3316.8516482827,,62.8432843657,,66.0370614557,,-157.9787234043,,-117.8666666667,,355.118,,894.395,,248.368,,32.6212428414,,27.6745153566,,35.6128071731,,17.1804055556,,14.4419831533,,21.0606666667,,138.9258431579,
3215water_regimerainfed,3340037,Mur13,KWS Murony 2013,127609,https://doi.org/10.15454/68UAOE,NK764_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2013,230.7251385035,,268.4551889994,,2470.4122203032,,58.3746467706,,61.1545433444,,-158.25,,-80.175,,191.818,,962.897,,257.019,,32.9634868335,,28.2002306043,,34.6331397516,,17.8535039683,,14.8350717909,,19.3276111111,,114.2345411026,
3217water_regimewatered,3340285,Mur13,KWS Murony 2013,127611,https://doi.org/10.15454/FCAQLR,NQ508_H,VIRTUAL_TRIAL,,,,,,,,watered,2013,258.0973167734,,325.8976457247,,3014.3526686993,,64.1779870877,,66.0385302802,,-19.9973404255,,-30.8819444444,,293.562,,869.402,,222.869,,32.4349955727,,28.5029266375,,35.4569049568,,17.0332233796,,15.2851300221,,20.7440123457,,145.5093969353,
3217water_regimerainfed,3340039,Mur13,KWS Murony 2013,127611,https://doi.org/10.15454/FCAQLR,NQ508_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2013,255.1651722891,,316.9364928572,,2838.2702408694,,60.7350872082,,65.1659030702,,-157.9787234043,,-107.2222222222,,293.562,,894.395,,274.007,,32.4349955727,,27.8390293186,,35.4569049568,,17.0332233796,,14.495365221,,20.7440123457,,133.9564763441,
3219water_regimerainfed,3340041,Mur13,KWS Murony 2013,127613,https://doi.org/10.15454/AZDRPF,Oh40B_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2013,260.4040912823,,319.9238077575,,2394.3049812835,,62.5587216917,,67.9124787223,,-157.2555555556,,-107.0954545455,,255.57,,846.573,,296.19,,32.742815454,,27.3843856963,,35.3056570252,,17.2644070048,,14.2953110049,,20.3005808081,,130.8292949628,
3220water_regimewatered,3340288,Mur13,KWS Murony 2013,127614,https://doi.org/10.15454/GWATR4,P465P_H,VIRTUAL_TRIAL,,,,,,,,watered,2013,264.9442021479,,290.3437866676,,3351.907673061,,63.6259858781,,66.2712244906,,-19.1657608696,,-30.90625,,271.224,,857.667,,247.429,,32.4738561543,,28.1902073844,,35.3250944491,,17.0589673913,,14.9913504228,,20.4634444444,,139.6725155825,
3221water_regimerainfed,3340043,Mur13,KWS Murony 2013,127615,https://doi.org/10.15454/9E4IDY,A554_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2013,250.2861630111,,266.8187460415,,2088.6683923329,,56.6877207413,,60.8637303197,,-158.25,,-86.2388888889,,233.414,,962.897,,280.272,,32.7165368467,,28.3540675915,,34.8372464311,,17.2565265152,,14.8838966887,,19.7402469136,,124.0327948286,
3004water_regimewatered,3340082,Mur13,KWS Murony 2013,127403,https://doi.org/10.15454/EW2AP2,W64A_H,VIRTUAL_TRIAL,,,,,,,,watered,2013,238.72037602,,299.4807645466,,3228.1183308903,,61.0843338293,,64.1762463509,,-20.7083333333,,-26.5125,,233.414,,906.197,,250.037,,32.7165368467,,28.490700957,,34.8648250716,,17.2565265152,,15.1975685752,,19.9525555556,,117.2647848035,
3028water_regimerainfed,3339860,Mur13,KWS Murony 2013,127427,https://doi.org/10.15454/KSZLK9,F838_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2013,253.1177521974,,278.3167723464,,2941.8423311996,,65.6479943918,,68.4158244944,,-157.2555555556,,-128.1145833333,,378.371,,846.573,,249.761,,32.7249136571,,27.3892917968,,35.8155755752,,17.2494070513,,14.2514287707,,21.1497569444,,138.4346214563,
3004water_regimerainfed,3339836,Mur13,KWS Murony 2013,127403,https://doi.org/10.15454/EW2AP2,W64A_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2013,249.4900980167,,298.3104947134,,2218.4311848345,,60.6552473955,,63.9444717031,,-158.1770833333,,-93.615,,233.414,,918.365,,250.037,,32.7165368467,,27.8324950221,,34.8648250716,,17.2565265152,,14.5738223668,,19.9525555556,,122.0913178743,
3256water_regimerainfed,3340078,Mur13,KWS Murony 2013,127650,https://doi.org/10.15454/I2W4OZ,SGI061_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2013,254.9128934108,,322.3773807759,,2458.6531168376,,62.9255633915,,64.761727523,,-157.9787234043,,-100.38,,255.57,,894.395,,248.368,,32.742815454,,27.8390293186,,35.1275334448,,17.2644070048,,14.495365221,,20.2576111111,,141.8329750254,
3225water_regimewatered,3340293,Mur13,KWS Murony 2013,127619,https://doi.org/10.15454/3PWKJE,PHG71_H,VIRTUAL_TRIAL,,,,,,,,watered,2013,247.5866992908,,307.2167600973,,2587.7434681264,,61.1327951498,,64.6454196946,,-20.7083333333,,-27.1184210526,,255.57,,893.372,,250.037,,32.742815454,,28.6653812447,,34.9460819271,,17.2644070048,,15.4182551651,,20.0849122807,,126.7486574191,
3083water_regimerainfed,3339911,Mur13,KWS Murony 2013,127479,https://doi.org/10.15454/ZUQPG3,PHB09_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2013,243.7298478136,,318.6292343411,,2452.4298591521,,63.4931981662,,66.1102371466,,-157.9787234043,,-107.2222222222,,291.241,,894.395,,222.869,,32.4633954812,,27.6745153566,,35.4569049568,,16.8954891304,,14.4419831533,,20.7440123457,,125.7684030789,
3229water_regimerainfed,3340051,Mur13,KWS Murony 2013,127623,https://doi.org/10.15454/RCUMRI,PHK29_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2013,251.3984900225,,302.6599805946,,3576.261324974,,65.1137176698,,67.2785156106,,-157.6739130435,,-114.1111111111,,313.813,,869.835,,226.499,,32.4894218269,,27.5392633833,,35.6595921671,,16.932806713,,14.3674522219,,20.8353703704,,135.3144561432,
3230water_regimewatered,3340298,Mur13,KWS Murony 2013,127624,https://doi.org/10.15454/YPHNBZ,PHR36_H,VIRTUAL_TRIAL,,,,,,,,watered,2013,251.1213205433,,278.3118650346,,2874.7042091264,,63.4430887037,,66.517386813,,-19.1657608696,,-32.3223684211,,291.241,,844.842,,247.429,,32.4633954812,,28.3657021221,,35.524246673,,16.8954891304,,15.2159562632,,20.6751461988,,133.9327565276,
3230water_regimerainfed,3340052,Mur13,KWS Murony 2013,127624,https://doi.org/10.15454/YPHNBZ,PHR36_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2013,250.1984088996,,276.7369045966,,2804.596078642,,63.1719599495,,66.3180842063,,-157.6739130435,,-110.6315789474,,291.241,,869.835,,272.928,,32.4633954812,,27.5392633833,,35.524246673,,16.8954891304,,14.3674522219,,20.6751461988,,137.3437153314,
3235water_regimewatered,3340303,Mur13,KWS Murony 2013,127629,https://doi.org/10.15454/HBOONE,SC-Malawi_H,VIRTUAL_TRIAL,,,,,,,,watered,2013,261.0064929432,,309.8567897583,,2407.3182476863,,68.6424274813,,71.1107880004,,-16.4282945736,,-37.0396825397,,313.813,,787.029,,249.354,,32.4894218269,,27.6868718424,,35.9827020285,,16.932806713,,14.632770847,,20.9908730159,,147.9662739137,
3234water_regimerainfed,3340056,Mur13,KWS Murony 2013,127628,https://doi.org/10.15454/XGPNFM,PHZ51_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2013,272.7085980988,,291.6146565535,,3122.7993556564,,64.9065659505,,67.5833949205,,-157.6739130435,,-117.6470588235,,332.57,,869.835,,226.499,,32.5147209131,,27.5392633833,,35.6533102517,,17.0282928241,,14.3674522219,,20.9515686275,,140.7538779651,
3236water_regimewatered,3340304,Mur13,KWS Murony 2013,127630,https://doi.org/10.15454/CXASTH,UH_2500_H,VIRTUAL_TRIAL,,,,,,,,watered,2013,252.8473512879,,271.9774223406,,2611.9448321391,,63.5424492485,,63.5260348015,,-20.7083333333,,-27.1184210526,,255.57,,893.372,,198.899,,32.742815454,,28.6653812447,,34.9460819271,,17.2644070048,,15.4182551651,,20.0849122807,,120.6674999439,
3085water_regimewatered,3340159,Mur13,KWS Murony 2013,127481,https://doi.org/10.15454/QKMCCR,B37_H,VIRTUAL_TRIAL,,,,,,,,watered,2013,259.2248521063,,294.4907464578,,3398.2218753383,,66.5523963375,,69.8262822965,,-17.1079545455,,-36.575,,313.813,,822.902,,248.924,,32.4894218269,,27.7306308809,,35.8681317283,,16.932806713,,14.5674391692,,20.94975,,123.6236934507,
3238water_regimerainfed,3340060,Mur13,KWS Murony 2013,127632,https://doi.org/10.15454/PTTCO2,UH_6179_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2013,247.3754075253,,310.3639214314,,2568.7751972597,,56.9295685125,,60.138691635,,-158.1078431373,,-85.56875,,255.57,,986.331,,256.838,,32.742815454,,28.4299039134,,35.0054300511,,17.2644070048,,14.9535553074,,19.8829166667,,130.4328041544,
3238water_regimewatered,3340306,Mur13,KWS Murony 2013,127632,https://doi.org/10.15454/PTTCO2,UH_6179_H,VIRTUAL_TRIAL,,,,,,,,watered,2013,258.8168518357,,308.093682671,,2717.629257005,,58.6737050108,,60.444549525,,-21.72,,-24.8970588235,,255.57,,929.06,,257.019,,32.742815454,,29.0712631685,,34.9264406437,,17.2644070048,,15.841404554,,19.8756862745,,121.1788373785,
3240water_regimerainfed,3340062,Mur13,KWS Murony 2013,127634,https://doi.org/10.15454/KENKPI,UH_P060_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2013,246.0865268357,,289.971323195,,2104.8262119247,,58.0480431195,,59.9750122225,,-158.1078431373,,-85.56875,,253.321,,986.331,,233.585,,32.4597051851,,28.4299039134,,35.0054300511,,17.1380618687,,14.9535553074,,19.8829166667,,121.8170153758,
3030water_regimewatered,3340108,Mur13,KWS Murony 2013,127429,https://doi.org/10.15454/LFK19C,B89_H,VIRTUAL_TRIAL,,,,,,,,watered,2013,257.1546948809,,263.7995701487,,2135.5453372217,,59.3146775716,,64.1447085219,,-20.7083333333,,-26.2159090909,,191.818,,884.528,,276.186,,32.9634868335,,28.8731723597,,34.6767663957,,17.8535039683,,15.6439642662,,19.5581313131,,119.3944438426,
3005water_regimerainfed,3339837,Mur13,KWS Murony 2013,127404,https://doi.org/10.15454/YLEAQG,Oh33_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2013,257.1848524437,,278.9205620294,,2291.1571401366,,61.5021032731,,65.2007358516,,-157.9787234043,,-103.7368421053,,273.473,,894.395,,274.007,,32.7445805383,,27.8390293186,,35.2508153379,,17.18334375,,14.495365221,,20.5175438596,,136.8464561341,
3030water_regimerainfed,3339862,Mur13,KWS Murony 2013,127429,https://doi.org/10.15454/LFK19C,B89_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2013,246.5329281943,,272.9583481228,,2199.7561855668,,58.7985776735,,64.993063496,,-157.9787234043,,-90.9130434783,,191.818,,894.395,,325.521,,32.9634868335,,27.8390293186,,34.846259695,,17.8535039683,,14.495365221,,19.7312077295,,129.5045957976,
3246water_regimerainfed,3340068,Mur13,KWS Murony 2013,127640,https://doi.org/10.15454/RGRUUB,UH_P148_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2013,245.3797884437,,320.0190894717,,2760.1843520396,,58.2684905778,,60.5554770863,,-158.25,,-83.1631578947,,213.866,,962.897,,257.019,,32.9479901129,,28.2002306043,,34.7389597922,,17.7481426768,,14.8350717909,,19.5271929825,,111.4791655973,
3246water_regimewatered,3340314,Mur13,KWS Murony 2013,127640,https://doi.org/10.15454/RGRUUB,UH_P148_H,VIRTUAL_TRIAL,,,,,,,,watered,2013,240.3023358397,,308.7683117212,,2807.2773853103,,60.540994232,,60.5186749604,,-21.72,,-24.1447368421,,213.866,,937.904,,231.654,,32.9479901129,,28.8668703569,,34.7389597922,,17.7481426768,,15.6196638578,,19.5271929825,,123.4725685348,
3248water_regimewatered,3340316,Mur13,KWS Murony 2013,127642,https://doi.org/10.15454/NEO4EO,UH_S020_H,VIRTUAL_TRIAL,,,,,,,,watered,2013,266.2004620798,,313.6519635668,,3156.7417238111,,64.7649004418,,66.2320052469,,-19.9973404255,,-30.8819444444,,293.562,,882.227,,222.869,,32.4349955727,,28.3280491615,,35.4569049568,,17.0332233796,,15.0630311507,,20.7440123457,,157.2114387503,
3248water_regimerainfed,3340070,Mur13,KWS Murony 2013,127642,https://doi.org/10.15454/NEO4EO,UH_S020_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2013,263.0966638871,,301.1679129825,,3482.049695669,,63.9824281913,,66.5069194687,,-157.6739130435,,-110.6315789474,,293.562,,869.835,,247.429,,32.4349955727,,27.5392633833,,35.524246673,,17.0332233796,,14.3674522219,,20.6751461988,,140.1630780008,
3250water_regimewatered,3340318,Mur13,KWS Murony 2013,127644,https://doi.org/10.15454/PRT5XO,UH304_H,VIRTUAL_TRIAL,,,,,,,,watered,2013,238.8816648075,,304.452403047,,2942.4880563021,,58.1089091036,,60.4888505107,,-21.72,,-24.2375,,191.818,,929.06,,257.019,,32.9634868335,,29.0712631685,,34.6331397516,,17.8535039683,,15.841404554,,19.3276111111,,110.3534713925,
3249water_regimerainfed,3340071,Mur13,KWS Murony 2013,127643,https://doi.org/10.15454/VEZE8O,UH_S025_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2013,260.2540009263,,252.4345696652,,3229.4837789031,,61.4959502042,,66.3134163972,,-157.6739130435,,-114.1111111111,,313.813,,869.835,,298.567,,32.4894218269,,27.5392633833,,35.6595921671,,16.932806713,,14.3674522219,,20.8353703704,,122.1546831118,
3254water_regimerainfed,3340076,Mur13,KWS Murony 2013,127648,https://doi.org/10.15454/P7VJXF,W604S_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2013,251.4740201499,,291.1056633705,,2401.761846971,,64.3476573857,,67.2121965974,,-157.6739130435,,-124.8888888889,,376.558,,869.835,,247.429,,33.1680568061,,27.5392633833,,35.7074547406,,17.3611611111,,14.3674522219,,21.0914074074,,133.1643214574,
3255water_regimewatered,3340323,Mur13,KWS Murony 2013,127649,https://doi.org/10.15454/MUP3UY,Wf9_H,VIRTUAL_TRIAL,,,,,,,,watered,2013,269.5353669936,,310.7131149501,,2933.862357423,,61.8239746384,,65.4244829294,,-19.9973404255,,-30.8819444444,,293.562,,882.227,,274.007,,32.4349955727,,28.3280491615,,35.4569049568,,17.0332233796,,15.0630311507,,20.7440123457,,129.5793969372,
3089water_regimerainfed,3339917,Mur13,KWS Murony 2013,127485,https://doi.org/10.15454/ITYYBD,Pa91_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2013,260.0585522135,,316.2329879422,,2948.7875521271,,65.8575579193,,70.435172402,,-156.7159090909,,-124.0789473684,,335.527,,822.902,,273.432,,32.620500343,,27.2227462756,,35.8734868335,,17.0098944444,,14.1795833939,,21.0597368421,,145.1113355804,
3089water_regimewatered,3340163,Mur13,KWS Murony 2013,127485,https://doi.org/10.15454/ITYYBD,Pa91_H,VIRTUAL_TRIAL,,,,,,,,watered,2013,270.9785392766,,299.3897207871,,3295.1229907963,,69.1783549348,,70.9218024005,,-16.4282945736,,-38.1416666667,,335.527,,787.029,,249.354,,32.620500343,,27.6868718424,,35.9935178935,,17.0098944444,,14.632770847,,21.0974166667,,153.3930200408,
3006water_regimewatered,3340084,Mur13,KWS Murony 2013,127405,https://doi.org/10.15454/FLE1RA,EZ47_H,VIRTUAL_TRIAL,,,,,,,,watered,2013,264.2138988704,,280.3615723124,,3209.2601522222,,63.6377623515,,65.7513324414,,-19.9973404255,,-28.46875,,255.57,,882.227,,222.869,,32.742815454,,28.3280491615,,35.1275334448,,17.2644070048,,15.0630311507,,20.2576111111,,139.7822552605,
3039water_regimerainfed,3339871,Mur13,KWS Murony 2013,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2013,268.3706632244,,314.4175914543,,3191.4509147587,,64.4277536981,,66.5072044716,,-157.6739130435,,-121.25,,355.118,,869.835,,247.429,,32.6212428414,,27.5322239669,,35.6830315725,,17.1804055556,,14.4089829019,,20.9590972222,,140.6342970588,
3090water_regimewatered,3340164,Mur13,KWS Murony 2013,127486,https://doi.org/10.15454/7XVPGB,EA3076_H,VIRTUAL_TRIAL,,,,,,,,watered,2013,255.7921068404,,290.2150351005,,2900.8849894109,,65.6926676205,,68.4185735539,,-18.2055555556,,-36.1111111111,,332.57,,821.58,,249.761,,32.5147209131,,28.2119447327,,35.7524256874,,17.0282928241,,15.1005487422,,21.0112037037,,134.6589939562,
3032water_regimewatered,3340110,Mur13,KWS Murony 2013,127431,https://doi.org/10.15454/YK08AN,UH_P089_H,VIRTUAL_TRIAL,,,,,,,,watered,2013,247.1860984516,,286.0015554595,,2937.9461563097,,60.5463047693,,64.7195620579,,-19.9973404255,,-33.0859375,,335.527,,869.402,,300.156,,32.620500343,,28.5029266375,,35.5856172947,,17.0098944444,,15.2851300221,,21.0463194444,,125.2150177415,
3050water_regimerainfed,3339881,Mur13,KWS Murony 2013,127449,https://doi.org/10.15454/X6F0EB,CO109_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2013,228.3878941335,,281.1377401781,,1810.3528927424,,58.4340737387,,59.9104916849,,-158.1078431373,,-79.3944444444,,211.311,,986.331,,233.585,,32.7044766826,,28.4299039134,,34.7987569959,,17.3310171958,,14.9535553074,,19.5142592593,,119.9684421932,
3014water_regimewatered,3340092,Mur13,KWS Murony 2013,127413,https://doi.org/10.15454/JBBAWF,EP52_H,VIRTUAL_TRIAL,,,,,,,,watered,2013,264.3616628104,,323.7989203355,,2910.5264541563,,64.8279247057,,66.9484329758,,-19.1657608696,,-29.2102272727,,233.414,,857.667,,247.429,,32.7165368467,,28.1902073844,,35.118545967,,17.2565265152,,14.9913504228,,20.0920707071,,154.6135799049,
3091water_regimerainfed,3339919,Mur13,KWS Murony 2013,127487,https://doi.org/10.15454/D6A8VZ,PHK76_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2013,255.6702676068,,318.4766891964,,2743.6100548761,,63.8405569922,,64.4815840288,,-158.1770833333,,-103.6764705882,,293.562,,918.365,,198.899,,32.4349955727,,27.8324950221,,35.2734809966,,17.0332233796,,14.5738223668,,20.5796078431,,133.7265076962,
3091water_regimewatered,3340165,Mur13,KWS Murony 2013,127487,https://doi.org/10.15454/D6A8VZ,PHK76_H,VIRTUAL_TRIAL,,,,,,,,watered,2013,252.1779303346,,324.5292664969,,3122.9563733496,,64.5271956694,,65.5119728536,,-19.9973404255,,-30.8819444444,,293.562,,882.227,,222.869,,32.4349955727,,28.3280491615,,35.4569049568,,17.0332233796,,15.0630311507,,20.7440123457,,136.4052469395,
