observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,water_regime,season,FFLW_D20deg(MIPO:0000024),FFLW_D20deg(MIPO:0000024).date,GY_Adj_tha(MIPO:0000018),GY_Adj_tha(MIPO:0000018).date,KW(MIPO:0000012),KW(MIPO:0000012).date,MFLW_D20deg(MIPO:0000025),MFLW_D20deg(MIPO:0000025).date,Psi_Fill(EIPO:0000003),Psi_Fill(EIPO:0000003).date,Psi_Flo(EIPO:0000003),Psi_Flo(EIPO:0000003).date,Ri_Early(EIPO:0000002),Ri_Early(EIPO:0000002).date,Ri_Fill(EIPO:0000002),Ri_Fill(EIPO:0000002).date,Ri_Flo(EIPO:0000002),Ri_Flo(EIPO:0000002).date,Tmax_Early(EIPO:0000005),Tmax_Early(EIPO:0000005).date,Tmax_Fill(EIPO:0000005),Tmax_Fill(EIPO:0000005).date,Tmax_Flo(EIPO:0000005),Tmax_Flo(EIPO:0000005).date,Tnight_Early(EIPO:0000001),Tnight_Early(EIPO:0000001).date,Tnight_Fill(EIPO:0000001),Tnight_Fill(EIPO:0000001).date,Tnight_Flo(EIPO:0000001),Tnight_Flo(EIPO:0000001).date,plant_height(MIPO:0000006),plant_height(MIPO:0000006).date,tassel_height(MIPO:0000014),tassel_height(MIPO:0000014).date
3250water_regimewatered,3335024,Cam12,Syngenta Campagnola 2012,127644,https://doi.org/10.15454/PRT5XO,UH304_H,VIRTUAL_TRIAL,,,,,,,,watered,2012,191.9000223356,,1085.6596530481,,67.9040062809,,73.6666784227,,-18.8888888889,,-25.7133333333,,43.161,,1231.54,,299.767,,35.9177244196,,34.0139564148,,36.7443780499,,19.609612948,,19.2690198917,,20.8469706766,,229.4891155984,,99.7580818917,
3164water_regimewatered,3334939,Cam12,Syngenta Campagnola 2012,127558,https://doi.org/10.15454/C4VEF0,I233_H,VIRTUAL_TRIAL,,,,,,,,watered,2012,208.3106756966,,1469.573204801,,69.9661457837,,78.116196889,,-19.0254237288,,-25.0733333333,,77.885,,1200.469,,357.238,,36.6159487209,,33.422956321,,36.2321223024,,20.246567466,,19.2184820098,,20.1386252628,,244.6811669978,,105.3002448372,
3077water_regimerainfed,3334611,Cam12,Syngenta Campagnola 2012,127473,https://doi.org/10.15454/WZXITF,PHH93_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2012,103.4689456641,,130.7588427749,,69.6487856668,,80.9729208718,,-13.1228070175,,-84.8035714286,,67.73,,1125.174,,403.081,,36.4726920779,,33.5173462901,,36.5146407662,,20.0961815536,,19.3226698443,,20.2329265826,,134.3432301411,,51.9688636328,
3086water_regimerainfed,3334620,Cam12,Syngenta Campagnola 2012,127482,https://doi.org/10.15454/BWEN08,F353_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2012,160.2973961804,,936.7164676502,,67.1290437758,,78.6256117056,,-13.2062146893,,-87.7023809524,,49.939,,1162.859,,404.135,,35.9932068992,,33.8467079658,,36.5192536525,,19.7897205358,,19.3491242611,,20.3447929643,,189.1633074857,,80.7923760581,
3058water_regimerainfed,3334595,Cam12,Syngenta Campagnola 2012,127457,https://doi.org/10.15454/OJMQGR,HMV5325_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2012,153.5923546717,,1237.0372248865,,68.9983494709,,79.5637649127,,-13.1724137931,,-88.18,,89.396,,1164.589,,378.004,,36.6234866441,,33.5115472784,,36.4185423666,,20.4811845949,,19.2684008821,,20.0011920582,,191.6115143475,,81.1920243607,
3256water_regimewatered,3335030,Cam12,Syngenta Campagnola 2012,127650,https://doi.org/10.15454/I2W4OZ,SGI061_H,VIRTUAL_TRIAL,,,,,,,,watered,2012,209.9778238604,,1929.54842412,,69.707837238,,72.4766395386,,-18.8888888889,,-26.2391304348,,58.039,,1267.139,,275.454,,36.2183065647,,33.692130053,,36.6282834955,,19.88559752,,19.1980683593,,20.7274379842,,245.3724580575,,99.7348136633,
3181water_regimerainfed,3334710,Cam12,Syngenta Campagnola 2012,127575,https://doi.org/10.15454/089G4O,Lo1087_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2012,153.1021286458,,1504.6341557318,,75.6019665827,,85.5394396397,,-12.8395061728,,-77.3653846154,,125.24,,1083.279,,378.431,,37.0483366126,,33.0912195354,,36.4999866716,,20.9305602872,,19.0615692158,,19.9538630154,,185.406896279,,78.5227896806,
3161water_regimerainfed,3334692,Cam12,Syngenta Campagnola 2012,127555,https://doi.org/10.15454/DL4JVF,I198_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2012,115.048212789,,453.9191365612,,74.3741732821,,87.3575637101,,-12.679245283,,-76.688172043,,77.708,,1020.568,,427.529,,36.7456107774,,33.464700101,,36.4851535972,,20.3471009675,,19.1555396516,,20.348009177,,145.6726047392,,65.5807539005,
3087water_regimerainfed,3334621,Cam12,Syngenta Campagnola 2012,127483,https://doi.org/10.15454/OTWCEI,EC136_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2012,130.307088303,,504.4422602615,,67.5165063449,,81.315872445,,-13.1228070175,,-82.8944444444,,49.762,,1139.512,,427.394,,36.0860302343,,33.4369730682,,36.6554968193,,19.8147643067,,19.2557977708,,20.3152076676,,164.2497667269,,68.0625412034,
3232water_regimewatered,3335006,Cam12,Syngenta Campagnola 2012,127626,https://doi.org/10.15454/WLFPQC,PHV63_H,VIRTUAL_TRIAL,,,,,,,,watered,2012,205.0528977258,,1909.5161743442,,70.9750982389,,75.0204504384,,-19,,-25.9696969697,,77.708,,1227.383,,275.794,,36.7456107774,,33.812047028,,36.1501126475,,20.3471009675,,19.2322779556,,20.5818617185,,240.0578080481,,106.6709157174,
3228water_regimerainfed,3334756,Cam12,Syngenta Campagnola 2012,127622,https://doi.org/10.15454/TZD7EC,PHJ40_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2012,129.0965286221,,402.5446048634,,69.1563333504,,79.7490056145,,-13.1724137931,,-86.4761904762,,58.039,,1150.251,,378.004,,36.2183065647,,33.5918298907,,36.5231803931,,19.88559752,,19.334425003,,20.2910643377,,160.8711258424,,74.1506554462,
